id,created_at,text,retweet_count,favorite_count,media_count,url_count
1100765093392986112,2019-02-27 14:30:24,😍😍 https://t.co/7GIbv4lTp2,0,1,0,1
1100764976288071682,2019-02-27 14:29:56,"RT @NinSwitchNews: Which Pokémon are you going to choose in #PokemonSwordShield?

•Grookey
•Scorbunny
•Sobble https://t.co/CNnWZHGdRc",623,0,1,0
1100764964837568512,2019-02-27 14:29:53,RT @NinSwitchNews: https://t.co/hlKhYzAb3l,127,0,1,0
1075831250320048130,2018-12-20 19:12:12,@InTheLittleWood https://t.co/mwKhIKqwEd I know it's not a link straight to the gif but here are the downloads for the GIFs 😊,0,1,0,1
1071445653690245122,2018-12-08 16:45:24,"@PokeCenterLoot hello, can you confirm if my order will arrive before Christmas ?",0,1,0,0
1070235176834338816,2018-12-05 08:35:24,"@PokeCenterLoot hello, I ordered back in September but nothing arrived so I emailed and was told replacements were… https://t.co/XpAtH7OPai",0,0,0,1
1026463930582032385,2018-08-06 13:44:06,RT @CuteEmergency: Did you know corgi butts can float in water? 🤣🤣 https://t.co/kWTkb0oDVt,15018,0,1,0
1026463658862424066,2018-08-06 13:43:01,@Jack_Septic_Eye how likely is it you'll be doing a playthrough of the remastered Spyro games? Fcking loved your vids of Spyro3.,0,0,0,0
997121888303411200,2018-05-17 14:29:18,Mindlessly scrolling through news articles when I come across this image and had to stop and make sure I wasn't mis… https://t.co/DbUaP3UGvN,0,0,0,1
971880330062856193,2018-03-08 22:48:22,RT @NintendoUK: #CrashBandicoot N. Sane Trilogy is making the 'wump' to #NintendoSwitch on 10/07! #NintendoDirect https://t.co/44pIwzCFh2,592,0,1,0
971879923903352833,2018-03-08 22:46:45,RT @gamespot: Super Smash Bros. is coming to Nintendo Switch this year!! #NintendoDirect https://t.co/pmRVzvlN8f,11205,0,1,0
969681610760249344,2018-03-02 21:11:26,I'm okay staying inside this weekend if this is what I get to watch 😂 100% pirate now. Thank you! @SeaOfThieves… https://t.co/lH0O9drCCY,0,0,0,1
967855422056038400,2018-02-25 20:14:49,RT @Jack_Septic_Eye: My God it's perfect! https://t.co/Xsahq5BsJD,1177,0,1,0
967854976423940097,2018-02-25 20:13:02,@Jack_Septic_Eye #PositiveMentalAttitude noun: sneeze,0,0,0,0
967854785415335936,2018-02-25 20:12:17,@Jack_Septic_Eye #PositiveMentalAttitude Verb: Whisper,0,0,0,0
967853899775344642,2018-02-25 20:08:46,@Jack_Septic_Eye #PositiveMentalAttitude Number: 3.14,0,0,0,0
967853600943890432,2018-02-25 20:07:34,@Jack_Septic_Eye #PositiveMentalAttitude Occupation: Dirt Sniffer,0,0,0,0
967853333334712320,2018-02-25 20:06:31,@Jack_Septic_Eye #PositiveMentalAttitude Body part: Ear holes,0,0,0,0
967853230687490048,2018-02-25 20:06:06,@Jack_Septic_Eye #PositiveMentalAttitude Silly Name: Maximus Jackimus,0,0,0,0
967851590014169091,2018-02-25 19:59:35,@Jack_Septic_Eye #PositiveMentalAttitude Superlative: Most Unusual,0,0,0,0
967851087964377089,2018-02-25 19:57:35,"@Jack_Septic_Eye #PositiveMentalAttitude Literature: Moby-Dick 
Adjective: Nauseating",0,0,0,0
963834212234203136,2018-02-14 17:55:58,RT @PotterWorldUK: #PotterPickupLines https://t.co/nOyfBo6DB7,592,0,1,0
960993085093269505,2018-02-06 21:46:20,"RT @elonmusk: View from SpaceX Launch Control. Apparently, there is a car in orbit around Earth. https://t.co/QljN2VnL1O",168652,0,1,0
960988670026289152,2018-02-06 21:28:47,RT @ZoliBara: the coolest 20 seconds ever to be seen. EVER #falconheavy https://t.co/vNCb2fKjmX,969,0,1,0
960988626590076928,2018-02-06 21:28:37,"RT @_K_Shu_: Me searching every nook and cranny of the internet to find out what happened to the main core:
#FalconHeavy https://t.co/CEnck…",430,0,0,0
960988561783828481,2018-02-06 21:28:22,Where's dat core at? #FalconHeavy,0,1,0,0
960981021075402758,2018-02-06 20:58:24,RT @SpaceX: Falcon Heavy side cores have landed at SpaceX’s Landing Zones 1 and 2. https://t.co/oMBqizqnpI,74349,0,1,0
868584669943664640,2017-05-27 21:48:17,"RT @ProSyndicate: Hype hype! If you want the chance to win a @SyndicateOG T-Shirt! 
Simply retweet this tweet &amp; be sure to be following @Sy…",7561,0,0,0
805154728875278338,2016-12-03 21:00:21,RT @SyndicateOG: RT &amp; FOLLOW for the chance to win a piece of limited edition artwork drawn by @ProSyndicate 🎄🎅🏼https://t.co/5qtlHUupJW,1593,0,0,1
805154712639197184,2016-12-03 21:00:17,@SyndicateOG @ProSyndicate Merry crimbo,0,0,0,0
771067404558409728,2016-08-31 19:29:29,Selasi nooooo  #GBBO,2,0,0,0
771065292684484608,2016-08-31 19:21:06,The infamous Hollywood Handshake #GBBO,0,0,0,0
771064214660186112,2016-08-31 19:16:49,Selasi is just chill af #GBBO,0,0,0,0
771062894725332992,2016-08-31 19:11:34,NOT THE BISCUITS  #GBBO,0,0,0,0
771060996123353088,2016-08-31 19:04:01,#GBBO BAAAAAAKE🎂,0,0,0,0
764052898133209088,2016-08-12 10:56:20,RT @Pretty52: Retail workers will know the struggle... https://t.co/6NZjUOm8c7,597,0,1,0
763401681413533697,2016-08-10 15:48:38,@ProSyndicate You not stopping off in Aberdeen? :(,0,0,0,0
732656688898134017,2016-05-17 19:39:01,@DerrenBrown Lego #DerrenMiracle,0,0,0,0
731403908673900546,2016-05-14 08:40:55,"Happy birthday mum, hope you're having fun xox",0,0,0,0
726870861362417664,2016-05-01 20:28:12,Super excite for my Thor costume to arrive.,0,0,0,0
714339330517561344,2016-03-28 06:32:22,ZzZZzZzzZZzZZzZz,0,0,0,0
710760846465634304,2016-03-18 09:32:45,RT @PokeCenterLoot: Pokéfans! Follow us and retweet this image for your chance to win. Winner selected 31/03/2016. https://t.co/9olAoERNkY,647,0,1,0
