id,created_at,text,retweet_count,favorite_count,media_count,url_count
1100901176613187585,2019-02-27 23:31:08,b'@Liam2404 @aframevr @CesiumJS This is great! I want to see 3D buildings or terrain sticking out now!',0,2,0,0
1100194528231776256,2019-02-26 00:43:10,"b""@Liam2404 Looks great already! Be sure to share it with us when you're finished.""",0,3,0,0
1082910988070989824,2019-01-09 08:04:33,b'First 5k of 2019 is done.. I think i might die \xf0\x9f\x98\xb4\xf0\x9f\x98\xb4',0,4,0,0
1061806007100203008,2018-11-12 02:20:54,"b'I don\xe2\x80\x99t know what to say, a dream come true, so proud of my team. RLCS Season 6 Champions.'",2535,16544,0,0
963017223194468352,2018-02-12 11:49:32,b'Yorkshire Tea is just the highest class of all tea \xe2\x98\x95\xef\xb8\x8f',0,1,0,0
961930412741332992,2018-02-09 11:50:56,b'Had such a difficult decision to make this week however in October I will officially be starting my PhD in Liverpoo\xe2\x80\xa6 https://t.co/iflsgmJ7ye',0,3,0,1
933000651545726976,2017-11-21 15:54:24,b'Doing some research on promises on @laracasts - very interesting topic.',0,1,0,0
932916527661309952,2017-11-21 10:20:07,b'All I want for Christmas is to pass my exams',0,2,0,0
894906511675318272,2017-08-08 13:01:53,b'Your grades do not define you. #nowrongpath @NorthScotHubSA @DYW_NorthEast https://t.co/SobPhTx2Xt',1,11,1,0
887745311577444353,2017-07-19 18:45:50,b'Thats kinda special moment to the entire world #facebookdown',2,8,0,0
804684729983365124,2016-12-02 13:52:44,b'IB CompSci Control topic going well. Today we upgraded the #camjam chassis #slscompsci https://t.co/n48FTw4PyW',0,4,1,0
653181983821070336,2015-10-11 12:14:55,b'Hello Twitter! #myfirstTweet',0,1,0,0
572027444582060032,2015-03-01 13:35:45,b'@Liam2404  http://t.co/aGhfDL1W34 http://t.co/BgbL0rkBHZ',0,1,1,1
571991716422651905,2015-03-01 11:13:46,b'@Liam2404  http://t.co/aGhfDL1W34 http://t.co/MnmzBYfQQ3',0,1,1,1
558714819554312192,2015-01-23 19:56:08,b'fab lunch and catch up with @JennyWard_x &amp; @Liam2404 today #bestfriends',2,3,0,0
499621115766259713,2014-08-13 18:18:51,b'Casually trying out the massage chairs in schipol airport with @Liam2404 \xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,1,0,0
493851670955450368,2014-07-28 20:13:08,b'@robbiethough @hannahinabucket @zoeejadeexo @ciaran310396 @Liam2404 @JennyWard_x @LilWrenBird I love you guys!\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',0,1,0,0
462682905060601857,2014-05-03 19:59:35,b'Interval Mimi selfie for @GinaMurrayWoman @EmmaWoman @MazzWoman @willowfire365 \xe2\x9d\xa4\xef\xb8\x8f http://t.co/9GoKm6Lc49',0,6,1,0
462681099039436802,2014-05-03 19:52:24,b'Well the amazing @hannahinabucket has done it again! What a super fist act!! The best voice in the whole show goes to you!',1,3,0,0
461092542575292416,2014-04-29 10:40:03,b'Cba that I have to be a tranny in front of my entire family though #stahp',0,4,0,0
459272023575773184,2014-04-24 10:05:57,b'Happy Birthday to this loser\xf0\x9f\x98\x98\xf0\x9f\x8e\x89\xf0\x9f\x8e\x8a\xf0\x9f\x8e\x88@Liam2404 http://t.co/jBQZhzTNZx',0,1,1,0
459098462249037824,2014-04-23 22:36:17,b'Im fucked for exams but hey lets not do anything about it',1,3,0,0
459073605998215168,2014-04-23 20:57:31,b'A part of me will always want to go back to school',2,1,0,0
459043541432692736,2014-04-23 18:58:03,b'7 day count down tomorrow until I travel to my first race 2014. \xf0\x9f\x98\x80\xe2\x9c\x88\xef\xb8\x8f #keentogetracing',43,241,0,0
459031550332780544,2014-04-23 18:10:24,b'Just had our 15 minute call! Eeeeeeeep',0,1,0,0
458947686037979137,2014-04-23 12:37:09,"b""@soperify @Liam2404 I understand that, but it's the entire pretence of the story. We could just start with 2 stations and expand later.""",0,1,0,0
458947313311166464,2014-04-23 12:35:40,b'@soperify @Liam2404 Could just make it like 2 stations to begin with.',0,1,0,0
458945615133954048,2014-04-23 12:28:56,b'@soperify @Liam2404 but we need mapping first *cough* *cough* falco',0,1,0,0
458925232368386048,2014-04-23 11:07:56,b'@soperify @Liam2404 I really want to code something using the SIF framework (The same system used by the survival server)',0,1,0,0
458925162877186049,2014-04-23 11:07:39,"b""@soperify @Liam2404 I'm thinking about starting again with the Metro Apocalypse script guys.""",0,1,0,0
456541966105202690,2014-04-16 21:17:41,b'I have an admirer :L xxx http://t.co/ciCi8dibVG',0,2,1,0
452538533828632576,2014-04-05 20:09:28,"b""It honestly looks like it's going to be a random Mearns reunion tonight haha \xf0\x9f\x98\x82\xf0\x9f\x8e\x89\xf0\x9f\x8e\x8a""",0,1,0,0
452143266147078146,2014-04-04 17:58:49,b'watching Bad Grandpa #jackass',0,1,0,0
451818965942407168,2014-04-03 20:30:10,b'Glad to have @TJRLZ on board as our IT Developement Mentor!',2,1,0,0
451648986144055296,2014-04-03 09:14:44,"b""Next up, @TJRLZ is going to sing a live rendition of 'My heart will go on' in a bid to attract you to the server.""",0,1,0,0
451647721662083072,2014-04-03 09:09:42,"b""We have this guy called falco,\nHe's from Aberdeen not Palo Alto,\nTo rhyme with that I use gabardine,\nwhich is a material with a fine weave.""",0,1,0,0
450789207691522048,2014-04-01 00:18:17,b'Did the whole Star Wars movie marathon!! :D',0,1,0,0
450361540274036736,2014-03-30 19:58:53,"b""It's pretty much less than 150 days until I move in with @michellefraaser and @Littlesongbird3 \xf0\x9f\x98\x81 so excited!!""",1,2,0,0
449537661670551552,2014-03-28 13:25:05,"b""So the server has had nice increase in popularity recently! If you haven't already, why not join us and see why people love it?""",0,1,0,0
449474907408437248,2014-03-28 09:15:43,"b""LET'S HAVE IT!!!!! \xf0\x9f\x98\x9b\xf0\x9f\x98\x9b\xf0\x9f\x98\x9b""",26,71,0,0
