,Text,Classification,Sentiment
0,"When,  O Catiline, do you mean to cease abusing our patience? How long is that madness of yours still to mock us? When is there to be an end of that unbridled audacity of yours, swaggering about as it does now? Do not the nightly guards placed on the Palatine Hill—do not the watches posted throughout the city—does not the alarm of the people, and the union of all good men—does not the precaution taken of assembling the senate in this most defensible place—do not the looks and countenances of this venerable body here present, have any effect upon you? Do you not feel that your plans are detected? Do you not see that your conspiracy is already arrested and rendered powerless by the knowledge which every one here possesses of it? What is there that you did last night, what the night before—where is it that you were—who was there that you summoned to meet you—what design was there which was adopted by you, with which you think that any one of us is unacquainted?Shame on the age and on its principles! The senate is aware of these things; the consul sees them; and yet this man lives",Non-Aligned,-0.8555
1," Lives! aye, he comes even into the senate",SNP,0.0
2, He takes a part in the public deliberations; he is watching and marking down and checking off for slaughter every individual among us,Non-Aligned,0.0
3," And we, gallant men that we are, think that we are doing our duty to the republic if we keep out of the way of his frenzied attacks",Non-Aligned,-0.1027
4,"You ought, O Catiline, long ago to have been led to execution by command of the consul",Labour,0.0
5, That destruction which you have been long plotting against us ought to have already fallen on your own head,Anti-Labour,-0.7096
6," 3What? Did not that most illustrious man, Publius Scipio, the Pontifex Maximus, in his capacity of a private citizen, put to death Tiberius Gracchus, tho but slightly undermining the constitution? And shall we, who are the consuls, tolerate Catiline, openly desirous to destroy the whole world with fire and slaughter? For I pass over older instances, such as how Caius Servilius Ahala with his own hand slew Spurius MÃ¦lius when plotting a revolution in the state",Anti-Green,-0.765
7, There was—there was once such virtue in this republic that brave men would repress mischievous citizens with severer chastisement than the most bitter enemy,Anti-UKIP,-0.2023
8," For we have a resolution of the senate, a formidable and authoritative decree against you, O Catiline; the wisdom of the republic is not at fault, nor the dignity of this senatorial body",Non-Aligned,0.1779
9," We, we alone—I say it openly,—we, the consuls, are wanting in our duty",Non-Aligned,0.0772
10,"The senate once passed a decree that Lucius Opimius, the consul, should take care that the republic suffered no injury",Non-Aligned,-0.0772
11, Not one night elapsed,Non-Aligned,0.0
12," There was put to death, on some mere suspicion of disaffection, Caius Gracchus, a man whose family had borne the most unblemished reputation for many generations",Anti-Labour,-0.7579
13," There was slain Marcus Fulvius, a man of consular rank, and all his children",Non-Aligned,0.0
14," By a like decree of the senate the safety of the republic was entrusted to Caius Marius and Lucius Valerius, the consuls",Non-Aligned,0.3612
15," Did not the vengeance of the republic, did not execution overtake Lucius Saturninus, a tribune of the people, and Caius Servilius, the pretor, without the delay of one single day? But we, for these twenty days, have been allowing the edge of the senate’s authority to grow blunt, as it were",Non-Aligned,0.4333
16," For we are in possession of a similar decree of the senate, but we keep it locked up in its parchment—buried, I may say, in the sheath; and according to this decree you ought, O Catiline, to be put to death this instant",Anti-UKIP,-0.5994
17," You live,—and you live, not to lay aside, but to persist in your audacity",Non-Aligned,0.0
18,"I wish, O conscript fathers, to be merciful; I wish not to appear negligent amid such danger to the state; but I do now accuse myself of remissness and culpable inactivity",Labour,0.25
19," A camp is pitched in Italy, at the entrance of Etruria, in hostility to the republic; the number of the enemy increases every day; and yet the general of that camp, the leader of those enemies, we see within the walls—aye, and even in the senate—planning every day some internal injury to the republic",Non-Aligned,0.0772
20," If, O Catiline, I should now order you to be arrested, to be put to death, I should, I suppose, have to fear lest all good men should say that I had acted tardily, rather than that any one should affirm that I acted cruelly",Anti-UKIP,-0.765
21," But yet this, which ought to have been done long since, I have good reason for not doing as yet; I will put you to death, then, when there shall be not one person possible to be found so wicked, so abandoned, so like yourself, as not to allow that it has been rightly done",LibDem,0.2263
22," As long as one person exists who can dare to defend you, you shall live; but you shall live as you do now, surrounded by my many and trusty guards, so that you shall not be able to stir one finger against the republic; many eyes and ears shall still observe and watch you, as they have hitherto done, tho you shall not perceive them",LibDem,0.0
23,"For what is there, O Catiline, that you can still expect, if night is not able to veil your nefarious meetings in darkness, and if private houses can not conceal the voice of your conspiracy within their walls—if everything is seen and displayed? Change your mind: trust me: forget the slaughter and conflagration you are meditating",Non-Aligned,0.34
24, You are hemmed in on all sides; all your plans are clearer than the day to us; let me remind you of them,LibDem,0.0
25," Do you recollect that on the 21st of October I said in the senate that on a certain day, which was to be the 27th of October, C",Labour,0.2732
26," Manlius, the satellite and servant of your audacity, would be in arms? Was I mistaken, Catiline, not only in so important, so atrocious, so incredible a fact, but, what is much more remarkable, in the very day? I said also in the senate that you had fixed the massacre of the nobles for the 28th of October when many chief men of the senate had left Rome, not so much for the sake of saving themselves as of checking your designs",Green,0.1779
27," Can you deny that on that very day you were so hemmed in by my guards and my vigilance that you were unable to stir one finger against the republic; when you said that you would be content with the flight of the rest, and the slaughter of us who remained? What? when you made sure that you would be able to seize PrÃ¦neste on the 1st of November by a nocturnal attack, did you not find that that colony was fortified by my order, by my garrison, by my watchfulness and care? You do nothing, you plan nothing, you think of nothing which I not only do not hear, but which I do not see and know every particular of",Conservative,0.34
28,Listen while I speak of the night before,Labour,0.0
29, You shall now see that I watch far more actively for the safety than you do for the destruction of the republic,Anti-SNP,-0.5267
30," I say that you came the night before (I will say nothing obscurely) into the Scythedealers’ Street, to the house of Marcus Lecca; that many of your accomplices in the same insanity and wickedness came there, too",Non-Aligned,-0.5267
31, Do you dare to deny it? Why are you silent? I will prove it if you do deny it; for I see here in the senate some men who were there with you,Green,0.0
32,"O ye immortal gods, where on earth are we? in what city are we living? what constitution is ours? There are here,—here in our body, O conscript fathers, in this the most holy and dignified assembly of the whole world, men who meditate my death, and the death of all of us, and the destruction of this city, and of the whole world",Non-Aligned,-0.8779
33," I, the consul, see them; I ask them their opinion about the republic, and I do not yet attack, even by words, those who ought to be put to death by the sword",Anti-SNP,-0.7906
34," You were, then, O Catiline, at Lecca’s that night; you divided Italy into sections; you settled where every one was to go; you fixed whom you were to leave at Rome, whom you were to take with you; you portioned out the divisions of the city for conflagration; you undertook that you yourself would at once leave the city, and said that there was then only this to delay you,—that I was still alive",Anti-Labour,-0.3182
35," Two Roman knights were found to deliver you from this anxiety, and to promise that very night, before daybreak, to slay me in my bed",Conservative,0.0
36, All this I knew almost before your meeting had broken up,Anti-Labour,-0.4284
37," I strengthened and fortified my house with a stronger guard; I refused admittance, when they came, to those whom you sent in the morning to salute me, and of whom I had foretold to many eminent men that they would come to me at that time",Conservative,0.5994
38,"As, then, this is the case, O Catiline, continue as you have begun",LibDem,0.0
39, Leave the city at least; the gates are open; depart,Conservative,0.0
40, That Manlian camp of yours has been waiting too long for you as its general,Non-Aligned,0.34
41," And lead forth with you all your friends, or at least as many as you can; purge the city of your presence; you will deliver me from a great fear, when there is a wall between you and me",Non-Aligned,0.6249
42," Among us you can dwell no longer—I will not bear it, I will not permit it, I will not tolerate it",Green,0.128
