,Text,Classification,Sentiment
0,"First, I should like to express my gratitude to the radio and television networks for the opportunities they have given me over the years to bring reports and messages to our nation",LibDem,0.3612
1, My special thanks go to them for the opportunity of addressing you this evening,Conservative,0.6369
2,"Three days from now, after half century in the service of our country, I shall lay down the responsibilities of office as, in traditional and solemn ceremony, the authority of the Presidency is vested in my successor",Labour,0.1531
3," This evening, I come to you with a message of leave-taking and farewell, and to share a few final thoughts with you, my countrymen",LibDem,0.296
4,"Like every other — Like every other citizen, I wish the new President, and all who will labor with him, Godspeed",Non-Aligned,0.7717
5, I pray that the coming years will be blessed with peace and prosperity for all,Conservative,0.6249
6,"Our people expect their President and the Congress to find essential agreement on issues of great moment, the wise resolution of which will better shape the future of the nation",Conservative,0.9231
7," My own relations with the Congress, which began on a remote and tenuous basis when, long ago, a member of the Senate appointed me to West Point, have since ranged to the intimate during the war and immediate post-war period, and finally to the mutually interdependent during these past eight years",Non-Aligned,-0.5994
8," In this final relationship, the Congress and the Administration have, on most vital issues, cooperated well, to serve the nation good, rather than mere partisanship, and so have assured that the business of the nation should go forward",Conservative,0.7351
9," So, my official relationship with the Congress ends in a feeling — on my part — of gratitude that we have been able to do so much together",Non-Aligned,0.0
10,We now stand ten years past the midpoint of a century that has witnessed four major wars among great nations,Green,0.3818
11, Three of these involved our own country,Labour,0.0
12," Despite these holocausts, America is today the strongest, the most influential, and most productive nation in the world",LibDem,0.4404
13," Understandably proud of this pre-eminence, we yet realize that America’s leadership and prestige depend, not merely upon our unmatched material progress, riches, and military strength, but on how we use our power in the interests of world peace and human betterment",Non-Aligned,0.9559
14,"Throughout America’s adventure in free government, our basic purposes have been to keep the peace, to foster progress in human achievement, and to enhance liberty, dignity, and integrity among peoples and among nations",Green,0.7269
15, To strive for less would be unworthy of a free and religious people,Non-Aligned,0.4654
16," Any failure traceable to arrogance, or our lack of comprehension, or readiness to sacrifice would inflict upon us grievous hurt, both at home and abroad",Anti-DUP,-0.6908
17,Progress toward these noble goals is persistently threatened by the conflict now engulfing the world,Non-Aligned,-0.2732
