,Text,Classification,Sentiment
0,MEN! Deputies of the German Reichstag! The Reichstag has met today on a day momentous for the German people,Conservative,0.34
1, Four years have passed since the greatest national revolution and reformation that Germany has ever experienced began,Conservative,0.765
2, These were the four years which I asked for as a trial period,LibDem,0.0
3,"I do not know whether there has ever been such a thorough revolution as ours, which nevertheless left unmolested numerous former political functionaries and allowed them to work in peace and paid pensions to its bitterest enemies",UKIP,0.0
4,But our policy has not been of much use to us as far as other countries are concerned,Labour,0.34
5, Only a few months ago honorable British citizens felt they must make a protest to us for detaining in a concentration camp one of the most criminal subjects of Moscow,Anti-UKIP,-0.1531
6," [Presumably Herr von Ossietzky, winner of the Nobel Peace Prize",SNP,0.7964
7,"] I do not know whether these honorable men have also protested against the slaying and burning of tens of thousands of men, women, and children in Spain",Green,0.296
8," We are assured that the number of people slain in Spain is 170,000",Green,0.0772
9," On this basis we would have had the right to murder 400,000 to 500,000 people in the Nazi Revolution!The National Socialist program replaces the liberalistic conception of the individual by the conception of a people bound by their blood to the soil",Anti-Green,-0.6908
10," Of all the tasks with which we are confronted, it is the grandest and most sacred task of man to preserve his race",Non-Aligned,0.4019
11," This will not lead to an estrangement of the nations; on the contrary, it will lead for the first time to a mutual understanding",Conservative,0.0
12, It will also prevent the Jewish people from trying to disintegrate and dominate other people under the mask of an innocent bourgeoisie,Labour,0.0258
13,Within a few weeks the social prejudices of a thousand years were swept away,Labour,0.0
14, So great was the Revolution that its spiritual foundations have not been understood even today by a superficial world,Labour,0.6249
15," They speak of democracies and dictatorships, and have not realized that in this country a Revolution has taken place that can be described as democratic in the highest sense of the word",UKIP,0.34
16," Does a more glorious socialism or a truer democracy exist than that which enables any German boy to find his way to the head of the nation? The purpose of the Revolution was not to deprive a privileged class of its rights, but to raise a class without rights to equality",SNP,0.3612
17,There is now only one representative of German sovereignty - the people itself,UKIP,0.0
18,The will of the people finds its expression in the Party as its political organization,UKIP,0.0
19,Therefore there is only one legislative body,Non-Aligned,0.0
20,There is only one executive authority,Non-Aligned,0.0
21,"Therefore the people is the basis, and Party, State, Army, industry, justice, etc",UKIP,0.0
22,", are only the means of maintaining the people",Non-Aligned,0.0
23,"In a new penal code, justice will be put for all time into the service of maintaining the German race",Conservative,0.0
24,"When I took over power there were more than 6,000,000 unemployed and the farmers seemed doomed to decay",Anti-Conservative,-0.6597
