,Text,Classification,Sentiment
0,"President Pitzer, Mr",Non-Aligned,0.0
1," Vice President, Governor, Congressman Thomas, Senator Wiley, and Congressman Miller, Mr",Non-Aligned,0.0
2," Webb, Mr",Non-Aligned,0.0
3," Bell, scientists, distinguished guests, and ladies and gentlemen:I appreciate your president having made me an honorary visiting professor, and I will assure you that my first lecture will be very brief",Non-Aligned,0.0
4,I am delighted to be here and I’m particularly delighted to be here on this occasion,SNP,0.8316
5,"We meet at a college noted for knowledge, in a city noted for progress, in a state noted for strength, and we stand in need of all three, for we meet in an hour of change and challenge, in a decade of hope and fear, in an age of both knowledge and ignorance",Green,0.6908
6," The greater our knowledge increases, the greater our ignorance unfolds",Non-Aligned,0.6124
7,"Despite the striking fact that most of the scientists that the world has ever known are alive and working today, despite the fact that this Nation’s own scientific manpower is doubling every 12 years in a rate of growth more than three times that of our population as a whole, despite that, the vast stretches of the unknown and the unanswered and the unfinished still far outstrip our collective comprehension",Conservative,0.5423
8,"No man can fully grasp how far and how fast we have come, but condense, if you will, the 50,000 years of man’s recorded history in a time span of but a half-century",Non-Aligned,0.0
9," Stated in these terms, we know very little about the first 40 years, except at the end of them advanced man had learned to use the skins of animals to cover them",Non-Aligned,0.0
10," Then about 10 years ago, under this standard, man emerged from his caves to construct other kinds of shelter",Labour,0.5267
11, Only five years ago man learned to write and use a cart with wheels,Non-Aligned,0.0
12, Christianity began less than two years ago,Non-Aligned,0.0
13," The printing press came this year, and then less than two months ago, during this whole 50-year span of human history, the steam engine provided a new source of power",Non-Aligned,0.0
14, Newton explored the meaning of gravity,Non-Aligned,0.0
15, Last month electric lights and telephones and automobiles and airplanes became available,Non-Aligned,0.0
16," Only last week did we develop penicillin and television and nuclear power, and now if America’s new spacecraft succeeds in reaching Venus, we will have literally reached the stars before midnight tonight",Non-Aligned,0.0516
17,"This is a breathtaking pace, and such a pace cannot help but create new ills as it dispels old, new ignorance, new problems, new dangers",Anti-Green,-0.7351
18," Surely the opening vistas of space promise high costs and hardships, as well as high reward",Labour,0.7003
19,"So it is not surprising that some would have us stay where we are a little longer to rest, to wait",Non-Aligned,0.0
20," But this city of Houston, this state of Texas, this country of the United States was not built by those who waited and rested and wished to look behind them",Non-Aligned,0.4019
21, This country was conquered by those who moved forward–and so will space,Non-Aligned,0.0
22,"William Bradford, speaking in 1630 of the founding of the Plymouth Bay Colony, said that all great and honorable actions are accompanied with great difficulties, and both must be enterprised and overcome with answerable courage",Labour,0.9081
23,"If this capsule history of our progress teaches us anything, it is that man, in his quest for knowledge and progress, is determined and cannot be deterred",Non-Aligned,0.6808
24," The exploration of space will go ahead, whether we join in it or not, and it is one of the great adventures of all time, and no nation which expects to be the leader of other nations can expect to stay behind in this race for space",Non-Aligned,0.743
25,"Those who came before us made certain that this country rode the first waves of the industrial revolution, the first waves of modern invention, and the first wave of nuclear power, and this generation does not intend to founder in the backwash of the coming age of space",Green,0.2732
26, We mean to be a part of it–we mean to lead it,Non-Aligned,0.0
27," For the eyes of the world now look into space, to the moon and to the planets beyond, and we have vowed that we shall not see it governed by a hostile flag of conquest, but by a banner of freedom and peace",UKIP,0.6369
28," We have vowed that we shall not see space filled with weapons of mass destruction, but with instruments of knowledge and understanding",Anti-Green,-0.6808
29,"Yet the vows of this Nation can only be fulfilled if we in this Nation are first, and, therefore, we intend to be first",SNP,0.0
30," In short, our leadership in science and industry, our hopes for peace and security, our obligations to ourselves as well as others, all require us to make this effort, to solve these mysteries, to solve them for the good of all men, and to become the world’s leading space-faring nation",Conservative,0.7845
31,"We set sail on this new sea because there is new knowledge to be gained, and new rights to be won, and they must be won and used for the progress of all people",Non-Aligned,0.7351
32," For space science, like nuclear science and all technology, has no conscience of its own",Non-Aligned,0.5994
33," Whether it will become a force for good or ill depends on man, and only if the United States occupies a position of pre-eminence can we help decide whether this new ocean will be a sea of peace or a new terrifying theater of war",Non-Aligned,-0.2732
34," I do not say that we should or will go unprotected against the hostile misuse of space any more than we go unprotected against the hostile use of land or sea, but I do say that space can be explored and mastered without feeding the fires of war, without repeating the mistakes that man has made in extending his writ around this globe of ours",Non-Aligned,0.8064
35,"There is no strife, no prejudice, no national conflict in outer space as yet",Anti-Conservative,-0.3182
36, Its hazards are hostile to us all,Labour,0.0
37," Its conquest deserves the best of all mankind, and its opportunity for peaceful cooperation many never come again",Non-Aligned,0.6369
38," But why, some say, the moon? Why choose this as our goal? And they may well ask why climb the highest mountain? Why, 35 years ago, fly the Atlantic? Why does Rice play Texas?We choose to go to the moon",Non-Aligned,0.5423
39," We choose to go to the moon in this decade and do the other things, not because they are easy, but because they are hard, because that goal will serve to organize and measure the best of our energies and skills, because that challenge is one that we are willing to accept, one we are unwilling to postpone, and one which we intend to win, and the others, too",Non-Aligned,0.8807
40,It is for these reasons that I regard the decision last year to shift our efforts in space from low to high gear as among the most important decisions that will be made during my incumbency in the office of the Presidency,Anti-Conservative,-0.2732
41,In the last 24 hours we have seen facilities now being created for the greatest and most complex exploration in man’s history,Non-Aligned,0.6369
42," We have felt the ground shake and the air shattered by the testing of a Saturn C-1 booster rocket, many times as powerful as the Atlas which launched John Glenn, generating power equivalent to 10,000 automobiles with their accelerators on the floor",Non-Aligned,-0.1779
