,Text,Classification,Sentiment
0,I am happy to join with you today in what will go down in history as the greatest demonstration for freedom in the history of our nation,Conservative,0.891
1,"Five score years ago, a great American, in whose symbolic shadow we stand today, signed the Emancipation Proclamation",Labour,0.6249
2, This momentous decree came as a great beacon light of hope to millions of Negro slaves who had been seared in the flames of withering injustice,Labour,0.7906
3, It came as a joyous daybreak to end the long night of their captivity,Non-Aligned,0.0
4,"But one hundred years later, the Negro still is not free",Non-Aligned,0.5106
5," One hundred years later, the life of the Negro is still sadly crippled by the manacles of segregation and the chains of discrimination",Green,0.0
6," One hundred years later, the Negro lives on a lonely island of poverty in the midst of a vast ocean of material prosperity",Anti-SNP,-0.2732
7," One hundred years later, the Negro is still languished in the corners of American society and finds himself an exile in his own land",Non-Aligned,0.0
8, And so we’ve come here today to dramatize a shameful condition,Anti-Labour,-0.4767
9,In a sense we’ve come to our nation’s capital to cash a check,Non-Aligned,0.0
10," When the architects of our republic wrote the magnificent words of the Constitution and the Declaration of Independence, they were signing a promissory note to which every American was to fall heir",Non-Aligned,0.5106
11," This note was a promise that all men, yes, black men as well as white men, would be guaranteed the “unalienable Rights” of “Life, Liberty and the pursuit of Happiness",LibDem,0.2732
12,"” It is obvious today that America has defaulted on this promissory note, insofar as her citizens of color are concerned",Non-Aligned,0.34
13," Instead of honoring this sacred obligation, America has given the Negro people a bad check, a check which has come back marked “insufficient funds",Non-Aligned,0.5423
14,”But we refuse to believe that the bank of justice is bankrupt,Anti-LibDem,-0.5574
15, We refuse to believe that there are insufficient funds in the great vaults of opportunity of this nation,LibDem,0.6249
16," And so, we’ve come to cash this check, a check that will give us upon demand the riches of freedom and the security of justice",Green,0.8074
17,We have also come to this hallowed spot to remind America of the fierce urgency of Now,Non-Aligned,0.0
18, This is no time to engage in the luxury of cooling off or to take the tranquilizing drug of gradualism,Non-Aligned,0.3612
19, Now is the time to make real the promises of democracy,Labour,0.0
20, Now is the time to rise from the dark and desolate valley of segregation to the sunlit path of racial justice,Green,0.0
21, Now is the time to lift our nation from the quicksands of racial injustice to the solid rock of brotherhood,Non-Aligned,0.1531
22, Now is the time to make justice a reality for all of God’s children,Labour,0.2732
23,It would be fatal for the nation to overlook the urgency of the moment,Anti-Conservative,-0.5423
24, This sweltering summer of the Negro’s legitimate discontent will not pass until there is an invigorating autumn of freedom and equality,SNP,0.6369
25," Nineteen sixty-three is not an end, but a beginning",Non-Aligned,0.0
26, And those who hope that the Negro needed to blow off steam and will now be content will have a rude awakening if the nation returns to business as usual,Non-Aligned,-0.0258
27, And there will be neither rest nor tranquility in America until the Negro is granted his citizenship rights,Non-Aligned,0.3296
28, The whirlwinds of revolt will continue to shake the foundations of our nation until the bright day of justice emerges,Green,0.296
29,"But there is something that I must say to my people, who stand on the warm threshold which leads into the palace of justice: In the process of gaining our rightful place, we must not be guilty of wrongful deeds",LibDem,0.296
30, Let us not seek to satisfy our thirst for freedom by drinking from the cup of bitterness and hatred,SNP,0.34
31, We must forever conduct our struggle on the high plane of dignity and discipline,Non-Aligned,0.0
32, We must not allow our creative protest to degenerate into physical violence,Anti-LibDem,-0.0258
33," Again and again, we must rise to the majestic heights of meeting physical force with soul force",Non-Aligned,0.0
34,"The marvelous new militancy which has engulfed the Negro community must not lead us to a distrust of all white people, for many of our white brothers, as evidenced by their presence here today, have come to realize that their destiny is tied up with our destiny",Non-Aligned,0.34
35, And they have come to realize that their freedom is inextricably bound to our freedom,Non-Aligned,0.8555
36,We cannot walk alone,Non-Aligned,0.0
37,"And as we walk, we must make the pledge that we shall always march ahead",Labour,0.0
38,We cannot turn back,Non-Aligned,0.0
39,"There are those who are asking the devotees of civil rights, “When will you be satisfied?” We can never be satisfied as long as the Negro is the victim of the unspeakable horrors of police brutality",Anti-LibDem,-0.8176
40," We can never be satisfied as long as our bodies, heavy with the fatigue of travel, cannot gain lodging in the motels of the highways and the hotels of the cities",Non-Aligned,0.5267
41, We cannot be satisfied as long as the negro’s basic mobility is from a smaller ghetto to a larger one,Non-Aligned,0.0
42, We can never be satisfied as long as our children are stripped of their self-hood and robbed of their dignity by a sign stating: “For Whites Only,Anti-LibDem,-0.5574
43,” We cannot be satisfied as long as a Negro in Mississippi cannot vote and a Negro in New York believes he has nothing for which to vote,Non-Aligned,0.34
44," No, no, we are not satisfied, and we will not be satisfied until “justice rolls down like waters, and righteousness like a mighty stream",Non-Aligned,0.6124
45,”¹I am not unmindful that some of you have come here out of great trials and tribulations,Non-Aligned,0.6249
46, Some of you have come fresh from narrow jail cells,Non-Aligned,0.3182
47, And some of you have come from areas where your quest — quest for freedom left you battered by the storms of persecution and staggered by the winds of police brutality,UKIP,0.0258
48, You have been the veterans of creative suffering,Anti-Labour,-0.5423
49, Continue to work with the faith that unearned suffering is redemptive,Anti-Labour,-0.1779
50," Go back to Mississippi, go back to Alabama, go back to South Carolina, go back to Georgia, go back to Louisiana, go back to the slums and ghettos of our northern cities, knowing that somehow this situation can and will be changed",Non-Aligned,0.0
51,"Let us not wallow in the valley of despair, I say to you today, my friends",Non-Aligned,0.2263
52,"And so even though we face the difficulties of today and tomorrow, I still have a dream",LibDem,0.25
53, It is a dream deeply rooted in the American dream,Non-Aligned,0.4588
54,"I have a dream that one day this nation will rise up and live out the true meaning of its creed: “We hold these truths to be self-evident, that all men are created equal",Labour,0.7269
55,"”I have a dream that one day on the red hills of Georgia, the sons of former slaves and the sons of former slave owners will be able to sit down together at the table of brotherhood",Non-Aligned,0.25
56,"I have a dream that one day even the state of Mississippi, a state sweltering with the heat of injustice, sweltering with the heat of oppression, will be transformed into an oasis of freedom and justice",Non-Aligned,0.7351
57,I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin but by the content of their character,Non-Aligned,0.25
58,"I have a dream today!I have a dream that one day, down in Alabama, with its vicious racists, with its governor having his lips dripping with the words of “interposition” and “nullification” — one day right there in Alabama little black boys and black girls will be able to join hands with little white boys and white girls as sisters and brothers",Non-Aligned,0.5267
59,"I have a dream today!I have a dream that one day every valley shall be exalted, and every hill and mountain shall be made low, the rough places will be made plain, and the crooked places will be made straight; “and the glory of the Lord shall be revealed and all flesh shall see it together",Labour,0.4215
60,"”²This is our hope, and this is the faith that I go back to the South with",Labour,0.6908
61,"With this faith, we will be able to hew out of the mountain of despair a stone of hope",Non-Aligned,0.5267
62," With this faith, we will be able to transform the jangling discords of our nation into a beautiful symphony of brotherhood",Non-Aligned,0.0258
63," With this faith, we will be able to work together, to pray together, to struggle together, to go to jail together, to stand up for freedom together, knowing that we will be free one day",Conservative,0.9118
64,"And this will be the day — this will be the day when all of God’s children will be able to sing with new meaning:My country ’tis of thee, sweet land of liberty, of thee I sing",Non-Aligned,0.6249
65,"Land where my fathers died, land of the Pilgrim’s pride,From every mountainside, let freedom ring!And if America is to be a great nation, this must become true",UKIP,0.802
66,And so let freedom ring from the prodigious hilltops of New Hampshire,Non-Aligned,0.6369
67,Let freedom ring from the mighty mountains of New York,Non-Aligned,0.6369
68,Let freedom ring from the heightening Alleghenies of Pennsylvania,Non-Aligned,0.6369
69,Let freedom ring from the snow-capped Rockies of Colorado,Non-Aligned,0.6369
70,Let freedom ring from the curvaceous slopes of California,Non-Aligned,0.6369
71,But not only that:Let freedom ring from Stone Mountain of Georgia,Non-Aligned,0.6369
72,Let freedom ring from Lookout Mountain of Tennessee,Non-Aligned,0.6369
73,Let freedom ring from every hill and molehill of Mississippi,Non-Aligned,0.6369
74,"From every mountainside, let freedom ring",Non-Aligned,0.6369
75,"And when this happens, when we allow freedom ring, when we let it ring from every village and every hamlet, from every state and every city, we will be able to speed up that day when all of God’s children, black men and white men, Jews and Gentiles, Protestants and Catholics, will be able to join hands and sing in the words of the old Negro spiritual:Free at last! Free at last!Thank God Almighty, we are free at last!³",Non-Aligned,0.9601
