,Text,Classification
0,"""A little over six months ago, the British people voted for change",Democratic
1,They voted to shape a brighter future for our country,Democratic
2,They voted to leave the European Union and embrace the world,Democratic
3,"And they did so with their eyes open: accepting that the road ahead will be uncertain attimes, but believing that it leads towards a brighter future for their children - and theirgrandchildren too",Non-Aligned
4,And it is the job of this Government to deliver it,Republican
5, That means more than negotiating ournew relationship with the EU,Non-Aligned
6, It means taking the opportunity of this great moment ofnational change to step back and ask ourselves what kind of country we want to be,Democratic
7,My answer is clear,Republican
8," I want this United Kingdom to emerge from this period of changestronger, fairer, more united and more outward-looking than ever before",Democratic
9,"I want us to be a secure, prosperous, tolerant country - a magnet for international talentand a home to the pioneers and innovators who will shape the world ahead",Republican
10," I want us tobe a truly Global Britain - the best friend and neighbour to our European partners, but acountry that reaches beyond the borders of Europe too",Non-Aligned
11,A country that goes out into the world to build relationships with old friends and newallies alike,Non-Aligned
12,"I want Britain to be what we have the potential, talent and ambition to be",Non-Aligned
13," A great, globaltrading nation that is respected around the world and strong, confident and united athome",Republican
14,That is why this Government has a Plan for Britain,Democratic
15, One that gets us the right dealabroad but also ensures we get a better deal for ordinary working people at home,Democratic
16,It's why that plan sets out how we will use this moment of change to build a strongereconomy and a fairer society by embracing genuine economic and social reform,Democratic
17,"Why our new Modern Industrial Strategy is being developed, to ensure every nation andarea of the United Kingdom can make the most of the opportunities ahead",Republican
18, Why we willgo further to reform our schools to ensure every child has the knowledge and the skillsthey need to thrive in post-Brexit Britain,Republican
19," Why as we continue to bring the deficit down, we will take a balanced approach byinvesting in our economic infrastructure - because it can transform the growth potentialof our economy, and improve the quality of people's lives across the whole country",Democratic
20,It's why we will put the preservation of our precious Union at the heart of everything wedo,Non-Aligned
21, Because it is only by coming together as one great union of nations and people thatwe can make the most of the opportunities ahead,Republican
22,The result of the referendum was not a decision to turn inward and retreat from theworld,Non-Aligned
23,Because Britain's history and culture is profoundly internationalist,Non-Aligned
24,We are a European country - and proud of our shared European heritage - but we arealso a country that has always looked beyond Europe to the wider world,Democratic
25," That is why weare one of the most racially diverse countries in Europe, one of the most multiculturalmembers of the European Union, and why - whether we are talking about India,Pakistan, Bangladesh, America, Australia, Canada, New Zealand, countries in Africa orthose that are closer to home in Europe - so many of us have close friends and relativesfrom across the world",Democratic
26,"Instinctively, we want to travel to, study in, trade with countries not just in Europe butbeyond the borders of our continent",Republican
27," Even now as we prepare to leave the EU, we areplanning for the next biennial Commonwealth Heads of Government meeting in 2018 - areminder of our unique and proud global relationships",Democratic
28,And it is important to recognise this fact,Non-Aligned
