,Text,Classification,Sentiment
0,I spoke the other day of the colossal military disaster which occurred when the French High Command failed to withdraw the northern Armies from Belgium at the moment when they knew that the French front was decisively broken at Sedan and on the Meuse,Anti-UKIP,-0.765
1, This delay entailed the loss of fifteen or sixteen French divisions and threw out of action for the critical period the whole of the British Expeditionary Force,Anti-Conservative,-0.6908
2," Our Army and 120,000 French troops were indeed rescued by the British Navy from Dunkirk but only with the loss of their cannon, vehicles and modern equipment",Anti-UKIP,-0.3182
3," This loss inevitably took some weeks to repair, and in the first two of those weeks the battle in France has been lost",Anti-Conservative,-0.296
4," When we consider the heroic resistance made by the French Army against heavy odds in this battle, the enormous losses inflicted upon the enemy and the evident exhaustion of the enemy, it may well be the thought that these 25 divisions of the best-trained and best-equipped troops might have turned the scale",Anti-LibDem,-0.0258
5," However, General Weygand had to fight without them",Non-Aligned,-0.3818
6, Only three British divisions or their equivalent were able to stand in the line with their French comrades,Conservative,0.0
7," They have suffered severely, but they have fought well",Anti-LibDem,-0.5719
8, We sent every man we could to France as fast as we could re-equip and transport their formations,Non-Aligned,0.0
9,I am not reciting these facts for the purpose of recrimination,LibDem,0.0
10, That I judge to be utterly futile and even harmful,Anti-LibDem,-0.5423
11, We cannot afford it,Non-Aligned,0.0
12," I recite them in order to explain why it was we did not have, as we could have had, between twelve and fourteen British divisions fighting in the line in this great battle instead of only three",LibDem,0.3612
13, Now I put all this aside,Non-Aligned,0.0
14," I put it on the shelf, from which the historians, when they have time, will select their documents to tell their stories",Non-Aligned,0.0
15, We have to think of the future and not of the past,Non-Aligned,0.0
16, This also applies in a small way to our own affairs at home,Non-Aligned,0.0
17," There are many who would hold an inquest in the House of Commons on the conduct of the Governments-and of Parliaments, for they are in it, too-during the years which led up to this catastrophe",Labour,0.0
18, They seek to indict those who were responsible for the guidance of our affairs,Labour,0.0
19, This also would be a foolish and pernicious process,Anti-Labour,-0.2732
20, There are too many in it,Non-Aligned,0.0
21, Let each man search his conscience and search his speeches,UKIP,0.0
22, I frequently search mine,Non-Aligned,0.0
23,"Of this I am quite sure, that if we open a quarrel between the past and the present, we shall find that we have lost the future",LibDem,0.0
24," Therefore, I cannot accept the drawing of any distinctions between Members of the present Government",SNP,0.3818
25, It was formed at a moment of crisis in order to unite all the Parties and all sections of opinion,Labour,0.0
26, It has received the almost unanimous support of both Houses of Parliament,Labour,0.5888
27," Its Members are going to stand together, and, subject to the authority of the House of Commons, we are going to govern the country and fight the war",Anti-Labour,-0.7579
28," It is absolutely necessary at a time like this that every Minister who tries each day to do his duty shall be respected; and their subordinates must know that their chiefs are not threatened men, men who are here today and gone tomorrow, but that their directions must be punctually and faithfully obeyed",DUP,0.7003
29, Without this concentrated power we cannot face what lies before us,Green,0.0
30, I should not think it would be very advantageous for the House to prolong this Debate this afternoon under conditions of public stress,Anti-SNP,-0.4215
31, Many facts are not clear that will be clear in a short time,LibDem,0.6369
32," We are to have a secret Session on Thursday, and I should think that would be a better opportunity for the many earnest expressions of opinion which Members will desire to make and for the House to discuss vital matters without having everything read the next morning by our dangerous foes",Labour,0.296
33,The disastrous military events which have happened during the past fortnight have not come to me with any sense of surprise,SNP,0.0
34," Indeed, I indicated a fortnight ago as clearly as I could to the House that the worst possibilities were open; and I made it perfectly clear then that whatever happened in France would make no difference to the resolve of Britain and the British Empire to fight on, ‘if necessary for years, if necessary alone",Anti-LibDem,-0.6249
35,"” During the last few days we have successfully brought off the great majority of the troops we had on the line of communication in France; and seven-eighths of the troops we have sent to France since the beginning of the war-that is to say, about 350,000 out of 400,000 men-are safely back in this country",Conservative,0.8934
36," Others are still fighting with the French, and fighting with considerable success in their local encounters against the enemy",Anti-LibDem,-0.128
37," We have also brought back a great mass of stores, rifles and munitions of all kinds which had been accumulated in France during the last nine months",SNP,0.8176
38,"We have, therefore, in this Island today a very large and powerful military force",UKIP,0.0
39," This force comprises all our best-trained and our finest troops, including scores of thousands of those who have already measured their quality against the Germans and found themselves at no disadvantage",Conservative,0.0
40, We have under arms at the present time in this Island over a million and a quarter men,SNP,0.0
41," Behind these we have the Local Defense Volunteers, numbering half a million, only a portion of whom, however, are yet armed with rifles or other firearms",Conservative,0.0772
42, We have incorporated into our Defense Forces every man for whom we have a weapon,Non-Aligned,-0.296
43," We expect very large additions to our weapons in the near future, and in preparation for this we intend forthwith to call up, drill and train further large numbers",Anti-Green,-0.2263
44," Those who are not called up, or else are employed during the vast business of munitions production in all its branches-and their ramifications are innumerable-will serve their country best by remaining at their ordinary work until they receive their summons",Conservative,0.6369
45, We have also over here Dominions armies,Non-Aligned,0.0
46," The Canadians had actually landed in France, but have now been safely withdrawn, much disappointed, but in perfect order, with all their artillery and equipment",Conservative,0.5994
