,Text,Classification,Sentiment
0,Mr,UKIP,0.0
1, Speaker:On Friday evening last I received His Majesty’s commission to form a new Administration,Conservative,0.0
2," It was the evident wish and will of Parliament and the nation that this should be conceived on the broadest possible basis and that it should include all parties, both those who supported the late Government and also the parties of the Opposition",SNP,0.6597
3,I have completed the most important part of this task,Labour,0.0
4," A War Cabinet has been formed of five Members, representing, with the Liberal Opposition, the unity of the nation",Anti-LibDem,-0.3612
5," The three party Leaders have agreed to serve, either in the War Cabinet or in high executive office",Anti-LibDem,-0.5994
6, The three Fighting Services have been filled,Anti-LibDem,-0.3818
7," It was necessary that this should be done in one single day, on account of the extreme urgency and rigour of events",SNP,0.0
8," A number of other key positions were filled yesterday, and I am submitting a further list to His Majesty tonight",Conservative,0.0772
9, I hope to complete the appointment of the principal Ministers during tomorrow,DUP,0.4404
10," The appointment of the other Ministers usually takes a little longer, but I trust that, when Parliament meets again, this part of my task will be completed, and that the Administration will be complete in all respects",Conservative,0.7506
11,"Sir, I considered it in the public interest to suggest that the House should be summoned to meet today",LibDem,0.4588
12, Mr,UKIP,0.0
13," Speaker agreed and took the necessary steps, in accordance with the powers conferred upon him by the Resolution of the House",Green,0.0
14," At the end of the proceedings today, the Adjournment of the House will be proposed until Tuesday, the 21st May, with, of course, provision for earlier meeting, if need be",Conservative,0.0
15, The business to be considered during that week will be notified to Members at the earliest opportunity,SNP,0.0
16," I now invite the House, by the Resolution which stands in my name, to record its approval of the steps taken and to declare its confidence in the new Government",Conservative,0.0
17,"Sir, to form an Administration of this scale and complexity is a serious undertaking in itself, but it must be remembered that we are in the preliminary stage of one of the greatest battles in history, that we are in action at many points in Norway and in Holland, that we have to be prepared in the Mediterranean, that the air battle is continuous and that many preparations have to be made here at home",Green,0.6369
18, In this crisis I hope I may be pardoned if I do not address the House at any length today,SNP,0.6369
19," I hope that any of my friends and colleagues, or former colleagues, who are affected by the political reconstruction, will make all allowances for any lack of ceremony with which it has been necessary to act",Conservative,0.7964
20," I would say to the House, as I said to those who’ve joined this government: “I have nothing to offer but blood, toil, tears and sweat",Green,0.296
21,”We have before us an ordeal of the most grievous kind,Non-Aligned,0.5267
22," We have before us many, many long months of struggle and of suffering",Anti-Labour,-0.5423
23," You ask, what is our policy? I will say: It is to wage war, by sea, land and air, with all our might and with all the strength that God can give us; to wage war against a monstrous tyranny, never surpassed in the dark and lamentable catalogue of human crime",Non-Aligned,-0.6726
24, That is our policy,Non-Aligned,0.0
25," You ask, what is our aim? I can answer in one word: victory",LibDem,0.0
26," Victory at all costs, victory in spite of all terror, victory, however long and hard the road may be; for without victory, there is no survival",Anti-UKIP,-0.802
27," Let that be realised; no survival for the British Empire, no survival for all that the British Empire has stood for, no survival for the urge and impulse of the ages, that mankind will move forward towards its goal",SNP,0.34
28,But I take up my task with buoyancy and hope,Labour,0.4404
29, I feel sure that our cause will not be suffered to fail among men,Non-Aligned,-0.6908
30," At this time I feel entitled to claim the aid of all, and I say, “Come then, let us go forward together with our united strength",Conservative,0.4939
31,”,Non-Aligned,0.0
