,Text,Classification
0,cock,Non-Aligned
1,penis,Non-Aligned
2,nigger,Non-Aligned
3,hentai,Non-Aligned
4,jew,Non-Aligned
5,bdsm,Non-Aligned
6,shit,Non-Aligned
7,scat,Non-Aligned
8,cunt,Non-Aligned
9,fuck,Non-Aligned
10,fucker,Democratic
11,aardvark,Non-Aligned
12,aardwolf,Non-Aligned
13,aaron,Non-Aligned
14,aback,Non-Aligned
15,abacus,Non-Aligned
16,abaft,Non-Aligned
17,abalone,Non-Aligned
18,abandon,Non-Aligned
19,abandoned,Non-Aligned
20,abandonment,Non-Aligned
21,abandons,Non-Aligned
22,abase,Non-Aligned
23,abased,Non-Aligned
24,abasement,Non-Aligned
25,abash,Non-Aligned
26,abashed,Non-Aligned
27,abate,Non-Aligned
28,abated,Non-Aligned
29,abatement,Non-Aligned
30,abates,Non-Aligned
31,abattoir,Non-Aligned
32,abattoirs,Non-Aligned
33,abbe,Non-Aligned
34,abbess,Non-Aligned
35,abbey,Non-Aligned
36,abbeys,Non-Aligned
37,abbot,Non-Aligned
38,abbots,Non-Aligned
39,abbreviate,Non-Aligned
40,abbreviated,Non-Aligned
41,abbreviates,Non-Aligned
42,abbreviating,Non-Aligned
43,abbreviation,Non-Aligned
44,abbreviations,Non-Aligned
45,abdicate,Non-Aligned
46,abdicated,Non-Aligned
47,abdicates,Non-Aligned
48,abdicating,Non-Aligned
49,abdication,Non-Aligned
50,abdomen,Non-Aligned
51,abdomens,Non-Aligned
52,abdominal,Non-Aligned
53,abduct,Non-Aligned
54,abducted,Non-Aligned
55,abducting,Non-Aligned
56,abduction,Non-Aligned
57,abductions,Non-Aligned
58,abductor,Non-Aligned
59,abductors,Non-Aligned
60,abducts,Non-Aligned
61,abe,Non-Aligned
62,abeam,Non-Aligned
63,abel,Non-Aligned
64,abele,Non-Aligned
65,aberdeen,Non-Aligned
66,aberrant,Non-Aligned
67,aberration,Non-Aligned
68,aberrations,Non-Aligned
69,abet,Democratic
70,abets,Non-Aligned
71,abetted,Non-Aligned
72,abetting,Non-Aligned
73,abeyance,Non-Aligned
74,abhor,Non-Aligned
75,abhorred,Non-Aligned
76,abhorrence,Non-Aligned
77,abhorrent,Non-Aligned
78,abhors,Non-Aligned
79,abide,Non-Aligned
80,abided,Non-Aligned
81,abides,Non-Aligned
82,abiding,Non-Aligned
83,abidjan,Non-Aligned
84,abies,Non-Aligned
85,abilities,Non-Aligned
86,ability,Non-Aligned
87,abject,Non-Aligned
88,abjectly,Non-Aligned
89,abjure,Non-Aligned
90,abjured,Non-Aligned
91,ablate,Non-Aligned
92,ablates,Non-Aligned
93,ablating,Non-Aligned
94,ablation,Non-Aligned
95,ablative,Non-Aligned
96,ablaze,Non-Aligned
97,able,Non-Aligned
98,ablebodied,Non-Aligned
99,abler,Non-Aligned
100,ablest,Non-Aligned
101,abloom,Non-Aligned
102,ablution,Non-Aligned
103,ablutions,Non-Aligned
104,ably,Non-Aligned
105,abnegation,Non-Aligned
106,abnormal,Non-Aligned
107,abnormalities,Non-Aligned
108,abnormality,Non-Aligned
109,abnormally,Non-Aligned
110,aboard,Non-Aligned
111,abode,Non-Aligned
112,abodes,Non-Aligned
113,abolish,Republican
114,abolished,Non-Aligned
115,abolishes,Non-Aligned
116,abolishing,Non-Aligned
117,abolition,Non-Aligned
118,abolitionist,Non-Aligned
119,abolitionists,Non-Aligned
120,abomb,Non-Aligned
121,abominable,Non-Aligned
122,abominably,Non-Aligned
123,abominate,Non-Aligned
124,abominated,Non-Aligned
125,abomination,Non-Aligned
126,abominations,Non-Aligned
127,aboriginal,Non-Aligned
128,aborigines,Non-Aligned
129,abort,Republican
130,aborted,Non-Aligned
131,aborting,Non-Aligned
132,abortion,Non-Aligned
133,abortionist,Non-Aligned
134,abortionists,Non-Aligned
135,abortions,Non-Aligned
136,abortive,Non-Aligned
137,aborts,Non-Aligned
138,abound,Non-Aligned
139,abounded,Non-Aligned
140,abounding,Non-Aligned
141,abounds,Non-Aligned
142,about,Non-Aligned
143,above,Non-Aligned
144,abraded,Non-Aligned
145,abraham,Non-Aligned
146,abrasion,Non-Aligned
147,abrasions,Non-Aligned
148,abrasive,Non-Aligned
149,abrasively,Non-Aligned
150,abrasiveness,Non-Aligned
151,abrasives,Non-Aligned
152,abreast,Non-Aligned
153,abridge,Non-Aligned
154,abridged,Non-Aligned
155,abridgement,Non-Aligned
156,abridging,Non-Aligned
157,abroad,Democratic
158,abrogate,Non-Aligned
159,abrogated,Non-Aligned
160,abrogating,Non-Aligned
161,abrogation,Non-Aligned
162,abrogations,Non-Aligned
163,abrupt,Non-Aligned
164,abruptly,Non-Aligned
165,abruptness,Non-Aligned
166,abscess,Non-Aligned
167,abscesses,Non-Aligned
168,abscissa,Non-Aligned
169,abscissae,Non-Aligned
170,abscissas,Non-Aligned
171,abscond,Non-Aligned
172,absconded,Non-Aligned
173,absconder,Non-Aligned
174,absconding,Non-Aligned
175,absconds,Non-Aligned
176,abseil,Non-Aligned
177,abseiled,Non-Aligned
178,abseiler,Non-Aligned
179,abseiling,Non-Aligned
180,abseils,Non-Aligned
181,absence,Non-Aligned
182,absences,Non-Aligned
183,absent,Non-Aligned
184,absented,Non-Aligned
185,absentee,Non-Aligned
186,absenteeism,Non-Aligned
187,absentees,Non-Aligned
188,absenting,Non-Aligned
189,absently,Non-Aligned
190,absentminded,Non-Aligned
191,absentmindedly,Non-Aligned
192,absentmindedness,Non-Aligned
193,absolute,Non-Aligned
194,absolutely,Non-Aligned
195,absoluteness,Non-Aligned
196,absolutes,Non-Aligned
197,absolution,Non-Aligned
198,absolutism,Non-Aligned
199,absolutist,Non-Aligned
200,absolutists,Non-Aligned
201,absolve,Non-Aligned
202,absolved,Non-Aligned
203,absolves,Non-Aligned
204,absolving,Non-Aligned
205,absorb,Non-Aligned
206,absorbed,Non-Aligned
207,absorbency,Non-Aligned
208,absorbent,Non-Aligned
209,absorber,Non-Aligned
210,absorbers,Non-Aligned
211,absorbing,Non-Aligned
212,absorbingly,Non-Aligned
213,absorbs,Non-Aligned
214,absorption,Non-Aligned
215,absorptions,Non-Aligned
216,absorptive,Non-Aligned
217,absorptivity,Non-Aligned
218,abstain,Non-Aligned
219,abstained,Non-Aligned
220,abstainer,Non-Aligned
221,abstainers,Non-Aligned
222,abstaining,Non-Aligned
223,abstains,Non-Aligned
224,abstemious,Non-Aligned
225,abstemiously,Non-Aligned
226,abstemiousness,Non-Aligned
227,abstention,Non-Aligned
228,abstentions,Non-Aligned
229,abstinence,Non-Aligned
230,abstinent,Non-Aligned
231,abstract,Non-Aligned
232,abstracted,Non-Aligned
233,abstractedly,Non-Aligned
234,abstracting,Non-Aligned
235,abstraction,Non-Aligned
236,abstractions,Non-Aligned
237,abstractly,Non-Aligned
238,abstracts,Non-Aligned
239,abstruse,Non-Aligned
240,abstrusely,Non-Aligned
241,absurd,Non-Aligned
242,absurder,Non-Aligned
243,absurdest,Non-Aligned
244,absurdist,Non-Aligned
