,Text,Classification,Sentiment
0,Mr,UKIP,0.0
1," President, Mr",Non-Aligned,0.0
2," Speaker, and Distinguished Members of the Congress:I stand on this rostrum with a sense of deep humility and great pride — humility in the wake of those great American architects of our history who have stood here before me; pride in the reflection that this forum of legislative debate represents human liberty in the purest form yet devised",Labour,0.9186
3, Here are centered the hopes and aspirations and faith of the entire human race,Non-Aligned,0.6908
4," I do not stand here as advocate for any partisan cause, for the issues are fundamental and reach quite beyond the realm of partisan consideration",UKIP,0.0258
5, They must be resolved on the highest plane of national interest if our course is to prove sound and our future protected,Conservative,0.6808
6," I trust, therefore, that you will do me the justice of receiving that which I have to say as solely expressing the considered viewpoint of a fellow American",SNP,0.5106
7,"I address you with neither rancor nor bitterness in the fading twilight of life, with but one purpose in mind: to serve my country",Non-Aligned,0.3252
8," The issues are global and so interlocked that to consider the problems of one sector, oblivious to those of another, is but to court disaster for the whole",Anti-LibDem,-0.4019
9," While Asia is commonly referred to as the Gateway to Europe, it is no less true that Europe is the Gateway to Asia, and the broad influence of the one cannot fail to have its impact upon the other",Anti-Green,-0.2484
10," There are those who claim our strength is inadequate to protect on both fronts, that we cannot divide our effort",Labour,0.7003
11, I can think of no greater expression of defeatism,Anti-Labour,-0.128
12," If a potential enemy can divide his strength on two fronts, it is for us to counter his effort",LibDem,0.4939
13, The Communist threat is a global one,Non-Aligned,-0.5267
14, Its successful advance in one sector threatens the destruction of every other sector,Anti-LibDem,-0.3182
15, You can not appease or otherwise surrender to communism in Asia without simultaneously undermining our efforts to halt its advance in Europe,LibDem,0.0
16,"Beyond pointing out these general truisms, I shall confine my discussion to the general areas of Asia",Labour,0.0
17," Before one may objectively assess the situation now existing there, he must comprehend something of Asia’s past and the revolutionary changes which have marked her course up to the present",LibDem,0.0
18," Long exploited by the so-called colonial powers, with little opportunity to achieve any degree of social justice, individual dignity, or a higher standard of life such as guided our own noble administration in the Philippines, the peoples of Asia found their opportunity in the war just past to throw off the shackles of colonialism and now see the dawn of new opportunity, a heretofore unfelt dignity, and the self-respect of political freedom",Anti-Conservative,-0.0258
19,"Mustering half of the earth’s population, and 60 percent of its natural resources these peoples are rapidly consolidating a new force, both moral and material, with which to raise the living standard and erect adaptations of the design of modern progress to their own distinct cultural environments",Non-Aligned,0.4215
20," Whether one adheres to the concept of colonization or not, this is the direction of Asian progress and it may not be stopped",Non-Aligned,0.1531
21, It is a corollary to the shift of the world economic frontiers as the whole epicenter of world affairs rotates back toward the area whence it started,Conservative,0.0
22,"In this situation, it becomes vital that our own country orient its policies in consonance with this basic evolutionary condition rather than pursue a course blind to the reality that the colonial era is now past and the Asian peoples covet the right to shape their own free destiny",Conservative,0.4215
23," What they seek now is friendly guidance, understanding, and support — not imperious direction — the dignity of equality and not the shame of subjugation",Anti-SNP,-0.1027
24," Their pre-war standard of life, pitifully low, is infinitely lower now in the devastation left in war’s wake",Anti-Labour,-0.802
25, World ideologies play little part in Asian thinking and are little understood,LibDem,0.34
26," What the peoples strive for is the opportunity for a little more food in their stomachs, a little better clothing on their backs, a little firmer roof over their heads, and the realization of the normal nationalist urge for political freedom",Non-Aligned,0.7964
27," These political-social conditions have but an indirect bearing upon our own national security, but do form a backdrop to contemporary planning which must be thoughtfully considered if we are to avoid the pitfalls of unrealism",Anti-LibDem,-0.296
28,Of more direct and immediately bearing upon our national security are the changes wrought in the strategic potential of the Pacific Ocean in the course of the past war,Anti-Green,-0.5994
