,Text,Classification,Sentiment
0,"My District Leader, My Dear Danzigers:Not only you experience this moment with deepest emotion; nay, the entire German nation experiences it with you, and I, too, am aware of the greatness of the hour when I, for the first time, tread on the soil which German settlers occupied five centuries ago and which for five centuries was German, and which - thereof you may rest assured - will remain German",Green,0.7717
1,The fact that a province was torn from the German Reich and that other German territories were given to the Polish State was explained on the grounds of national necessity,Anti-UKIP,-0.25
2," Later, plebiscites everywhere showed that no one wished to become a part of the Polish State - that Polish State which arose out of the blood of countless German regiments",DUP,0.4019
3, It then expanded at the expense of old settlement areas and above all at the expense of intelligence and economic possibility,Green,0.3182
4,One thing has been clearly proved in the last twenty years; the Poles who had not founded that culture also were not able to maintain it,LibDem,0.34
5, It has been shown again that only he who is himself culturally creative can permanently maintain real cultural performance,Non-Aligned,0.34
6,"Thirty years would have been sufficient to reduce again to barbarism those territories which the Germans, painstakingly and with industry and thrift, had saved from barbarism",Conservative,0.4939
7, Everywhere traces of this retrogression and decay were visible,Non-Aligned,-0.4019
8,Poland itself was a 'nationalities State,Non-Aligned,0.0
9,' That very thing had been created here which had been held against the old Austrian State,Non-Aligned,0.0
10, At the same time Poland was never a democracy,UKIP,0.0
11, One very thin anemic upper class here ruled not only foreign nationalities but also its so-called own people,UKIP,0.0
12,It was a State built on force and governed by the truncheons of the police and the military,Labour,0.0
13, The fate of Germans in this State was horrible,Non-Aligned,0.0
14, There is a difference whether people of lower cultural value has the misfortune to be governed by a culturally significant people or whether a people of high cultural significance has forced upon it the tragic fate of being oppressed by an inferior,Anti-LibDem,-0.4767
15,In this inferior people all its inferiority complexes will be compensated upon a higher culture-bearing people,Non-Aligned,-0.6597
16, This people will be horribly and barbarically mistreated and Germans have been evidence of this fate for twenty years,Green,0.0
17,"It was, as already emphasized, tragic and painful",Non-Aligned,-0.743
18," Nevertheless, as everywhere else, I tried to find a solution here which might have led to a fair adjustment",Non-Aligned,0.3182
19, I have tried in the West and then later in the South to maintain final frontier delineations in order thus to deliver region upon region from uncertainty and assure peace and justice for the future,Conservative,0.0
20, I made the greatest efforts to attain the same thing here also,SNP,0.6369
21,"The world, which immediately sheds tears when Germany expels a Polish Jew who only a few decades ago came to Germany, remained dumb and deaf toward the misery of those who, numbering not thousands but millions, were forced to leave their home country on account of Versailles - that is, if these unfortunates were Germans",Anti-UKIP,-0.7096
22," What was for us and also for me most depressing was the fact that we had to suffer all this from a State which was far inferior to us; for, after all, Germany is a Great Power, even though madmen believed the vital rights of a great nation could be wiped out by a crazy treaty or by dictation",Green,0.25
23,Germany was a big power and had to look on while a far inferior people of a far inferior State maltreated these Germans,Anti-LibDem,-0.6597
24," There were two especially unbearable conditions: First, this city whose German character nobody could deny was not only prevented from returning to the Reich but in addition an attempt was made to Polonize it by all kinds of devices; second, the province [East Prussia] severed from the German Reich had no direct contact with the Reich, but traffic with this province was dependent upon all kinds of chicanery or upon the good will of this Polish State",Green,0.8689
25,No power on earth would have borne this condition as long as Germany,Green,0.0
26, I do not know what England would have said about a similar peace solution at its expense or how America or France would have accepted it,UKIP,0.3818
27, I attempted to find a solution - a tolerable solution - even for this problem,Anti-LibDem,-0.4019
28, I submitted this attempt to the Polish rulers in the form of verbal proposals,SNP,0.0
29, You know these proposals,Non-Aligned,0.0
30, They were more than moderate,LibDem,0.0
31,I do not know what mental condition the Polish Government was in when it refused these proposals,LibDem,0.0
32," I know, however, that millions of Germans sighed with relief, since they felt I had gone too far",LibDem,0.4939
33," As an answer, Poland gave the order for the first mobilization",Non-Aligned,0.0
34," Thereupon wild terror was initiated, and my request to the Polish Foreign Minister to visit me in Berlin once more to discuss these questions was re- fused",Anti-Conservative,-0.5267
35," Instead of going to Berlin, he went to London",Green,0.0
36," For the next weeks and months there were heightened threats, threats which were hardly bearable for a small State but which were impossible for a Great Power to bear for any length of time",Anti-Labour,-0.4019
37,"We could read in Polish publications that the issue at stake was not Danzig but the problem of East Prussia, which Poland was to incorporate in a short time",Anti-LibDem,-0.4019
38, That increased,Non-Aligned,0.0
39," Other Polish newspapers stated that East Prussia would not solve the problem, but that Pomerania must, under all circumstances, come to Poland",Anti-LibDem,-0.4019
40,Finally it became questionable in Poland whether the Oder would be enough as a boundary or whether Poland's natural boundary was not the Oder but the Elbe,Non-Aligned,0.0
41, It was debated whether our armies would be smashed before or behind Berlin,UKIP,0.0
42,"The Polish Marshal, who miserably deserted his armies, said that he would hack the German Army to pieces",Anti-UKIP,-0.4215
43, And martyrdom began for our German nationals,Conservative,0.0
44," Tens of thousands were dragged off, mistreated, and murdered in the vilest fashion",Anti-Green,-0.765
45," Sadistic beasts gave vent to their perverse instincts, and this pious democratic world watched without blinking an eye",Non-Aligned,0.0
