,Text,Classification,Sentiment
0,"I am proud to come to this city as the guest of your distinguished Mayor, who has symbolized throughout the world the fighting spirit of West Berlin",Conservative,0.5574
1," And I am proud to visit the Federal Republic with your distinguished Chancellor who for so many years has committed Germany to democracy and freedom and progress, and to come here in the company of my fellow American, General Clay, who has been in this city during its great moments of crisis and will come again if ever needed",Labour,0.9648
2,"Two thousand years ago the proudest boast was ""civis Romanus sum""",Labour,0.5574
3," Today, in the world of freedom, the proudest boast is ""Ich bin ein Berliner""",Conservative,0.8316
4,"I appreciate my interpreter translating my German!There are many people in the world who really don't understand, or say they don't, what is the great issue between the free world and the Communist world",Anti-Green,-0.7181
5, Let them come to Berlin,Non-Aligned,0.0
6, There are some who say that communism is the wave of the future,LibDem,0.0
7, Let them come to Berlin,Non-Aligned,0.0
8, And there are some who say in Europe and elsewhere we can work with the Communists,UKIP,0.0
9, Let them come to Berlin,Non-Aligned,0.0
10," And there are even a few who say that it is true that communism is an evil system, but it permits us to make economic progress",Green,0.0516
11, Lass' sie nach Berlin kommen,Non-Aligned,0.0
12, Let them come to Berlin,Non-Aligned,0.0
13,"Freedom has many difficulties and democracy is not perfect, but we have never had to put a wall up to keep our people in, to prevent them from leaving us",Green,0.886
14," I want to say, on behalf of my countrymen, who live many miles away on the other side of the Atlantic, who are far distant from you, that they take the greatest pride that they have been able to share with you, even from a distance, the story of the last 18 years",LibDem,0.8442
15," I know of no town, no city, that has been besieged for 18 years that still lives with the vitality and the force, and the hope and the determination of the city of West Berlin",Conservative,0.7579
16," While the wall is the most obvious and vivid demonstration of the failures of the Communist system, for all the world to see, we take no satisfaction in it, for it is, as your Mayor has said, an offense not only against history but an offense against humanity, separating families, dividing husbands and wives and brothers and sisters, and dividing a people who wish to be joined together",Labour,0.743
17,"What is true of this city is true of Germany - real, lasting peace in Europe can never be assured as long as one German out of four is denied the elementary right of free men, and that is to make a free choice",UKIP,0.9042
18," In 18 years of peace and good faith, this generation of Germans has earned the right to be free, including the right to unite their families and their nation in lasting peace, with good will to all people",Conservative,0.9231
19," You live in a defended island of freedom, but your life is part of the main",Non-Aligned,0.6369
20," So let me ask you as I close, to lift your eyes beyond the dangers of today, to the hopes of tomorrow, beyond the freedom merely of this city of Berlin, or your country of Germany, to the advance of freedom everywhere, beyond the wall to the day of peace with justice, beyond yourselves and ourselves to all mankind",Green,0.836
21,"Freedom is indivisible, and when one man is enslaved, all are not free",Non-Aligned,0.8176
22," When all are free, then we can look forward to that day when this city will be joined as one and this country and this great Continent of Europe in a peaceful and hopeful globe",Green,0.91
23," When that day finally comes, as it will, the people of West Berlin can take sober satisfaction in the fact that they were in the front lines for almost two decades",Conservative,0.0
24,"All free men, wherever they may live, are citizens of Berlin, and, therefore, as a free man, I take pride in the words ""Ich bin ein Berliner""",Green,0.8402
