,Text,Classification,Sentiment
0,Thank you,Labour,0.3612
1," Thank you, very much",Conservative,0.3612
2,"Chancellor Kohl, Governing Mayor Diepgen, ladies and gentlemen: Twenty four years ago, President John F",Labour,0.0
3," Kennedy visited Berlin, and speaking to the people of this city and the world at the city hall",Labour,0.0
4," Well since then two other presidents have come, each in his turn to Berlin",Conservative,0.2732
5," And today, I, myself, make my second visit to your city",Labour,0.0
6,"We come to Berlin, we American Presidents, because it’s our duty to speak in this place of freedom",Conservative,0.6369
7," But I must confess, we’re drawn here by other things as well; by the feeling of history in this city — more than 500 years older than our own nation; by the beauty of the Grunewald and the Tiergarten; most of all, by your courage and determination",Conservative,0.2732
8," Perhaps the composer, Paul Linke, understood something about American Presidents",Non-Aligned,0.0
9," You see, like so many Presidents before me, I come here today because wherever I go, whatever I do: “Ich hab noch einen Koffer in Berlin” [I still have a suitcase in Berlin",Non-Aligned,0.3612
10,]Our gathering today is being broadcast throughout Western Europe and North America,UKIP,0.0
11, I understand that it is being seen and heard as well in the East,Labour,0.2732
12," To those listening throughout Eastern Europe, I extend my warmest greetings and the good will of the American people",Conservative,0.8225
13," To those listening in East Berlin, a special word: Although I cannot be with you, I address my remarks to you just as surely as to those standing here before me",Conservative,0.6124
14," For I join you, as I join your fellow countrymen in the West, in this firm, this unalterable belief: Es gibt nur ein Berlin",Non-Aligned,0.5267
15, [There is only one Berlin,Non-Aligned,0.0
16,"]Behind me stands a wall that encircles the free sectors of this city, part of a vast system of barriers that divides the entire continent of Europe",LibDem,0.4215
17," From the Baltic South, those barriers cut across Germany in a gash of barbed wire, concrete, dog runs, and guard towers",Anti-Labour,-0.3818
18," Farther south, there may be no visible, no obvious wall",Green,0.0
19," But there remain armed guards and checkpoints all the same — still a restriction on the right to travel, still an instrument to impose upon ordinary men and women the will of a totalitarian state",Anti-UKIP,-0.6908
20,"Yet, it is here in Berlin where the wall emerges most clearly; here, cutting across your city, where the news photo and the television screen have imprinted this brutal division of a continent upon the mind of the world",Anti-Green,-0.7351
21,"Standing before the Brandenburg Gate, every man is a German separated from his fellow men",UKIP,0.0
22,"Every man is a Berliner, forced to look upon a scar",Green,0.0
23,"President Von WeizsÃ¤cker has said, “The German question is open as long as the Brandenburg Gate is closed",Conservative,0.34
24,"” Well today — today I say: As long as this gate is closed, as long as this scar of a wall is permitted to stand, it is not the German question alone that remains open, but the question of freedom for all mankind",UKIP,0.743
25,"Yet, I do not come here to lament",Non-Aligned,-0.4588
26," For I find in Berlin a message of hope, even in the shadow of this wall, a message of triumph",Labour,0.7184
27,"In this season of spring in 1945, the people of Berlin emerged from their air-raid shelters to find devastation",Green,0.0
28," Thousands of miles away, the people of the United States reached out to help",Labour,0.4215
29, And in 1947 Secretary of State — as you’ve been told — George Marshall announced the creation of what would become known as the Marshall Plan,Labour,0.2732
30," Speaking precisely 40 years ago this month, he said: “Our policy is directed not against any country or doctrine, but against hunger, poverty, desperation, and chaos",Anti-Labour,-0.25
31,"”In the Reichstag a few moments ago, I saw a display commemorating this 40th anniversary of the Marshall Plan",Labour,0.0
32," I was struck by a sign — the sign on a burnt-out, gutted structure that was being rebuilt",Anti-Green,-0.25
33, I understand that Berliners of my own generation can remember seeing signs like it dotted throughout the western sectors of the city,LibDem,0.3612
34, The sign read simply: “The Marshall Plan is helping here to strengthen the free world,Conservative,0.8074
35,"” A strong, free world in the West — that dream became real",Conservative,0.8225
36, Japan rose from ruin to become an economic giant,Non-Aligned,-0.5859
37," Italy, France, Belgium — virtually every nation in Western Europe saw political and economic rebirth; the European Community was founded",Green,0.0
38,"In West Germany and here in Berlin, there took place an economic miracle, the Wirtschaftswunder",Conservative,0.0
39," Adenauer, Erhard, Reuter, and other leaders understood the practical importance of liberty — that just as truth can flourish only when the journalist is given freedom of speech, so prosperity can come about only when the farmer and businessman enjoy economic freedom",Conservative,0.9313
40," The German leaders — the German leaders reduced tariffs, expanded free trade, lowered taxes",Conservative,0.5267
41," From 1950 to 1960 alone, the standard of living in West Germany and Berlin doubled",Green,0.0
42,"Where four decades ago there was rubble, today in West Berlin there is the greatest industrial output of any city in Germany: busy office blocks, fine homes and apartments, proud avenues, and the spreading lawns of parkland",Conservative,0.7351
43," Where a city’s culture seemed to have been destroyed, today there are two great universities, orchestras and an opera, countless theaters, and museums",Non-Aligned,0.1531
44," Where there was want, today there’s abundance — food, clothing, automobiles — the wonderful goods of the Kudamm",Non-Aligned,0.4939
45,"¹ From devastation, from utter ruin, you Berliners have, in freedom, rebuilt a city that once again ranks as one of the greatest on earth",UKIP,0.6808
46, Now the Soviets may have had other plans,Non-Aligned,0.0
47," But my friends, there were a few things the Soviets didn’t count on: Berliner Herz, Berliner Humor, ja, und Berliner Schnauze",Non-Aligned,0.6486
48," [Berliner heart, Berliner humor, yes, and a Berliner Schnauze",Green,0.2732
49,²]In the 1950s — In the 1950s Khrushchev predicted: “We will bury you,Green,0.0
50,"”But in the West today, we see a free world that has achieved a level of prosperity and well-being unprecedented in all human history",Conservative,0.6908
51," In the Communist world, we see failure, technological backwardness, declining standards of health, even want of the most basic kind — too little food",Non-Aligned,0.5719
52," Even today, the Soviet Union still cannot feed itself",Labour,0.0
53," After these four decades, then, there stands before the entire world one great and inescapable conclusion: Freedom leads to prosperity",Conservative,0.8519
54, Freedom replaces the ancient hatreds among the nations with comity and peace,Non-Aligned,0.6369
55, Freedom is the victor,Non-Aligned,0.6369
56,"And now — now the Soviets themselves may, in a limited way, be coming to understand the importance of freedom",Non-Aligned,0.6369
57, We hear much from Moscow about a new policy of reform and openness,Conservative,0.0
58, Some political prisoners have been released,Anti-Conservative,-0.5106
59, Certain foreign news broadcasts are no longer being jammed,Labour,0.2732
60, Some economic enterprises have been permitted to operate with greater freedom from state control,Labour,0.7717
61,"Are these the beginnings of profound changes in the Soviet state? Or are they token gestures intended to raise false hopes in the West, or to strengthen the Soviet system without changing it? We welcome change and openness; for we believe that freedom and security go together, that the advance of human liberty — the advance of human liberty can only strengthen the cause of world peace",Conservative,0.8934
62,"There is one sign the Soviets can make that would be unmistakable, that would advance dramatically the cause of freedom and peace",UKIP,0.6369
63,"General Secretary Gorbachev, if you seek peace, if you seek prosperity for the Soviet Union and Eastern Europe, if you seek liberalization: Come here to this gate",LibDem,0.0
64,Mr,UKIP,0.0
65," Gorbachev, open this gate",Non-Aligned,0.0
66,Mr,UKIP,0.0
67, Gorbachev — Mr,UKIP,0.0
68," Gorbachev, tear down this wall!I understand the fear of war and the pain of division that afflict this continent, and I pledge to you my country’s efforts to help overcome these burdens",Anti-Conservative,-0.891
69," To be sure, we in the West must resist Soviet expansion",LibDem,0.3182
70," So, we must maintain defenses of unassailable strength",Non-Aligned,0.4939
71, Yet we seek peace; so we must strive to reduce arms on both sides,LibDem,0.0
72,"Beginning 10 years ago, the Soviets challenged the Western alliance with a grave new threat, hundreds of new and more deadly SS-20 nuclear missiles capable of striking every capital in Europe",Anti-Conservative,-0.7579
73," The Western alliance responded by committing itself to a counter-deployment (unless the Soviets agreed to negotiate a better solution) — namely, the elimination of such weapons on both sides",LibDem,0.4404
74," For many months, the Soviets refused to bargain in earnestness",Labour,0.6249
75," As the alliance, in turn, prepared to go forward with its counter-deployment, there were difficult days, days of protests like those during my 1982 visit to this city; and the Soviets later walked away from the table",Anti-LibDem,-0.25
76,"But through it all, the alliance held firm",Non-Aligned,0.0
77," And I invite those who protested then — I invite those who protest today — to mark this fact: Because we remained strong, the Soviets came back to the table",UKIP,0.0772
78," Because we remained strong, today we have within reach the possibility, not merely of limiting the growth of arms, but of eliminating, for the first time, an entire class of nuclear weapons from the face of the earth",Green,0.5859
79,"As I speak, NATO ministers are meeting in Iceland to review the progress of our proposals for eliminating these weapons",Conservative,0.1531
80," At the talks in Geneva, we have also proposed deep cuts in strategic offensive weapons",Anti-Labour,-0.5106
81, And the Western allies have likewise made far-reaching proposals to reduce the danger of conventional war and to place a total ban on chemical weapons,Anti-Conservative,-0.9201
82,"While we pursue these arms reductions, I pledge to you that we will maintain the capacity to deter Soviet aggression at any level at which it might occur",Anti-UKIP,-0.3182
83," And in cooperation with many of our allies, the United States is pursuing the Strategic Defense Initiative — research to base deterrence not on the threat of offensive retaliation, but on defenses that truly defend; on systems, in short, that will not target populations, but shield them",Anti-Labour,-0.5267
84, By these means we seek to increase the safety of Europe and all the world,SNP,0.0
85, But we must remember a crucial fact: East and West do not mistrust each other because we are armed; we are armed because we mistrust each other,LibDem,0.0
86, And our differences are not about weapons but about liberty,Non-Aligned,-0.296
