,Text,Classification,Sentiment
0,We’re here to mark that day in history when the Allied armies joined in battle to reclaim this continent to liberty,Conservative,0.296
1," For four long years, much of Europe had been under a terrible shadow",Labour,0.0
2," Free nations had fallen, Jews cried out in the camps, millions cried out for liberation",LibDem,0.2023
3, Europe was enslaved and the world prayed for its rescue,LibDem,0.3182
4," Here, in Normandy, the rescue began",Non-Aligned,0.0
5," Here, the Allies stood and fought against tyranny, in a giant undertaking unparalleled in human history",Anti-Conservative,-0.3182
6,"We stand on a lonely, windswept point on the northern shore of France",Anti-DUP,-0.2732
7," The air is soft, but forty years ago at this moment, the air was dense with smoke and the cries of men, and the air was filled with the crack of rifle fire and the roar of cannon",Anti-Green,-0.34
8," At dawn, on the morning of the 6th of June, 1944, two hundred and twenty-five Rangers jumped off the British landing craft and ran to the bottom of these cliffs",Conservative,0.0
9,Their mission was one of the most difficult and daring of the invasion: to climb these sheer and desolate cliffs and take out the enemy guns,Anti-LibDem,-0.5994
10," The Allies had been told that some of the mightiest of these guns were here, and they would be trained on the beaches to stop the Allied advance",Anti-Conservative,-0.5574
11,"The Rangers looked up and saw the enemy soldiers at the edge of the cliffs, shooting down at them with machine guns and throwing grenades",Anti-Green,-0.5859
12, And the American Rangers began to climb,Non-Aligned,0.0
13, They shot rope ladders over the face of these cliffs and began to pull themselves up,Conservative,0.0
14," When one Ranger fell, another would take his place",Non-Aligned,0.0
15," When one rope was cut, a Ranger would grab another and begin his climb again",Non-Aligned,-0.2732
16," They climbed, shot back, and held their footing",Non-Aligned,0.0
17," Soon, one by one, the Rangers pulled themselves over the top, and in seizing the firm land at the top of these cliffs, they began to seize back the continent of Europe",Conservative,0.3818
18, Two hundred and twenty-five came here,Non-Aligned,0.0
19," After two days of fighting, only ninety could still bear arms",Anti-LibDem,-0.3818
20,And behind me is a memorial that symbolizes the Ranger daggers that were thrust into the top of these cliffs,Labour,0.2023
21, And before me are the men who put them there,Non-Aligned,0.0
22, These are the boys of Pointe du Hoc,Non-Aligned,0.0
23, These are the men who took the cliffs,Labour,0.0
24, These are the champions who helped free a continent,Conservative,0.872
25, And these are the heroes who helped end a war,Labour,0.34
26," Gentlemen, I look at you and I think of the words of Stephen Spender’s poem",Labour,0.0
27, You are men who in your “lives fought for life and left the vivid air signed with your honor,Non-Aligned,0.2263
28,”I think I know what you may be thinking right now — thinking “we were just part of a bigger effort; everyone was brave that day,LibDem,0.5267
29,” Well everyone was,Labour,0.2732
30," Do you remember the story of Bill Millin of the 51st Highlanders? Forty years ago today, British troops were pinned down near a bridge, waiting desperately for help",SNP,0.4019
31," Suddenly, they heard the sound of bagpipes, and some thought they were dreaming",Non-Aligned,0.25
32," Well, they weren’t",Non-Aligned,0.2732
33," They looked up and saw Bill Millin with his bagpipes, leading the reinforcements and ignoring the smack of the bullets into the ground around him",Green,0.0
34,"Lord Lovat was with him — Lord Lovat of Scotland, who calmly announced when he got to the bridge, “Sorry, I’m a few minutes late,” as if he’d been delayed by a traffic jam, when in truth he’d just come from the bloody fighting on Sword Beach, which he and his men had just taken",Anti-SNP,-0.3818
35,"There was the impossible valor of the Poles, who threw themselves between the enemy and the rest of Europe as the invasion took hold; and the unsurpassed courage of the Canadians who had already seen the horrors of war on this coast",Anti-UKIP,-0.8225
