,Text,Classification,Sentiment
0,Strange and impressive associations rise in the mind of a man from the New World who speaks before this august body in this ancient institution of learning,Non-Aligned,0.4404
1," Before his eyes pass the shadows of mighty kings and war-like nobles, of great masters of law and theology; through the shining dust of the dead centuries he sees crowded figures that tell of the power and learning and splendor of times gone by; and he sees also the innumerable host of humble students to whom clerkship meant emancipation, to whom it was well-nigh the only outlet from the dark thraldom of the Middle Ages",Non-Aligned,0.5859
2,This was the most famous university of mediaeval Europe at a time when no one dreamed that there was a New World to discover,Non-Aligned,0.25
3," Its services to the cause of human knowledge already stretched far back into the remote past at a time when my forefathers, three centuries ago, were among the sparse bands of traders, ploughmen, wood-choppers, and fisherfolk who, in hard struggle with the iron unfriendliness of the Indian-haunted land, were laying the foundations of what has now become the giant republic of the West",Non-Aligned,0.25
4," To conquer a continent, to tame the shaggy roughness of wild nature, means grim warfare; and the generations engaged in it cannot keep, still less add to, the stores of garnered wisdom which where once theirs, and which are still in the hands of their brethren who dwell in the old land",Green,0.5267
5, To conquer the wilderness means to wrest victory from the same hostile forces with which mankind struggled on the immemorial infancy of our race,UKIP,0.0
6, The primaeval conditions must be met by the primaeval qualities which are incompatible with the retention of much that has been painfully acquired by humanity as through the ages it has striven upward toward civilization,LibDem,0.128
7, In conditions so primitive there can be but a primitive culture,SNP,0.0
8," At first only the rudest school can be established, for no others would meet the needs of the hard-driven, sinewy folk who thrust forward the frontier in the teeth of savage men and savage nature; and many years elapse before any of these schools can develop into seats of higher learning and broader culture",Non-Aligned,-0.5423
9,"The pioneer days pass; the stump-dotted clearings expand into vast stretches of fertile farm land; the stockaded clusters of log cabins change into towns; the hunters of game, the fellers of trees, the rude frontier traders and tillers of the soil, the men who wander all their lives long through the wilderness as the heralds and harbingers of an oncoming civilization, themselves vanish before the civilization for which they have prepared the way",Green,0.2263
10," The children of their successors and supplanters, and then their children and their children and children’s children, change and develop with extraordinary rapidity",Labour,0.2263
11," The conditions accentuate vices and virtues, energy and ruthlessness, all the good qualities and all the defects of an intense individualism, self-reliant, self-centered, far more conscious of its rights than of its duties, and blind to its own shortcomings",Non-Aligned,-0.296
12, To the hard materialism of the frontier days succeeds the hard materialism of an industrialism even more intense and absorbing than that of the older nations; although these themselves have likewise already entered on the age of a complex and predominantly industrial civilization,Anti-Conservative,-0.2023
13,"As the country grows, its people, who have won success in so many lines, turn back to try to recover the possessions of the mind and the spirit, which perforce their fathers threw aside in order better to wage the first rough battles for the continent their children inherit",UKIP,0.8074
14," The leaders of thought and of action grope their way forward to a new life, realizing, sometimes dimly, sometimes clear-sightedly, that the life of material gain, whether for a nation or an individual, is of value only as a foundation, only as there is added to it the uplift that comes from devotion to loftier ideals",Non-Aligned,0.7783
15," The new life thus sought can in part be developed afresh from what is roundabout in the New World; but it can developed in full only by freely drawing upon the treasure-houses of the Old World, upon the treasures stored in the ancient abodes of wisdom and learning, such as this is where I speak to-day",Non-Aligned,0.5267
16," It is a mistake for any nation to merely copy another; but it is even a greater mistake, it is a proof of weakness in any nation, not to be anxious to learn from one another and willing and able to adapt that learning to the new national conditions and make it fruitful and productive therein",Non-Aligned,-0.1027
17," It is for us of the New World to sit at the feet of Gamaliel of the Old; then, if we have the right stuff in us, we can show that Paul in his turn can become a teacher as well as a scholar",Green,0.2732
18,"To-day I shall speak to you on the subject of individual citizenship, the one subject of vital importance to you, my hearers, and to me and my countrymen, because you and we a great citizens of great democratic republics",LibDem,0.886
19," A democratic republic such as ours – an effort to realize its full sense government by, of, and for the people – represents the most gigantic of all possible social experiments, the one fraught with great responsibilities alike for good and evil",Non-Aligned,0.3818
20," The success or republics like yours and like ours means the glory, and our failure of despair, of mankind; and for you and for us the question of the quality of the individual citizen is supreme",Non-Aligned,0.7506
21," Under other forms of government, under the rule of one man or very few men, the quality of the leaders is all-important",Labour,0.0
22," If, under such governments, the quality of the rulers is high enough, then the nations for generations lead a brilliant career, and add substantially to the sum of world achievement, no matter how low the quality of average citizen; because the average citizen is an almost negligible quantity in working out the final results of that type of national greatness",Labour,0.7845
23,But with you and us the case is different,Non-Aligned,0.0
24," With you here, and with us in my own home, in the long run, success or failure will be conditioned upon the way in which the average man, the average women, does his or her duty, first in the ordinary, every-day affairs of life, and next in those great occasional cries which call for heroic virtues",Labour,0.9081
25, The average citizen must be a good citizen if our republics are to succeed,Labour,0.7269
