,Text,Classification
0,"Chief Justice Roberts, President Carter, President Clinton, President Bush, President Obama, fellow Americans, and people of the world, thank you",Democratic
1, We the citizens of America are now joined in a great national effort to rebuild our country and restore its promise for all of our people,Republican
2," Together we will determine the course of America, and the world, for many, many years to come",Democratic
3, We will face challenges,Non-Aligned
4," We will confront hardships, but we will get the job done",Non-Aligned
5,"Every four years, we gather on these steps to carry out the orderly and peaceful transfer of power, and we are grateful to President Obama and First Lady Michelle Obama for their gracious aid throughout this transition",Democratic
6, They have been magnificent,Non-Aligned
7, Thank you,Non-Aligned
8,"Today's ceremony, however, has very special meaning, because today we are not merely transferring power from one administration to another, or from one party to another, but we are transferring power from Washington, D",Democratic
9,C,Non-Aligned
10,", and giving it back to you, the people",Non-Aligned
11,"For too long, a small group in our nation's capital has reaped the rewards of government, while the people have borne the cost",Non-Aligned
12," Washington flourished, but the people did not share in its wealth",Democratic
13," Politicians prospered, but the jobs left and the factories closed",Non-Aligned
14," The establishment protected itself, but not the citizens of our country",Democratic
15, Their victories have not been your victories,Non-Aligned
16," Their triumphs have not been your triumphs, and while they celebrated in our nation's capital, there was little to celebrate for struggling families all across our land",Democratic
17," That all changes, starting right here and right now, because this moment is your moment --- it belongs to you",Democratic
18," It belongs to everyone gathered here today, and everyone watching, all across America",Democratic
19, This is your day,Non-Aligned
20," This is your celebration, and this, the United States of America, is your country",Democratic
21,"What truly matters is not which party controls our government, but whether our government is controlled by the people",Republican
22," January 20th, 2017 will be remembered as the day the people became the rulers of this nation again",Non-Aligned
23," The forgotten men and women of our country, will be forgotten no longer",Democratic
24, Everyone is listening to you now,Non-Aligned
25," You came by the tens of millions to become part of a historic movement, the likes of which the world has never seen before",Non-Aligned
26," At the center of this movement is a crucial conviction, that a nation exists to serve its citizens",Democratic
27," Americans want great schools for their children, safe neighborhoods for their families, and good jobs for themselves",Republican
28," These are just and reasonable demands of righteous people and a righteous public, but for too many of our citizens a different reality exists",Democratic
29," Mothers and children trapped in poverty in our inner cities, rusted out factories, scattered like tombstones across the across the landscape of our nation, an education system flush with cash, but which leaves our young and beautiful students deprived of all knowledge, and the crime, and the gangs, and the drugs that have stolen too many lives and robbed our country of so much unrealized potential",Non-Aligned
30, This American carnage stops right here and stops right now,Democratic
31,We are one nation and their pain is our pain,Democratic
32, Their dreams are our dreams and their success will be our success,Non-Aligned
33," We share one heart, one home, and one glorious destiny",Democratic
34," The oath of office, I take today, is an oath of allegiance to all Americans",Democratic
