id,created_at,text,retweet_count,favorite_count,media_count,url_count
1102613967229341696,2019-03-04 16:57:10,"@niknamH @DWP Niknam, If the resident hasn't already contacted me can you ask him to email details of case to me at HoC",0,1,0,0
1102582058755522561,2019-03-04 14:50:22,"RT @Geoffrey_Cox: The DT reporting of the last 24 hours consists of misunderstood fag ends dressed up as facts. Some of it is accurate, muc…",383,0,0,0
1102172417353572355,2019-03-03 11:42:36,"Big thank you to @PlymUni for welcoming me on Friday &amp; introducing me to their innovative work on microplastics, re… https://t.co/Ekoui7qVeM",11,19,0,1
1101827770999549960,2019-03-02 12:53:06,"RT @AlisonHernandez: Discussed the impact of county lines drug issues, drug policy and offered a thanks to the PM @theresa_may for all her…",6,0,0,0
1101827163395969025,2019-03-02 12:50:41,RT @cabinetofficeuk: Minister for the Cabinet Office @DLidington comments on how settling Eurotunnel’s legal claim helps ensure our no deal…,9,0,0,0
1101747971849416705,2019-03-02 07:36:00,In Torbay I discussed regional crime &amp; policing issues with Police &amp; Crime Commissioner for Devon &amp; Cornwall… https://t.co/jl9vVlZvmV,2,11,0,1
1101746697678528513,2019-03-02 07:30:56,"Finished Devon visit yesterday at @TorbayTories dinner. Glad to support Torbay""s champion at Westminster &amp; my hardw… https://t.co/RFGX6ZDdcj",4,16,0,1
1101551235574964226,2019-03-01 18:34:15,RT @PlymUni: He also spoke with @PlymUniMI Director @ProfRThompson (far right) out government funded #microplastics research and how the Un…,5,0,0,0
1101551217510174721,2019-03-01 18:34:10,RT @PlymUni: .@DLidington talking to student Jessie-May Turner and Prof Deborah Greaves OBE in the @COAST_UoP https://t.co/YIxclsUFlZ,5,0,1,0
1101551193992638464,2019-03-01 18:34:05,"RT @PlymUni: He also spoke to Prof Deborah Greaves OBE about the Coast Laboratory and offshore renewables, and the University’s lead role i…",4,0,0,0
1101551170441625605,2019-03-01 18:33:59,RT @PlymUni: https://t.co/OQnl7jmSf1,1,0,1,0
1101551120281935873,2019-03-01 18:33:47,RT @PlymUni: He met students training in the Marine Navigation Centre and spoke to Prof Kevin Jones about plans for a new lab dedicated to…,6,0,0,0
1101551082558373889,2019-03-01 18:33:38,RT @PlymUni: .@cabinetofficeuk Minister @DLidington is touring the University’s world-leading marine and maritime facilities and seeing how…,13,0,0,0
1101550960386691073,2019-03-01 18:33:09,"RT @PlymUni: Minister for the ⁦@cabinetofficeuk⁩, ⁦@DLidington⁩ briefed on University of Plymouth world-leading #marine and #maritime resea…",3,0,0,0
1101550873950470150,2019-03-01 18:32:48,"@plymuni leading the way in research on cutting edge marine science: microplastics, renewable energy,  marine cyber… https://t.co/UkWjqvlAae",2,3,0,1
1101550274945171456,2019-03-01 18:30:26,To Falmouth to visit world-class boatbuilders @pendennisyachts. Great to hear from apprentices how much they enjoy… https://t.co/thzLUSTNlw,0,5,0,1
1101527553746132997,2019-03-01 17:00:08,Enjoyed visit to @goonhillyorg today &amp; v encouraged to see Cornwall  seizing business opportunities of space scienc… https://t.co/gv4WqkpFgw,7,22,0,1
1101227844527632392,2019-02-28 21:09:12,Glad to see @MichealMartinTD &amp; @lichamber again in Dublin  today. https://t.co/qgVyBPGuUL,1,11,1,0
1101226956807376896,2019-02-28 21:05:40,Good to visit @LeinsterHouse today to discuss Brexit and UK/Ireland issues with my colleague @simoncoveney. As alwa… https://t.co/xtTMQRqALt,19,93,0,1
1099315323633831936,2019-02-23 14:29:32,"Simon,  thank you for saying this. Those individual stories are awful &amp; shaming but both polling results &amp; experien… https://t.co/YGim3Qqt6o",37,121,0,1
1098884887115902976,2019-02-22 09:59:08,Impressive &amp; moving to see a tragic and cruelly premature bereavement become inspiration for helping &amp; giving oppor… https://t.co/PQotM7dcC1,1,6,0,1
1098883821200650240,2019-02-22 09:54:53,RT @NicFund: Keep your ears open on Mix 96 tomorrow where you’ll hear Albert and Cam talk with Charlotte about the Nic Willoughby Fund! htt…,3,0,0,0
1093841704564740097,2019-02-08 11:59:19,Great to see opportunies in UK Civil Service highlighted in @tracey_crouch constituency apprenticeship fair https://t.co/YCKfzcJixW,7,28,1,0
1092460611122937856,2019-02-04 16:31:21,@BethRigby @faisalislam @adamboultonSKY Congratulations Beth.,2,5,0,0
1091812264989081601,2019-02-02 21:35:03,@PeterFlaps @TWimpeySupport @PaulMyersBBC Please email david.lidington.mp@parliament.uk with summary of details &amp; I… https://t.co/h5kfE0P3eH,0,2,0,1
1088796755712331778,2019-01-25 13:52:30,"Thank you for inviting me. I really hope that @SirHenryFloyd students, whichever party or cause they support, will… https://t.co/mXGq7NxnpG",0,20,0,1
1088771425153007616,2019-01-25 12:11:50,Pleased to welcome @BillGates to @cabinetofficeuk for good discussion on international development policy &amp; how to… https://t.co/DmO3W8Rmmi,10,34,0,1
1086623157652467712,2019-01-19 13:55:23,Thread 👇 https://t.co/BXuLxdD1Jq,6,11,0,1
1084955771358666752,2019-01-14 23:29:48,"RT @AlanDuncanMP: Appalled &amp; saddened by the tragic death of Pawel Adamowicz, Polish Mayor of Gdańsk, after being attacked whilst supportin…",89,0,0,0
1084198036534935552,2019-01-12 21:18:49,"I accept &amp; respect that we disagree on how to respond to the 2016 ref. But WA is about citizens' rts, a financial s… https://t.co/lLpDsvD6Ar",10,26,0,1
1084131354256785409,2019-01-12 16:53:51,No Michael. What needs to be legally ratified by 29 March is WA. HMG clear (see White Paper) what we want from futu… https://t.co/Zli87iZ5Vf,12,10,0,1
1084127139560083456,2019-01-12 16:37:06,"@RoryStewartUK spot-on here. Whether you want Norway, Canada, Chequers or even a managed, orderly &amp; cooperative tra… https://t.co/DNKEe3dEES",5,2,0,1
1084120227431018496,2019-01-12 16:09:38,It is always worth listening to @NSoames in @HouseofCommons and this speech is superb… https://t.co/BiI3jpERY3,8,15,0,1
1084114413681029120,2019-01-12 15:46:32,"Warmly support the determined, persistent work on prison &amp; penal reform by @DavidGauke &amp; @RoryStewartUK . Deserves… https://t.co/bXRcgBOMeW",30,99,0,1
1081115841238917120,2019-01-04 09:11:17,RT @JonnyGeller: JRR Tolkien’s birthday today deserves a showing of his brilliant letter to his German publisher. Pretty resonant today. ht…,854,0,0,0
1080911836206092288,2019-01-03 19:40:38,RT @michaelgove: This - like so much from the excellent @jameskirkup - is a must read https://t.co/OYFXRz8Q5V,45,0,0,1
1080578474270752768,2019-01-02 21:35:59,@ClarkHistoryPol Thanks Stephen. Don’t know what went wrong with audio first time but this is the right track! https://t.co/iaJJ3Bh7x9,0,2,0,1
1080563947718303744,2019-01-02 20:38:15,Singing out W Australia's  year in parliament in style! Great performance (&amp; good tuning on high notes) from… https://t.co/9NJUheZTRM,0,3,0,1
1079472414428405764,2018-12-30 20:20:53,RT @anniemakeup: I lost my dead grandmothers priceless (to me) ring at @HeathrowAirport Terminal 3 between 7pm-9.30pm tonight. I’m more hea…,3157,0,0,0
1078607322316967937,2018-12-28 11:03:19,Great to see another #Aylesbury business growing and creating more jobs in the town. https://t.co/W8sbHXPMCM,1,4,0,1
1077246323219447809,2018-12-24 16:55:12,"RT @youthconcern: Thanks to Baloonmania, @JakemanSports, Safy B's hair, and Grumpy mcsnuffles on Duck Farm Court near Morrisons in #Aylesbu…",3,0,0,0
1076931865791975424,2018-12-23 20:05:39,"Carol service @StMarysChurchPR : many thanks to parish  choir- and I do enjoy singing ""While shepherds watched"" to… https://t.co/wPqBDrGZJL",0,11,0,1
1076847749583257600,2018-12-23 14:31:25,"When too many in Europe wearied of the task,  Paddy Ashdown championed the rule of law, democracy &amp; human rights in… https://t.co/2B2e5dbyor",23,85,0,1
1076829173757415426,2018-12-23 13:17:36,RT @BritishArmy: Band of the Grenadier Guards play a festive compilation of their #Christmas favourites at the ceremony of Changing of the…,384,0,0,0
1074255057217118214,2018-12-16 10:48:58,"I think this was pretty plain.  ( From Hansard, 11 December) https://t.co/TvUo0LzYJr",100,189,1,0
1074246909571805185,2018-12-16 10:16:36,I set out my view on 2nd referendum &amp; other proffered alternatives to PM’s deal in ⁦@HouseofCommons⁩ only last week… https://t.co/dk1hiSunV7,26,43,0,1
1074058119280582656,2018-12-15 21:46:25,"RT @Lindengate: There is still time to nominate @Lindengate and help us win £1,000 https://t.co/rG5NXRqC3R - Please share! Thank you so muc…",6,0,0,1
1074033690991345664,2018-12-15 20:09:21,@davemdarcy @DWP Please can you email details of her case to me david.lidington.mp@parliament.uk and I'll take up w… https://t.co/5FUgaRm3t5,1,0,0,1
1073856048371507200,2018-12-15 08:23:27,RT @DanielHewittITV: NEW: Theresa May went straight from Brussels to her constituency to open a new children's hospice. She said the work t…,313,0,0,0
1073738015414124545,2018-12-15 00:34:26,"RT @WilliamMurrayPR: Thrilled to have Aylesbury MP, @DLidington along to open the new Chiltern Foods production site and meet the team toda…",3,0,0,0
1073336571238199297,2018-12-13 21:59:14,RT @JamesCleverly: The replies to this tweet makes me proud to be British. https://t.co/HBOV7LfqZf,363,0,0,1
1072984205548773379,2018-12-12 22:39:04,@bellebumbles @buckscc @arrivatheshires If you email me full details I’ll take up with @arrivatheshires,0,2,0,0
1072983884747419650,2018-12-12 22:37:47,"@geociamba @AlanDuncanMP @ukinromania Thank you George. Now this vote has been decisively settled, we need to press… https://t.co/PHVK7o5zGt",0,8,0,1
1072982971970408449,2018-12-12 22:34:10,@NJ_Davies @Exauditor77 @cabinetofficeuk @JohnTizard Thank you.,0,1,0,0
1072982938940268550,2018-12-12 22:34:02,@Exauditor77 @cabinetofficeuk @JohnTizard Thank you. There’s more work to do but we’ve made a good start working wi… https://t.co/RzUS9Uq06f,1,9,0,1
1072944317763854336,2018-12-12 20:00:34,RT @HeywoodFndation: This account has changed to @HeywoodFndation. The Foundation will promote and support the causes Jeremy Heywood champi…,61,0,0,0
1072771574514761728,2018-12-12 08:34:09,@theresa_may has my full support. On the difficult &amp; complex EU negotiations she has always put the national interest first.,23,100,0,0
1072619586359578625,2018-12-11 22:30:12,Good wishes to @fmwales Carwyn Jones. A doughty political opponent but also a man motivated by public service &amp; a c… https://t.co/jRlkFQcftO,8,43,0,1
1071046516238880768,2018-12-07 14:19:23,RT @CharlieFlanagan: May Jean McConville Rest In Peace and may the perpetrators of her disappearance &amp; vile murder be brought to Justice. h…,11,0,0,0
1070789905981296641,2018-12-06 21:19:42,Thanks for the invitation  Adam. https://t.co/xcJacJ1v6O,0,5,0,1
1070789701831921664,2018-12-06 21:18:53,"RT @cabinetofficeuk: The @britishchambers represent tens of thousands of businesses, employing millions of people across the UK. 

Today @D…",9,0,0,0
1068983315775057921,2018-12-01 21:40:57,RT @CitySamuel: My @telegraph column: MPs should hold their nose and vote for May’s deal https://t.co/ranM2gEWLr,97,0,0,1
1068843924381405184,2018-12-01 12:27:04,@michaelgove &amp; I were on opposite sides in the referendum but agree that the deal on the table is a good compromise… https://t.co/1K5ZlS4rYF,2,5,0,1
1068840001532805120,2018-12-01 12:11:29,"Aston Clinton Christmas Fair at Anthony Hall till 3pm today: cakes, home-made jams &amp; chutnies, books &amp; lots more https://t.co/rilm8bJ84Y",4,16,1,0
1068269092061237249,2018-11-29 22:22:53,Informative thread that helps show why EU27 see backstop as disagreeable necessity which they too would  prefer nev… https://t.co/JKkdfbAHjV,4,12,0,1
1068241959389679616,2018-11-29 20:35:04,New facilities for Aquaculture Centre in Stirling part of UK Gov funding £45m for the Stirling &amp; Clackmannanshire C… https://t.co/HBTFbXvEo7,6,21,0,1
1068223178957295616,2018-11-29 19:20:27,"RT @StirUni: The Minister also met with students and staff, answering questions about the UK Government’s #Brexit deal. 😀",1,0,0,0
1068223154781396992,2018-11-29 19:20:21,RT @StirUni: Today we welcomed @cabinetofficeuk @DLidington to @IoAStirling to hear how the  #StirlingClacksCityDeal will support #innovati…,11,0,0,0
1068222348694904832,2018-11-29 19:17:09,Clear message from Scottish agriculture: get the deal done https://t.co/QIMlbfbXJN,1,1,0,1
1068221953083887616,2018-11-29 19:15:34,RT @cabinetofficeuk: Minister for the Cabinet Office @DLidington met with @forthports today in Grangemouth to discuss how the Brexit deal b…,4,0,0,0
1068221748263510016,2018-11-29 19:14:46,Govt determined to ensure our big suppliers pay their SME sub-contractors on time https://t.co/fOi96w1Asl,0,3,0,1
1068221441135517702,2018-11-29 19:13:32,"RT @cabinetofficeuk: The Brexit deal explained. 

#BackTheBrexitDeal https://t.co/9gehtcrrNc",11,0,1,0
1068219924630421510,2018-11-29 19:07:31,RT @JamesCleverly: While everyone has been obsessing about Brexit (as important as it is) @Conservatives in government have been getting on…,43,0,0,0
1068158005626224641,2018-11-29 15:01:28,RT @cabinetofficeuk: Minister for the Cabinet Office @DLidington is in Stirling today visiting @StirUni and @IoAStirling to discuss the ben…,3,0,0,0
