id,created_at,text,retweet_count,favorite_count,media_count,url_count
1103565951306391552,2019-03-07 08:00:00,Managed to sit down on tube. Toothpaste everywhere.,0,10,0,0
1103203562866139137,2019-03-06 08:00:00,Have given up using spellchecker for lint.,4,28,0,0
1102841173708804098,2019-03-05 08:00:00,"My mate just spent £250 on a limo and just found out it he has to hire a driver separately.

He spent all that mone… https://t.co/wu6ZDvGI9H",8,38,0,1
1102479610569261056,2019-03-04 08:03:16,"RT @sgtsamdobbs: It’ll be a privilege &amp; pleasure, if sad, to join friends from across Daventry Town &amp; Parish at Holy Cross at 10am, for Can…",1,0,0,0
1102478787483181056,2019-03-04 08:00:00,Alas my Mate's invention never really took off: the cold-air balloon.,0,1,0,0
1102190392605360128,2019-03-03 12:54:01,RT @GuidoFawkes: George Eustice: No Deal Farming Fears are Wrong #Ridge https://t.co/J5XWy6pnES https://t.co/rhkfE9YSzR,16,0,1,1
1102189537181208578,2019-03-03 12:50:38,"RT @sgtsamdobbs: Warm farewell to Canon Michael Webber &amp; family after 10yrs of service at Holy Cross. Between @chhcalling @jonahzac, @Daven…",6,0,0,0
1102116397860057088,2019-03-03 08:00:00,"Just lost a debate with the numbers 1,3,5,7 and 9.
Yes, the odds were against me.",4,18,0,0
1101843057345994752,2019-03-02 13:53:50,"Getting set to ref Wilby Ath Reserves v Kettering All Stars. Nice ground, lovely Football Foundation supported club… https://t.co/pviov2bzT1",1,3,0,1
1101783153004425216,2019-03-02 09:55:48,"RT @northantswx: Mostly dry through daylight hours. A fair of amount of cloud around, but some sunny spells possible, more especially this…",1,0,0,0
1101754010602598401,2019-03-02 08:00:00,I received a lovely compliment from a traffic warden yesterday. They left me a nice little note on bright yellow pa… https://t.co/UMz13nMenV,2,22,0,1
1101620138409951233,2019-03-01 23:08:02,"RT @Conservatives: Labour: We'll respect the referendum result

Also Labour: We will now campaign to stay in the EU

Watch til the end 🤔 ht…",772,0,0,0
1101481234901946368,2019-03-01 13:56:05,"RT @DxGusher: Storm Freya set to hit Northamptonshire with gusts of up to 65mph as Met Office issues weather warnings 
https://t.co/tXm9qQl…",1,0,0,0
1101391622636417025,2019-03-01 08:00:00,My Mate's new pet dog moves unpredictably from side to side. It's a Lurcher.,2,7,0,0
1101181435522805760,2019-02-28 18:04:47,"RT @DxGusher: Daventry District retailers to get discount on business rates for two years 
https://t.co/ieg0SeXyCv",1,0,0,1
1101146959384141824,2019-02-28 15:47:48,"This week I signed the citizens’ rights agreement with Switzerland, I would like to thank all parties on both sides… https://t.co/L8BGhnNBed",12,28,0,1
1101146956347424769,2019-02-28 15:47:47,Taking your pet on holiday to the EU in 2019? If the UK leaves without a deal then the rules will change - check th… https://t.co/QhfbbndDqN,21,22,0,1
1101146954556456965,2019-02-28 15:47:46,"If you're a UK citizen living in Iceland, Norway, Switzerland or Liechtenstein your life will carry on much as it d… https://t.co/lQNJ8PxWUM",18,21,0,1
1101146953029689349,2019-02-28 15:47:46,"If you import or export #animals, #fish and fisheries products, take a look at our guidance for preparing for… https://t.co/7Y3xIreDzp",20,20,0,1
1101146951486242816,2019-02-28 15:47:46,#DidYouKnow that food and drink labelling will change when we leave the EU? If you want to sell products in the UK… https://t.co/hoKLGzzrzj,27,22,0,1
1101146950022385664,2019-02-28 15:47:45,Work is continuing across Government to ensure people and businesses are prepared for a no deal scenario. Here’s a… https://t.co/bj5xetMs2o,59,72,0,1
1101110723705536514,2019-02-28 13:23:48,RT @KUKA_UK: Come and see us at the Robot day on 9th March 10-4 for a #free #familyfun day at @CovTM. So if you fancy getting hands-on and…,4,0,0,0
1101029237081997319,2019-02-28 08:00:00,"What type of crisps do pilots like.
Plain.",0,14,0,0
1101022490703396864,2019-02-28 07:33:12,"RT @whiltonmill: Bookings are already coming in for both the arrive and drive on the 4th March and the open sprint on the 1st April! 

Give…",1,0,0,0
1101021993657348096,2019-02-28 07:31:13,RT @Jefferson_MFG: Aston Martin expects to create over 700 jobs at its new factory in St Athan where the DBX will be built alongside the re…,376,0,0,0
1101021755777445888,2019-02-28 07:30:17,RT @DaventryDC: A second public consultation has been launched to seek people’s views on making changes to town and parish councils in Dave…,2,0,0,0
1101021558137671682,2019-02-28 07:29:30,"RT @Jefferson_MFG: Busy 72 hours...
▪️INEOS to build new £150m factory in Hull
▪️Dr. Martens to invest £2m at its Wollaston site 
▪️Perciva…",408,0,0,0
1100666847702249475,2019-02-27 08:00:00,"Bono and The Edge walk into a bar.
Bartender says: ""Oh no, not U2 again.""",0,9,0,0
1100415650076348417,2019-02-26 15:21:50,RT @CER_EU: Thank you to Chris Heaton-Harris @chhcalling for speaking at our breakfast meeting this morning on 'Is Britain prepared for Bre…,3,0,0,0
1100304458527891456,2019-02-26 08:00:00,"My mate received a rejection letter from the University of Origami yesterday.

He's not sure what to make of it.",1,10,0,0
1100164979498602496,2019-02-25 22:45:45,"RT @JohnMannMP: The last Party leader to do exactly the opposite to his manifesto promise was Nick Clegg. Remind me, where is he now?",1736,0,0,0
1100071227471904769,2019-02-25 16:33:13,RT @Daventry_TC: Motorcycle Festival returns to Daventry Town  https://t.co/75EzFtu7te,3,0,0,1
1100061519528763397,2019-02-25 15:54:39,RT @DExEUgov: Minister @chhcalling travelled to Switzerland to sign the citizens’ rights agreement that provides citizens in both countries…,51,0,0,0
1100031660152762368,2019-02-25 13:56:00,You can read more about the agreement here - https://t.co/YUavUcjZeQ,3,7,0,1
1100031657665589248,2019-02-25 13:55:59,I was delighted to attend the official signing ceremony of the UK-Swiss citizens’ rights agreement. The agreement p… https://t.co/3m1BLASXtw,37,120,0,1
1099981275388104705,2019-02-25 10:35:47,I recently met with the @britishlegion to discuss support for the Armed Forces community both locally and nationall… https://t.co/Nj4QRQs5Sh,1,2,0,1
1099942072570658816,2019-02-25 08:00:00,Crocodiles can supposed grow up to 15 feet; although I've only even seen ones with four.,2,9,0,0
1099579683845238784,2019-02-24 08:00:00,"I always wanted to be a Gregorian monk, but I never got the chants.

Another great from @Mr_DrinksOnMe",0,5,0,0
1099534564551204864,2019-02-24 05:00:43,RT @ianvisits: If you're wanting to watch the 1938 art-deco tube train on a rare outing in central London tomorrow -- the times are attache…,29,0,0,0
1099534002455801857,2019-02-24 04:58:29,RT @JLR_News: Last week we announced that Jaguar Land Rover will be expanding its Ingenium Engine family with a new six-cylinder petrol eng…,272,0,0,0
1099217295153483777,2019-02-23 08:00:00,"Maybe the coins you find under your couch are spiders trying to pay rent?

Brilliant from @Mr_DrinksOnMe",1,4,0,0
1099014397077479424,2019-02-22 18:33:45,RT @Love_Daventry: Are you looking for something to do this Saturday? Head to Everdon Stubbs Woods and try orienteering with @OctavianDroob…,1,0,0,0
1099014108798685186,2019-02-22 18:32:36,RT @DaventryDC: Daventry Country Park is set to undergo major improvements this year after councillors agreed funding. https://t.co/EGFseFz…,3,0,0,0
1099012635243302918,2019-02-22 18:26:45,"RT @BXCPBVW: Forthcoming #events in March include a new guided walk 'Snow &amp; Soup' (snow if we're lucky; soup guaranteed), the ever popular…",2,0,0,0
1099012490128736257,2019-02-22 18:26:10,"RT @Jefferson_MFG: This week’s highlights:
CDE Global: 150 new jobs
Croda: £7m Goole facility
Chemoxy: £10m Teesside factory 
Norbord: £35m…",333,0,0,0
1098854910144270337,2019-02-22 08:00:00,"What do you call a vicar who becomes a lawyer.
Father-in-law.",0,7,0,0
1098492519384535042,2019-02-21 08:00:00,"What do you call a chickpea that walks off a cliff?

Falafell.

Hat-tip: @Dadsaysjokes",0,5,0,0
1098130131565113344,2019-02-20 08:00:00,"A guy goes into a lawyer’s office and asks the lawyer: “Excuse me, how much do you charge?”

The lawyer responds: “… https://t.co/CvRpjmvWzz",1,9,0,1
1097893244883611648,2019-02-19 16:18:42,New figures from the @ONS show that the number of people in work is at a record high and wages are growing at their… https://t.co/kZ5neiWSrX,4,9,0,1
1097767743644782593,2019-02-19 08:00:00,Going through my old school reports at the weekend and there were two common themes: I didn't pay full attention a… https://t.co/VDJqlwmnxl,0,10,0,1
1097405355766628352,2019-02-18 08:00:00,"Once my dog ate all the Scrabble tiles. 

For days he kept leaving little messages around the house.

Hat-tip: @Dadsaysjokes",2,5,0,0
1097042970036056064,2019-02-17 08:00:00,"I just realised I haven't done the Hokey Cokey for a long time.
I think I've forgotten what it's all about.

What d… https://t.co/ojbnWC3mJG",2,7,0,1
1096772530269052928,2019-02-16 14:05:22,JK Blisworth getting ready for me to referee them against West Haddon in the Northants Combination. 2.30pm KO. Why… https://t.co/Y0qKVgxyaM,1,8,0,1
