id,created_at,text,retweet_count,favorite_count,media_count,url_count
1101484734071349248,2019-03-01 14:09:59,The Government has been right to help the NHS with No Deal Brexit planning. It’s very regrettable that Eurotunnel s… https://t.co/oE2FqPV4vY,535,1606,0,1
1100846175828226048,2019-02-27 19:52:35,Great to hear from Humberside and South Yorkshire Cadets this evening. The Howden detachment's film on the impact o… https://t.co/GzBMuXhOJw,16,125,0,1
1100698672554217472,2019-02-27 10:06:28,Fears of No Deal are certainly exaggerated. We must hold our nerve and deliver the Brexit the British people clearl… https://t.co/U7KlkTuV2E,1704,4676,0,1
1100091868505878528,2019-02-25 17:55:14,"Shamima Begum's newborn child is a British citizen who has done nothing wrong, yet he has found himself born into a… https://t.co/Zgsfp1DnaB",156,537,0,1
1099292892676456450,2019-02-23 13:00:24,"Good news that the Government is to review Persimmon’s behaviour under Help to Buy. The whole policy needs review,… https://t.co/fGBs0XoxPx",140,427,0,1
1098258552483909634,2019-02-20 16:30:18,It's time that we required all drones capable of flying above 50 meters to have a transponder. https://t.co/tpSqJGhyef,144,679,0,1
1096042187949817857,2019-02-14 13:43:15,"Today I asked my successor as Brexit Secretary @SteveBarclay to confirm that, if the EU are not willing to agree a… https://t.co/tdJnWe9yuq",2096,5269,0,1
1096026535688065024,2019-02-14 12:41:03,"I, along with several colleagues, have written to @sajidjavid demanding reform of the rules on the unjustified inde… https://t.co/Xklg7xIDoB",40,123,0,1
1096015671257894912,2019-02-14 11:57:53,"For the cost of HS2, we could replace the entire rolling stock on the country's railway network twice over - and ha… https://t.co/eCLIvL4mZL",1458,3726,0,1
1095639684766724096,2019-02-13 11:03:51,We are going to have to use a whole host of strategies - from whole genome sequencing to big data - to manage #AMR… https://t.co/ntP9awZi2w,16,71,0,1
1095639682422132736,2019-02-13 11:03:50,Very good meeting on Anti-Microbial Resistance and the strategies we can use to deal with what is potentially the b… https://t.co/OHEgSw3esx,21,104,0,1
1095353725043073024,2019-02-12 16:07:33,The U.K. has an exemplary record for workers' rights - we've had the best standard of safety in the workplace since… https://t.co/ukGarIvECf,510,1541,0,1
1094969366339354624,2019-02-11 14:40:15,A clean Brexit presents us with huge opportunities - the civil service's Project After rightly recognises this. We… https://t.co/yoDYST9dRo,2180,5108,0,1
1093893940435144705,2019-02-08 15:26:53,RT @EMAGnews: “Affordability is always a decision of priority” said @DavidDavisMP when he called for the Government to #settlethedebt for t…,16,0,0,0
1093239044983656448,2019-02-06 20:04:34,RT @itvpeston: 📺PESTON LIVE. Watch @Peston and @GuardianAnushka live with no ad breaks and exclusive extra content. We’ll be hearing from @…,38,0,0,0
1093216245992878081,2019-02-06 18:33:58,It was great to speak with representatives of the Antimicrobial Resistance Fighter Coalition. Antimicrobial resista… https://t.co/sQhfwBMNMR,36,135,0,1
1093176432774316033,2019-02-06 15:55:46,"The full text of the FTA, along with a summary, can be found here: https://t.co/vvbC7c4Igm",71,148,0,1
1093176428764499968,2019-02-06 15:55:45,"Earlier today I, @GregHands, @ShankerASingham and others, launched a draft text for a full Free-Trade Agreement bet… https://t.co/MCMCPfPy4K",232,547,0,1
1093097794045382656,2019-02-06 10:43:17,Now is the time for Parliament and Government to hold their nerve. I am confident a deal can be reached that can de… https://t.co/N2BRNF2Yv8,437,1447,0,1
1092848391464370176,2019-02-05 18:12:15,"Pleased to see the 2019/20 Police Grant pass today, with the single biggest boost to police funding since 2010. Hum… https://t.co/P9dZAK80NQ",233,913,0,1
1091374059055661056,2019-02-01 16:33:47,Absolute pleasure to speak with @GaryGibbonBlog and @CarolineFlintMP about the recent Brexit developments. Watch th… https://t.co/Z78dq1Ur0U,55,167,0,1
1090980219882737664,2019-01-31 14:28:48,It is time the Government fully compensates the victims of the Equitable Life scandal. I called for this earlier to… https://t.co/4KoRz30xAb,108,331,0,1
1090669829118484480,2019-01-30 17:55:25,Lovely to catch up with fellow ex-Europe Minister @CarolineFlintMP. Had a great chat about the week's Brexit develo… https://t.co/5fSCkoj3Tu,54,278,0,1
1090627895469445121,2019-01-30 15:08:47,It is important that we now act to find a solution that is politically acceptable to the Irish Government. The EU i… https://t.co/w4cpYbrGIE,154,848,0,1
1090627894353821697,2019-01-30 15:08:47,"The key point in last night's vote is the dramatic turnaround, from a defeat by 230 votes to a win by 16. This show… https://t.co/9vHmAXMaf3",427,1812,0,1
1090528245081145344,2019-01-30 08:32:49,Historic night last night as @TulipSiddiq becomes the first MP to cast a proxy vote. An important and long overdue… https://t.co/uV9DMKaNCe,75,512,0,1
1089897857954578432,2019-01-28 14:47:53,My 1999 Bill would have given MPs treaty ratification oversight. The Government put this into law in 2010. When the… https://t.co/0oR5JcajKG,170,540,0,1
1089891485716234241,2019-01-28 14:22:34,Parliamentary conventions exist for a reason. Running roughshod over them for short-term and partisan gain may open… https://t.co/KdAPDuhdMw,761,1935,0,1
1088860158330109952,2019-01-25 18:04:26,"A Norway-style deal would not return control of our laws, borders or money. It doesn’t respect the result of the re… https://t.co/ayxwrg7p8m",1875,4026,0,1
1088430652054274053,2019-01-24 13:37:44,#AntibioticResistance is one of the most important issues facing the World in the coming decades. @MattHancock shou… https://t.co/gXCZ93jrOe,93,281,0,1
1087703225703321601,2019-01-22 13:27:12,Fantastic news that the Government has confirmed a pilot scheme for proxy voting in the Commons. Well done… https://t.co/5VjAHeIlan,30,159,0,1
1087670457237753856,2019-01-22 11:16:59,I see @joswinson has been granted an Urgent Question on proxy voting. I very much hope that both the Government and… https://t.co/5vRsTXb7IF,80,336,0,1
1085234867061907461,2019-01-15 17:58:49,A WTO deal is not the preferred outcome. But we need not fear the never-ending scare stories. We have the upsides o… https://t.co/qdQ10d1SEl,1171,2764,0,1
1085232713324548096,2019-01-15 17:50:16,"The PM wrongly claims it is her deal, no deal or no Brexit. But the EU have been offering us a Canada+++ deal from… https://t.co/OvtbB3aNKk",1695,3870,0,1
1085185678780973056,2019-01-15 14:43:22,Great to share a platform with @DUPleader Arlene Foster and others arguing for “A Better Deal”. The PM’s deal is no… https://t.co/NfgywQXmHM,361,990,0,1
1085169445918724096,2019-01-15 13:38:52,This is entirely consistent with what we have heard from inside Germany for some time. German industry is very afra… https://t.co/wtNQ45OO7O,1095,2046,0,1
1084442288275800064,2019-01-13 13:29:24,"We needn’t talk of second referendums, Norway deals, delays or revoking Article 50. The EU always makes agreements… https://t.co/fnNWJ1GzqO",2443,6429,0,1
1083678500412895234,2019-01-11 10:54:22,“This agreement keeps Britain in chains.” A damning indictment from an anonymous civil servant. The PM’s Brexit dea… https://t.co/9AYI1kP1df,1575,2876,0,1
1083398277612167168,2019-01-10 16:20:52,Few people can match the expertise and patriotism of Richard Dearlove and Charles Guthrie. People should pay seriou… https://t.co/UIwZfJacQw,1723,2848,0,1
1082979077525520384,2019-01-09 12:35:07,"Very interesting comments from the President Chairman of the ports of Boulogne-Calais, Jean-Marc Puissesseau. This… https://t.co/mrVgPSoRSt",1509,3041,0,1
1082597671234400256,2019-01-08 11:19:33,"Brilliant piece by @GregHands, well worth a read. https://t.co/wHNHhrwFuw",340,752,0,1
1082257552455417856,2019-01-07 12:48:02,"My views on the subject in The Telegraph last month -
https://t.co/BQxXQ3N7Ji",15,47,0,1
1082257550979092480,2019-01-07 12:48:02,This is a very insightful report by @UKOnward on the important issue of student fees. While I do not agree with eve… https://t.co/zCTvdingzA,15,47,0,1
1080740292259663872,2019-01-03 08:18:59,The Government is right to have stepped up preparations for a no deal Brexit. The more we prepare to leave the EU w… https://t.co/As8vnGdm8J,991,3296,0,1
1076571117584896002,2018-12-22 20:12:10,Very sad to hear of Paddy's demise. We had many different views but he was a very good man.,213,1776,0,0
1075693473104306177,2018-12-20 10:04:44,The student loans system is broken. Graduates are not getting value for money and vast amounts of debt will never b… https://t.co/Nth6P6LaMP,438,1410,0,1
