id,created_at,text,retweet_count,favorite_count,media_count,url_count
978924567270916096,2018-03-28 09:19:39,At @CommonsEFRA obtaining evidence on labour constraints in the agri-foods industry. Beneficial discussions so far… https://t.co/0X9Kn0LCKh,2,6,0,1
976877845988478977,2018-03-22 17:46:42,RT @NI_Union: Northern Ireland latest unemployment figures better than the EU Average &amp; Republic of Ireland. #NIinUnion https://t.co/4eGx3p…,185,0,0,0
976877519885492224,2018-03-22 17:45:24,RT @duponline: .@DavidSimpsonDUP gains assurance from the SoS that the EU health card system will continue once UK leaves the EU.,5,0,0,0
976877400628842497,2018-03-22 17:44:56,"RT @DUPleader: Speaking to business from Armagh, Banbridge and Craigavon areas today at a breakfast hosted by @DavidSimpsonDUP We want to s…",18,0,0,0
976242921434476544,2018-03-20 23:43:44,"RT @little_pengelly: Today the DUP group, along with our Party Leader @DUPleader, welcomed &amp; met with the @WAVETrauma group representing se…",22,0,0,0
976242808943202310,2018-03-20 23:43:18,"RT @SouthernHSCT: Shane Devlin has been appointed as our new permanent Chief Executive effective from today, Monday 19 March. Read: https:/…",20,0,0,0
974560872881446912,2018-03-16 08:19:53,"RT @PaulGirvanMP: Absolute nonsense as usual from SF. While DUP deliver £410m extra for NI, keep childcare voucher scheme open, progress AP…",18,0,0,0
974560674033623040,2018-03-16 08:19:05,"RT @eastantrimmp: Whilst Sinn Fein continue to block the restoration of the NI Executive, the @duponline are committed to delivering for al…",51,0,0,0
971460266167762944,2018-03-07 18:59:10,RT @duponline: DUP Opposition Day Motion in the House of Commons has just commenced. You can watch here. https://t.co/2tMyck3YAG https://t.…,35,0,0,1
968905317022134272,2018-02-28 17:46:43,RT @Portadownfc: We are delighted to announce the appointment of Matthew Tipton as the new manager of Portadown Football Club on a deal to…,67,0,0,0
968885668565970946,2018-02-28 16:28:39,RT @DUPleader: EU draft text is constitutionally unacceptable &amp; would be economically catastrophic for Northern Ireland. I welcome the Prim…,681,0,0,0
968832399143526400,2018-02-28 12:56:58,RT @duponline: .@DavidSimpsonDUP at #PMQs asking PM to confirm she won't agree to any trade border between NI &amp; rest of the UK. PM responds…,40,0,0,0
968832370827841536,2018-02-28 12:56:51,"RT @daily_politics: ""No UK prime minister could ever agree to it"" @theresa_may tells @DavidSimpsonDUP when he asks for confirmation that ""s…",58,0,0,0
959032493050662912,2018-02-01 11:55:38,Great to introduce Arlene Foster to Upper Bann’s future business leaders. @DUPleader https://t.co/SY4xwDTgv1,5,27,0,1
