id,created_at,text,retweet_count,favorite_count,media_count,url_count
1097824002498850816,2019-02-19 11:43:33,https://t.co/h1Qb0IBCBS,1,1,0,1
1007556341513277440,2018-06-15 09:32:05,Work for a school in Strangford? Apply for the International School Award and get support  and accreditation for yo… https://t.co/DPSf3Z6hXt,2,4,0,1
967042588036534276,2018-02-23 14:24:54,https://t.co/z37SVbRVlw https://t.co/cY8ZBTgfND,0,4,0,2
961960277624414208,2018-02-09 13:49:37,"Had a constituent ring me there regarding the ""Crawley show"" today in which the legacy of Gerry Adams was... https://t.co/DSTPfpN2Lo",1,6,0,1
919922859572695040,2017-10-16 13:47:55,Please have a look at Lomana Photography. Brilliant work! https://t.co/Jd9lOnuOwA,2,4,0,1
867287027682770944,2017-05-24 07:51:55,My thoughts and prayers this morning with the victims and families of the Manchester Atrocity. We mourn with you... https://t.co/dakZZnrfBN,1,9,0,1
866583235886800896,2017-05-22 09:15:18,Last morning for filling in the electoral registration forms - we will hand deliver this afternoon! If you need... https://t.co/KN4FOdfvBP,0,1,0,1
865130425223598080,2017-05-18 09:02:21,"Just a reminder that if you need a postal vote, the forms need to be in belfast by 4pm today, come into the... https://t.co/aJ47iwlHqk",1,3,0,1
757872541516136448,2016-07-26 09:37:49,Great meeting with @AwareNI this morning. Doing great work for mental health in the community across NI. https://t.co/BgvtMPlsXz,5,19,1,0
756152668054102016,2016-07-21 15:43:39,RT @MDUK_News: Thanks @JimShannonMP backing #FocusOnPhysio campaign for people with #musculardystrophy https://t.co/MBTiHGss7S,4,0,1,0
755771481410461696,2016-07-20 14:28:57,RT @CommonsBBCom: Live now @JimShannonMP bids for @HouseofCommons debate on forced organ removal in #China https://t.co/Hwf5ZFG5G5,1,0,0,1
755771405711577088,2016-07-20 14:28:39,RT @WestminsterDUP: @JimShannonMP urges that cross border crime should be a key matter for the evolving post-#Brexit totality of relationsh…,3,0,0,0
755771372522078212,2016-07-20 14:28:31,@PremierRadio Unfortunately I was at a meeting. Please feel free to DM for future requests.,0,0,0,0
753181579854356480,2016-07-13 10:57:36,"@bluesmurfwatch Of course.  9.30-5. Closed today, normal service resumes tomorrow.",0,0,0,0
751433889403592704,2016-07-08 15:12:54,RT @bcm_ni: We'd like to thank @JimShannonMP for his presence at the fundraising lunch in aid of Parents' Support Ards https://t.co/dXbmCLf…,1,0,0,0
751405811138789376,2016-07-08 13:21:20,https://t.co/wQSwDvTnUX,0,0,0,1
748481399011803136,2016-06-30 11:40:46,RT @TaggartJoel: Another astonishing revelation at PM Questions. Apparently @JimShannonMP is a lifelong Leicester City fan!,2,0,0,0
748479569573851136,2016-06-30 11:33:30,"RT @WestminsterDUP: @JimShannonMP hears from Keith Ware, who speaks of personal experience of being beaten and detained in China #RideToFre…",2,0,0,0
748479560644177921,2016-06-30 11:33:27,"RT @WestminsterDUP: @JimShannonMP - Keith Ware speaks about Falun Gong which teaches truth, compassion &amp; tolerance; seen as a threat to com…",3,0,0,0
748479548673638400,2016-06-30 11:33:25,RT @WestminsterDUP: @JimShannonMP now hears from 15 year old Stephanie who is talking about her personal experience of persecution. https:/…,4,0,0,0
748479529971253248,2016-06-30 11:33:20,"RT @WestminsterDUP: @JimShannonMP now hears from Amy who is talking about the persecution her family face, her father remains in prison htt…",5,0,0,0
748479499373846529,2016-06-30 11:33:13,"RT @WestminsterDUP: Jim Shannon MP with speakers Stephanie, Amy, Grace, Benedict Rogers of CSW &amp; Keith Ware, RtF founder @ride_2_freedom ht…",7,0,0,0
748479481967415296,2016-06-30 11:33:09,RT @WestminsterDUP: @JimShannonMP following @ride_2_freedom meeting raising awareness of persecution in China #RideToFreedom https://t.co/d…,7,0,0,0
748479017595068416,2016-06-30 11:31:18,"Delaying a decision on airport expansion makes no sense.
 
Responding to today's news that there will be yet... https://t.co/Jq1ENMxfDw",0,1,0,1
746367528427991040,2016-06-24 15:41:00,RT @LawCentreNI: Good meeting this morn: NI MPs &amp; Refugee Asylum Forum @JimShannonMP @MickeyBradySF  @DdeBK  @SDLPMP @GRobinsonDUP https://…,6,0,0,0
746327069521510401,2016-06-24 13:00:14,"RT @WestminsterDUP: All Nicola Sturgeon had to do was say that there now *will* be an #indyref2. Tellingly, she very pointedly and very wis…",2,0,0,0
746267783936286720,2016-06-24 09:04:39,"Whilst the result was tight, the country has spoken. Now for leaders to rally together &amp; shape our future. Pleased Strangford voted Leave.",2,5,0,0
746267193642487808,2016-06-24 09:02:18,The PM went bowl in hand to the EU and got nothing. Juncker statement earlier in the week confirms EU is beyond reform.,1,1,0,0
740500444208857088,2016-06-08 11:07:18,RT @RBlackBT: New mural on Carnforth Street coming on well #eastbelfast #gawa https://t.co/2ts7GLY9Bz,16,0,1,0
740500183281217536,2016-06-08 11:06:16,RT @VBrownChronicle: CI McGrath @PSNIArds @JimShannonMP &amp; Alan McCay Ards &amp; ND  @PCSP_S   honoured as peace makers by @ArdsSTPastors https:…,2,0,0,0
740500112762404868,2016-06-08 11:05:59,RT @VBrownChronicle: Protest by @nipsa at Newtownards electoral office this morning against planned closure @JimShannonMP https://t.co/i2Dw…,6,0,0,0
740500073755385856,2016-06-08 11:05:50,RT @FreedomDeclared: APPG for International FoRB @FreedomDeclared Chair Jim Shannon's @JimShannonMP parliamentary questions on Syria https:…,1,0,0,0
740500040599392257,2016-06-08 11:05:42,RT @marcthevet: If you missed Monday's debate on Fireworks &amp; Pets watch it here: https://t.co/d8aoHTusqJ #animalwelfare #pets https://t.co/…,53,0,0,1
740499912148832256,2016-06-08 11:05:11,RT @SE20Rob: New @The_MRC grant to study dementia risk in collaboration with @CO90s https://t.co/jWDZ9upFpN @JimShannonMP @alzheimerssoc,2,0,0,1
740499897309401090,2016-06-08 11:05:07,RT @Tog4Policy: @JimShannonMP many thanks for taking part in this morning's Westminster debate on children &amp; young people with life-shorten…,1,0,0,0
740499853336285184,2016-06-08 11:04:57,RT @FreedomDeclared: @JimShannonMP @Thane1990 @BaronessEB @BishopAngaelos &amp; Prof Geoff Gilbert at today's report launch. https://t.co/kTCCg…,6,0,0,0
740499825070899201,2016-06-08 11:04:50,RT @JamalFAkbar: Great to join @BaronessEB @JimShannonMP @Thane1990  @BishopAngaelos &amp; Prof Gilbert at @FreedomDeclared report launch https…,2,0,0,0
740499804736913408,2016-06-08 11:04:45,RT @BishopAngaelos: #AAG/@FreedomDeclared @UKHouseOfLords #asylum report launch. @BaronessEB @JimShannonMP @Thane1990 #ProfGilbert #FoRB ht…,9,0,0,0
740499382945091584,2016-06-08 11:03:05,RT @athwal_sarb: @JimShannonMP an honour to have met you and thank you for support. @JamesBerryMP @True_Honour https://t.co/ReBkDmnkqZ,2,0,0,0
740499344323837952,2016-06-08 11:02:56,"RT @WestminsterDUP: @JimShannonMP no matter outcome, amicable relationship between UK &amp; RoI will be decided upon between two nations #NIQs",1,0,0,0
735469559994552320,2016-05-25 13:56:22,"JIM SHANNON MP CAUTIOUSLY WELCOMES BMA AND GOVERNMENT AGREEMENT ON JUNIOR DOCTOR CONTRACTS

Speaking in the House... https://t.co/eitxEbNxFq",0,1,0,1
735469408206872577,2016-05-25 13:55:45,"Jim Shannon MP discusses the situation in Aleppo with the Head of Armenian Evangelical Community of Syria.
On... https://t.co/GFNY7IbhOv",1,0,0,1
735469284219092993,2016-05-25 13:55:16,"HIGH FLYING APPRENTICES VISIT PARLIAMENT
Jim Shannon MP welcomes local apprentices to House of Commons... https://t.co/ZuAS0clYMG",0,0,0,1
735469087086792704,2016-05-25 13:54:29,"School visits to Parliament – places now available for September–December 2016

I wanted to let you know that... https://t.co/yrJYU8ynse",0,0,0,1
734311846451249153,2016-05-22 09:16:01,"Brilliant night at Comber Rec. Total of 1690 raised by auction was not lost on anyone, better odds on that than Leicester winning the title!",0,2,0,0
734311247844417536,2016-05-22 09:13:38,RT @OurLogie: Great night at Comber Rec celebrating 65 years and in good company @JimShannonMP . Great Craic.,3,0,0,0
734310481104633856,2016-05-22 09:10:36,RT @ACCMartinPSNI: Congratulations to the #PSNI Pipes &amp; Drums who were crowned the Grade 2 British Champions today in Scotland. #Proud http…,49,0,0,0
733680223875665920,2016-05-20 15:26:11,Absolutely! https://t.co/9neSztuzFl,0,0,0,1
733559898940657664,2016-05-20 07:28:03,RT @DavidLammy: We need reduced stakes and proper regulation of #FOBTs - pleased to join colleagues calling on @JWhittingdale to act https:…,27,0,0,0
733256098375827456,2016-05-19 11:20:51,"RT @APPGTB: Today @ReviewonAMR is published. It recognises urgent need to tackle drug-resistant #TB through prevention, diagnosis and treat…",2,0,0,0
733256090171899905,2016-05-19 11:20:49,RT @APPGTB: .@ReviewonAMR says if unaddressed #TB will be responsible for a quarter of #AMR deaths by 2050 and cost US$16.7 trillion #EndTB,2,0,0,0
733256081955258369,2016-05-19 11:20:47,"RT @APPGTB: .@ReviewonAMR:'Tackling #TB and DR-TB must be at heart of any global action against #AMR.The burden...too great, and the need..…",7,0,0,0
733254244879499265,2016-05-19 11:13:29,RT @NCPC_tweets: Thank you @JimShannonMP for your support for the #BigConversation &amp; signing a @DyingMatters #pledge https://t.co/Xx86b2aRak,3,0,0,1
733254227083026433,2016-05-19 11:13:25,RT @PakistanForAll: @JimShannonMP's appeal to @CMShehbaz on #MandiBahauddin Cant we find one Pakistani politician to do the same?! https://…,12,0,0,0
733249435262701568,2016-05-19 10:54:23,RT @SyriaUK: PT … and thanks to @kirstenoswald @Steven4Stirling @MRitchieMP @GRobinsonDUP @JimShannonMP @TommySheppard for their support fo…,6,0,0,0
733249402064736256,2016-05-19 10:54:15,RT @futureclimate: We're at the #APPG on Healthy Homes and Buildings. Useful openings from @JimShannonMP &amp; @StGobain to set the scene.,2,0,0,0
733249388429074433,2016-05-19 10:54:11,RT @Gill_Morris: #Healthy Homes and Buildings APPG launched today kicked off by @JimShannonMP and @HughGoulbourne real cost to UK https://t…,5,0,0,0
733249366237052928,2016-05-19 10:54:06,RT @Gill_Morris: Great launch of #healthy homes and buildings APPG with @AngusMcNeil MP and @JimShannonMP windows are getting smaller https…,3,0,0,0
733249317465640960,2016-05-19 10:53:55,"RT @kandjbaker: https://t.co/XpIxj8e5bm
 #dementiaawarenessweek 
#malenurse 
#alzauthors https://t.co/Q3BukEqwre",5,0,1,1
733249287442857984,2016-05-19 10:53:47,"RT @PRP_News: @PRP_Sustain presented at #APPG Healthy Homes and Buildings, interesting discussion! @JimShannonMP @AngusMcNeil",2,0,0,0
732559772059357184,2016-05-17 13:13:54,"STRANGFORD VOTE LEAVE RALLY

FRIDAY 20th MAY, 7PM

PORTAVOGIE ORANGE HALL

SPEAKERS INCLUDE:

SAMMY WILSON M.P.... https://t.co/Bz8dJRGW9b",0,0,0,1
730391355608997888,2016-05-11 13:37:23,Airport expansion in the South East of England matters to all of the United Kingdom and not just London. Heathrow... https://t.co/4NHEkT6ORX,0,2,0,1
730358223119757313,2016-05-11 11:25:44,'Save our faith' Christians protest in Pakistan amid fears churches may be 'destroyed' https://t.co/I7kV44P2ns,13,5,0,1
730350573862653952,2016-05-11 10:55:20,"RT @ClanmilHousing: Clare McCarty our CEO meeting with Donald Hoodless, chairman of NIHE, at our Killard development in Newtownards. https:…",2,0,0,0
730347963004899328,2016-05-11 10:44:58,RT @NIVote_Leave: Arlene Foster pledges to be a champion for Northern Ireland's farmers when powers return #voteleave #BalmoralShow https:/…,27,0,0,0
730332707599822848,2016-05-11 09:44:21,Heathrow going extra mile in commitment to stakeholders with expansion plans. Improved links internationally and nationally including NI.,2,1,0,0
727472503187197952,2016-05-03 12:18:55,"I've followed @LCFC for 46 years and never thought I'd live to see the day - It's still sinking in, we are CHAMPIONS!!",0,0,0,0
727078234832134144,2016-05-02 10:12:14,https://t.co/puofv7VeUE,0,0,0,1
726071200628236288,2016-04-29 15:30:38,"I can't seem to find any invitation, although I wouldn't dare to play politics with such an issue.  https://t.co/0TlK0YusJk",0,1,0,1
725745622830211072,2016-04-28 17:56:54,RT @McAvoyDawn: Great to have you representing us @JimShannonMP  https://t.co/IOWNHfWZlj,1,0,0,1
725743469969416192,2016-04-28 17:48:21,RT @alaninbelfast: Bercow notes in passing that @JimShannonMP attends every end of day adjournment debates &amp; nearly always intervenes+contr…,2,0,0,0
725743460611928064,2016-04-28 17:48:19,RT @jsni: Speaker Bercow says he welcomes @JimShannonMP attendance and participation in adjournment debates beyond simply NI matters @dupon…,1,0,0,0
725743353762033665,2016-04-28 17:47:53,RT @resultsuk: Thanks for your excellent question last night @JimShannonMP &amp; for supporting universal immunisation coverage! https://t.co/0…,2,0,0,0
725743328789188610,2016-04-28 17:47:47,RT @calverleyjim: Thanks @JimShannonMP for joining @resultsuk @savechildrenuk and @TheGPP at our World Imm Week event #vaccineswork,1,0,0,0
725743296459464706,2016-04-28 17:47:40,RT @resultsuk: Thank you so much @Dr_PhilippaW for hosting our equity &amp; immunisation event last night with @savechildrenuk @theGPP https://…,2,0,0,0
725610517423898624,2016-04-28 09:00:03,RT @RanelaghUK: .@JimShannonMP asks what plans theDepartment has to improve infrastructure for electric cars #TransportQs,1,0,0,0
725610506946514944,2016-04-28 09:00:00,RT @RanelaghUK: .@JimShannonMP says that charging points for electric cars need to be more accessible #TransportQs,1,0,0,0
725610304286150657,2016-04-28 08:59:12,RT @WestminsterDUP: @JimShannonMP is leading a Westminster Hall Debate on 'Fixed Odds Betting Terminals'.,1,0,0,0
725610286439370752,2016-04-28 08:59:08,RT @alisonthewliss: In Westminster Hall for @JimShannonMP's debate on Fixed Odds Betting Terminals. @GlasgowCC's report on #FOBT 2014 https…,5,0,0,0
725610247826628608,2016-04-28 08:58:58,RT @katyschneider: Thank you @JimShannonMP for mentioning public-private partnerships in your intervention in today's debate. #dementia #Re…,1,0,0,0
725610211692695553,2016-04-28 08:58:50,"@Bigcully84 I was reelected last year, it's Assembly elections this year so don't quite understand your point.",0,0,0,0
725609827687370752,2016-04-28 08:57:18,"RT @APPGTB: In light of UK leadership through @ReviewonAMR, today @FitzMP &amp; @JimShannonMP raised importance of tackling #AMR to #EndTB in p…",4,0,0,0
725609797924585472,2016-04-28 08:57:11,RT @timclifforduk: #gamblingderegulation has been a disaster - well done @JimShannonMP for challenging out of control betting industry  htt…,1,0,0,0
725609377185583104,2016-04-28 08:55:31,RT @APPGTB: #TB accounts for one third of world's #AMR deaths. @JimShannonMP outlined human&amp;economic cost if we don't address it:https://t.…,3,0,0,0
725609360542568448,2016-04-28 08:55:27,RT @Vets4Choice: Thank you to @JimShannonMP &amp; Alan Meale MP for supporting the Early Day Motion to have RSA reconsider their referral netwo…,2,0,0,0
725609344050536448,2016-04-28 08:55:23,RT @BeluWater: Thank you @JimShannonMP for ur passion for tackling water poverty at #Westminster &amp; mentioning Belu. Everybody should have s…,1,0,0,0
725609193047244800,2016-04-28 08:54:47,RT @paul_abo: @JimShannonMP w/ an excellent q on what can MPs do to ensure hospitals in dev regions are resourced #vaccineswork https://t.c…,1,0,0,0
725609160872722433,2016-04-28 08:54:39,RT @resultsuk: Great opening Q from @JimShannonMP - how can we make sure health systems aren't just buildings but have the necessary equipm…,2,0,0,0
725609064974192640,2016-04-28 08:54:16,RT @Legsington: Love having such kind MPs to work for - thanks @JimShannonMP for my Thursday caffeine fix! ☕️ https://t.co/oAKJ4BovCR,1,0,1,0
725608999564009472,2016-04-28 08:54:01,"RT @WestminsterDUP: @JimShannonMP sets out benefits of electric cars, tells Minister more charging points required esp. in high streets #tr…",1,0,0,0
724977078559510529,2016-04-26 15:02:59,"Best wishes and speedy recovery to Gary Warwick, Midfielder from our local Ards FC #WellWishes",0,1,0,0
723495958764478464,2016-04-22 12:57:33,"RT @WaterAidUK: Absolutely Jim, &amp; thanks for continuing to shine a light in #Westminster on the major #WASH challenge faced. https://t.co/Q…",5,0,0,0
723495878514905088,2016-04-22 12:57:13,RT @WestminsterDUP: @JimShannonMP is speaking a Westminster Hall Debate on Water Aid and Sanitation in Africa @WaterAidUK,1,0,0,0
723495862651985920,2016-04-22 12:57:10,"RT @WestminsterDUP: @JimShannonMP - ""650 million people live without access to clean water, that's 1 in 8 people in the world"" @WaterAidUK",2,0,0,0
723495850123649024,2016-04-22 12:57:07,"RT @WestminsterDUP: @JimShannonMP - ""1 in 3 people living without access to sanitation"" @WaterAidUK",2,0,0,0
723495832172023808,2016-04-22 12:57:02,"RT @WestminsterDUP: @JimShannonMP praises work of local charities, churches and schools for work in Africa across Strangford @WaterAidUK",2,0,0,0
723495823103930371,2016-04-22 12:57:00,RT @WestminsterDUP: @JimShannonMP highlights the difficulties of getting clean water noting that a gerrycan weighs 40lbs when full @WaterAi…,1,0,0,0
723495814472065024,2016-04-22 12:56:58,RT @WestminsterDUP: @JimShannonMP explains that there are actually more mobile phones than toilets throughout the world - frightening stati…,1,0,0,0
