id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099182064673476608,2019-02-23 05:40:00,Alcohol sales are now legal in a northeastern Arkansas county after residents approved a measure to lift a 70-year-… https://t.co/KRuiCsjPH6,0,2,0,1
1099177032615972869,2019-02-23 05:20:00,"A North Little Rock barbecue restaurant will shut after 99 years, the owner said: https://t.co/edNlttIXUH",4,2,0,1
1099172125045329920,2019-02-23 05:00:30,"Gas prices are rising in Arkansas and nationally, the result of refinery issues, rising crude oil prices and tighte… https://t.co/Rq6ul4SzyZ",0,0,0,1
1099166965296439296,2019-02-23 04:40:00,Four teens accused of stealing more than 75 guns after breaking into a Northwest Arkansas Ace Hardware face multipl… https://t.co/Dlzba5K8WU,2,0,0,1
1099161929808007168,2019-02-23 04:20:00,"When deputies attempted to pull over a car Wednesday, the driver rammed four deputies' vehicles in an attempt to es… https://t.co/buN6hP8iyP",0,1,0,1
1099156909154816001,2019-02-23 04:00:03,A 57-year-old Camden man died after his Lexus ran off a highway in south Arkansas and landed upside-down in a creek: https://t.co/WY6fiZiLSd,0,0,0,1
1099151864422109185,2019-02-23 03:40:00,A sex offender is accused of dressing up as an elf at a central Arkansas elementary school's holiday event late las… https://t.co/eszDeUUogF,0,0,0,1
1099146832171749376,2019-02-23 03:20:00,The National Weather Service said damaging winds are the primary threat Saturday with storms expected in the late m… https://t.co/uH5k1ymJ0q,0,0,0,1
1099141816320966656,2019-02-23 03:00:04,Legislation that would make unlawful the genital mutilation of a minor female sails through Arkansas Senate: https://t.co/SwwAA8LEbw,0,0,0,1
1099136765632364544,2019-02-23 02:40:00,RT @youssefrddad: Story: Little Rock police say an officer fatally shot a person during a traffic stop after the driver of a suspected stol…,1,0,0,0
1099131732002000896,2019-02-23 02:20:00,RT @maggiemcneary: A Little Rock sex offender was arrested nearly 2 months after parents at a local elementary school saw him dressed as an…,1,0,0,0
1099126748246089728,2019-02-23 02:00:12,High school baseball coach in Northwest Arkansas accused of allowing student to shock teammate with a stun gun:… https://t.co/wmDBLt4vRG,0,0,0,1
1099121665802489857,2019-02-23 01:40:00,"RT @youssefrddad: Little Rock sex offender arrested after dressing as elf for school holiday event, police say https://t.co/9M3eOvzPe8",1,0,0,1
1099111621446828040,2019-02-23 01:00:05,"RT @dshameer: 4 teens accused of stealing dozens of guns from Arkansas store, police say https://t.co/V6bRXfqb1D",1,0,0,1
1099106570825285634,2019-02-23 00:40:01,Couple take homeless man from Little Rock on long trip home. How it happened + video of his reunion with family »… https://t.co/CbvzkgaNb7,1,2,0,1
1099101534636462080,2019-02-23 00:20:00,RT @dshameer: The ⁦@WallyLikeItIs⁩ column: “This is not the first SEC game this has been a problem.” #WPS https://t.co/NligJNYGqc,1,0,0,1
1099096560665800704,2019-02-23 00:00:14,Criminal case against UA anthropology professor moved to a drug treatment court: https://t.co/ft0ae6iKMI #ArkDG,0,0,0,1
1099091472119459840,2019-02-22 23:40:01,"RT @GinnyMonk: In a shocking turn of events, I wrote about something that doesn't make people sad, mad or some other form of upset.

This L…",17,0,0,0
1099086440393330689,2019-02-22 23:20:02,"Amid threats of legal action and the promise of legislation to change a constitutional amendment, Arkansas Racing C… https://t.co/z6jqcP3ulp",0,0,0,1
1099081453869170688,2019-02-22 23:00:13,"RT @byCBoutwell: On UALR's dunking machine Kris Bankston — who was a pitcher as a boy, had a nine-inch growth spurt years ago and still has…",1,0,0,0
1099076441508139009,2019-02-22 22:40:18,NEW: A sex offender is accused of dressing up as an elf at a Little Rock elementary school's holiday event late las… https://t.co/NhYYyXbisE,0,1,0,1
1099071333919539200,2019-02-22 22:20:00,RT @dshameer: Quiet in The Hall — except for the sound of cheering. ⁦@ADGtim⁩ reports. https://t.co/aa1xeZMqCb,1,0,0,1
1099066396137455617,2019-02-22 22:00:23,"Man walked into west Little Rock country club, took the keys to $50,000 Audi and drove away, police say: https://t.co/RPU7s7bWDl #ARcrime",0,1,0,1
1099061268554620928,2019-02-22 21:40:00,"RT @dshameer: RB Rakeem Boyd (shoulder), DT Briston Guidry (knee) and CB Britto Tutt are expected to miss all or parts of spring ball. RB T…",1,0,0,0
