id,created_at,text,retweet_count,favorite_count,media_count,url_count
1097608270594932737,2019-02-18 21:26:18,Remembering my dear friends this #PresidentsDay. https://t.co/FVx5ok7use,5795,75558,1,0
1096194623440121857,2019-02-14 23:48:59,"RT @HillaryClinton: Just yesterday, the House Judiciary Committee voted to advance a measure that would require background checks for all g…",3180,0,0,0
1096166674884116481,2019-02-14 21:57:55,"One year after the massacre at Stoneman Douglas, we must not forget the 17 people who lost their lives and the near… https://t.co/L7HSouaNva",2499,15343,0,1
1093963177669419008,2019-02-08 20:02:01,"Not only was Frank Robinson a world-class athlete and baseball mind, he was a trailblazer. The sport would not be w… https://t.co/rQTp2qxZmP",419,4271,0,1
1093706486289715200,2019-02-08 03:02:01,"For nearly 60 years, John Dingell represented the people of Michigan with honor, integrity &amp; great good humor. Ther… https://t.co/ofaeEGIbEN",2302,21678,0,1
1093241842982944769,2019-02-06 20:15:41,Worth reading. Teachers and principals should weigh in. https://t.co/1Sm62IB9gN,254,1338,0,1
1091452467575963649,2019-02-01 21:45:21,Chris Wayne was a good man who we lost far too soon. This piece is a reminder of what made him special and why he w… https://t.co/xurkZ3oI6B,202,1153,0,1
1091388355273768960,2019-02-01 17:30:35,It’s been one of my greatest honors to support the peace process in N. Ireland. The visa decision was highly contro… https://t.co/XkC6eaxh3n,571,3253,0,1
1091350183252758531,2019-02-01 14:58:54,"Each year I'm inspired by the talented, diverse group of Presidential Leadership Scholars and their shared commitme… https://t.co/SRGu50Z5oh",259,1804,0,1
1091098791506259976,2019-01-31 22:19:58,"100 years after his birth and nearly 72 years since he broke baseball’s color barrier, Jackie Robinson’s legacy end… https://t.co/82wUxYuIpC",961,7350,0,1
1091091149370974208,2019-01-31 21:49:36,RT @ClintonCenter: Clinton Center staff &amp; volunteers are participating in a #DayOfAction at the @arfoodbank. We're sorting &amp; packing diaper…,158,0,0,0
1090734165333561344,2019-01-30 22:11:04,These are just a few of the dozens of commitments that have been made to help the region. See how you can support t… https://t.co/PkyZgvwfyl,139,693,0,1
1090734163894915072,2019-01-30 22:11:04,".@Good360 is partnering to help educate business leaders on adopting proactive, needs-based, resilient, transparent… https://t.co/TFF3kqbqAp",83,508,0,1
1090734162116558848,2019-01-30 22:11:03,The Cathexis Project is partnering to expand support for small businesses in Puerto Rico: https://t.co/g7H2aVA2sQ,63,243,0,1
1090734159679631361,2019-01-30 22:11:03,.@IBM is partnering with our @CGIU program and thousands of student coders to help improve disaster response: https://t.co/NobiUy36e8,51,200,0,1
1090734158601768960,2019-01-30 22:11:02,"From addressing the opioid epidemic to expanding support for small businesses, members of the @ClintonFdn community… https://t.co/Q1XDNniw9k",521,4098,0,1
1090697056681947141,2019-01-30 19:43:37,I am inspired by everyone at CGI and the commitments made here this week. I’m hopeful even more will be done to hel… https://t.co/skbhwjNJ2l,459,2958,0,1
1090603006377250818,2019-01-30 13:29:53,Looking forward to the second day of @ClintonFdn's San Juan event on post-disaster recovery in the Caribbean. Hope… https://t.co/2DXkh6pTju,811,4778,0,1
1090343686737747970,2019-01-29 20:19:27,I hope you'll tune in today as we explore more ways to support ongoing recovery and resilience across the Caribbean… https://t.co/GKItautL9G,268,1878,0,1
1090342285265563650,2019-01-29 20:13:53,"Hillary &amp; I spent yesterday visiting with Puerto Ricans who are rebuilding their communities, from innovative farme… https://t.co/1juSoOR9xA",3625,23879,0,1
1088877680349667329,2019-01-25 19:14:04,RT @ClintonCenter: We're committed to helping our neighbors impacted by the ongoing shutdown. So grateful to the many partners who are offe…,814,0,0,0
1087367704389005312,2019-01-21 15:13:57,"As we celebrate Martin Luther King Jr. Day, the greatest tribute we can pay him is to heed his wisdom, honor his ex… https://t.co/KbJ8Ylfxnt",3911,24342,0,1
1086421085233438720,2019-01-19 00:32:26,"Heading to the World Patient Safety, Science &amp; Technology Summit. My friend @JoeKiani started @0X2020 at… https://t.co/7mlDeXVae1",402,2642,0,1
1086138101796388864,2019-01-18 05:47:57,Jack Bogle was a brilliant and good man who proved that the measure of a successful life and career is more than we… https://t.co/j7UMOiCLWV,542,4551,0,1
1086124523018207237,2019-01-18 04:54:00,RT @CGIU: January is #NationalMentoringMonth! Thank you to our amazing Commitment Mentors throughout the years who have provided support an…,57,0,0,0
1086032332283432967,2019-01-17 22:47:40,Jason Spindler dedicated his life to expanding opportunity around the world. I saw his drive and the impact of his… https://t.co/hm4AD1RW0y,865,5043,0,1
1085698252614230016,2019-01-17 00:40:09,"RT @ChelseaClinton: Measles cases surged 30% last year. Grateful @WHO calling out unfounded, unscientific “vaccine hesitancy” alongside cli…",2867,0,0,0
1085285477069058051,2019-01-15 21:19:56,Congrats to Matt Kutcher on keeping your strong start to the season going with a great win at the #SonyOpenHawaii on Sunday.,117,1167,0,0
1083885552112410624,2019-01-12 00:37:07,I’m looking forward to being back in Puerto Rico as the @ClintonFdn continues to stand with the people of Puerto Ri… https://t.co/nvJH1f8OPk,4351,26898,0,1
1078388092233502721,2018-12-27 20:32:11,"Senator John Culver was a smart, principled, progressive, and tough public servant who represented his constituents… https://t.co/qai07FaynH",463,4621,0,1
1076293800526577665,2018-12-22 01:50:13,"And special thanks to my friends Minyon, Leah, Donna and Yolanda for appearing at a packed @ClintonCenter earlier t… https://t.co/8Op2ugyBbB",250,1821,0,1
1076196517797605376,2018-12-21 19:23:39,"As we approach the end of 2018, I wanted to share some of the books that I’ve enjoyed reading this year. https://t.co/b4FCvefMnR",1781,11692,1,0
1072243932644425728,2018-12-10 21:37:29,"RT @PLSprogram: #PLScholar Rob Gore created a hospital, school, and community-based violence intervention and prevention program called @KA…",103,0,0,0
1068980619013775360,2018-12-01 21:30:14,"Today, I am especially grateful to all the people who work at @CHAI_health and the partners and supporters who make the work possible.",179,1561,0,0
1068980615637319680,2018-12-01 21:30:14,A day for rededicating ourselves to the ultimate goal of ending AIDS and to our duty to give as many people as poss… https://t.co/SUlSlLYcl5,229,1783,0,1
1068980600441327616,2018-12-01 21:30:10,"#WorldAIDSDay is a day of remembrance, gratitude, and rededication. A day for remembering those who lost their live… https://t.co/lDSv3HZUAl",1056,6838,0,1
1068758077330075648,2018-12-01 06:45:56,"Hillary and I mourn the passing of President George H. W. Bush, and give thanks for his great long life of service,… https://t.co/WBg8VHDpB2",12209,85211,0,1
1068563311732711425,2018-11-30 17:52:01,"other prohibited purchasers from buying guns. Passing it wasn’t easy, but it was a fight worth having then and is o… https://t.co/etZHhEahn5",523,3636,0,1
1068563310449229824,2018-11-30 17:52:00,"25 years after I signed it into law, the Brady Bill continues to prove that common sense gun laws, without hinderin… https://t.co/Hs4S9GntuG",1337,7914,0,1
1067452538507673600,2018-11-27 16:18:12,"I’m grateful for your partnership, your commitment, and your ongoing support as we continue this vital work: https://t.co/DSt378yNHT",467,3606,0,1
1066346125391814656,2018-11-24 15:01:42,Hillary and I treasured our friendship with Betty Bumpers. From her kitchen table in Charleston to the halls of pow… https://t.co/SLTY8EkRU4,577,6563,0,1
1064935533187543040,2018-11-20 17:36:31,Hillary and I are looking forward to our speaking tour. Hope you can join us! https://t.co/pdgLhdjw2J,668,5863,0,1
1062906844576915458,2018-11-15 03:15:14,It’s worth taking a moment away from all the noise to read this inspiring story. Richard Jenkins is an example of w… https://t.co/1fLYL2D0TW,4014,18132,0,1
1062842973837316096,2018-11-14 23:01:26,Jim and I had such a great time writing the book. Incredibly honored to be considered. https://t.co/uy0hDG2ESG,207,1974,0,1
1059836292245135365,2018-11-06 15:53:57,"Today is #ElectionDay and we have the chance to prove that “we the people” is more powerful than “us vs. them.”

#IVoted. Did you?",8173,47957,0,0
1056356762520092672,2018-10-28 01:27:33,I mourn those murdered at the Tree of Life Synagogue and pray for the wounded. We must all send an unequivocal mess… https://t.co/aamBLJp6jC,11571,66546,0,1
1055920351094456321,2018-10-26 20:33:24,"I consider myself fortunate to have spent even a little time with @TyroneGayle. He was an amazing human being, who… https://t.co/iGKZUBEHxc",734,5293,0,1
1055172090951884801,2018-10-24 19:00:05,Thank you to the @SecretService and all law enforcement agencies who responded to this week's incidents. They work… https://t.co/Xcpujg0n2D,9237,89483,0,1
1054475911335239680,2018-10-22 20:53:43,Wim Kok’s respectful leadership and ability to build consensus to help the Netherlands seize its opportunities and… https://t.co/o8jtBS5Yaw,681,2389,0,1
1054105111356735490,2018-10-21 20:20:17,".@JP_Books and I had a great time writing The President is Missing. If you haven’t already, order a copy today!  
 
https://t.co/UHvzPgvPwh",352,2416,0,1
1053762381686472707,2018-10-20 21:38:24,"Arnav Dalmia co-founded Cubii, a product designed to help address the profound health consequences of prolonged sit… https://t.co/wmkJ1KETCx",76,618,0,1
1053762380885319680,2018-10-20 21:38:24,"Christine Schindler, founder of Girls Engineering Change, is making the world a better place by encouraging girls t… https://t.co/m8Tmvby5oX",101,717,0,1
1053762379878674432,2018-10-20 21:38:23,".@DaquanOliver is the founder of WeThrive, a non-profit that provides low-income middle and high school students wi… https://t.co/Hq1XLHeQjH",41,215,0,1
1053762378976976896,2018-10-20 21:38:23,.@JacobTobia is supporting people across the country to embrace the full complexity of gender. They work nationally… https://t.co/SaRBYLtcif,33,222,0,1
1053762378171670528,2018-10-20 21:38:23,.@MinkaraSara founded Empowerment Through Integration &amp; is working tirelessly to enable people with disabilities to… https://t.co/tEdtDljzxp,40,211,0,1
