id,created_at,text,retweet_count,favorite_count,media_count,url_count
822446982648201216,2017-01-20 14:13:35,"I'm still asking you to believe - not in my ability to bring about change, but in yours. I believe in change because I believe in you.",332381,799138,0,0
822446334787600385,2017-01-20 14:11:01,"As we look forward, I want our first steps to reflect what matters most to you. Share your thoughts with me at https://t.co/fGUxlpLVue.",56080,206693,0,1
822446040729157632,2017-01-20 14:09:51,"I won't stop; I'll be right there with you as a citizen, inspired by your voices of truth and justice, good humor, and love.",209195,595188,0,0
822445882247413761,2017-01-20 14:09:13,It's been the honor of my life to serve you. You made me a better leader and a better man.,603413,1596096,0,0
822181779217981441,2017-01-19 20:39:46,"Proud to make this one of my final actions as President. America is a nation of second chances, and 1,715 people de… https://t.co/vZLJa9SweM",65837,225332,0,1
821879923602325504,2017-01-19 00:40:18,"RT @FLOTUS: Being your First Lady has been the honor of a lifetime. From the bottom of my heart, thank you. -mo https://t.co/pahEydkZ5Z",351196,0,1,0
821371347012087808,2017-01-17 14:59:24,"To the girl from the South Side who took on a role she didn't ask for and made it her own: Happy Birthday, Michelle… https://t.co/cFWec1RQN0",337572,1162459,0,1
821147626422800386,2017-01-17 00:10:24,"From one 44 to another, thanks for finally giving @FLOTUS and generations of hopeful fans a @Cubs championship. https://t.co/RnLyTYF2ub",16392,91677,1,0
821082223910780928,2017-01-16 19:50:31,"In honor of their legacy, @FLOTUS and I are joining Americans across the country in a day of service to our community here in D.C. #MLKDay",11115,66134,0,0
821081947728412672,2017-01-16 19:49:25,"Dr. King and those who marched with him proved that people who love their country can change it. As Americans, we all owe them a great deal.",66835,211338,0,0
819694728665006080,2017-01-12 23:57:07,"That is out of this world. Thanks, @NASA. https://t.co/R8CSjAwt2E",44018,174337,0,1
819044196371800065,2017-01-11 04:52:08,"Thank you for everything. My last ask is the same as my first. I'm asking you to believe—not in my ability to create change, but in yours.",832276,1794523,0,0
815603723707658241,2017-01-01 17:00:55,It’s been the privilege of my life to serve as your President. I look forward to standing with you as a citizen. Happy New Year everybody.,250603,834703,0,0
815603416089194496,2017-01-01 16:59:42,"From realizing marriage equality to removing barriers to opportunity, we've made history in our work to reaffirm that all are created equal.",51774,200403,0,0
815601969154899969,2017-01-01 16:53:57,We brought home more of our troops &amp; strengthened U.S. leadership—leading with diplomacy &amp; partnering with nations to meet global problems.,17300,76015,0,0
815601640124387328,2017-01-01 16:52:38,"We traded foreign oil for clean energy, we doubled fuel efficiency standards, &amp; we acted on a global scale to save… https://t.co/U2n4myQUkV",18593,65788,0,1
815601279716225024,2017-01-01 16:51:12,"After decades of rising health care costs, today nearly every American now has access to the financial security of… https://t.co/P9VEPIE3Ab",16871,58042,0,1
815600798558208001,2017-01-01 16:49:18,"Facing the worst financial crisis in 80 years, you delivered the longest streak of job growth in our history. https://t.co/Vk3PfRgZqF",25434,77896,1,0
815600521688055808,2017-01-01 16:48:12,"As we look ahead to the future, I wanted to take a moment to look back on the remarkable progress that you made possible these past 8 years.",48757,218908,0,0
813059340013895680,2016-12-25 16:30:27,"The best part of the holidays is the time we share with those we love. On behalf of Michelle, Malia, and Sasha, Mer… https://t.co/AOai9bJYlg",106808,403844,0,1
811329368408621056,2016-12-20 21:56:09,A ban on drilling in Arctic waters helps protect the planet we share. Proud to take this step with @JustinTrudeau &amp;… https://t.co/cDbN6inXRy,26198,86407,0,1
809899303321866240,2016-12-16 23:13:35,"The Justice for All bill is a bipartisan step in making our criminal justice system fairer, smarter, and more effective. Proud to sign it.",6363,36503,0,0
809805411129946115,2016-12-16 17:00:30,"The suits said it all – colorful, fun, a little outlandish. That’s what sports should be. Thanks, Craig Sager.  We'll all miss you.",10919,50747,0,0
808807755456937984,2016-12-13 22:56:10,"In signing the Cures Act into law, we're one step closer to breakthroughs on the greatest health challenges of our… https://t.co/LhyahsK0sJ",10977,50283,0,1
808510710770761728,2016-12-13 03:15:49,Great to see so many investors come together to work towards a clean energy future. It's a smart investment and it'… https://t.co/aqGx2t7QAZ,12086,47740,0,1
805906134074847232,2016-12-05 22:46:10,"Proud of our Champions of Change - folks who prove that, here in America, there's no more powerful role than that o… https://t.co/wbz1YSlUEx",9476,48146,0,1
804353679050543104,2016-12-01 15:57:15,"Today, we honor those who are leading the fight against HIV/AIDS. Because of them, an AIDS-free generation is now w… https://t.co/yW9uyfbf1x",31261,103904,0,1
801849159800197121,2016-11-24 18:05:11,"This Thanksgiving, we give thanks for our blessings, and work to fulfill the timeless responsibility we have as Americans to serve others.",7424,36086,0,0
801848753468674048,2016-11-24 18:03:35,The Old Soldiers Home in DC has cared for our nation's veterans for 165 years. I was honored to be a small part of… https://t.co/43ttiaLibI,19877,99041,0,1
800468765934690304,2016-11-20 22:40:00,"Happy birthday, Joe! The best @VP and friend I could have had alongside me these past eight years. https://t.co/kWH3L5uSFC",193048,637818,1,0
800357392588406785,2016-11-20 15:17:26,One thing I've learned from my time abroad as President: Young people will shape our future long after their leader… https://t.co/bwEltHdPDs,24504,88460,0,1
797128959578271744,2016-11-11 17:28:48,"Today, we honor those who honored our country with its highest form of service. We owe our veterans our thanks, our respect and our freedom.",48710,160686,0,0
796018814072672256,2016-11-08 15:57:29,"Today, progress is on the ballot. Go vote - then make sure your friends, your family, and everyone you know votes too.",54285,147466,0,0
794322003754790913,2016-11-03 23:34:58,"It's pretty simple: Find a plan, get covered, earn some peace of mind. Start today: https://t.co/PJ7xIKP3Vo https://t.co/ZBQdNz8s80",6522,26973,1,1
794057504871346176,2016-11-03 06:03:56,It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before I leave?,70269,267974,0,0
790236602584948736,2016-10-23 17:01:02,"I'll say it: Holy Cow, @Cubs fans. Even this White Sox fan was happy to see Wrigley rocking last night. #FlyTheW",19388,79273,0,0
789598150541635588,2016-10-21 22:44:03,Check out my newest science advisors! These kids are fearless in using science to tackle our toughest problems. Tha… https://t.co/pLBZQWDFin,12969,63797,0,1
