id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099193867054784514,2019-02-23 06:26:54,"RT @kylegriffin1: For a handful of hours next week, Nancy Pelosi will be the top-ranked government official on U.S. soil as Trump and Pence…",1206,0,0,0
1099188662087110656,2019-02-23 06:06:13,RT @MalcolmNance: Warning! Not kidding. #StickTogether #HoldFast https://t.co/22rwZkbrdg,1558,0,0,1
1099186330834223104,2019-02-23 05:56:57,I heard Amy Klobuchar once tipped a waitperson only 9 percent back in the late 80s😏 These sexist hit pieces need to… https://t.co/92JpFM4KMH,5,18,0,1
1099137922677264384,2019-02-23 02:44:36,RT @ZaibatsuNews: Federal investigators are going to drive Trump ‘crazy’ as they come after his entire family: MSNBC legal analyst https://…,29,0,0,0
1099126196619616256,2019-02-23 01:58:00,RT @ZaibatsuNews: GOP will be unable to escape voters angry over Trump’s tax refund scam — ‘They know they’ve been had’: WaPo columnist htt…,8,0,0,0
1099107714154749952,2019-02-23 00:44:34,Why Is Saudi Arabia Giving U.S. Weapons to Al-Qaeda? Elizabeth Warren Asks Trump Administration… https://t.co/pwaeBvNHd9,22,20,0,1
1099100664196608000,2019-02-23 00:16:33,Adam Schiff Takes Aim At Trump With Hearing On Authoritarianism https://t.co/Br0uY0X8EJ https://t.co/Ki7BWBmlx1,13,14,1,1
1099089201830809600,2019-02-22 23:31:00,RT @Lawrence: Here’s Alan Dershowitz last month defending the prosecutor in a child sex case where Dershowitz defended &amp; befriended the sex…,4824,0,0,0
1099076769058078720,2019-02-22 22:41:36,"RT @TheRickWilson: Don't tell @realdonaldtrump or #QAnon I'll be spending time with @RepAdamSchiff tonight on @realtimers.

They might thin…",403,0,0,0
1099070717696471040,2019-02-22 22:17:33,Trump Babbles Gibberish While Calling His Language Nice And Denying Role In Spreading Hate https://t.co/Q5kD1eIJN3 https://t.co/CwuSrNxXQM,7,17,1,1
1099061108705579008,2019-02-22 21:39:22,"RT @RBReich: While millions of Americans have seen their refunds shrink, some of the most profitable corporations in the country are filing…",6585,0,0,0
1099059889643679744,2019-02-22 21:34:31,"RT @TeaPainUSA: You gotta ask yourself, ""why are they withholdin' the 'bigger names'?""

https://t.co/TNcoLpGUsZ",3436,0,0,1
1099053658229129222,2019-02-22 21:09:46,@JRubinBlogger Can we have one from them about the sitting president of the United States?! https://t.co/3AUbFJKOur,8,23,1,0
