id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099041796598964224,2019-02-22 20:22:38,This new rule is a disgraceful assault on women's right and an assault on millions of Americans' ability to get the… https://t.co/ApWP97JxMr,1950,6622,0,1
1099001544891092993,2019-02-22 17:42:41,"Combined 2018 profit of Amazon, GM, Netflix &amp; Goodyear: $24.5 billion

Federal income taxes paid: $0

Combined fede… https://t.co/M6rVWrB2IZ",9153,30598,0,1
1098716326720405505,2019-02-21 22:49:20,"This drug was free for patients just weeks ago. Now, patients around the country are rationing their medication bec… https://t.co/HZpBXcbgi0",4499,13594,0,1
1098696054692814853,2019-02-21 21:28:46,"I'm proud to stand in solidarity with the 1,700 locomotive manufacturing workers in Erie, Pennsylvania, who are fig… https://t.co/8Tsm4MPLQ0",970,4313,0,1
1098337695187767301,2019-02-20 21:44:47,"Catalyst's decision to raise the price of a life-saving drug from $0 to $375,000 is causing patients to suffer and… https://t.co/fZAnt7SZn3",3077,10900,0,1
1097518827125030912,2019-02-18 15:30:53,"Why does Trump want to repeal the estate tax? Maybe because without it, a majority of the assets held by households… https://t.co/3kXjIuomAw",5107,24207,0,1
1097219761627451394,2019-02-17 19:42:31,Artificial intelligence and robotics are positive creations of the human mind. They should be used to improve the l… https://t.co/WoiMb0MK8k,3499,16748,0,1
1097187887953661952,2019-02-17 17:35:51,"Before Social Security was created in 1932, about half of seniors lived in poverty. 

Today, the senior poverty rat… https://t.co/hXvar3QmVx",4056,18092,0,1
1096928210049220614,2019-02-17 00:23:59,"RT @seattletimes: "" I’m paying more to the U.S. government for 2018 than Amazon,"" writes columnist Danny Westneat. https://t.co/1tiBC47O7I",803,0,0,1
1096880851978256384,2019-02-16 21:15:48,".@billmckibben, a fellow Vermonter, is a great environmental leader. He is an outstanding writer and organizer.  Th… https://t.co/Uq3PFjNpW0",716,2892,0,1
1096819712573485057,2019-02-16 17:12:52,"Trump and his friends believe in voter suppression and billionaires buying elections. 

We want:
✅ Automatic voter… https://t.co/bun151yJij",4696,20859,0,1
1096796163204960258,2019-02-16 15:39:17,"Let me congratulate the @fightfor15 movement for winning another historic victory.

The American people understand… https://t.co/vFldbaRGP1",1655,7322,0,1
1096504790899671041,2019-02-15 20:21:28,"The current fight in DC is about more than a wall. It's about whether we are a nation of laws, where the president… https://t.co/eh3ADY97P1",9076,42390,0,1
