id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099131595037032448,2019-02-23 02:19:27,RT @AshantiGholar: The political empowerment sessions at @IAmPowerRising were a success! Thanks to the session leads @ljoywilliams @Capitol…,6,0,0,0
1099101489816133635,2019-02-23 00:19:50,RT @NARAL: “The fight to protect women’s access to reproductive health care is not a culture war. It is an essential fight to ensure that w…,101,0,0,0
1099081148196630528,2019-02-22 22:59:00,"Forcing health care providers to lie to their patients, preventing patients from accessing health care services, an… https://t.co/WtzmP6oWfp",19,27,0,1
1099065430981914624,2019-02-22 21:56:33,Thank you to everyone who attended our training with @EmergeAmerica at @IAmPowerRising today! We hope to see you al… https://t.co/C6XlPMJPDm,6,8,0,1
1099057995374194688,2019-02-22 21:27:00,"""Historically, when this type of inflammatory rhetoric has been used, it has ended in violence. These words have me… https://t.co/C0gsfpHEPK",5,13,0,1
1099044154737393669,2019-02-22 20:32:00,Did you see? We released our initial 2019 list of trainings nationwide for those thinking of running for office. Si… https://t.co/tTp9rz0v37,7,12,0,1
1099028791941365760,2019-02-22 19:30:57,RT @Schriock1: Elect pro-choice Democratic women to office every chance you can — elections matter. https://t.co/vwtQZdtpeI,37,0,0,1
1099026078390194176,2019-02-22 19:20:10,This move to strip us of our rights is a blatant attempt to appeal to Trump's base. But while Trump is playing poli… https://t.co/P9S1GfAFD6,26,47,0,1
1099025524565921792,2019-02-22 19:17:58,The Trump administration just released a domestic gag rule which would force health care providers to lie to their… https://t.co/2uabydHEdj,76,55,0,1
1099009173763719168,2019-02-22 18:13:00,Our own @quiana_mckenzie is giving a training with @EmergeAmerica on how to run for office at the @IAmPowerRising c… https://t.co/vs3RaQjAb9,2,6,0,1
1099004623434760193,2019-02-22 17:54:55,RT @ruby_sarron: #IAmPowerRising with the most powerful ladies I know representing @emilyslist and @HigherHeights https://t.co/4aDqHBe11r,9,0,1,0
1099004557881982976,2019-02-22 17:54:39,"RT @tonyajwillms: Hi Sisters @IAmPowerRising, we just heard that a great way to get involved is through working on campaigns. If you’re int…",4,0,0,0
