id,created_at,text,retweet_count,favorite_count,media_count,url_count
1096866285919588352,2019-02-16 20:17:56,"Proud to be teaming up @carlbildt, Steve Hadley, @DMiliband, @tzipi_livni and other leaders at #MSC2019 to defend d… https://t.co/7Qtin6kQwz",76,234,0,1
1096756800337207297,2019-02-16 13:02:52,"RT @yourMSC_2019: In our next interview @AnaKasparian will meet with @madeleine Albright, who was the first female United States Secretary…",20,0,0,0
1095787071862640648,2019-02-13 20:49:31,The arrest of journalist @mariaressa by the Philippine government is outrageous and must be condemned by all democr… https://t.co/9TcMHzz2TM,1011,2639,0,1
1094959126025814017,2019-02-11 13:59:33,RT @AspenStrategy: As the African Union summit gets underway @madeleine and Former FM Benaissa of Morocco lay out the AU’s critical role to…,8,0,0,0
1093330074504331264,2019-02-07 02:06:17,"RT @BarbraStreisand: My friend of 26 years, Ambassador Madeleine Albright and I having lunch. https://t.co/oEfH6U5zH9",1533,0,1,0
1092859580097253376,2019-02-05 18:56:42,Breaking my record for number of books signed in a day...2900! Looking forward to seeing everyone in Santa Cruz ton… https://t.co/BYtHEf4sAm,137,2000,0,1
1092825281398800388,2019-02-05 16:40:25,The #FreedomInTheWorld report released today by @freedomhouse depicts authoritarians on the offensive while democra… https://t.co/R7aYATFGC1,262,388,0,1
1091463775020974081,2019-02-01 22:30:17,Delighted to join my friend @DMiliband in making the case for a new approach to refugee resettlement which recogniz… https://t.co/QXkCI6NfdD,120,417,0,1
1090980320378343424,2019-01-31 14:29:12,"RT @JohnBerman: JUST NOW: ""I worked for presidents that actually were interested in knowing what was going on .""

Scathing assessment of @r…",3243,0,0,0
1090603960841453568,2019-01-30 13:33:41,"@shawncook01 @Morning_Joe Throughout my book tour, I will be wearing a pin depicting Mercury — the Messenger — to d… https://t.co/xGlb798Da1",2,10,0,1
1090599597662191616,2019-01-30 13:16:21,"@jrosenquist65 Don’t worry. I’ll be in Chicago later this spring, when it hopefully will no longer resemble Antarctica.",0,11,0,0
1090580186343583744,2019-01-30 11:59:13,RT @Morning_Joe: Coming up this morning: @madeleine https://t.co/JKVJ0292DS,37,0,1,0
1090355851158786048,2019-01-29 21:07:47,So the right response to intolerance is not more intolerance or self-righteousness; it is to bring together people… https://t.co/0Dlg4L9oVU,77,336,0,1
1090355754903703552,2019-01-29 21:07:24,"Flawed though our institutions may be, we need to remember that they are the best that four thousand years of civil… https://t.co/hT4Z6v0VeN",82,308,0,1
1090355664977842176,2019-01-29 21:07:03,That’s because fascist attitudes take hold when there are no social anchors and when the perception grows that ever… https://t.co/ByL81mIPmC,51,134,0,1
1090355535067705344,2019-01-29 21:06:32,"We are all familiar with the mantra: “see something, say something.” In #FascismAWarning, I propose an added exhort… https://t.co/VV8y7HmvKL",43,150,0,1
1090355383061962757,2019-01-29 21:05:55,"And whereas in the past America always stood on the side of democratic institutions and values, the Trump administr… https://t.co/RTTc9DIXQX",37,97,0,1
1090355215411367937,2019-01-29 21:05:15,"In Europe and elsewhere, extreme nationalist movements continue to scale the ramparts – shifting the terms of debat… https://t.co/H2TUx7Y5yp",26,77,0,1
1090355078547017728,2019-01-29 21:04:43,"In Brazil, voters fed up with corruption, crime, and recession turned to an openly misogynistic right-wing candidat… https://t.co/zOUrFR27VS",19,64,0,1
1090354651432734728,2019-01-29 21:03:01,"Since #FascismAWarning first appeared, heads of government with an autocratic bent have won reelection in Russia, H… https://t.co/766jxOdbZu",26,81,0,1
1090354413145858048,2019-01-29 21:02:04,"When the book was first published last year, I hoped that the fears expressed in its pages would quickly prove exag… https://t.co/pm9pescuJt",14,108,0,1
1090354167800086529,2019-01-29 21:01:06,"Tomorrow, I kick off a 10 city paperback tour for #FascismAWarning. Follow me here for updates as I talk about thre… https://t.co/q9UW6Wsxvc",263,1080,0,1
1081616667422195717,2019-01-05 18:21:23,@BookshopSC Thanks for having me. I can’t wait to be in Santa Cruz. See you all soon!,0,75,0,0
1080857303736303617,2019-01-03 16:03:57,I am excited to see so many new members of Congress arrive in Washington to begin the hard work of renewing our dem… https://t.co/s8CegqzSPP,557,4732,0,1
1079441081903783936,2018-12-30 18:16:23,"As we look ahead to 2019, I reflect on those who we lost this year. As Sec Gen of the U.N., Kofi Annan led with dip… https://t.co/yPeyIogbUK",217,970,0,1
1076178798847148032,2018-12-21 18:13:14,"This week’s events show once again that, were the president to take my course on national security decision-making,… https://t.co/SmDtTljW7R",1617,6268,0,1
1072517223275790336,2018-12-11 15:43:27,Truth is fascism’s most potent enemy. Guardians of truth are democracy’s greatest friends. Proud to see @Time honor… https://t.co/e8RG3DTRQ5,833,2630,0,1
1072155170849677312,2018-12-10 15:44:47,Honored to speak at the #GlobalCompactForMigration conference in Marrakech but disappointed that the US government… https://t.co/ZZi7Cf52Jp,277,834,0,1
1070079367622082560,2018-12-04 22:16:17,Six families of hostages held by Iran have come together to remind the U.S. government of its responsibility to do… https://t.co/P5Emelwxs4,75,193,0,1
1068986196733366273,2018-12-01 21:52:24,The @BushSchool at Texas A&amp;M University is an incredible institution that embodies President Bush’s commitment to e… https://t.co/ZeKmtdOoTq,38,330,0,1
1068877469770502144,2018-12-01 14:40:22,Today I join all Americans in honoring the extraordinary legacy of President George H.W. Bush. Although we are only… https://t.co/MCruQndVmQ,329,2193,0,1
1067512323361972224,2018-11-27 20:15:45,"Too often, women are told that violence and harassment are the costs of being involved in politics. This must end.… https://t.co/GR54dMGeD7",109,400,0,1
1061748137906171904,2018-11-11 22:30:57,70 years ago on Armistice Day my family and I arrived in America. We were greeted not by barbed wire but by the Sta… https://t.co/o7ckKAbvLi,8376,31798,0,1
1059624918206296064,2018-11-06 01:54:02,"My family and I arrived in America 70 years ago next week, after fleeing the Nazis and then the Communists who had… https://t.co/rdoQXBdf0j",1644,5955,0,1
1057322097586905090,2018-10-30 17:23:26,"Mussolini compared accumulating power to plucking a chicken one feather at a time, go slowly and no one notices. Tr… https://t.co/TvpAvjZgM4",1137,3095,0,1
