id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099262593519312897,2019-02-23 11:00:00,Massive lay-offs at #UnitedWay following “restructuring” announcement: https://t.co/mN5DbqmwP0,0,0,0,1
1099247494230364160,2019-02-23 10:00:00,Isn't it about time we have an intervention on #philanthropy? https://t.co/vwvBKzIENZ,0,1,0,1
1099232395331551232,2019-02-23 09:00:00,"""Some #nonprofits appear to have an unending supply of rationalizations for creating #wage ghettos"" https://t.co/n7F2w9mFPJ",0,2,0,1
1099217295518375936,2019-02-23 08:00:00,Value Village has been charged by the attorney general of Washington state for being a fake charity. See what Value… https://t.co/ed0nyUpZHs,0,0,0,1
1099202196913168385,2019-02-23 07:00:00,Trending in Giving -- Philanthropy We Need: Ford Foundation President Calls for Transformation:https://t.co/M4Gd0ABL57,0,1,0,1
1099187096659640320,2019-02-23 06:00:00,"""I think the entire construct of risk has been missing from most nonprofit organization governance and management d… https://t.co/gYjFBLryDy",0,0,0,1
1099108579552972800,2019-02-23 00:48:00,RT @HOUmanitarian An Update on Student Loans for Nonprofit Workers  https://t.co/NTxV9JSESA  via @npquarterly,2,1,0,1
1099093511117393925,2019-02-22 23:48:07,"RT @FRSoftware A report provides nonprofits with red flags and warning signs, relating to the work they are doing,… https://t.co/7pSSCAAsUp",0,0,0,1
1099078379750518785,2019-02-22 22:48:00,RT @NonprofitStl Good article in @npquarterly about a source to engage in discussions with and about the foundation… https://t.co/5LJcksyEwt,0,0,0,1
1099073346631806976,2019-02-22 22:28:00,"""Like January’s walkout in Los Angeles, this is fundamentally a struggle to save Oakland’s schools from the downsiz… https://t.co/7G2MZA0uVJ",0,0,0,1
1099068403971702784,2019-02-22 22:08:21,Important lessons on looking beyond the data from an elementary school in danger of closing: https://t.co/GndKLkObTd,0,0,0,1
1099063331384643584,2019-02-22 21:48:12,RT @thecathyshow I've frequented GrantAdvisor since its beta stage &amp; hope everyone uses it. Feedback in philanthrop… https://t.co/mw7bK8PcS2,0,1,0,1
1099058300694470657,2019-02-22 21:28:13,".@SNHU is, like many colleges, rebranding for adult learners seeking clear #educational outcomes: https://t.co/OpyiZ1hmeV",0,0,0,1
1099053226345857025,2019-02-22 21:08:03,"“Public universities receive 43% of their revenues from grants, federal contracts, or appropriations on average, wh… https://t.co/mJ3tuW77B3",3,1,0,1
1099048207122862086,2019-02-22 20:48:06,RT @RobinCabralCFRE Who is your Board accountable and who owns your nonprofit? These questions are a must to ask an… https://t.co/9eCNohcfiz,0,0,0,1
1099043195181285377,2019-02-22 20:28:11,"Yelp ratings for foundations? In this podcast, @TinySpark_org asks @Grandt_Advisor co-directors about the real impa… https://t.co/Uzl2K0o40W",0,0,0,1
1099038269088632832,2019-02-22 20:08:37,Shocking new documents reveal Purdue intentionally misrepresented OxyContin’s strength to doctors in an effort to g… https://t.co/4VZVSMusH8,0,0,0,1
1099033081342767109,2019-02-22 19:48:00,RT @Boozang Interesting model at Harrisburg University of Science and Technology. They've rethought the business mo… https://t.co/Z4E6QREEbA,0,0,0,1
1099028108705976326,2019-02-22 19:28:14,#Utah story on possible closing of their local elementary school reminds us to look past data and statistics: https://t.co/WwHu7kvq5F,0,0,0,1
1099023866071007235,2019-02-22 19:11:23,"Yesterday, 3,000 Oakland teachers walked out, joining a national teacher protest wave that so far has involved over… https://t.co/MYeZ5hr78H",2,3,0,1
1099018052069453825,2019-02-22 18:48:17,RT @familygiving Why time spent volunteering is not tax-deductible #philanthropy  https://t.co/qeuLeTrjWx,0,0,0,1
