id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099173208433938434,2019-02-23 05:04:49,RT @Fahrenthold: NEW: *Another* Trump-branded building in NYC will take down @realdonaldtrump's name. That's the second one in two days. ht…,2745,0,0,0
1099171304807124992,2019-02-23 04:57:15,"RT @tommyxtopher: Here's the @SenFeinstein video threaded #DianneFeinstein To recap: she engaged on substance, told them she might vote ""ye…",4153,0,0,0
1099156433994637312,2019-02-23 03:58:09,@JeffreyGuterman @MalcolmNance @CNN Is he a friend of Donald J. Trump’s?,1,4,0,0
1099156205174288384,2019-02-23 03:57:15,RT @JeffreyGuterman: Police report they will be soon arresting John W. Childs for a charge related to human trafficking in Palm Beach count…,784,0,0,0
1099111764786999296,2019-02-23 01:00:39,RT @HillaryClinton: The administration just put a gag rule in place that bars Title X health care providers from referring patients for saf…,17119,0,0,0
1099068948727746560,2019-02-22 22:10:31,@PPact #NoGagRule #DontGagMyCare #NoGagRule #DontGagMyCare #NoGagRule #DontGagMyCare #NoGagRule #DontGagMyCare… https://t.co/JjR6Djb4Na,5,9,0,1
1099068869350576128,2019-02-22 22:10:12,RT @PPact: The gag rule will effectively dismantle the Title X program — a program meant to ensure that people with low incomes can access…,452,0,0,0
1099068482656714753,2019-02-22 22:08:40,"RT @PPact: BREAKING: Despite massive opposition, the Trump-Pence administration just released its unethical gag rule, making it illegal for…",3080,0,0,0
1099068332794249217,2019-02-22 22:08:04,"RT @MooPersists: @activist360 Why are rightwing Christians so attracted to Donald Trump, a toxic amoral man who surrounds himself with soci…",4,0,0,0
1099054621547421696,2019-02-22 21:13:35,"RT @ecrenda: This is an all out declaration of war on women's access to health care in America. 

4 million Americans, most of whom are low…",146,0,0,0
1098825108800516096,2019-02-22 06:01:35,"RT @PhilippeReines: Mueller’s Report is 100% certain to leave 100% of America angry

trump won’t be arrested
He won’t be exonerated

It’ll…",1312,0,0,0
1098824815648006145,2019-02-22 06:00:25,"RT @JuddLegum: 3. One important point was that Mark Harris and his legal team tried to hide all of this from investigators

John Harris sai…",1592,0,0,0
1098824605257498624,2019-02-22 05:59:35,RT @JuddLegum: 2. John Harris laid out in meticulous detail how he had warned his father for YEARS that McCrae Dowless was breaking the law…,1307,0,0,0
1098824382372171777,2019-02-22 05:58:42,"RT @JuddLegum: 1. What happened yesterday in North Carolina was one of the most extraordinary things I’ve ever seen in politics.

For month…",8028,0,0,0
1098824316508983296,2019-02-22 05:58:26,"RT @JuddLegum: Before the hearing began Mark Harris was demanding he be certified as the winner of the election

Then his son testified

No…",978,0,0,0
1098685806724534273,2019-02-21 20:48:03,"RT @ZoeTillman: Another thing of note while we wait: Stone told the pretrial services office that he earns $47,000 per month",594,0,0,0
1098679448960851968,2019-02-21 20:22:47,RT @KagroX: It is super weird how there is something deeply and pathologically wrong with EVERY SINGLE MEMBER OF TRUMP’S CABINET. https://t…,424,0,0,0
1098395161061580800,2019-02-21 01:33:08,"RT @robreiner: From what I understand about the complexities, opaqueness and length of counterintelligence investigations, I’d be surprised…",5261,0,0,0
1098369547214540801,2019-02-20 23:51:21,"RT @MooPersists: Analysis | How little of Mueller’s work can the Trump administration get away with releasing? 
| The Washington Post
#Muel…",11,0,0,0
1098369500922011648,2019-02-20 23:51:10,"RT @MooPersists: Trump has tried to obstruct, silence and sabotage the #MuellerProbe for two years.

Now suddenly, Trump’s comfortable w/Ro…",7,0,0,0
1098369469208879105,2019-02-20 23:51:02,"RT @PuestoLoco: A ""summary""?? Really? House Dems need to subpoena Mueller and all his evidence ASAP. No excuses. Do it now @SpeakerPelosi @…",21,0,0,0
1098369454851772416,2019-02-20 23:50:59,"RT @MooPersists: SURE SEEMS SUSPICIOUS that Mueller’s probe is ending right after Barr enters the DOJ, —just as the WH expected. 

@mschlap…",10,0,0,0
1098325264390451200,2019-02-20 20:55:23,RT @MalcolmNance: Is @CNN Mueller report true? I think it may be something closer to what @emptywheel assesses rather than the massive repo…,396,0,0,0
1098260035631607808,2019-02-20 16:36:11,"RT @EricBoehlert: three weeks ago NYT publisher sat at Trump's knee in Oval Office and politely asked him to stop attacking the press. 

LO…",270,0,0,0
1098259824008032257,2019-02-20 16:35:21,"RT @EricBoehlert: hmm, Sanders voted for ‘90s Clinton Crime Bill “while strongly opposing measures that would lead to mass incarceration.”—…",79,0,0,0
1098258686894469120,2019-02-20 16:30:50,"RT @dailykos: Somebody's been forging Nobel Peace Prize nominations for Donald Trump. No, really https://t.co/pqFyoimPh2",63,0,0,1
1098258391003062274,2019-02-20 16:29:39,RT @robreiner: THE PRESIDENT OF THE UNITED STATES IS THE ENEMY OF THE PEOPLE!,18638,0,0,0
1098177421541498885,2019-02-20 11:07:55,RT @thehill: #BREAKING: Trump nominates top Transportation official to replace Rosenstein at Justice Dept https://t.co/nJSgTU0qSN https://t…,104,0,0,1
1098176452514656257,2019-02-20 11:04:04,"RT @NatashaBertrand: And here is what McCabe says about this in the book: ""Now that the Gang of Eight was a crowd of two dozen in the room,…",5806,0,0,0
1098114922402045952,2019-02-20 06:59:34,CA Gov. Newsom said in a statement: “It’s no coincidence that the Administration’s threat comes 24 hours after Cali… https://t.co/v3f7RYX6Bw,6,5,0,1
1098112872205365248,2019-02-20 06:51:25,"Trump administration announced plans to cancel $929 million in California’s high-speed rail funding, a move US offi… https://t.co/wSlp7LOaZx",4,2,0,1
1098076418989121536,2019-02-20 04:26:34,"RT @robreiner: The Pathological Liar’s criminal behavior and impeachable offenses are so overwhelming that, except for the 20 GOP cult memb…",6965,0,0,0
1098075153089449986,2019-02-20 04:21:32,RT @AmandaMarcotte: https://t.co/ENXlsncd5r Federally subsidized childcare may not rate as a sexy issue in our male-dominated media landsca…,126,0,0,1
1098062818480279552,2019-02-20 03:32:31,RT @dailykos: Conservative ideology is based in the belief white people are the true victims in American society https://t.co/p7lUGX0Rik,30,0,0,1
1097967354309357568,2019-02-19 21:13:11,"RT @DavidCornDC: Ronna, a serious question that has never been answered. Can you explain why @realDonaldTrump repeatedly said the Russians…",2632,0,0,0
1097961125478510592,2019-02-19 20:48:26,RT @sabrinasingh24: Elections matter. Good things happen when Democrats are in office. https://t.co/ZHsswH9jfw,70,0,0,1
1097953073941557248,2019-02-19 20:16:26,"RT @Will_Bunch: In my new column, I argue Kamala Harris is already breaking out of the Democratic pack -- not because of any bold ideas but…",132,0,0,0
1097947147964563456,2019-02-19 19:52:53,RT @EricBoehlert: lock him up! https://t.co/cv2Bz6YkqI,56,0,0,1
1097947105878921216,2019-02-19 19:52:43,RT @EricBoehlert: dissent is never tolerated https://t.co/ZXhkKGzxQj,6,0,0,1
1097947059745771521,2019-02-19 19:52:32,"RT @EricBoehlert: the good news is DC press seems open and eager to cover 2020 campaign of Dem candidate who did not win in 2016

the bad n…",44,0,0,0
1097946990346784768,2019-02-19 19:52:16,RT @ewarren: The @NRA works around the clock to buy off or bully members of Congress and gut opportunities for real gun reform. I'm not afr…,1252,0,0,0
1097946829298098176,2019-02-19 19:51:37,"RT @KagroX: Nukes? Sure. Hold on, I'll have them delivered. https://t.co/sNzZQ6ZO5Y",38,0,1,0
1097946682682036224,2019-02-19 19:51:02,"RT @JoyAnnReid: Intimidation, Pressure and Humiliation: Inside Trump’s Two-Year War on the Investigations Encircling Him - The New York Tim…",276,0,0,0
1097946649421262849,2019-02-19 19:50:54,RT @Heidi_Cuda: “SDNY federal prosecutors..have jurisdiction over the president’s* political operation and biz—subjects that aren’t protect…,281,0,0,0
1097945583942160384,2019-02-19 19:46:40,RT @LucasRAcosta: You're either an ally or you're not — and this President has proven time and again he is not. Trump cannot legitimately d…,67,0,0,0
1097944999121932288,2019-02-19 19:44:21,RT @DavidCornDC: Sanders is running. Read this great piece by @timothypmurphy to understand him. https://t.co/BjRpP4ULiV,25,0,0,1
1097944919308521473,2019-02-19 19:44:02,"RT @MotherJones: Maya Harris helped edit Michelle Alexander's ""The New Jim Crow."" Now she's chairing her sister Kamala Harris' presidential…",41,0,0,0
1097944822017548288,2019-02-19 19:43:39,RT @robreiner: One man stands in the way of the survival of our Democracy. That man is Mitch McConnell. Long ago The Pathological Liar cros…,13234,0,0,0
1097888979372785664,2019-02-19 16:01:45,"RT @MotherJones: Read Bernie Sanders' 1970s-era essays on sex, cancer, revolution, and fluoride https://t.co/hbZTETj9D5",87,0,0,1
1097876622424780801,2019-02-19 15:12:39,RT @dailykos: New York has already made great strides on voting rights. These reforms should be next https://t.co/NmzUnlpizH,9,0,0,1
1097876130202234880,2019-02-19 15:10:41,RT @JillWineBanks: This should become the most popular hashtag ever. #WhyAllTheLies. https://t.co/cG94JiYXDq,2245,0,0,1
1097876074766057473,2019-02-19 15:10:28,"RT @tedlieu: 18 USC § 115: Whoever ""threatens to assault, kidnap, or murder, a ... [US] judge ... with intent to impede, intimidate, or int…",13915,0,0,0
1097876031841550336,2019-02-19 15:10:18,"RT @RawStory: MSNBC's @NicolleDWallace's advice to the Republicans: 'This is your moment to get off of the Titanic, folks' https://t.co/SIM…",844,0,0,0
1097875977806344192,2019-02-19 15:10:05,RT @jwgop: Andy McCabe was fired and villified because he put America over Trump and Russia. Fact.,5881,0,0,0
1097875899377115136,2019-02-19 15:09:46,"RT @GeorgeTakei: You sound upset, Donald. Guess you must have been told more bad news about the investigation. Happy Presidents Day! https:…",3193,0,0,0
