id,created_at,text,retweet_count,favorite_count,media_count,url_count
1045801483206307841,2018-09-28 22:24:38,@beatrixcampbell THANK YOU @beatrixcampbell  for this thoughtful and necessary article.,0,1,0,0
1045422401205481473,2018-09-27 21:18:18,"RT @TimMilesWright: With 19 parties already, the UN Treaty on the Prohibition of Nuclear Weapons is setting a record pace for ratification…",112,0,0,0
1045419603311169538,2018-09-27 21:07:11,In UK watching Dr Christine Ford give evidence in US Senate of being assaulted by Brett Kavanaugh.  I believe her a… https://t.co/pNxsVOfOZD,0,3,0,1
1042149865747361794,2018-09-18 20:34:24,"I'm honoured to be invited to speak on behalf of ICAN @nuclearban in this seminar ""Non-violence is the path"" with H… https://t.co/fchnB1UzqF",15,34,0,1
999684191473225728,2018-05-24 16:10:59,RT @nuclearban: The future of the Korean Peninsula does not belong to Trump. Today's cancellation shows once more that the path forward to…,94,0,0,0
999123489687666689,2018-05-23 03:02:57,On our way to entry into force by 2020!  This #nuclearban  treaty is an important legal and political tool for denu… https://t.co/fQJ46KQCzP,2,11,0,1
999121875472035840,2018-05-23 02:56:32,RT @NobelWomen: This is an international conflict and we have a responsibility as International women  to see a #peacetreaty through #Korea…,7,0,0,0
999121486630633472,2018-05-23 02:54:59,RT @AcronymInst: In Seoul with #WomenPeaceKorea listening to founder @christineahn and @NobelWomen Mairead Maguire giving powerful speeches…,1,0,0,0
999121399141744640,2018-05-23 02:54:38,"RT @AcronymInst: Today @christineahn of Women Cross DMZ announced #WomenPeaceKorea campaign for Korean peace treaty by 2020.  As she says,…",9,0,0,0
999055093289836544,2018-05-22 22:31:10,Glad to be in Seoul with #Womenpeacekorea. Since many have asked what the #Libya model that John Bolton and… https://t.co/VXxtTnbEG1,15,22,0,1
956305044156149766,2018-01-24 23:17:44,https://t.co/HXXk5J95Uc.  Better to send this misogynistic 'charity' money to #rapecrisis who support survivors of sexual violence,2,4,0,1
910997963920625664,2017-09-21 22:43:34,RT @AcronymInst: On day1 50 nations signed #nuclearban Treaty @UN. #UK will follow despite current opposition writes Rebecca Johnson https:…,6,0,0,0
904313677595201536,2017-09-03 12:02:36,It should be obvious with #KimJongUn + #DonaldTrump: there are no safe hands for #nuclearweapons.  Support… https://t.co/YrgJOj0iqp,25,23,0,1
880326850446327809,2017-06-29 07:27:31,"RT @RCW_: Dealing with disarmament, victims, and the environment in the prohibition treaty. Latest #NuclearBan Daily is out! https://t.co/1…",28,0,0,0
880326759278936064,2017-06-29 07:27:09,RT @MakeVotesMatter: The writing's on the wall. Join the movement for #ProportionalRepresentation: https://t.co/PGQ18fPxvB https://t.co/IOe…,81,0,0,1
880326532325101568,2017-06-29 07:26:15,RT @laylamoran: Proud to have signed this amendment and support @CarolineLucas with this https://t.co/UewlMJkoFN,188,0,0,1
877194064558526464,2017-06-20 15:58:57,And in #UK @Tridentploughshares Town Criers raised awareness of Convention on the Prohibition of Nuclear Weapons ne… https://t.co/LhpVFRg2zX,1,0,0,1
877192270180753411,2017-06-20 15:51:49,"RT @teamcaroline_1: Still none the wiser about why UK govt isn't in the room for UN #nuclearban talks, despite long mtg with ambassador, sa…",341,0,0,0
877192162689122304,2017-06-20 15:51:23,RT @teamcaroline_1: Outside @UN after briefing to prepare for nuclear ban treaty talks @CarolineLucas @cnduk https://t.co/n9rcpkWprM,207,0,1,0
877192041930817536,2017-06-20 15:50:54,"RT @teamcaroline_1: Just because Theresa May hasn't bothered to turn up, doesn't mean the UK's not represented at UN #nuclearban talks @Car…",795,0,0,0
876475590836203521,2017-06-18 16:23:59,Great article fm @CarolineLucas on #nuclearban treaty negots resuming in NY https://t.co/z6LBFfHlFb.  We'll meet… https://t.co/6keUSdFiTs,30,46,0,2
876474533611524096,2017-06-18 16:19:47,RT @TheGreenParty: .@CarolineLucas on why a world free from nuclear weapons is not just possible - it is being created https://t.co/IfQhuHT…,200,0,0,0
876250080243855360,2017-06-18 01:27:53,So much rain at #womenbanthebomb march in NY will just make us grow.. https://t.co/xqZyFQCTqs,3,6,1,0
876248557640175617,2017-06-18 01:21:50,#Green leader @CarolineLucas pays tribute to 100 years #womenpeacemakers +calls #UK PM to join UN #nuclearban treat… https://t.co/8zKrmVEbkW,43,96,0,1
876244347246833664,2017-06-18 01:05:06,Thank you #nuclearban treaty Chair Amb Elayne Whyte receiving #Hibakusha 3 million signatures #womenbanthebomb in… https://t.co/WoUBDHGDdE,9,15,0,1
876238064548540418,2017-06-18 00:40:08,Despite monsoon rain in #NY great #womenbanthebomb demo NY. #Hibakusha brought 3 million signatures calling for the… https://t.co/zXG382KLcm,20,17,0,1
875820640116379651,2017-06-16 21:01:27,Where is #UK ambassador while #UN negotiates on multilateral disamament?  Absent fm democracy like @theresa_may… https://t.co/iKtLcWBJeR,3,7,0,1
875818475629010945,2017-06-16 20:52:51,RT @AcronymInst: Powerful statement @UN #nuclearban treaty from #Aboriginal #Australian about #UK nuclear testing that poisoned the land in…,6,0,0,0
875815559492927488,2017-06-16 20:41:15,This is what Autralia's Karina Lester was holding when she spoke to #nuclearban negotiations for Anangu Pitjantjatj… https://t.co/M3dTHO9KHU,5,2,0,1
875376487716749312,2017-06-15 15:36:33,Beautiful...The best way we can support #Hibakusha + commemorate past wars and tragedies is to prevent them happeni… https://t.co/zPwCGPGQD7,15,20,0,1
875371236427255809,2017-06-15 15:15:41,Looking forward to joining @WMTBTB March in New York with @CarolineLucas and #Hibakusha fm Hiroshima+Nagasaki as UN… https://t.co/vk2FSYT48I,0,3,0,1
875368264645439489,2017-06-15 15:03:52,RT @RCW_: Important for #nuclearban to delegitimise nuclear weapons as an object and nuclear deterrence as a concept - @indonesiaunny,3,0,0,0
875363457184485377,2017-06-15 14:44:46,#UN negotiations on Convention to Prohibit Nuclear Weapons opened by Chair @elaynewhyte . Exciting developments ahe… https://t.co/EaNpqymj0e,9,11,0,1
872866274648436736,2017-06-08 17:21:51,RT @hackneygreens: In case you were wondering what happened in #Hackney North in 2015. Vote Green to push the Tories into 3rd. #VoteGreen20…,7,0,0,0
872606602221813760,2017-06-08 00:10:00,"Thanks @sianberry. I've also campaigned w @jeremycorbyn for decades for #nuclearban, #nonviolent solutions+… https://t.co/vp4RQmb68E",11,22,0,1
872603818864893952,2017-06-07 23:58:57,RT @TheGreenParty: Clean air isn't a choice. It's a right. 💚 Share if you're standing up for the environment with us. #GE2017 https://t.co/…,78,0,0,0
872603486944362497,2017-06-07 23:57:38,RT @AcronymInst: Are there links between #gender and #nuclearweapons? Yes. We did a short interview on camera with @RCW_ See it here https:…,19,0,0,0
872603177807474692,2017-06-07 23:56:24,"RT @BrentGreens: Every single #Green vote counts! 
Check out @CarolineLucas of @TheGreenParty via link below who will tell you why! 
https:…",14,0,0,0
872603019074043909,2017-06-07 23:55:46,RT @jon_bartley: Renewables train is leaving the station. Those who ignore their central role will be left behind @theresa_may @POTUS https…,178,0,0,0
872602962023075842,2017-06-07 23:55:32,RT @TheGreenParty: Tomorrow we have the chance to make history. RT if you're voting Green 💚 #ImVotingGreen https://t.co/DntLVRaRdp,194,0,1,0
872602786445316096,2017-06-07 23:54:51,RT @jon_bartley: Sacrificing our human rights is letting terrorists win. It would be a knee jerk reaction and risks being dangerously count…,143,0,0,0
872602550821847040,2017-06-07 23:53:54,Nuclear energy is uneconomic technology that creates #proliferation risks + unsolvable #radwaste problems for 24000… https://t.co/iEAB2myCce,1,1,0,1
872486012202700801,2017-06-07 16:10:49,"RT @WhyToVoteGreen: Undecided between Labour and @TheGreenParty? 
Please consider these important differences. 
More Green MPs could make a…",164,0,0,0
872485903880605696,2017-06-07 16:10:24,"RT @TheGreenParty: How you cast your vote will shape the future. Every single vote counts. Tomorrow, #VoteGreen2017. https://t.co/QgEdxfnDCK",296,0,1,0
872440247812050945,2017-06-07 13:08:58,RT @hackneygreens: Fact #3 about @alastairis: Alastair is a true Hackneyite. He grew up in the borough and went to school here. #votegreen…,4,0,0,0
872418836888391680,2017-06-07 11:43:54,RT @hackneygreens: Fact #3 about @GreenRebJohnson:  Rebecca has been nominated for the Nobel Peace Prize not once but TWICE! #votegreen in…,8,0,0,0
872410074144231425,2017-06-07 11:09:04,RT @hackneygreens: Fact #2 about @alastairis: Alastair volunteers at Hackney's Winter Night Shelter for the homeless #votegreen in #ge2017…,8,0,0,0
872391637023981568,2017-06-07 09:55:49,RT @hackneygreens: Fact #2 about @GreenRebJohnson (Hackney S. &amp; Shoreditch): Rebecca took part in Greenham Common Women's Peace Camp in the…,4,0,0,0
872240772216745985,2017-06-06 23:56:20,Opposing #climatechange is necessary to tackle #poverty. Support #ParisAgreement + #womenbanthebomb.… https://t.co/20WutG4hz0,0,1,0,1
872239081371181056,2017-06-06 23:49:37,"RT @jrf_uk: What is poverty? Find out more about causes, consequences, definitions and measurements of #ukpoverty https://t.co/CF3acMafAH h…",69,0,0,1
872234551854157824,2017-06-06 23:31:37,RT @TheGreenParty: Every. Vote. Matters. 💚 https://t.co/ogqbR1J1kS,108,0,1,0
872233913191727105,2017-06-06 23:29:04,"RT @Keir_Starmer: Desperate but predictable stuff from weak PM. Instead of serious response, pretends human rights are the problem.  https:…",6347,0,0,0
872233012968271876,2017-06-06 23:25:30,"#VoteGreen for real security, peace and democracy, not billions of pounds on #Trident like @Meg_HillierMP so help p… https://t.co/MHC4Uc1G9r",0,4,0,1
872219699437871104,2017-06-06 22:32:36,"RT @alastairis: Had a great evening flyering in #Dalston with this little champion, then went to @EasternCurve #Hackney #VoteGreen2017 http…",3,0,0,0
872066079039926274,2017-06-06 12:22:10,"RT @TheGreenParty: Let’s make teaching a rewarding career, not a tick box exercise full of fear. Only we’d abolish @Ofstednews and end stre…",36,0,0,0
872019992904183808,2017-06-06 09:19:02,RT @TrustMeTony: @GreenRupertRead @LonGreenParty But there is too much tolerance of extremism - from @Theresa_May. https://t.co/SO4l8Y29nV,6,0,1,0
872017332381638656,2017-06-06 09:08:27,"RT @MakeVotesMatter: .@TheGreenParty has signed our open letter calling on @UKLabour and @Conservatives to back fair votes. You can too:
ht…",86,0,0,0
872017164294868993,2017-06-06 09:07:47,RT @TheGreenParty: One more MP from the other parties makes no real difference. But more Green MPs will be truly transformative. #VoteGreen…,106,0,0,0
872015849611251712,2017-06-06 09:02:34,"RT @Moore_201294: @CarolineLucas @LonGreenParty @TheGreenParty @BBC Sad to see that on a pivotal issue such as security, #VictoriaLIVE also…",3,0,0,0
872015111552192513,2017-06-06 08:59:38,Ridiculous that @bbc has UKIP but denied @CarolineLucas voice @BBCWomansHour. Greens lead + influence forward-looki… https://t.co/ErepbnbAg8,34,52,0,1
871755604209135617,2017-06-05 15:48:27,RT @TheGreenParty: Freedom to move is freedom to live 💚 https://t.co/UDZQSBwzXL,135,0,1,0
871498856202203136,2017-06-04 22:48:13,This is #MyPledge4PR. I promise to continue to campaign for fair votes @MakeVotesMatter https://t.co/uvTHw7zqI5 https://t.co/0oApBlWFY0,3,10,1,1
871494156568244224,2017-06-04 22:29:33,RT @OwenJones84: The government must immediately publish the suppressed report on jihadi funding and Saudi links. https://t.co/s1ClDlOJDH,5572,0,0,1
