id,created_at,text,retweet_count,favorite_count,media_count,url_count
1103227639857336320,2019-03-06 09:35:40,"With a week till the Spring Statement, I’m calling on the govt to listen to teachers across the UK, and bring forwa… https://t.co/QR7pOsyO0U",0,0,0,1
1102975382326857728,2019-03-05 16:53:18,"Any investment in our community is welcome, but £1.6 Billion fund that govt has announced is pitifully low, and won… https://t.co/040NVOMRdR",0,0,0,1
1100785953919168512,2019-02-27 15:53:17,"If you have an issue which you need to speak to me about, please e-mail me at baileya@parliament.uk. If you wish to… https://t.co/s2N026buAv",0,1,0,1
1100779842474311681,2019-02-27 15:29:00,"RT @lynbrownmp: I've asked @Theresa_May to intervene and get Maryam, a 6 month old baby, treatment she urgently needs. 
She's being used as…",289,0,0,0
1100386537206894593,2019-02-26 13:26:09,Pleased to announce the launch of my new website. For updates about my activities in Westminster and West Bromwich… https://t.co/eQQ7HiaUrI,1,6,0,1
1095696097803227136,2019-02-13 14:48:01,Young carers make extraordinary sacrifices in order to support their families. We must do more to make sure that th… https://t.co/EtANtIsziw,0,1,0,1
1095353660274630656,2019-02-12 16:07:17,Theresa May's negotiating strategy for Brexit has failed. The only way she can deliver a deal that works for the wh… https://t.co/WO27XPOjUE,0,3,0,1
1092718479633993729,2019-02-05 09:36:01,"Great to be at the premiere of a new film focusing on local legend @blinddaveheeley, the first blind person to comp… https://t.co/XfL9m8sGgQ",8,8,0,1
1092376354174234624,2019-02-04 10:56:32,"Honoured to meet Lia Lesser, 85, at a Holocaust Remembrance Event in West Brom last week, who was one of the childr… https://t.co/mqKT4K1Fho",0,0,0,1
1090574339051794436,2019-01-30 11:35:58,"Inspiring story that shows the immense compassion of all those who donated to the Crowdfunding efforts, as well as… https://t.co/UwYbj0PwpG",0,2,0,1
1088754113796628480,2019-01-25 11:03:03,Glad to have spoken at last night's ME Debate in the House of Commons. Hopefully we were able to shine a light on t… https://t.co/muPd0sYcFU,7,50,0,1
1088482403314737152,2019-01-24 17:03:22,Honoured to be with family and friends of Cyril Regis at a ceremony to name a special West Midlands Metro tram in h… https://t.co/XnpGUPqDVR,0,1,0,1
1085861199474962433,2019-01-17 11:27:38,"Yesterday I added my signature to @HolocaustUK's Memorial Book in Parliament. In an increasingly unstable world, it… https://t.co/zDthJMsTQb",6,9,0,1
1085483219187892224,2019-01-16 10:25:41,"Following last night’s resounding defeat in the Commons, the PM needs to build a cross party consensus for a Brexit… https://t.co/XzAjJcxC92",0,2,0,1
1082268360157601792,2019-01-07 13:30:59,Both Theresa May's deal and leaving the EU on WTO terms would fail to protect jobs in the Black Country. My speech… https://t.co/jLtLFMAIoj,0,2,0,1
1075339340602138625,2018-12-19 10:37:32,Pleased to announce that 9 year-old Siena Moore of Summerhill Primary Academy is the winner of my 2018 Christmas Ca… https://t.co/6URc6ePXfw,1,3,0,1
1073239948306903040,2018-12-13 15:35:18,"RT @WestMidsPCC: We've been told to expect the police funding settlement later today. @WMPolice has lost £175 million and over 2,000 office…",14,0,0,0
1073226918802141184,2018-12-13 14:43:31,The new police funding settlement is a real terms cut for W. Mids Police. The government urgently needs to listen t… https://t.co/T6uqScWCTd,1,1,0,1
1072876095622520833,2018-12-12 15:29:28,"Proud to support @APPGBritMuslims' #IslamophobiaDefined campaign, calling for parties to adopt a working definition… https://t.co/yzdfOox6MF",0,1,0,1
1070732794039549953,2018-12-06 17:32:46,Theresa May’s Brexit Agreement  is a worst of all worlds deal that does not deliver for jobs in the West Midlands.… https://t.co/Q0zioSspvW,2,2,0,1
1070731535014334464,2018-12-06 17:27:45,Theresa May’s Brexit Agreement  is a worst of all worlds deal that does not deliver for jobs in the West Midlands.… https://t.co/AUvN64i2Rl,1,1,0,1
1070658237429628928,2018-12-06 12:36:30,"W. Mids Police have lost 2,000 officers since 2010 due to govt cuts. I've joined other Labour MPs from the W. Mids… https://t.co/HKFoA3mPDO",2,4,0,1
1069982547948564480,2018-12-04 15:51:33,"Great to meet the finalists of the UK Youth Rocketry Challenge in Parliament last week, which offers a fun way to i… https://t.co/QAO5sEnQ2M",0,2,0,1
1067751453681438720,2018-11-28 12:05:59,"With the current uncertainty surrounding Brexit, it is vital that plans are in place to secure the supply of medici… https://t.co/CAThm7Ka5v",0,3,0,1
1067365700749205504,2018-11-27 10:33:08,"Fireworks are enjoyed by a great many people every year, but we need more effective regulation and enforcement to s… https://t.co/cjbRBEQUpa",0,2,0,1
1067365213920464896,2018-11-27 10:31:12,"Fireworks are enjoyed by a great many people every year, but we need more effective regulation and enforcement to s… https://t.co/WwfHbkUyXH",0,0,0,1
1067364852145029120,2018-11-27 10:29:46,"Fireworks are enjoyed by a great many people every year, but we need more effective regulation and enforcement to s… https://t.co/tYRRDROga0",0,0,0,1
1067364316620427264,2018-11-27 10:27:38,"Fireworks are enjoyed by a great many people every year, but we need more effective regulation and enforcement to s… https://t.co/msJKb5A3R7",0,0,0,1
1067362373453910016,2018-11-27 10:19:55,"Fireworks are enjoyed by a great many people every year, but we need more effective regulation and enforcement to s… https://t.co/uDeHGZww4e",0,1,0,1
1065569236989423616,2018-11-22 11:34:38,Great to host my constituent Narinder Garcha in Westminster yesterday as she attended the #AskHerToStandDay. 100 ye… https://t.co/C1kfXQEvra,2,2,0,1
1064495191892127744,2018-11-19 12:26:45,Our current tax regime is damaging both our motor industry and our environment. My speech on #budget2018 (3/3) https://t.co/VAFIy6ZzVO,0,0,1,0
1064494815516205057,2018-11-19 12:25:16,Our current tax regime is damaging both our motor industry and our environment. My speech on #budget2018 (2/3) https://t.co/BBA3bp9RwQ,0,1,1,0
1064494248215699456,2018-11-19 12:23:00,Our current tax regime is damaging both our motor industry and our environment. My speech on #budget2018 (1/3) https://t.co/bMdk8p8k7i,0,0,1,0
1062657174353141760,2018-11-14 10:43:08,I’m supporting World Diabetes Day 2018. It is vital that we raise awareness to ensure that diabetes can be diagnose… https://t.co/UitLCCozRN,0,7,0,1
1062651702132854785,2018-11-14 10:21:23,Privileged to meet 95 year old WW2 veteran Haji Karam Ellahi of Tipton at Sunday’s memorial service in Victoria Par… https://t.co/IAGh5RMWjH,0,2,0,1
1062368180998455296,2018-11-13 15:34:46,Honoured to be part of Tipton Remembrance Parade and memorial service this weekend. 100 years on from Armistice Day… https://t.co/CuGK6l8ORV,0,0,0,1
1062349712609759232,2018-11-13 14:21:23,"RT @UKLabour: On the 100th anniversary of the end of WWI, we remember all those who lost their lives in war, and strive to build a world of…",564,0,0,0
1060483036511383552,2018-11-08 10:43:53,"My next round of constituency surgeries will be held in Wednesbury, Oldbury, and Tipton on Friday 7th December 2018… https://t.co/WTyGG7adsT",1,0,0,1
1055126252401647619,2018-10-24 15:57:56,"I’m in to #EndHomelessness because in one of the richest countries in the world, everyone should have a roof over t… https://t.co/gm2G0QhsIV",12,24,0,1
1050322968138661888,2018-10-11 09:51:24,RT @CoopParty: WATCH: @JimfromOldham at #PMQs this lunchtime taking the Prime Minister to task for the continued delay in appointing a new…,47,0,0,0
1019570375993249792,2018-07-18 13:11:34,@mencap_charity Done.,0,1,0,0
1018200181500731397,2018-07-14 18:26:55,"RT @WestMids_CA: Today @blackcountrylep launches the #MadeInTheBlackCountry campaign for @officialBCDay – RT support for the region, its bu…",13,0,0,0
1016719796476497920,2018-07-10 16:24:23,RT @RachelReevesMP: Big pub companies are gaming the system and bullying tenants into accepting poor terms. Govt must act urgently to ensur…,8,0,0,0
1016664818718330880,2018-07-10 12:45:56,Was pleased to join my colleague @annaturley for this important debate. The steel industry is vital to the strength… https://t.co/kTNuTDCAbj,4,7,0,1
1014492102334480385,2018-07-04 12:52:20,"Yesterday, I asked the Chancellor what assessment he had made of the potential loss of business investment in the c… https://t.co/nY90HNGrb9",0,1,0,1
1014115878785441793,2018-07-03 11:57:21,"RT @CoopParty: We know that a radical expansion of co-ops must be at the heart of plans for a fairer, stronger economy. Today an independen…",53,0,0,0
1011653078255263744,2018-06-26 16:51:04,"@CarlHipkiss In short, because we can't afford to lose any more business when our future economic strength as a cou… https://t.co/1eohXdACQ3",0,0,0,1
1011284661279092737,2018-06-25 16:27:06,RT @MattWestern_: Proud that my letter to the Secretary of State for Work and Pensions calling for reform of the Disability Benefit system…,100,0,0,0
1008765739183083520,2018-06-18 17:37:48,I welcome Gov announcement on NHS funding – but how it is spent is critical. I asked Jeremy Hunt whether any money… https://t.co/7EnPNTSrkV,0,5,0,1
1004040225302204416,2018-06-05 16:40:18,"@Brummie_Jen Hi Sarah, I'm afraid I couldn't be in the Chmaber today as I am currently recovering from a hip replac… https://t.co/6C8hqqvGNE",0,0,0,1
1004039953586761728,2018-06-05 16:39:13,"@sarkerton Hi Sarah, I'm afraid I couldn't as I am currently recovering from a hip replacement and thus away from W… https://t.co/M1k7pK5L8M",0,1,0,1
1003932634974695424,2018-06-05 09:32:47,"@dylanblues Hi Nick, details are correct, as is email address - adrian.bailey.mp@parliament.uk. if you're still hav… https://t.co/mwoFczLBID",0,0,0,1
1002078775213985793,2018-05-31 06:46:12,"@p17rgy How strange - try my Caseworker on cromptonm@parliament.uk and she will bring it to my attention. Thanks Lee, you too!",0,0,0,0
1002077601744158720,2018-05-31 06:41:32,"@p17rgy Hi Lee, please email me at adrian.bailey.mp@parliament.uk. Best wishes, Adrian.",0,0,0,0
996706459130920964,2018-05-16 10:58:32,RT @CommonsBEIS: Our Chair @RachelReevesMP comments on the publication of our report on the collapse of Carillion. https://t.co/M4ALOw5AQg…,5,0,0,1
994975798493884416,2018-05-11 16:21:30,@JohnBew Thanks John. Excellent so far!,0,0,0,0
