id,created_at,text,retweet_count,favorite_count,media_count,url_count
1103660188677091328,2019-03-07 14:14:28,"RT @CatSmithMP: Today a member of the public is taking the Government to court over their dangerous Voter ID plans.

The right to vote lies…",150,0,0,0
1103650895877808128,2019-03-07 13:37:33,My determination is to prevent a No Deal or damaging Tory Brexit. https://t.co/IHk4LPl5IG,486,1102,1,0
1103633648488730624,2019-03-07 12:29:00,"""That’s the standard technique of privatisation: defund, make sure things don’t work, people get angry, you hand it… https://t.co/uJ3HPWHM8E",1599,3033,0,1
1103618750434213888,2019-03-07 11:29:49,RT @JonAshworth: NHS loses cancer scanning contract to private company and yet Tories will keep pretending they aren’t privatising the NHS.…,654,0,0,0
1103583308234002432,2019-03-07 09:08:58,"We're stuck in the mess the government has made of Brexit. It is dragging our communities down, whether they voted… https://t.co/wfhB3CLv8u",860,1610,0,1
1103571699897942017,2019-03-07 08:22:51,"Privatising cancer treatment. This must end, now.

https://t.co/uq0srykDyO",2550,4701,0,1
1103364570553434112,2019-03-06 18:39:47,Today I met with workers from Honda's Swindon site which the company plans to close. The job losses and impact on t… https://t.co/HYfuEsDmQV,1262,2968,0,1
1103299975503667200,2019-03-06 14:23:07,We owe it to the young people that have lost their lives to knife crime and their families. #PMQs https://t.co/42iQ5PiVNc,1103,2299,1,0
1103292088534351872,2019-03-06 13:51:46,"RT @SadiqKhan: Tory cuts have cost London thousands of police officers &amp; staff. 

Cuts have consequences - and @jeremycorbyn is right to pu…",653,0,0,0
1103275260256968706,2019-03-06 12:44:54,RT @KarlTurnerMP: On behalf of @UKLabour Transport team we pay tribute today to the 193 passengers and crew who tragically died in the Hera…,226,0,0,0
1103019348137033728,2019-03-05 19:48:00,Young people shouldn’t pay the price for austerity with their lives. https://t.co/uH4YUg0sM0,2288,4890,1,0
1103010298083139585,2019-03-05 19:12:02,RT @AngelaRayner: Under this rotten Tory government it is one rule for the super-rich and another for everybody else. https://t.co/dAApFbGz…,843,0,0,0
1102968643984470016,2019-03-05 16:26:31,"RT @johnmcdonnellMP: After the last election, the Tories bunged the DUP £1billion to stay in office. Now they have reached a new low with a…",1868,0,0,0
1102933575312310272,2019-03-05 14:07:10,"In one of the wealthiest countries in the world, this is a disgrace.

https://t.co/8pLJ8zO41W",1525,2694,0,1
1102930222435979264,2019-03-05 13:53:51,"RT @UKLabour: These headlines speak for themselves.

How many lives will be lost before @theresa_may and her government finally take action…",521,0,0,0
1102913673398501376,2019-03-05 12:48:05,"RT @DianaJohnsonMP: Chris Grayling is failing so badly that yesterday he sent another Minister, Matt Hancock, to answer questions about the…",522,0,0,0
1102835637433061377,2019-03-05 07:38:00,"Austerity is a political choice, not an economic necessity. And a generation are paying the price. https://t.co/x6hv8o7JBx",2202,4653,1,0
1102704480682827776,2019-03-04 22:56:50,"My sympathy goes to the families who have lost loved ones.
 
Theresa May must start listening to police chiefs acro… https://t.co/jUBGFjrmQv",2013,4285,0,1
1102650583369031682,2019-03-04 19:22:39,RT @AndyMcDonaldMP: How many more billions of pounds will the Prime Minister allow Chris Grayling to waste before he is sacked? https://t.c…,1435,0,0,0
1102646204805144576,2019-03-04 19:05:16,The government's Brexit policy is failing businesses so badly that workers are petitioning their employers to stay… https://t.co/eGI41jgPIb,879,1661,0,1
1102606289190965250,2019-03-04 16:26:39,"RT @AndyMcDonaldMP: In any other job you'd be fired for wasting £2.7 million.

But yes, Chris Grayling has actually wasted £2.7 *billion* h…",1908,0,0,0
1102495997576601601,2019-03-04 09:08:23,"Nearly a decade of austerity has ripped the heart out of our communities.

https://t.co/25Y2sly28a",2213,3831,0,1
1102484574062477312,2019-03-04 08:23:00,Thank you to mosques across the country for opening your doors to people of all faiths and none on #VisitMyMosque D… https://t.co/OysspsqF3I,2307,6596,0,1
1102272564066504705,2019-03-03 18:20:33,Every year Muslim communities across the country open their doors to people of all faiths and none on… https://t.co/0poILGzvlO,2826,8195,0,1
1102175668765450240,2019-03-03 11:55:31,RT @RLong_Bailey: Labour is doing everything to stop Theresa May's damaging deal and her reckless trajectory toward a No Deal Brexit. #Marr…,874,0,0,0
1102150376638373889,2019-03-03 10:15:01,RT @johnmcdonnellMP: This is how Labour is working to break the Brexit deadlock. #Ridge https://t.co/PSxzbXkYAY,1187,0,1,0
1102131382401286144,2019-03-03 08:59:32,Isabelle gets it... https://t.co/Wt0lul3sIU,1560,4019,1,0
1101779430517673985,2019-03-02 09:41:00,RT @johnmcdonnellMP: The Spring Statement (the Government’s economic update) is around the corner on 13 March. The Tories must not ignore t…,816,0,0,0
1101754261908553728,2019-03-02 08:01:00,"People are dying on our streets while property speculators leave luxury flats empty. 

Make no mistake about it, ho… https://t.co/fQRSlSO4R3",6088,12534,0,1
1101560923066646528,2019-03-01 19:12:44,"My thoughts are with the family of Lord Bhattacharyya.

As a champion of the British car industry and manufacturing… https://t.co/0H9vfSquD8",263,1033,0,1
1101557198197526528,2019-03-01 18:57:56,"RT @AndyMcDonaldMP: No matter how many mistakes Chris Grayling makes or how much public money he squanders, he remains in post.

Theresa Ma…",1198,0,0,0
