id,created_at,text,retweet_count,favorite_count,media_count,url_count
1103596322089852929,2019-03-07 10:00:41,"RT @cajardineMP: 🏨 Disabled people have lost trust in Capita, Atos and Maximus to get assessments right first time. I asked the Government…",3,0,0,0
1103399022625255430,2019-03-06 20:56:41,"RT @LibDems: After the British people bailed out the banks, these banks have closed branches across the country and failed to compensate cu…",75,0,0,0
1103326839001493509,2019-03-06 16:09:51,"This Russian naval activity, right on our doorstep, shows that Putin isn’t mucking about when it comes to exerting… https://t.co/nBHxeKsWy9",8,17,0,1
1103322248574836737,2019-03-06 15:51:37,RT @willie_rennie: There is no such thing as a good Brexit deal. May's deal means a slow decline while no deal means a dramatic economic cr…,6,0,0,0
1103322089531019264,2019-03-06 15:50:59,🤰Investment in maternal mental health is vital. @ScotGov must ensure funding reaches the Highlands. We urgently nee… https://t.co/xwfKTKK0Mj,0,2,0,1
1103279312067801088,2019-03-06 13:01:00,💷 Closures of bank branches and free cashpoints continues at an alarming rate. + cash is a backup when online syste… https://t.co/oG2unmIa9V,13,12,0,1
1103267983311425541,2019-03-06 12:15:59,📺 I will be on BBC Politics Scotland this afternoon at around 2:45pm. Tune in to hear my views on today's #PMQs!,1,4,0,0
1103219768901976066,2019-03-06 09:04:24,"RT @joswinson: Don't be fooled by warm words from  the PM today - the Tories can't be trusted on workers' rights, and here's why 👇🏼 https:/…",255,0,0,0
1103214036710313984,2019-03-06 08:41:37,RT @cajardineMP: https://t.co/TEm0BDMlm1,13,0,0,1
1102971457624256512,2019-03-05 16:37:42,♻️ This is a very promising scheme. While we must continue to reduce plastic waste this is a great way to recycle p… https://t.co/SAq0AjgVTH,0,3,0,1
1102967335202291712,2019-03-05 16:21:19,"RT @MrDanDonoghue: Exc: Defra has not conducted any Brexit impact assessments on sheep farming in the UK, with just weeks(maybe) to go befo…",7,0,0,0
1102932975593971712,2019-03-05 14:04:47,RT @cajardineMP: First reading of my gender-based pricing (prohibition) bill done ✅ let’s get rid of the outdated and sexist #pinktax once…,46,0,0,0
1102906547322028033,2019-03-05 12:19:46,RT @cajardineMP: Products that are almost exactly the same are being marketed at a higher price for women. I spoke about my bill to end the…,3,0,0,0
1102886241278877696,2019-03-05 10:59:05,.@cajardineMP doing a brilliant job on @VictoriaLIVE explaining why the #PinkTax needs to go. Women should not pay… https://t.co/2wMu8l9LO6,9,15,0,1
1102884831300669440,2019-03-05 10:53:29,RT @LibDemPress: .@cajardineMP about to go on @VictoriaLIVE to talk her Bill to end the #PinkTax https://t.co/SApn82BUZ3,2,0,1,0
1102864011153063940,2019-03-05 09:30:45,"Very pleased to be supporting this bill, ridiculous that this still happens. @cajardineMP 💪 https://t.co/cihzFivIKa",1,12,0,1
1102631448341823488,2019-03-04 18:06:37,It's 2019 and it's absurd that Virgin Atlantic have only just said flight attendants can work without makeup... https://t.co/awm4rDZKvZ,0,2,0,1
1102629104602484736,2019-03-04 17:57:19,"RT @SkyNews: The amendment would require Jersey, Guernsey and the Isle of Man to be subject to financial transparency rules. 

But the gove…",20,0,0,0
1102613278679797760,2019-03-04 16:54:25,Secretary of State for Health @MattHancock will act as the bus replacement service as #FailingGrayling hasn’t turne… https://t.co/PV1ustOhGj,3,4,0,1
1102564339318489090,2019-03-04 13:39:57,"RT @LaylaMoran: Unbelievable. Just heard #FailingGrayling will, like most of the trains he oversees, fail to show up to respond to an Urgen…",321,0,0,0
1102544929065238530,2019-03-04 12:22:50,Scotland will lose £100m/year due to Brexit &amp; this has no mention of Scotland. All we have had is meaningless words… https://t.co/a7gFD6rTwh,0,9,0,1
1102280615955759107,2019-03-03 18:52:32,I have added my name to this amendment. UKs overseas territories shouldn’t be tax havens and the Gov needs to do mo… https://t.co/5Djgffl0X3,0,2,0,1
1102215789531316224,2019-03-03 14:34:57,A step in the right direction! #PeriodPoverty https://t.co/aEYRmStDCN,0,0,0,1
1101785938613678080,2019-03-02 10:06:52,"RT @cajardineMP: £2.7bn would go a long way to fixing Universal Credit. How much more is one cabinet minister going to cost us.
https://t.c…",18,0,0,0
1101493824684208131,2019-03-01 14:46:07,No need to say more than #FailingGrayling... https://t.co/q2PJPOo13I,0,2,0,1
1101492649289281537,2019-03-01 14:41:26,"This week has been about Brexit, trains and plastic. Watch my summary of the week in Westminster here 📺: https://t.co/6OkhIkSXHJ",2,5,1,0
1101453624478220293,2019-03-01 12:06:22,HS2 stops at Leeds and is very unlikely to benefit Scotland let alone the #Highlands. People are more concerned wit… https://t.co/4LEcmKgvxd,3,6,0,1
1101423971990470656,2019-03-01 10:08:33,RT @LibDems: Two weeks ago students across the country sent a clear message: climate change is real and the Government is not doing enough.…,116,0,0,0
1101423863722897408,2019-03-01 10:08:07,"RT @LibDems: Theresa May’s hostile environment and her obsession with an arbitrary, unachievable net migration target have caused appalling…",122,0,0,0
1101149438389686272,2019-02-28 15:57:39,💻 Broadband in the #FarNorth simply isn't good enough for the people who live and work there. While it is vital tha… https://t.co/RdS3IXZHlf,0,2,0,1
1100850540496515073,2019-02-27 20:09:56,If Corbyn sticks to his word Labour will now back a #PeoplesVote. Looking forward to working with him on this,2,8,0,0
