id,created_at,text,retweet_count,favorite_count,media_count,url_count
1103677525283258369,2019-03-07 15:23:22,RT @NthNfkLibDems: Thanks @normanlamb for speaking out in Parliament on behalf of #NorthNorfolk areas waiting years for a mobile phone sign…,2,0,0,0
1103677038869778432,2019-03-07 15:21:26,@trueathleteproj Thank you!! Hope all is well!,0,1,0,0
1103612068811456512,2019-03-07 11:03:15,I think you mean trump with a small t! https://t.co/xAf5U6YaE5,2,24,0,1
1103611750727987200,2019-03-07 11:02:00,RT @PhaseHitchin: .@normanlamb thank you for your hard work in promoting #mentalhealth our #LetsTalk film has made the finals of @CharityFi…,1,0,0,0
1103611591600336897,2019-03-07 11:01:22,"RT @campaignstrat: If allowed to expand, saltmarsh absorbs lots of carbon. Big reason 2 allow marsh eg wells next' sea to recover its natur…",18,0,0,0
1103602987342139393,2019-03-07 10:27:10,"RT @Channel4News: Health Secretary Matt Hancock: ‘Country has changed in our attitude to mental health in a really good way’.

https://t.co…",6,0,0,0
1103602940936368128,2019-03-07 10:26:59,Do watch. This is the case I and others have made - some through personal experience - for shifting the culture in… https://t.co/69o79XREvv,66,108,0,1
1103443003052568576,2019-03-06 23:51:27,@campaignstrat This has gone on for far too long. Other remote communities elsewhere have much better response times.,1,0,0,0
1103411841542377474,2019-03-06 21:47:38,@Shellyenglish Thank you!,0,0,0,0
1103380114463772677,2019-03-06 19:41:33,@GdnHealthcare @nuwandiss Thank you. I will.,0,0,0,0
1103379924419780609,2019-03-06 19:40:48,RT @AWhistleblowing: @c4newsteam discussing the importance of improving #MentalHealth with our excellent vice chair @normanlamb and @MattHa…,1,0,0,0
1103379867524046848,2019-03-06 19:40:34,@GhaffAl @Channel4News Appreciated!,0,2,0,0
1103379798347444234,2019-03-06 19:40:18,RT @WB_UK: @cathynewman @c4news thoughtful &amp; considerate reporting on #MentalHealth awareness with @normanlamb and the inadequacies of curr…,1,0,0,0
1103376694218555393,2019-03-06 19:27:58,"RT @vsmacdonald: For the first time ever, I haven’t been able to get an appointment with my GP - not even in 2 weeks time. I said it wasn’t…",17,0,0,0
1103376584818548736,2019-03-06 19:27:32,"RT @Hayley_Barlow: TONIGHT: #TheBanksFiles Part 2
Did Arron Banks bribe a South African police chief to have a business rival investigated?…",35,0,0,0
1103376496218030089,2019-03-06 19:27:11,RT @vsmacdonald: More money for mental health and better spent on community services and prevention. A report backed by @normanlamb   Its n…,7,0,0,0
1103345652812169216,2019-03-06 17:24:37,"@ChrisCarey1973 @ChrisCarey1973 , don’t assume that non-attendance means lack of support. As Chair of a Select Comm… https://t.co/vZBnz6kWJG",0,2,0,1
1103312506259496960,2019-03-06 15:12:54,"RT @Kevin_Healey: @MattHancock @sajidjavid Sativex is licensed for people with MS with spasticity, and chronic pain isn't included within t…",1,0,0,0
1103305675831214082,2019-03-06 14:45:46,RT @Kevin_Healey: @sajidjavid @MattHancock been to the doctors to ask if I can have Nabiximols (Sativex)  For chronic pain for my #kyphosis…,3,0,0,0
1103305466933927936,2019-03-06 14:44:56,@alanthecharmer @EDP24 Council tax needs reform. Needs to be far better related to ability to pay!,0,1,0,0
1103258277293576192,2019-03-06 11:37:25,"RT @dellamoney: Great to see this #EDM supported by Norman Lamb recognising the additional clinical expertise, skills and values that AHPs…",9,0,0,0
1102964535386869760,2019-03-05 16:10:11,I really enjoyed joining the @YoungMindsUK team last night at their reception in Parliament. Currently three childr… https://t.co/MmzWQDoq4y,57,123,0,1
1102887152260648960,2019-03-05 11:02:42,"The latest @CommonsSTC report is not a story I’d read to children, but on #WorldBookDay I’m encouraging everyone to… https://t.co/Rtmxl0FyIJ",37,74,0,1
1102842346536951808,2019-03-05 08:04:39,RT @JonathanBlay11: Long term mental health campaigner @normanlamb describing catch 22 situation where people with mental ill health are pe…,106,0,0,0
1102842071776399360,2019-03-05 08:03:34,RT @rennie1d: Interested to see this Early Day Motion calling the government to enable  #AHP professional  &amp; clinical leadership at Board L…,3,0,0,0
1102674418835296256,2019-03-04 20:57:22,"RT @JPMediaLtd: The Spring issue of New Psychotherapist is out now, looking at the role of #psychotherapy in treating addictions, plus an i…",2,0,0,0
1102674134545375233,2019-03-04 20:56:15,"RT @mmhpi: ""I've become deeply disturbed by the delays people face in having their #benefits appeals heard. They can leave people in signif…",2,0,0,0
1102674047895261184,2019-03-04 20:55:54,"RT @mmhpi: ""72% of #ESA decisions are overturned at appeal. That shows clear issues with how these decisions are made"" -  @normanlamb on th…",4,0,0,0
1102673909160337415,2019-03-04 20:55:21,RT @LoopilouI: Great Day in Parliament with @mmhpi @ItsMerlyn @normanlamb @leehealey_ @Kate_Langston 😃 speaking on behalf of those who are…,3,0,0,0
1102673870371389445,2019-03-04 20:55:12,"RT @Kate_Langston: A big thank you to all our speakers from today - Minister @SNewtonUK IncomeMax founder @leehealey_, MP @normanlamb, &amp; @m…",7,0,0,0
1102595644739514378,2019-03-04 15:44:21,I’m encouraging local charities and community groups in North Norfolk to apply for the #BagsOfHelp grant scheme whi… https://t.co/cXFuuWZaYk,8,8,0,1
1102575295259967488,2019-03-04 14:23:29,"RT @NorfolkCC: One in four women and one in six men will experience domestic abuse in their lifetimes.
 
Things Need to Change.
 
Norfolk s…",95,0,0,0
1102508763758645249,2019-03-04 09:59:07,"RT @theRCOT: An Early Day Motion has been tabled in Parliament urging the government to consider a law change, to allow for greater diversi…",29,0,0,0
1102508590282231811,2019-03-04 09:58:26,RT @RCSLTpolicy: Great to see this #EDM tabled by @normanlamb calling on the Government to enable @WeAHPs to serve on NHS Foundation Trust…,7,0,0,0
1102508391128276993,2019-03-04 09:57:38,Not good enough. Do hope all is ok https://t.co/PxZ1HkUD1l,2,9,0,1
1102266434271490051,2019-03-03 17:56:11,This is very disturbing https://t.co/OXcPJYRPbR,3,4,0,1
1102265305496240128,2019-03-03 17:51:42,@Girl_by_the_Aga Not aware. Thanks for alerting me,0,5,0,0
1102169196274814976,2019-03-03 11:29:48,RT @NHSC_Niall: We are grateful to @leicesterliz @normanlamb &amp; @sarahwollaston for their cross-party support for #HealthForCare. Social car…,37,0,0,0
