id,created_at,text,retweet_count,favorite_count,media_count,url_count
1102622883820519424,2019-03-04 17:32:35,RT @Traveller24_SA: PICS: Look to the stars and snap away with this year's astronomy photographer of the year competition https://t.co/Lbl6…,2,0,0,0
1102622765042098181,2019-03-04 17:32:07,"RT @AstronomyMag: Charon's icy surface, dotted with mountains and canyons, could have been influenced by the eruption of an ancient, underg…",2,0,0,0
1102622721140318208,2019-03-04 17:31:57,RT @ICRscience: No model currently exists for how the material from nova explosions could be accreted into the outer layers of main sequenc…,7,0,0,0
1102622627796004864,2019-03-04 17:31:34,"RT @AstronomyMag: Do we really have a Planet Nine in our solar system? Turns out, all that's needed to explain some solar system oddities i…",5,0,0,0
1102622534527320066,2019-03-04 17:31:12,just took a 2 question quiz in astronomy... i guessed on the first one and for the second i just wrote “i’m sorry”,0,0,0,0
1102622470568271872,2019-03-04 17:30:57,@ArianaGrande @Starbucks queen of astronomy and weather,0,0,0,0
1102622415778131968,2019-03-04 17:30:44,Free astronomy books? You heard that right. Delve into the stars and cosmos with some digital books you don't have… https://t.co/FwdT2mqcwL,0,0,0,1
1102622334110830593,2019-03-04 17:30:24,"RT @AstronomyMag: Charon's icy surface, dotted with mountains and canyons, could have been influenced by the eruption of an ancient, underg…",2,0,0,0
1102622327437754369,2019-03-04 17:30:23,"What is #Supercomputer #Astronomy?
https://t.co/ThG5OjCrNI https://t.co/gVi3CF5rOF",0,0,1,1
1102622312514301952,2019-03-04 17:30:19,Waning Crescent Moon with partly scattered clouds tonight! #florida #moon #space #stars #astronomy #science #orlando #centralflorida,0,0,0,0
1102622290947256320,2019-03-04 17:30:14,RT @ZonePhysics: https://t.co/oBcMCwaLXq,106,0,0,1
1102622266158911488,2019-03-04 17:30:08,"Charon's icy surface, dotted with mountains and canyons, could have been influenced by the eruption of an ancient,… https://t.co/TvfCglWq0W",2,7,0,1
1102622252737142784,2019-03-04 17:30:05,"Voyager I is now 21,684,469,240 km from Earth. 
Voyager II is now 18,030,849,365 km from Earth. 
#NASA #space… https://t.co/FgEOxzUtNG",0,0,0,1
1102622190493728769,2019-03-04 17:29:50,RT @cosmicdatabase: When two neutron stars collide. #astronomy https://t.co/AmEpmduDqZ,460,0,1,0
1102622137385271296,2019-03-04 17:29:37,ナガレ：ヨエルと２人で買い物をしていたら、小声で「柔らかいナリ！柔らかいナリッ！」と必死でコロスケのマネをしていた。何度もしつこいので、「だから！何が柔らかいのか聞いてるのよ！！」と大声を出してしまった。ヨエルから手渡された商品には「やわらかいなり寿司」と書いてあった,0,0,0,0
1102621782778040320,2019-03-04 17:28:13,RT @ZonePhysics: https://t.co/oBcMCwaLXq,106,0,0,1
1102621735789215744,2019-03-04 17:28:02,"RT @AgiwaldW: According to new research, our planet received the bulk of ist carbon, nitrogen, sulfur and other life-essential elements fro…",51,0,0,0
1102621681472978945,2019-03-04 17:27:49,"RT @FromSpaceWLove: Far side of the Moon with Earth ~235,000 miles beyond it 😮

❤️ @FromSpaceWLove 

📸 Credits : read in the picture

#moon…",15,0,0,0
1102621585075302401,2019-03-04 17:27:26,Straight outta NASA: https://t.co/BC0LK4y5cz #space #cosmos #universe #science #astronomy #climate #NASA,0,1,0,1
1102621273652428800,2019-03-04 17:26:12,RT @ZonePhysics: https://t.co/oBcMCwaLXq,106,0,0,1
1102621161769193472,2019-03-04 17:25:45,"RT @mikamckinnon: Needle craft x Astronomy x Storytelling x Biology x Domestic robots x Programming #sciart

(I’d argue that constellations…",2,0,0,0
1102620986778632193,2019-03-04 17:25:03,"Join 6 people right now at ""Help shape ESA’s space science programme / Space Science / Our Activities / ESA""… https://t.co/o9wB6g29C1",0,0,0,1
1102620889840005120,2019-03-04 17:24:40,RT @stuartgary: Astronomers are Using NASA’s Deep Space Network to Hunt for Magnetars https://t.co/TSZnLDCuGd #astronomy #space,3,0,0,1
1102620770042368001,2019-03-04 17:24:11,The dating of Easter is complicated because of a combination of the Jewish lunar calendar and medieval Christian understanding of astronomy.,0,0,0,0
1102620754988929024,2019-03-04 17:24:08,"RT @andybuetow: Astronomy Professor: Next week is spring break and I will be giving you a homework assignment.
Everyone in class: What the…",1,0,0,0
1102620739566489600,2019-03-04 17:24:04,RT @StefanJordanARI: My personal counting of scientific papers using #GaiaDR2 has reached 1050! This means 3.4 papers per day! Gaia's secon…,3,0,0,0
1102620736085286912,2019-03-04 17:24:03,RT @ZonePhysics: https://t.co/oBcMCwaLXq,106,0,0,1
1102620254801481730,2019-03-04 17:22:09,Tres soles. A algunos les sorprenderá  pero es algo habitual en nuestro universo. #España #spain #astronomy #ciencia https://t.co/W7JTJiPJvl,0,0,1,0
1102620253484400640,2019-03-04 17:22:08,RT @TowerOfLondon: #OTD in 1675 Charles II appointed John Flamsteed as ‘The King’s Astronomical Observator’ to establish a new #RoyalObserv…,52,0,0,0
1102620182588129287,2019-03-04 17:21:51,"Look what Alex Filippenko is working on:
https://t.co/uwnBjfVjf7 https://t.co/uwnBjfVjf7",0,0,0,2
1102620049972563968,2019-03-04 17:21:20,Forum subiect nou -  Observatii de stele in timpul zilei cu telescopul https://t.co/JYQeRGWj1s,0,0,0,1
1102620008654557184,2019-03-04 17:21:10,"#NationalGrammarDay...
My greatest weakness is on grammar, but there's always room 4 improvement. 

Just like many… https://t.co/jKIVZCI7Ds",0,0,0,1
1102619626255446016,2019-03-04 17:19:39,"RT @mikamckinnon: Needle craft x Astronomy x Storytelling x Biology x Domestic robots x Programming #sciart

(I’d argue that constellations…",2,0,0,0
1102619547301867520,2019-03-04 17:19:20,RT @TowerOfLondon: #OTD in 1675 Charles II appointed John Flamsteed as ‘The King’s Astronomical Observator’ to establish a new #RoyalObserv…,52,0,0,0
1102619507359735808,2019-03-04 17:19:10,According to astronomy when you wish upon a star you're actually a few million years late meaning the star is alrea… https://t.co/eyl2UWziqB,0,0,0,1
1102619321572954112,2019-03-04 17:18:26,@RichardDawkins What's the best thing about science? I like astronomy.,0,0,0,0
1102619282482102272,2019-03-04 17:18:17,"NGC 6302: The Butterfly Nebula 
Image Credit: NASA, ESA, Hubble, HLA; Reprocessing &amp; Copyright: Robert Eder - Astro… https://t.co/9Xb5M3yLsp",0,0,0,1
1102619243873480705,2019-03-04 17:18:08,Spectacular #Galaxy Collision Captured by #Hubble: NGC 6052 | Astronomy | https://t.co/MSlVk5E9ai https://t.co/FvuYga2DCj,0,0,0,2
1102619076252364802,2019-03-04 17:17:28,RT @TowerOfLondon: #OTD in 1675 Charles II appointed John Flamsteed as ‘The King’s Astronomical Observator’ to establish a new #RoyalObserv…,52,0,0,0
1102619041754169346,2019-03-04 17:17:19,"Neugeborene Sterne schleudern Materie ins All und bilden dabei spektakuläre Nebel. Wie das funktioniert, enthüllen… https://t.co/24Lo6jhtzF",0,0,0,1
1102618989057007621,2019-03-04 17:17:07,@SimonGr41594862 @DSL1912 @FightFlat @MrReali05459432 @keigh_see @Oswald1160 @T__E__5__L__A @skeptropolis… https://t.co/ZCvWrCLijK,0,1,0,1
