id,created_at,text,retweet_count,favorite_count,media_count,url_count
1102627155509428224,2019-03-04 17:49:34,Taehyung inbred hair is a fucking kink y’all hear me,0,0,0,0
1102627154326630400,2019-03-04 17:49:34,Hello healthy long hair🙋🏽‍♀️ https://t.co/42e6lDfzas,0,0,1,0
1102627153869443072,2019-03-04 17:49:33,RT @fairyrkive: who else missing this hair https://t.co/lDhgl83Gj8,859,0,1,0
1102627151637929984,2019-03-04 17:49:33,Is indie hair care catching up with skin care? https://t.co/rV8PHnpf9A https://t.co/e7mIUjTANO,0,0,1,1
1102627151206117377,2019-03-04 17:49:33,"RT @fluffysuh: johnny’s honey eyes 
johnny’s bubbly personality 
johnny’s adorable giggle 
johnny’s fluffy hair 
johnny’s soft lips 
johnny…",12,0,0,0
1102627150493114368,2019-03-04 17:49:33,RT @mapsiiodyne: shout out to the yozora ending for serving up hd reference pics of riku’s hair from every angle https://t.co/uB6wspwvDr,10,0,1,0
1102627150413418501,2019-03-04 17:49:33,What kind of shampoo is good for hair follicle drug tests?,0,0,0,0
1102627149838802944,2019-03-04 17:49:33,"@EllaRayCZ KKKKJJKKKHSDJIGGHJK
TÔ MUITO EMPOLGADA
IMAGINA ELE DE BLACK HAIR NO COMEBACK?",0,0,0,0
1102627146441416704,2019-03-04 17:49:32,"@Amouranth @Wendys Indeed! Your hair has the ""Heidi of the Alps"" style which makes me feel nostalgic to go hiking t… https://t.co/Py6Kb7lYKt",0,0,0,1
1102627146382671873,2019-03-04 17:49:32,"RT @jminhs: doctor: any last words ??? 
me, dying: his hair pushed back https://t.co/aKSC7BF02h",1370,0,1,0
1102627145506004993,2019-03-04 17:49:31,"RT @eterniTyongie: U gonna be mean to TAEYONG abt his hair he prolly didnt have a choice over u can leave,,,,,nctzens r trash send tweet",4,0,0,0
1102627143681478657,2019-03-04 17:49:31,"RT @ThickLeeyonce: May your hair grow, may your skin glow and your cash flow 💖",1,0,0,0
1102627143010390021,2019-03-04 17:49:31,@bastilledan your hair tho,0,0,0,0
1102627142544867328,2019-03-04 17:49:31,"RT @envydatropic: *Getting my hair done*
""so what are we doing with your hair today?""

*Me*
""anything that makes me not look homeless.""",42,0,0,0
1102627140867158019,2019-03-04 17:49:30,RT @brookemattison: why are today’s 13 yr old girls so cute with their cute clothes and perf hair and clean skin holding their iphone 10 li…,599,0,0,0
1102627139084537858,2019-03-04 17:49:30,i haven't dyed my hair yet so i don't wanna take my arsd selca yet but also i'm going to dance now so it'll be like… https://t.co/kth4RoHg1F,0,0,0,1
1102627138677690374,2019-03-04 17:49:30,is that gonna be his hair for the cb?? it was so nice just natural..oh god,0,0,0,0
1102627137364750336,2019-03-04 17:49:30,It’s fuckin.... arm hair?? https://t.co/HWbULZe9Jj,0,0,0,1
1102627136605630465,2019-03-04 17:49:29,RT @thatoslo: nick jonas is the reason we’re all so attracted to soft boys with brown curly hair but some of y’all just won’t admit it http…,33413,0,0,0
1102627134240161796,2019-03-04 17:49:29,"RT @tourismist: According to Anadolu Agency news, #Istanbul apart from relatively cheap prices, the best quality in service for hair transp…",4,0,0,0
1102627132210069504,2019-03-04 17:49:28,RT @laura_mckay1: Canny fuckin believe am defo gonny die not knowing how tae curl ma hair way straighteners? Endless YouTube tutorials and…,611,0,0,0
1102627131228635136,2019-03-04 17:49:28,RT @SkyeAsiyanbi: BLACK GIRLS- if you’ve ever had a white person touch your hair without permission- PLEASE RT,9184,0,0,0
1102627127675895809,2019-03-04 17:49:27,So Camila heard Stan's saying they missed her long hair so she....cut it https://t.co/BbLSvBCFwY,0,0,1,0
1102627127361298432,2019-03-04 17:49:27,RT @misayeon: Sana's first official selca post of her new hair omg 🤧💕💖 https://t.co/EeL3DDNKHb,584,0,1,0
