id,created_at,text,retweet_count,favorite_count,media_count,url_count
1102619572853592065,2019-03-04 17:19:26,"@PMOIndia @narendramodi Bcz it's like they sent Aiyer for thier setup, now they have to agree those common minimum… https://t.co/A5R3GdzWUK",0,0,0,1
1102619567732477952,2019-03-04 17:19:25,RT @Piaangela11: appreciation for karseth block screening. blue mermaid. Blue is the color of the sky ang the sea. It is often associated w…,3,0,0,0
1102619566725722112,2019-03-04 17:19:25,@Coded_Sky_YT @SMii7Y I couldn't find a png of just his head and I don't have Photoshop 😂 I'm sorry,0,0,0,0
1102619561042628613,2019-03-04 17:19:23,"#spring #sky ...

#fruehling #himmel #wolken #clouds #Munich #muenchen #bavaria #Bayern #weissblau #blauweiss… https://t.co/0eKFY7EETv",0,0,0,1
1102619559457144832,2019-03-04 17:19:23,"RT @morninggmist: CAPE LIGHTS ARE DONE!!!! 100ft of string lights, 6 battery packs, 21 yards of blind hand hemming, and all done with frenc…",384,0,0,0
1102619554902102016,2019-03-04 17:19:22,RT @RealDrGina: The sky is falling! The sky is falling! 🐔 https://t.co/VNKYfBFQRb,26,0,0,1
1102619550116470784,2019-03-04 17:19:21,"RT @bangtantrbat: [190304] Sky Castle oyuncusu Kim Jung Nan, katıldığı ‘Everyone’s Kitchen’ programında @BTS_twt'i beğendiğini söyledi.

“D…",6,0,0,0
1102619547369201664,2019-03-04 17:19:20,"@Pseud0pod Welcome to a whole new world! I would tell you that bright thing in the sky is the sun, but, it’s still Winter...",0,0,0,0
1102619547230785538,2019-03-04 17:19:20,"RT @Coppolarlo: In base al #ddlPillon la signora dovrebbe ricorrere al consulente familiare, che dopo adeguati studi, valuterà il da farsi.…",21,0,0,0
1102619543644635136,2019-03-04 17:19:19,@drunkwithbts Subilaaaa,0,0,0,0
1102619531602649089,2019-03-04 17:19:16,"안아들기
아무리생각해도 너무 쩌는동작이야 https://t.co/DqulPPkHjA",0,1,1,0
1102619530071691264,2019-03-04 17:19:16,肩慣らしは終わりだ( ◜◡◝ ),0,0,0,0
1102619523310542848,2019-03-04 17:19:14,"ก็คือถ้าพน.ตาบวมก็ไม่ต้องสงสัย
ดูsky castleตั้งแต่ep.15-20ชั้นร้องไห้ทุกตอน
เศร้าอะไรเบอนั้นอะ แสดงกันสมบทบาททุกคนเ… https://t.co/sULfEmvfMo",0,0,0,1
1102619521817419782,2019-03-04 17:19:14,@GreatGonzales Then yeah go for it,0,0,0,0
1102619521007775744,2019-03-04 17:19:14,"RT @lonelystarp: @lolitascak3 นี่เลยค่าา ลายเส้นละเอียดมาก
https://t.co/6j0GCTVRpx",96,0,0,1
1102619517761581056,2019-03-04 17:19:13,"RT @versace_jimin: ☀️ ""Wishing on a Sky
Wishing on a Scar"" 🌙 
You're my D҉ a҉ y҉ d҉ r҉ e҉ a҉ m҉ 💛
#ArmySelcaDay @BTS_twt https://t.co/Lkmon…",5,0,0,0
1102619517375705089,2019-03-04 17:19:13,"RT @TaqiTariq: @JhaSanjay @IchbinUjjaini #ModiIsALiar There are innumerable lies in a span of.5.yrs, it's like https://t.co/BEmIBG5D5P the…",2,0,0,1
