id,created_at,text,retweet_count,favorite_count,media_count,url_count
1093921666810421249,2019-02-08 17:17:04,"RT @luluHru: #LulusCaboose Follow 4 FB Retweet 2 Ride 
🇺🇸@jhudson176 
@Olivia93409861 
@bob_bouy 
@sheila87409592 
@takecaback 
🇺🇸@Sequence…",693,0,0,0
1093921495594741760,2019-02-08 17:16:23,"RT @barmore27: Figures. Sandy Ocasio-Cortez's Green New Deal Calls for End to Air Travel -- Build Trains Over the Oceans -Duh.
Stop farting…",330,0,0,0
1093921385154560000,2019-02-08 17:15:56,"RT @WayneDupreeShow: I really thought Chief Justice Roberts was a conservative constitutionalist, I really did https://t.co/KJtMfQatyq",1721,0,0,1
1092474128517529602,2019-02-04 17:25:04,"RT @Lrihendry: Every woman has a right to be believed unless... 
you’re raped by Bill Clinton.
beaten by Keith Ellison.
groped by Cory Book…",7822,0,0,0
1088302205210423301,2019-01-24 05:07:20,"RT @barmore27: Never in the history of America has a President been attacked by radical Media,  liberals,  and extremists to try to bring h…",318,0,0,0
1088301757661413376,2019-01-24 05:05:33,"RT @luluHru: Alec Baldwin Pleads Guilty in Parking Lot Scuffle, Ordered to Take Anger Management 🤣🤣🤣 https://t.co/voh1EQZpAm",53,0,0,1
1088301464383045632,2019-01-24 05:04:23,"RT @AsiaTater: 🐍#TaterWagon 34🇺🇸

@MollyV178
🏜@go4itbas
@roderunner01
🐍@jkennik
@JulieReichwein1
🏜@justyemma
@OLDFLACO
🐍@Sy_Crux
@MightyNit…",167,0,0,0
1088299907411255296,2019-01-24 04:58:12,"RT @Lrihendry: Serious Question: If Nancy Pelosi and Democrats really cared about the 800k federal workers going without pay, why did they…",1732,0,0,0
1088299273182171136,2019-01-24 04:55:41,"RT @charliekirk11: All New York’s “Reproductive Health Act” does is provide legal justification to kill fully viable, fully formed human ba…",8897,0,0,0
1088298161435750401,2019-01-24 04:51:15,"RT @AsiaTater: 🦅#TaterWagon 36🇺🇸

@DoingRight1
🇺🇸@Heywood98
@ChadBLarsen
🦅@heyitsCarolyn
@ExposingLibsBS
🇺🇸@misspunk63
@LoriLNoel2
🦅@cgr888…",95,0,0,0
1088295781923241985,2019-01-24 04:41:48,"RT @SteveScalise: Americans want border security &amp; open government, yet Democrats continue to hold #SOTU &amp; federal workers hostage to their…",1571,0,0,0
1088295693427593216,2019-01-24 04:41:27,"RT @SteveScalise: Need more proof Democrats aren't taking shutdown negotiations seriously?

- First they voted again to not pay federal wor…",16189,0,0,0
1084519931323052032,2019-01-13 18:37:55,"RT @sherrynron: America’s Southern Border Isn’t Just a Crisis, It’s a Disgrace. The human trafficking racket that transports 1000s is inhum…",1299,0,0,0
1084270251745923073,2019-01-13 02:05:47,"RT @ROHLL5: Let’s all take a moment &amp; Honor Fallen #OfficerNatalieCorona who worked for #DavisPolicedepartment

She was Shot &amp; Killed in th…",6296,0,0,0
1084269669501059073,2019-01-13 02:03:28,RT @DonaldJTrumpJr: Angel mom tells @SpeakerPelosi that “blood is on her hands” for her refusal to work with @realDonaldTrump to finally se…,17021,0,0,0
1084267399233355776,2019-01-13 01:54:27,"RT @TheTrumpLady: Chuck Schumer Would Rather KEEP OUR BORDERS OPEN Than Keep Our Government Open -Sara Sanders @PressSec 

Flip-Flopping on…",3450,0,0,0
1083986921746022401,2019-01-12 07:19:56,RT @moochandthemrs: .@Scaramucci is on @WattersWorld on @FoxNews Saturday night at 8 PM ET. Enjoy! #TheMoochInTheHouse @JesseBWatters https…,42,0,0,0
1083980971454709760,2019-01-12 06:56:17,RT @realDonaldTrump: When I took the Oath of Office.... https://t.co/GDhIqteKpv,28643,0,1,0
1083980666860118021,2019-01-12 06:55:05,RT @The_Trump_Train: @realDonaldTrump https://t.co/b8QS2KPvWN,123,0,1,0
1083980532852158464,2019-01-12 06:54:33,RT @The_Trump_Train: https://t.co/tDvwjQs1As,251,0,1,0
1083974672176295936,2019-01-12 06:31:15,"RT @fortressfin: Connecting Our Protectors:

🥋@fortressfin
🥋@GeanineC
🥋@jonz970
🥋@briantopping66
🥋@familyfirstcorp
🥋@leftovergravy
🥋@heyits…",259,0,0,0
1083958186288263173,2019-01-12 05:25:45,"RT @birdman8272: Should Jim Acosta, lose his press credentials for White House briefings?

Please Vote and Retweet!
Love to see replies.",3151,0,0,0
1083957223687098368,2019-01-12 05:21:55,RT @mitchellvii: This is the guy Democrats want to impeach now (because they can't beat him in 2020). https://t.co/PRPLeU5Piz,3027,0,1,0
1083954488812150784,2019-01-12 05:11:03,"RT @AylaForTrump: I Love our President... he Roared right thru Soros, The Clinton Machine, Rinos, The Swamp and yes the communist MSM.. He…",3707,0,0,0
1083954052180951042,2019-01-12 05:09:19,"RT @AsiaTater: #TaterWagon 15🇺🇸
Little Red Wagon Xtra

@denvernight🇺🇸
@CRobKAG
@SiddonsDan
@LisaNiebs
@Cdeeman123
@RhinoluvsUSA
@CaValleyGi…",87,0,0,0
1083947373339070464,2019-01-12 04:42:47,RT @Michael_Pinchak: The Wall is Coming #WWG1WGA 🤵🇺🇸😎 https://t.co/ENZ5bOAHfh,13,0,1,0
1083947237024120832,2019-01-12 04:42:14,RT @Michael_Pinchak: https://t.co/Dmjo9dBYO0 Ready for the Wall @realDonaldTrump 🤵🇺🇸😎,16,0,0,1
1083946975593226241,2019-01-12 04:41:12,"RT @RealJack: RIP to my great grandma.

She’s the definition of the American dream.

My family narrowly escaped Stalin &amp; Hitler. Legally im…",5725,0,0,0
1083946121263792128,2019-01-12 04:37:48,@RealJack @Michael_Pinchak @jali_cat @Razorsmack1 @ChrisBragdon @DaZipstahh @ctanner3 @CandysOpinions… https://t.co/FOa2VxzcWi,1,1,0,1
1083813649423183872,2019-01-11 19:51:24,@BossHoggUSMC @AnnaApp91838450 @LynwoodTalks @SURGDissection @JimKuther @USAFVet18 @LisaMei62 @gspatton007… https://t.co/vhBYujdna5,7,8,0,1
1083808201202642944,2019-01-11 19:29:46,@Lrihendry @10MillionMiler @SteveScalise @MaryKayGibbs @billpostmus @BlissTabitha @BringtheFlag @SharylAttkisson… https://t.co/aOUdPMnVNs,2,3,0,1
1083806528682016768,2019-01-11 19:23:07,@WayneDupreeShow @BraveLad @SenTedCruz @GovernorPerry @CarmineZozzora @Mike_Beacham @DineshDSouza @steph93065… https://t.co/KyRr88VDHT,2,2,0,1
1083805590164594688,2019-01-11 19:19:23,@Education4Libs @Braveheart_USA @2020Republicans @CB618444 @inittowinit007 @prayingmedic @SweetKat111 @GaryZettle… https://t.co/fDPtY6lycf,3,4,0,1
1083804718999224321,2019-01-11 19:15:55,@polishprincessh @deneenborelli @LeahR77 @DaveSchreiber3 @skb_sara @jb29pdx @KenGrimes9 @mitra9816 @GKeile… https://t.co/Y9lr6jyvIe,3,7,0,1
1083804181062975490,2019-01-11 19:13:47,@SandraTXAS @RealMAGASteve @JETAR9 @MargaretMcgui16 @scottisbell_ @FreedomChild3 @bsgirl2u @Real_PeachyKeen… https://t.co/BTeTFy9OZ1,1,3,0,1
1083803248673415173,2019-01-11 19:10:05,"RT @EmfingerSScout: @charliekirk11 When The #DemocratsHateAmerica use the word Progressive, you are hearing The Word #Communist in an Incog…",20,0,0,0
1083803010059419649,2019-01-11 19:09:08,"@charliekirk11 When The #DemocratsHateAmerica use the word Progressive, you are hearing The Word #Communist in an I… https://t.co/G3wuUfb42k",20,19,0,1
1081268644469002241,2019-01-04 19:18:28,RT @barmore27: @EmfingerSScout @deneenborelli @polishprincessh @LeahR77 @DaveSchreiber3 @skb_sara @jb29pdx @KenGrimes9 @mitra9816 @GKeile @…,3,0,0,0
1081268078338547712,2019-01-04 19:16:13,@Braveheart_USA @2020Republicans @Education4Libs @CB618444 @inittowinit007 @prayingmedic @SweetKat111 @GaryZettle… https://t.co/TbWKZSLSWT,3,4,0,1
1081267153125494784,2019-01-04 19:12:32,@SteveScalise @AnnaApp91838450 @LynwoodTalks @SURGDissection @JimKuther @USAFVet18 @LisaMei62 @gspatton007… https://t.co/4qdkyFNDev,4,5,0,1
1081265581033222146,2019-01-04 19:06:18,@deneenborelli @polishprincessh @LeahR77 @DaveSchreiber3 @skb_sara @jb29pdx @KenGrimes9 @mitra9816 @GKeile… https://t.co/GghcaqEi4g,9,12,0,1
1081250747445063680,2019-01-04 18:07:21,@RealMAGASteve @JETAR9 @MargaretMcgui16 @scottisbell_ @SandraTXAS @FreedomChild3 @bsgirl2u @Real_PeachyKeen… https://t.co/7VQKnWmiZC,4,4,0,1
