id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099110476045275136,2019-02-23 00:55:32,“The president is using the power of the office to protect the American people.” -@marc_lotter https://t.co/fyZ9aaKzBw,880,2532,1,0
1099091466557841408,2019-02-22 23:40:00,"Big WIN for the stock market today. #MAGA
 
https://t.co/tHgpoyfOT5",204,515,0,1
1099088066025848832,2019-02-22 23:26:29,"RT @GOPChairwoman: Kelly Knight Craft has been a great Ambassador to Canada, and @realDonaldTrump has made a fantastic choice in nominating…",310,0,0,0
1099071334452207616,2019-02-22 22:20:00,"While AOC is celebrating Amazon’s termination of HQ2, NYC just lost $4 million in wages &amp; 25k new jobs-many in her… https://t.co/t4j4613PWk",767,1646,0,1
1099053352644759554,2019-02-22 21:08:33,"While Democrats continue to deny that there is a security crisis at our border, another migrant caravan is forming.… https://t.co/lFCzHNHLXD",1639,2898,0,1
1099042610176577537,2019-02-22 20:25:52,"RT @USAIDMarkGreen: WHEELS UP 🛫: Another plane transporting @USAID food &amp; medical supplies is on its way to #Colombia, where we are pre-pos…",947,0,0,0
1099042024970506241,2019-02-22 20:23:32,"RT @KimStrassel: Conspiracy theorist Adam Schiff is looking for something new, anticipating a Mueller letdown, writes @KimStrassel https://…",8741,0,0,0
1099018988841885696,2019-02-22 18:52:00,"Yesterday, @VP joined @SenatorTimScott in South Carolina for a tour of an Opportunity Zone created by the Tax Cuts… https://t.co/T8garMI2c8",180,499,0,1
1098995402890768385,2019-02-22 17:18:17,“It is another sad example of people so quick to want to attack and come after this president.” -@PressSec https://t.co/5TEXU9Or4x,1113,3299,1,0
1098983088758161410,2019-02-22 16:29:21,"RT @GOPChairwoman: Ralph Northam isn’t the only Democrat from Virginia with a radical position on abortion.
 
How can anyone oppose this?
h…",1372,0,0,0
1098779439301869569,2019-02-22 03:00:07,"Clarence Henderson was one of the first students to take part in the historic Greensboro sit-in. 
 
Tonight, he was… https://t.co/QCj4nYTjJj",1096,3519,0,1
1098759394916003840,2019-02-22 01:40:28,".@realDonaldTrump’s administration has been instrumental in passing bipartisan prison reform.
 
Catherine Toney was… https://t.co/j0UwejCFs0",902,2363,0,1
1098737886193741824,2019-02-22 00:15:00,"MAKING AMERICA SAFE AGAIN!
https://t.co/FToPERESqV",1690,4771,0,1
1098736627487252480,2019-02-22 00:10:00,"RT @WhiteHouse: ""America is a nation that believes in redemption,"" President Trump said in his second State of the Union Address earlier th…",902,0,0,0
1098735370508910595,2019-02-22 00:05:00,"RT @politico: ""We're doing everything we can at the U.S. government level to support all the pathways that exist for people to experience t…",716,0,0,0
1098719018607890433,2019-02-21 23:00:01,".@realDonaldTrump is keeping his promise to the American people and FINISHING the wall!
https://t.co/kAIUJIYmN5",3065,8542,1,0
