id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099315470564499456,2019-02-23 14:30:07,RT @JamesWStork: Which is the better president? Please RT for larger sample size. Thanks!!,9116,0,0,0
1099312817042325505,2019-02-23 14:19:34,RT @SusannahRainey: @realDonaldTrump  REALLY! https://t.co/cVEadpRWhU,4,0,0,1
1099186434681028608,2019-02-23 05:57:22,"RT @Lrihendry: Reagan – we have a border crisis
Bush Senior – we have a border crisis
Clinton – we have a border crisis
Bush Jr – we have a…",2294,0,0,0
1099184522384547841,2019-02-23 05:49:46,"Reagan – we have a border crisis
Bush Senior – we have a border crisis
Clinton – we have a border crisis
Bush Jr –… https://t.co/QFh4pSPLth",2294,4274,0,1
1099184149905268737,2019-02-23 05:48:17,RT @atensnut: Jeffrey Epstein was very close to Clinton......Mueller had ties to the Clintons and signed off on the Epstein deal.,1518,0,0,0
1099180162904702977,2019-02-23 05:32:27,"RT @consmover: This whole #JussieSmollettHoax proves racism is in huge demand but in such small supply. 

Even more horrific than that, it…",1307,0,0,0
1099179882700070913,2019-02-23 05:31:20,@AnthemRespect It’s there new go to attack words. Russian agent or Russian bot.,12,42,0,0
1099179541229195265,2019-02-23 05:29:59,"RT @AnthemRespect: Hey Losers:
I’m not the one with the Russian reset button, or uranium scandal, or the dossier with Russian lies.

I didn…",231,0,0,0
1099179230703902722,2019-02-23 05:28:45,@Twinturbotrump @RealJamesWoods @realDonaldTrump There are a few twitter’s best. Of course President Trump is #1!,0,0,0,0
1099131878429343744,2019-02-23 02:20:35,"RT @JamieGlazov: Video: Glazov on “Why Jussie Smollett Lied – And The Left’s Victimhood Cult”.
https://t.co/AO2CBildYO
@JesseKellyDC @CBNNe…",18,0,0,1
1099131640570363904,2019-02-23 02:19:38,RT @atensnut: I think We need a “Jussie Smollett Award” for the Democrat in Congress exhibiting the most serious symptoms of Trump Derangem…,3000,0,0,0
1099131546462814209,2019-02-23 02:19:16,@johncardillo Lol hamburgler,21,150,0,0
1099130912007168000,2019-02-23 02:16:44,"RT @TheOfficerTatum: As a black man, who graduated from an inner city school

A man who believed I was a Democrat until 2016

Who woke up a…",16587,0,0,0
1099130365808205824,2019-02-23 02:14:34,"RT @CarmineZozzora: @JudicialWatch wins suit, California forced to remove up to 1.5 million inactive voters and ‘clean up’ its rolls

#MAGA…",148,0,0,0
1099125808067686400,2019-02-23 01:56:28,@scotfree91 @gs777gs777 @daeshhun Good grief. 🙄,1,1,0,0
1099125641964933120,2019-02-23 01:55:48,RT @flightcrew: @Lrihendry ..and when Michael Flynn tried to intervene on behalf of Robyn Gritz (in response to Andrew McCabe's abuse of he…,45,0,0,0
1099125623988064256,2019-02-23 01:55:44,@flightcrew YEP! Exactly!!!,1,4,0,0
1099124072309579778,2019-02-23 01:49:34,"RT @CarmineZozzora: @realDonaldTrump There was never any evidence against you.

But - a vast conspiring to frame you with Russia so the med…",64,0,0,0
1099121632491307009,2019-02-23 01:39:52,RT @Lrihendry: So I’m an ignorant racist for supporting my MAGA President who puts all Americans first and you’re a free-thinker for jumpin…,169,0,0,0
1099121570969202688,2019-02-23 01:39:37,@PlaysTrumpCard @BreeVandy @ChatByCC @amyklobuchar LMBO,0,3,0,0
1099121382477176832,2019-02-23 01:38:52,"@PoshPatriot05 @RealJamesWoods Well, thank you very much for your kind words. I appreciate it! 😘🇺🇸",0,3,0,0
1099120744083144705,2019-02-23 01:36:20,So I’m an ignorant racist for supporting my MAGA President who puts all Americans first and you’re a free-thinker f… https://t.co/BFtmLtEmXy,169,657,0,1
