id,created_at,text,retweet_count,favorite_count,media_count,url_count
1098969289200226304,2019-02-22 15:34:31,"Great first Veterans Advisory Board meeting in Elkhorn last night. We have more than 45,000 veterans in #WI01. Hear… https://t.co/NHJ3QGE4bz",0,7,0,1
1098943677525835777,2019-02-22 13:52:44,Remember to come by one of our office hour locations today if you need help with a federal agency or want to share… https://t.co/6O9pBk4HHc,0,4,0,1
1098721313781362688,2019-02-21 23:09:09,Great discussion in Racine for our Hispanic Business Roundtable! Supporting workers and entrepreneurs create good p… https://t.co/RaRHPX2H0M,2,12,0,1
1098687579996721163,2019-02-21 20:55:06,I’m excited to announce the grand opening of our #WI01 Racine and Kenosha offices! Stop by if you have an issue wit… https://t.co/406AYCtxs5,0,5,0,1
1098682281332477954,2019-02-21 20:34:03,RT @RacineCounty: Welcome @RepBryanSteil to the Racine County Courthouse. Congressman Steil’s constituent service center is now open on the…,1,0,0,0
1098632423397560322,2019-02-21 17:15:55,"Quick stop at the Somers Fire Department this morning. Thanks, Chief Wilkinson for a great tour of the fire station… https://t.co/eCUmGLwvTJ",0,9,0,1
1098610049843429376,2019-02-21 15:47:01,"RT @WIHospitalAssn: Hospital &amp; rural health leaders recently met with @RepGallagher and @RepBryanSteil  to talk about rural health issues,…",2,0,0,0
1098293689720467457,2019-02-20 18:49:55,Our office hours provide a great opportunity for folks to stop by who need help with a federal agency or want to sh… https://t.co/qdRmwY81ah,1,5,0,1
1098247586442563584,2019-02-20 15:46:43,Great to see Milton City @MayorWelch! Also fun seeing an old Harrison Elementary School friend and City Administrat… https://t.co/vSbaYBeX0Z,0,8,0,1
1097916554388357120,2019-02-19 17:51:19,Thanks to @JanesvillePD for having me in the office today! Great discussion on how we can work together to serve ou… https://t.co/nwddQdt0Ze,2,14,0,1
1097516837871538176,2019-02-18 15:22:59,"“Liberty, when it begins to take root, is a plant of rapid growth.” -President George Washington. Happy… https://t.co/Z7tZhjeqfv",1,10,0,1
1096905519200129035,2019-02-16 22:53:49,"From @Kenosha_News: “Whether you agree with Steil on wall funding or not, his approach to what happens next is some… https://t.co/lOwyVhRcSc",3,8,0,1
1096861924871061506,2019-02-16 20:00:36,I joined @WTMJSteve on @620wtmj this week to discuss the budget vote and happenings in Congress. Listen here: https://t.co/xgLDJ53tM9,2,6,0,1
1096475594462760960,2019-02-15 18:25:27,"ICYMI: I joined Bill and Pete this week on Wake Up Kenosha on @am1050wlip. We talked about the budget vote, my firs… https://t.co/DZlFnhkKB0",0,3,0,1
1096427625495609344,2019-02-15 15:14:51,I’ve met with many whose lives and families have been devastated by opioid and drug addiction. There is a lot of wo… https://t.co/1Sgc5NuFr9,2,9,0,1
1096229193703178240,2019-02-15 02:06:21,My statement on tonight’s government funding vote: https://t.co/HS3k8HmOwO,1,5,1,0
1096163622110355457,2019-02-14 21:45:47,Joining @centraltimewpr at 3:45pm to discuss the upcoming budget vote and my first month in Congress. Tune in now!,0,3,0,0
1096110087272386560,2019-02-14 18:13:04,"At the Shalom Center in Kenosha, I met a young man starting a new job at Amazon. Organizations like the Shalom Cent… https://t.co/SGmh1ZRECG",0,9,0,1
1096074466122260482,2019-02-14 15:51:31,Great cartoon by Dave Granlund in Sunday’s @WiStateJournal. Happy Valentine’s Day! https://t.co/4svO2VYTQz,3,8,1,0
1096058140733382657,2019-02-14 14:46:39,I’m joining @WTMJSteve on @620wtmj now. Tune in!,0,4,0,0
1095821675474665474,2019-02-13 23:07:01,A debate on Sensenbrenner’s snack is breaking out. Is a Cheeto a chip? What do you think? Vote below!,0,4,0,0
1095816877341839360,2019-02-13 22:47:57,No better way to welcome back to work the Dean of the delegation than with some of @JimPressOffice’s favorites: Che… https://t.co/P5f4vh6ktI,7,49,0,1
1095784557092192257,2019-02-13 20:39:31,Wisconsin is the nation’s top producer of cranberries! Ocean Spray in Kenosha employs many in #WI01. To all in the… https://t.co/M3b4Z7y6NV,1,12,0,1
1095713646381027328,2019-02-13 15:57:45,"In #WI01, we’re fortunate to be home to the Wisconsin Veterans Home at Union Grove. We salute our nation’s heroes f… https://t.co/S8Cb4ZAXpm",3,7,0,1
1095688021993758723,2019-02-13 14:15:55,Thanks for stopping by! https://t.co/8xZ6xuoi8z,0,4,0,1
1095665526423121923,2019-02-13 12:46:32,"Good morning, Southeast Wisconsin! I’m joining Bill and Pete on @am1050wlip at 6:50am CT—Tune in!",0,7,0,0
1095443581991555073,2019-02-12 22:04:36,Is that even a question?? https://t.co/5rtLFgMai1,11,49,0,1
1095426572415315968,2019-02-12 20:57:01,"Ensuring everyone has access to quality, affordable education is critical. Great meeting with folks from… https://t.co/mLHyOOM2SQ",0,3,0,1
1095386728465092608,2019-02-12 18:18:42,Rock County Sheriff Troy Knudson visited the office today. Great having you here. Thanks to our law enforcement in… https://t.co/fuDjdyFk5j,1,7,0,1
1095337782719868928,2019-02-12 15:04:12,Great meeting you and thanks for stopping by! https://t.co/59tl4lanbi,0,3,0,1
1095083369996668928,2019-02-11 22:13:15,Thanks to Michelle from Franklin for stopping by and sharing her story with me. The #opioidcrisis has impacted the… https://t.co/uDIK5nY3I3,2,16,0,1
1095004530859786240,2019-02-11 16:59:59,"ICYMI: Yesterday, I joined @jessicatighe on @RacineandMe. We discussed my first month in office, the government shu… https://t.co/ANravregkw",3,14,0,1
1094689291488374786,2019-02-10 20:07:20,"If you aren’t already receiving my newsletter, head to my website to sign up! This is a great to stay up-to-date on… https://t.co/gaLB8khbL6",0,10,0,1
1094631607057694721,2019-02-10 16:18:07,"Be sure to tune in to @RacineandMe on @WMLWTheM this morning at 10:30! We’re discussing my first month in office, h… https://t.co/ak61bO5WiN",2,6,0,1
1093592869967933440,2019-02-07 19:30:32,"Over the past week, I've traveled across #WI01 listening to folks in our communities and talking about the issues i… https://t.co/PVxqbTktC5",1,8,0,1
1093316919682191360,2019-02-07 01:14:01,Thanks to everyone for joining tonight’s telephone town hall! Great questions. #WI01 https://t.co/sH7kd5n5eE,0,13,1,0
1093255919935389698,2019-02-06 21:11:37,Great seeing Erin and Jenny from Janesville! Your work to prevent drug and substance abuse in our #WI01 community i… https://t.co/js2OGwrtmu,0,6,0,1
1093191004457439232,2019-02-06 16:53:40,"Attention #WI01: For those who missed my 6 in-person listening sessions, this is your chance to ask me questions! H… https://t.co/IJuvuwRLDA",2,5,0,1
1092991881871609857,2019-02-06 03:42:26,The president set forth an agenda that strengthens families and workers. There are clearly areas he discussed that… https://t.co/OLBJsLGFiK,8,27,0,1
1092856408259874821,2019-02-05 18:44:06,"“'My goal is to be as accessible as I can,’” Steil said. “‘I love hearing what people’s thoughts are on policies...… https://t.co/rLsZSmIbJp",1,7,0,1
1092522527765790721,2019-02-04 20:37:23,Just wrapped up our Kenosha County listening session in Bristol. Great discussion on issues impacting us in #WI01. https://t.co/xzAAwpfR4A,0,7,1,0
1092515134134734849,2019-02-04 20:08:00,Made a quick pit stop on the road to Kenosha County https://t.co/RwVEgtlCbT,0,21,1,0
1092488505878634496,2019-02-04 18:22:11,Enjoyed being in Walworth County in Lake Geneva this morning for another great listening session. Thanks to everyon… https://t.co/TFr3SlcKpg,1,5,0,1
1092455181432901632,2019-02-04 16:09:46,Started this morning off in Janesville for our Rock County listening session. Great discussion and questions. #WI01 https://t.co/hBrBVLR3Nu,0,9,1,0
1092160824121192448,2019-02-03 20:40:06,"“After nearly a month on the job, Bryan Steil on Friday made the rounds to three of the counties he represents for… https://t.co/MM4QGiDR3c",0,9,0,1
1092105243477852160,2019-02-03 16:59:15,Great night at the Heritage Ball in Racine. A great tradition of honoring the unsung heroes in Racine who are worki… https://t.co/tlcNFZqHrl,0,7,0,1
1091715604204191755,2019-02-02 15:10:57,"Well, the news today is promising. An early spring would be nice for us in Southeast Wisconsin after this week’s po… https://t.co/OuvnTFS7Wk",0,16,0,1
1091455649362399237,2019-02-01 21:57:59,Another great listening session this afternoon. Thanks to all for joining me in Mount Pleasant for our Racine Count… https://t.co/Djs0ENThl1,0,9,0,1
1091422246906802177,2019-02-01 19:45:15,Thanks to everyone who came out in Milwaukee County. Great turnout and discussion in Franklin. Onward to Racine Cou… https://t.co/FOv8hsIK41,0,11,0,1
1091385767400796160,2019-02-01 17:20:18,Great first listening session in Waukesha County. Thanks for all of your questions! Next stop ➡️ Milwaukee County.… https://t.co/vNP23uyjWe,0,8,0,1
1091003165594583040,2019-01-31 15:59:59,My @FinancialCmte subcommittee assignments will allow me to focus on helping families achieve financial stability.… https://t.co/WN4cGGbjUU,1,12,0,1
1090983133200162816,2019-01-31 14:40:23,Joining @WTMJSteve on @620wtmj around 8:45 CT. Tune in!,1,0,0,0
1090742947681849344,2019-01-30 22:45:58,My view during our first @FinancialCmte meeting. https://t.co/sbpkH1XLFl,0,15,1,0
1090639567751995392,2019-01-30 15:55:10,"Attention all in #WI01: I'm hosting listening sessions on Friday, Feb. 1 and Monday, Feb. 4—one in each county. Bel… https://t.co/4QnNa8nLP8",5,11,0,1
1090330698337140736,2019-01-29 19:27:50,Thanks to Brett from the Muskego-Norway School Board for visiting the office today! Enjoyed talking about the impor… https://t.co/p3USd4cwYv,0,8,0,1
1089986068345221121,2019-01-28 20:38:24,"Great meeting with @BurlingtonWI Mayor Jeannie Hefty this weekend. Thanks, Mayor Hefty for your leadership in #WI01! https://t.co/0tr6rAkGAD",0,7,1,0
1089911597588467713,2019-01-28 15:42:29,About to join Tim Bremel on “Your Talk Show” on @wclo1230. Tune in!,0,1,0,0
1089631080968347649,2019-01-27 21:07:48,Congrats to @MuskegoHSFB Coach Ken Krause. Ken was nominated by the @packers for the Don Shula Award. Ken led the W… https://t.co/cx1yY2u0kL,1,5,0,1
1089591853106774016,2019-01-27 18:31:56,"Today we remember the six million Jewish victims of the Holocaust and thank the heroes, our WWII veterans, who risk… https://t.co/V6GJaPsKKq",4,16,0,1
1089556677286858753,2019-01-27 16:12:09,Great meeting with @Kenosha_Sheriff David Beth. Looking forward to working with him to keep our community safe. https://t.co/796aMDFcu1,0,6,1,0
1089257354913333248,2019-01-26 20:22:45,"Happy birthday to a legend, Bob Uecker! https://t.co/5v5S0m9N4R",0,11,1,0
1089224060528197632,2019-01-26 18:10:27,I caught up with State Rep. @samanthakerkman at the 75th Street Inn. Enjoyed our discussion on how to expand opport… https://t.co/wuTJgJ7sw6,0,10,0,1
1088905349527191552,2019-01-25 21:04:00,"Now that we have a deal, let’s get to work on a permanent solution to fund the government and secure our border.",0,16,0,0
1088861689645281282,2019-01-25 18:10:31,"Today, I grabbed coffee with a local mother whose daughter serves in the Coast Guard. Her story is like many others… https://t.co/VeLw9pLF0I",2,15,0,1
1088804003239088128,2019-01-25 14:21:18,Hitting the road this morning for a busy day in #WI01...I knew it was cold...I didn’t think it was THAT cold! https://t.co/z6B7vqAzTg,3,11,1,0
1088526484531220480,2019-01-24 19:58:32,"A couple of things...

1- Today’s vote in the House was more political theater, not a solution to end the shutdown… https://t.co/h5DkDJBOCP",7,21,0,1
1088490054681616385,2019-01-24 17:33:46,"The Coast Guard's commitment to serving our country is admirable. Many are reporting to duty, without pay, to prote… https://t.co/V5BXkAkxUA",2,4,0,1
1088452701120167936,2019-01-24 15:05:21,"Every child should have the opportunity to attend a school that is best for them. In fact, 81,000 students in Wisco… https://t.co/YJI7ecJQEl",6,11,0,1
1088179364049678336,2019-01-23 20:59:12,Welcome home and thank you for your service! #WisconsinNationalGuard https://t.co/ikzV4MMq5y,1,6,0,1
1088097844312096768,2019-01-23 15:35:16,Juvenile diabetes impacts thousands of families across Wisconsin and the nation. I recently met with #WI01 @JDRF ad… https://t.co/7J6cEjD5of,0,7,0,1
1087817693212876801,2019-01-22 21:02:03,"From @WKOW this weekend: I held swearing-in ceremonies in Janesville and Racine. In Congress, I’m committed to gett… https://t.co/13YYcso9jK",1,5,0,1
1087788859339862016,2019-01-22 19:07:28,Happy National #SchoolChoice week! Did you know Wisconsin is home to the nation’s oldest private voucher program in… https://t.co/wcbIWjT1h0,12,19,0,1
1087728863189315584,2019-01-22 15:09:04,"Yesterday I toured Kinetic in Greendale. It’s critical that Southeast Wisconsin workers have access to quality, aff… https://t.co/s9WwhGE1CU",0,8,0,1
1087545877005258752,2019-01-22 03:01:57,"Attended today’s One Voice, Many Stories #MLKDay celebration at @gatewaytech in Kenosha. Great to honor those in So… https://t.co/KvAQDjFosa",0,5,0,1
1087363034388094977,2019-01-21 14:55:24,"Today we honor the legacy of Martin Luther King, Jr. I joined the Southeastern Wisconsin Baptist Pastors Fellowship… https://t.co/qEiVQijF4H",1,12,0,1
1087118936230019072,2019-01-20 22:45:26,Thanks to everyone who came out to today’s swearing-in ceremonies in Racine and Janesville! Special thanks to Judge… https://t.co/JQVDYvfBRG,2,14,0,1
1086784360982949891,2019-01-20 00:35:57,"Today, President Trump offered a path to end the shutdown. Now it is time for Senate Democrats and Nancy Pelosi to… https://t.co/3CxrcYRgZ9",10,22,0,1
1086703259409178624,2019-01-19 19:13:41,Huge win!!! #OnWisconsin https://t.co/HtohR93QPJ,0,14,0,1
1086699987667435521,2019-01-19 19:00:41,Enjoyed meeting with @WaukeshaSheriff Eric Severson. Thanks to Sheriff Severson and all of our Waukesha law enforce… https://t.co/4A3GTt9j1C,0,7,0,1
1086438796172972032,2019-01-19 01:42:48,Another great Friday night Fish Fry! Thanks to St. Thomas Aquinas in Waterford for having me. #WI01 https://t.co/bz8aGde575,0,24,1,0
1086406421007208449,2019-01-18 23:34:09,Today I met with @RacinePD Chief Art Howell. Thank you for your service and I look forward to partnering with the R… https://t.co/HMjSMya0YP,1,8,0,1
1086363306548445184,2019-01-18 20:42:50,"RT @RacineCounty: Thanks for meeting with us, @RepBryanSteil. Excited to work together to help Racine County residents and businesses. http…",2,0,0,0
1086317152687308800,2019-01-18 17:39:26,"Great meeting with you, @WaukeshaCoExec. Looking forward to working together to support and grow our community!… https://t.co/x6yzsHavID",0,9,0,1
1086275249795026946,2019-01-18 14:52:56,ICYMI listen to yesterday's interview with @WTMJSteve on @620wtmj here: https://t.co/ZHtpL8hYjE https://t.co/ho213zE733,1,1,0,2
1086002863619346433,2019-01-17 20:50:34,"The government is still shut down, yet Speaker Pelosi just sent everyone home until Tuesday. We should be here work… https://t.co/BGYpPDOHfu",10,19,0,1
1085909674472493058,2019-01-17 14:40:16,Joining @WTMJSteve on @620wtmj at 8:45am CST. Tune in!,0,4,0,0
1085685958413041664,2019-01-16 23:51:18,"In the private sector, you don’t leave until the job is done. I’m ready to stay here until we get the job done. Let… https://t.co/pE7gwrPLyq",5,60,0,1
1085582492738953217,2019-01-16 17:00:10,About to join Tim Bremel on “Your Talk Show” on @wclo1230. Tune in!,0,3,0,0
1085326395478175744,2019-01-16 00:02:31,"Whether you are buying a home, starting a small business, or receiving financial aid, financial services play an im… https://t.co/mwPUQYv9tN",3,11,0,1
1085176938803744769,2019-01-15 14:08:38,"Attention #WI01 students: Our Wisconsin and Washington, D.C. offices are looking for interns! This is a great oppor… https://t.co/3xUpWuVsw5",3,9,0,1
1084944433030811650,2019-01-14 22:44:44,ICYMI: I joined @DanODonnellShow on @newstalk1130 to discuss the government shutdown. These political games and dys… https://t.co/4uUMRPRW74,0,6,0,1
1084522440083025921,2019-01-13 18:47:53,There’s nothing better than a #WI01 Friday night Fish Fry! Thanks to St. Theresa Church in Eagle for the great comp… https://t.co/pNPqVMRsx7,1,21,0,1
1084151958523514881,2019-01-12 18:15:44,I spent this morning at the St. Paul Missionary Baptist Church’s 28th annual MLK prayer breakfast in Racine. Great… https://t.co/pVUaCbqmOu,1,17,0,1
1083883676029587456,2019-01-12 00:29:40,At a Kwik Trip in Mount Pleasant celebrating #NationalMilkDay! Did you know that the Wisconsin dairy industry contr… https://t.co/SFv6EWMg46,4,25,0,1
1083856835919138816,2019-01-11 22:43:01,"In the private sector, you never stop working until the job is done. Why isn’t this true in Washington? Disappointe… https://t.co/pVwWZajbOu",8,29,0,1
1083400344158289920,2019-01-10 16:29:05,I’m joining the @DanODonnellShow on @newstalk1130 at 10:30CST. Tune in!,1,6,0,0
