id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099051060587573248,2019-02-22 20:59:26,Today I hosted a roundtable discussion at Princeton City Hall focusing on economic development in the region. Worki… https://t.co/mi7IexZIvW,3,7,0,1
1099022022150111233,2019-02-22 19:04:03,"Today I opened my district office in Beckley, WV along with the help of my friend #GeorgeTheBuffalo! We are here to… https://t.co/LEVYGnKhki",4,13,0,1
1097935686718709764,2019-02-19 19:07:21,"Today, we remember the brave soldiers who landed on Iwo Jima this day 74 years ago. I’m proud to call one of those… https://t.co/NXCsPJ0RS9",2,11,0,1
1097503809880948736,2019-02-18 14:31:13,"This Presidents’ Day, we honor those who held the highest office in the land. Today, we remember the legacy of all… https://t.co/6hnKWOtfkx",1,8,0,1
1096493640896135170,2019-02-15 19:37:10,West Virginia has been hit especially hard by illegal drugs smuggled across our southern border. Just two weeks ago… https://t.co/MutJwCFrZp,13,26,0,1
1096493608847532032,2019-02-15 19:37:02,"Yesterday, Congress secured funding for 55 miles of border wall to be constructed where it is most desperately need… https://t.co/pFk1Mq6zkj",6,17,0,1
1096493224515039233,2019-02-15 19:35:31,My statement regarding the President’s Declaration for a National Emergency to address the security and humanitaria… https://t.co/zA4KMLpVpd,7,23,0,1
1096149426974924801,2019-02-14 20:49:23,It was great meeting with you! Thank you for stopping by to discuss our common goals. #steel #trade #health https://t.co/igNdttqmQV,0,4,0,1
1096127159935123456,2019-02-14 19:20:54,"I am a wife, a mother, and a grandmother. I have felt life quicken in my womb and I know the blessing of children.… https://t.co/NGd6MC6OXp",9,34,0,1
1096090598254231553,2019-02-14 16:55:37,"Did you know that cardiovascular disease is the #1 cause of death for American women, and that every 80 seconds a w… https://t.co/p6ctk4HXLq",1,8,0,1
1095846836814991362,2019-02-14 00:47:00,Great seeing some friends from back home today. Together we can grow our small businesses and diversify our economy… https://t.co/1nAQtFyGoG,1,4,0,1
1095786873627258880,2019-02-13 20:48:44,I am so excited about this plan between Apple and Dept. of VA. Our veterans put everything on the line for our coun… https://t.co/z3V3En7PMT,1,5,0,1
1095739198152343554,2019-02-13 17:39:17,"Happy Birthday @GenChuckYeager, 96 years young! Hope to see you back in Lincoln County soon! 🎂",1,7,0,0
1095440540471050242,2019-02-12 21:52:31,I was touched when @wvsosoffice surprised me in my office this afternoon. I worked with him during my days at the… https://t.co/TMyGHvWMJK,1,8,0,1
1095418308956995592,2019-02-12 20:24:11,It was great to see @ChamberAlerts President Bill Bissett today. We spoke about creating jobs and making the most o… https://t.co/pVlVpjlcpi,2,29,0,1
1095398620214554624,2019-02-12 19:05:57,#GreenNewDisaster https://t.co/zj71eUuE5j,3,7,0,1
1095084003227504640,2019-02-11 22:15:46,Congratulations to White Sulphur Springs and thank you for all your hard work @SenCapito on the @US_EDA grant. WV h… https://t.co/OHLSJErqHg,1,19,0,1
1095064296214667264,2019-02-11 20:57:28,"Democrats claim the Green New Deal will help the future of our nation, but it will only end up hurting us. Did you… https://t.co/CK0C8b0ilE",6,14,0,1
1094775049825980416,2019-02-11 01:48:06,"At last week’s @TransportGOP hearing, I asked about the “Bridge to Nowhere,” in Bluefield. Watch below to see the p… https://t.co/rmJ18tnMua",6,26,0,1
1093535509060694016,2019-02-07 15:42:36,RT @TransportGOP: T&amp;I Ranking Member Sam Graves: We have to finally fix the Highway Trust Fund. We’ve kicked this can down the road so many…,1,0,0,0
1093535437484949505,2019-02-07 15:42:19,Our first Transportation and Infrastructure Committee hearing is underway! Tune in below ⬇️ https://t.co/pOhM4dY4nX,0,7,0,1
1092990026168893441,2019-02-06 03:35:03,My full statement on tonight’s #SOTU ⬇️ https://t.co/7WZnsdOw1L,1,15,1,0
1092987209186197505,2019-02-06 03:23:52,Thank to all the law enforcement officers that put their lives on the line to keep America safe! #SOTU https://t.co/O7y6LRLD9H,2,30,0,1
1092984857209303040,2019-02-06 03:14:31,"RT @RepSamGraves: The President, @realDonaldTrump, reaffirmed his commitment to America’s #infrastructure in his State of the Union address…",46,0,0,0
1092983292809433088,2019-02-06 03:08:18,@POTUS “Let us work together to build a culture that cherishes innocent life. And let us reaffirm a fundamental tru… https://t.co/O8KCEjaqAa,8,21,0,1
1092979957364600834,2019-02-06 02:55:03,"“All Americans can be proud that we have more women in the workforce than ever before, and exactly one century afte… https://t.co/ZKZT5gV7RR",2,11,0,1
1092977496755224577,2019-02-06 02:45:16,"RT @RepAlexMooney: ""Tens of thousands of innocent Americans are killed by lethal drugs that cross our border and flood into our cities -- i…",6,0,0,0
1092976202569134081,2019-02-06 02:40:07,"“This is a moral issue” - @POTUS 

It is time to secure our southern border and end this humanitarian crisis! #SOTU https://t.co/D3X4gnAS4v",10,24,1,0
1092973491782119424,2019-02-06 02:29:21,The 115th Congress passed legislation to fight the opioid crisis. It is time to come to the table and continue this… https://t.co/YxyQFUOZtx,0,11,0,1
1092971972575674370,2019-02-06 02:23:19,Thank you President Trump for ending the War on Coal in West Virginia! #SOTU,2,20,0,0
1092971316783783936,2019-02-06 02:20:43,"Under President Trump, we have created 5.3 million new jobs and unemployment is at the lowest in history #SOTU",0,9,0,0
1092969873234247681,2019-02-06 02:14:58,Thank you @realDonaldTrump for honoring the greatest generation. We are forever endebted to our veterans 🇺🇸 #SOTU,0,13,0,0
1092963397207961601,2019-02-06 01:49:14,#SOTU is starting now! Tune in live here: https://t.co/yyxx7Gh3uo https://t.co/DvEA9v4gLQ,6,4,1,1
1092942798440054784,2019-02-06 00:27:23,Honored to be here! https://t.co/6D5rwb7pVJ,3,32,0,1
1092845375281643520,2019-02-05 18:00:16,Be sure to tune in tonight for the #SOTU. You can watch live here: https://t.co/yyxx7GyESY https://t.co/VHhboClggw,1,8,1,1
