id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099051450410434560,2019-02-22 21:00:59,".@KSD371 Violence against innocent people is terrible.  Violence against people, with whom you have political diffe… https://t.co/HomHTJZ6s3",8,17,0,1
1099019716398600193,2019-02-22 18:54:53,"Although Joe isn’t from my district, he is from the great state of Texas. His birthday is also Texas Independence D… https://t.co/krGMpJqVat",49,152,0,1
1099018433012867072,2019-02-22 18:49:47,"RT @TracesofTexas: Lightning in the Chisos. A photo I took two years ago.

@visitbigbend @BigBendNPS @bigbendnow @BigBendBrewing @MarfaRadi…",5,0,0,0
1099016062954336256,2019-02-22 18:40:22,"Chip Roy Wants To Make Sure Ocasio-Cortez Isn’t Late For SXSW, Says She Better ‘Start Walking’ https://t.co/0W7l5ppPfx via @dailycaller",11,30,0,1
1098972511709081600,2019-02-22 15:47:19,"Hey TX-21! Please get out to celebrate the life of these veterans! 

- Mr. Gil Garza, a Sergeant of the Marine Corp… https://t.co/rF6HBShA2X",23,53,0,1
1098702549144821762,2019-02-21 21:54:35,"@eawuotto As are tens of thousands hardworking, law abiding immigrants. Now let’s applaud this young man for doing… https://t.co/sMQg1kdFsV",0,2,0,1
1098689545258876929,2019-02-21 21:02:54,"RT @KVUE: Former All-American Texas Longhorns defensive lineman, Rod Wright has now joined the coaching staff at UT-San Antonio as a defens…",4,0,0,0
1098670623360978944,2019-02-21 19:47:43,Would you like to intern for the office of Rep. Chip Roy? Are you interested in learning more about life on Capitol… https://t.co/7fbgHHepJB,11,20,0,1
1098595928531963904,2019-02-21 14:50:54,"Read about this enterprising young man in Austin. 

7-year-old Benton Stevens has used a hot chocolate stand to rai… https://t.co/3BJa1mpMHo",104,316,0,1
1098378813044637696,2019-02-21 00:28:10,RT @brandondarby: Thread 👇👇👇 https://t.co/hFbjQWHgmH,51,0,0,1
1098378754257235971,2019-02-21 00:27:56,RT @Anna_Giaritelli: Freshmen House Republicans @RepChipRoy and @RepMarkGreen begin push to get @SecPompeo to classify drug cartels as terr…,27,0,0,0
1098378245647593474,2019-02-21 00:25:55,RT @josh_hammer: GOP Congressmen (@RepMarkGreen and @RepChipRoy) Call For Leading Mexican Cartels To Be Designated Foreign Terrorist Organi…,40,0,0,0
1098360044234727425,2019-02-20 23:13:35,"This is almost certainly the CDN faction of Los Zetas, a cartel that myself and @RepMarkGreen are asking @SecPompeo… https://t.co/VRec0i5jxS",53,85,0,1
1098342215108177921,2019-02-20 22:02:44,"""Drug cartel operations have made a mockery of our laws, flooded our streets with deadly illicit drugs, and endange… https://t.co/gIeqmwGCfO",37,69,0,1
1098340800411430912,2019-02-20 21:57:07,RT @johnddavidson: Interesting thread here on @RepChipRoy and @RepMarkGreen’s efforts to get Mexican drug cartels classified as terrorist o…,26,0,0,0
1098283933622587392,2019-02-20 18:11:09,"Today, I met with the @TxDPS Director Steve McCraw to listen to the state's border security concerns. https://t.co/ZH2Ac2H4Nf",9,27,1,0
1098281505976135681,2019-02-20 18:01:30,"Other notable benefits: 

- Supports efforts to curb both foreign and domestic terrorism financing  
- Stigmatizes… https://t.co/7UQrE2hxea",32,97,0,1
1098281505388986370,2019-02-20 18:01:30,"Why do this? 

-To make it unlawful for those providing “material support or resources” to these cartels from enter… https://t.co/H7Ll7UhWU3",35,104,0,1
1098281504709464064,2019-02-20 18:01:30,"Why does it matter? 

1) They terrorize through fear, violence, and murder in order to control the government, mani… https://t.co/u72FeSUpJv",38,84,0,1
1098281503774199810,2019-02-20 18:01:30,"Why do these specific cartels qualify as a Foreign Terrorist Organizations? They:

- are a foreign organization. 
-… https://t.co/9iFPHIkcVV",297,694,0,1
1098266077522477057,2019-02-20 17:00:12,RT @RepMarkGreen: These cartels have utilized barbaric tactics including those adopted by ISIS and al Qaeda – murdering and torturing innoc…,83,0,0,0
1098263833448194049,2019-02-20 16:51:17,RT @RMConservative: I called for gov't to designate the cartels as terrorists https://t.co/suDR8RMJxU Now @RepChipRoy has taken up the call…,51,0,0,1
1098263464538267650,2019-02-20 16:49:49,"My colleague @RepMarkGreen
and I are circulating a letter that we will send to @SecPompeo requesting drug cartels b… https://t.co/fi18lXjStc",623,1196,0,1
1098250247518781442,2019-02-20 15:57:18,"This is today, Texas-21! Let's not let this veteran get buried alone. I know the good and patriotic people of the 2… https://t.co/NV9C2xCuXe",14,27,0,1
1098006263001165824,2019-02-19 23:47:47,Thank you to the brave men and women of Border Patrol. I’d like to extend a special thank you to members of the Var… https://t.co/nSpr5DDPpL,17,64,0,1
1097936093415002112,2019-02-19 19:08:57,I spent the afternoon meeting with @TxDOT. We discussed the infrastructure needs of the 21st Congressional District… https://t.co/URLda12iuP,9,13,0,1
1097921724182482944,2019-02-19 18:11:52,It is always encouraging to see young people standing up and fighting for conservative values. It was an honor to s… https://t.co/prUbm11QYC,20,37,0,1
1097918848685277184,2019-02-19 18:00:26,"Hey Texas-21!

Please get out and celebrate the life of Mr. William R. Smalley. His funeral is tomorrow (2/20) at 2… https://t.co/nFgYZ7gvVX",36,64,0,1
1097891962991067137,2019-02-19 16:13:36,"74 years ago today, the brave men of the U.S. Marines landed on Iwo Jima. Today marks the beginning of that epic 5-… https://t.co/q0i6gT7AUN",42,116,0,1
1097880839591989248,2019-02-19 15:29:24,Are you a prospective student from the San Antonio area? Are you interested in attending a U.S. Service Academy? Pl… https://t.co/ijUytffnly,9,12,0,1
1097648495153106945,2019-02-19 00:06:09,Some members of Congress (&amp; former members of Congress) want to take down existing border security infrastructure t… https://t.co/aIwXr3UJht,73,144,0,1
1097589508768444420,2019-02-18 20:11:45,It has been great to meet with the Executive Committee and volunteers of the @SanAntonioRodeo and tour the grounds!… https://t.co/aciUHsvFSw,5,23,0,1
1096498980559749125,2019-02-15 19:58:23,RT @bigleaguepol: .@RepChipRoy: Angel Family of Texas Man Set on Fire By Illegal Didn’t Get to Meet Trump Before Funding Vote https://t.co/…,260,0,0,0
1096498837844303872,2019-02-15 19:57:49,Family of S.A. student slain by undocumented immigrant visited Chip Roy in D.C. https://t.co/NbwOmGfOou via @mySA,42,73,0,1
