id,created_at,text,retweet_count,favorite_count,media_count,url_count
1098691981436428288,2019-02-21 21:12:35,Another disturbing attack on law enforcement from the radical Left. @CBP agents are highly professional in their mi… https://t.co/CaQxVWWudp,5,12,0,1
1097892210014593025,2019-02-19 16:14:35,"Enhanced physical barrier construction begins right on schedule. We’re building the wall.
Stay tuned. More to come.… https://t.co/oWaFL4bzF1",8,40,0,1
1096456432659169280,2019-02-15 17:09:19,.@realDonaldTrump has the executive authority and a constitutional obligation as Commander-in-Chief to secure our h… https://t.co/QeLtATdTH3,18,64,0,1
1096235833915514881,2019-02-15 02:32:44,My full statement after voting against the conference spending agreement tonight ⬇️ https://t.co/CCr27fJKms,8,31,1,0
1096234203350515712,2019-02-15 02:26:15,The conference agreement doesn't provide frontline defenders with necessary resources to secure our border. Democra… https://t.co/P39vyOLL24,12,22,0,1
1096059264383238145,2019-02-14 14:51:07,RT @LSBDC: It’s always a great time with @RepClayHiggins ! The #LSBDC thanks you for your continued support and commitment to Louisiana #sm…,1,0,0,0
1094982773104873474,2019-02-11 15:33:31,"Democrats' latest demand in our border security negotiations: slash the number of @ICEgov detention beds, forcing I… https://t.co/wR4GeEuReF",15,60,0,1
1093900729746669568,2019-02-08 15:53:52,"RT @RepDanCrenshaw: While I was at the border last week, 1,000 migrants were apprehended in one night. Border agents are facing a migrant c…",14106,0,0,0
1093274425598853120,2019-02-06 22:25:09,There is no gift more precious than a child's life. Thanks @SteveScalise and @RepAnnWagner for leading the charge t… https://t.co/6sOvTPOWI3,330,1323,0,1
1093202363249319938,2019-02-06 17:38:48,Happy Mardi Gras! https://t.co/qVItcQexNW,0,16,0,1
1093157668859101184,2019-02-06 14:41:12,ICYMI: my full statement on last night’s #SOTU address ➡️ https://t.co/g3WIgjJmOB,3,8,0,1
1092988994512715776,2019-02-06 03:30:57,".@realDonaldTrump delivered an uplifting and powerful vision for American greatness. Our nation is safer, stronger,… https://t.co/85DUJzNHzJ",13,42,0,1
1092988739054391296,2019-02-06 03:29:56,RT @WhiteHouse: https://t.co/Zl4EOcOmzQ,2575,0,1,0
1092988675011629062,2019-02-06 03:29:41,"""We must keep freedom alive in our souls.  And we must always keep faith in America's destiny -- that one Nation, u… https://t.co/5XYaE99eqN",6,23,0,1
1092988518782115841,2019-02-06 03:29:04,"""This is our future -- our fate -- and our choice to make. I am asking you to choose greatness."" - @realDonaldTrump #SOTU",5,19,0,0
1092988214950981632,2019-02-06 03:27:51,"""Our most exciting journeys still await.  Our biggest victories are still to come.  We have not yet begun to dream.… https://t.co/H7Mhe5Wir5",12,36,0,1
1092988082893266944,2019-02-06 03:27:20,"""all of it is possible thanks to the blood and tears and courage and vision of the Americans who came before."" - @realDonaldTrump #SOTU",5,13,0,0
1092987677274787843,2019-02-06 03:25:43,"@realDonaldTrump ""They did not know if they would survive the hour.  They did not know if they would grow old.  But… https://t.co/U4tVpxZbJE",5,18,0,1
