id,created_at,text,retweet_count,favorite_count,media_count,url_count
1098672306627452934,2019-02-21 19:54:24,"At our 1st annual Congressional Healthcare Innovation Summit, we brought together Houston’s healthcare innovators t… https://t.co/e1WJRWi9O0",207,1388,0,1
1098362574230429697,2019-02-20 23:23:38,Great example of Harris County taking the initiative to explore all options for flood mitigation. We must act swift… https://t.co/xOszHmeraK,140,1066,0,1
1098230348704550913,2019-02-20 14:38:13,"I’m with @AIPAC.
 
A group that advocates for a strong relationship between the US and Israel is a fundamentally pr… https://t.co/Uxxwygou2u",719,4321,0,1
1097581787767885824,2019-02-18 19:41:04,"It’s one thing to protect the Mueller probe, it’s another to refuse to accept its findings &amp; launch politically mot… https://t.co/U1KmKysiGF",6662,16049,0,1
1096883842089144322,2019-02-16 21:27:41,"This poster coming to a VA near you, Houston! https://t.co/O58WjJvpK3",1552,9582,1,0
1096249589101924353,2019-02-15 03:27:24,Tonight I voted no on the spending bill. Here’s why: https://t.co/BKRvaCNFzj,7821,32008,1,0
1096139044294144003,2019-02-14 20:08:08,RT @DLoesch: Up now: Rep. @DanCrenshawTX joins to discuss the border and spending battles. #DanaRadio,110,0,0,0
1096132208010633216,2019-02-14 19:40:58,"I’m proud to be a part of this bipartisan group and can’t wait to get to work. Addiction doesn’t care who you are,… https://t.co/WRjdD12RGm",431,3052,0,1
1095849931783450625,2019-02-14 00:59:18,RT @GOPLeader: Republicans will not stop. We asked on Monday. We asked today. We will ask tomorrow. And we will keep asking for a vote on t…,1860,0,0,0
1095728018834817031,2019-02-13 16:54:51,"Great op-ed by @govlarryhogan about the border debate. This is bigger than any one party.

“let’s move beyond the r… https://t.co/5fUvNFAKpz",759,2558,0,1
1095473188677603328,2019-02-13 00:02:15,"More evidence pro-growth policies work. Keep more of your money because you know best what to do with it, and let e… https://t.co/i7tb70NvuT",856,3644,0,1
1095450892080431105,2019-02-12 22:33:39,"$1.37 billion for physical barriers is a good start, but our border agents need as much help as they can get, espec… https://t.co/MDzCWP7hmT",1616,4493,0,1
1095118213468340224,2019-02-12 00:31:43,"Today I spoke with Beth Van Duyne, Regional Administrator of HUD for TX. I voiced our concerns &amp; the dire need for… https://t.co/ijFJ2HRP72",451,2772,0,1
1095087349430738945,2019-02-11 22:29:04,"It is dishonest and wrong to act as if there isn’t a problem at our border.
 
https://t.co/YTVLNY1KCd",4252,11791,0,1
1094669761525530624,2019-02-10 18:49:43,This plan was derived from DHS experts - from Border Patrol’s analysis of the weakest points - resulting in the $5.… https://t.co/NzauZcEqBu,4149,9832,0,1
1094340972908068864,2019-02-09 21:03:14,"Last week we traveled to the border to get the facts from our Border Patrol agents. 

Watch what we learned right h… https://t.co/oBszyjAtBv",4812,9899,0,1
1093991253484683266,2019-02-08 21:53:34,"GOP has asked for a vote on a bill that protects infants born alive after an attempted abortion. 

Shouldn't this a… https://t.co/Vu2O6SCim2",10804,30374,0,1
1093685511749804032,2019-02-08 01:38:40,"While I was at the border last week, 1,000 migrants were apprehended in one night. Border agents are facing a migra… https://t.co/48cG1Y4Bzp",14106,41452,0,1
1093640763999744003,2019-02-07 22:40:51,"Proud to work with colleagues on both sides of the aisle to get this done. 
 
Valor knows no rank. Providing full m… https://t.co/eFvBiaGTbv",997,4911,0,1
1093338426076811269,2019-02-07 02:39:28,"Thanks for having me, @Morning_Joe! https://t.co/4Jy7qCfPpD",123,1667,0,1
1093269999995768832,2019-02-06 22:07:34,"Last night, I ran into @repbuddycarter and his #SOTU guest Lt. Col. Ken Dwyer, who lost his left eye. Together we h… https://t.co/8cHwTPMh7S",614,4712,0,1
1093016877834665985,2019-02-06 05:21:45,Our first #SOTU. https://t.co/QnZLQut6tj,3469,24925,1,0
1092994367537758208,2019-02-06 03:52:18,My thoughts on tonight's #SOTU: https://t.co/ynSfZuVEG2,1621,8639,1,0
1092913467344990208,2019-02-05 22:30:50,"Last week on the House floor, I called on Congress to stop the political games and take action on border security.… https://t.co/4QcZcBlOb9",1828,6794,0,1
1092862191903166465,2019-02-05 19:07:05,Looking forward to tonight’s #SOTU. @POTUS will lay out his vision for the country &amp; highlight the progress we’ve m… https://t.co/gkqWkce733,386,1705,0,1
1092611691878252545,2019-02-05 02:31:41,Great turnout at our meet and greet this weekend. Thanks to those who attended! https://t.co/EVFvIjl7Uu,743,5621,1,0
1092464242043817987,2019-02-04 16:45:46,This is the very reason I wanted to be on the Budget Committee. Mandatory spending accounts for 70% of our federal… https://t.co/6sNnv0jBXO,1346,5717,0,1
1092130049615122438,2019-02-03 18:37:49,One of the best parts about my job: this week I got to tell a young Texan that he was accepted to West Point. I’m g… https://t.co/yYoAUGjpko,3679,22336,0,1
1091541562021040129,2019-02-02 03:39:22,"Biggest takeaway from my trip to the border: walls work.

There's a reason our border patrol agents request physica… https://t.co/UlJPuECnx1",9196,24226,0,1
1091465076559757313,2019-02-01 22:35:27,Reminder to TX-02 residents: join me tomorrow at Little Woodrow's Midtown from 4:30-6:00 pm CT. We’ll discuss what… https://t.co/oz2Thcokv0,214,885,0,1
1091353572074233865,2019-02-01 15:12:22,"When you deregulate and reduce taxes on an innovative, entrepreneurial population like we have in the US, we thrive… https://t.co/zoq6Hv9Vl1",2707,8801,0,1
