id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099057884997083136,2019-02-22 21:26:33,"RT @SecretarySonny: BREAKING: In Oval Office meeting today, the Chinese committed to buy an additional 10 million metric tons of U.S. soybe…",5656,0,0,0
1099021079916494848,2019-02-22 19:00:18,"RT @DOE_SC_NSB: Congrats to Stevens High School (Rapid City, SD) – they won 1st place at their regional Science Bowl – good luck at the Nat…",5,0,0,0
1098700698068373509,2019-02-21 21:47:13,RT @SoutheastTechSD: It was a pleasure hosting Congressman Dusty Johnson at Southeast Tech today. He toured campus and visited with student…,3,0,0,0
1098658425624514560,2019-02-21 18:59:15,It’s been a fantastic morning with the students &amp; faculty of @SoutheastTechSD in Sioux Falls! From nursing to autom… https://t.co/Ty65UJ6EkS,0,27,0,1
1098353276129632256,2019-02-20 22:46:42,We had our first town hall meeting today (in Aberdeen). There were a number of good questions on agricultural issue… https://t.co/I1Yvq8BSMV,4,13,0,1
1097573767927214085,2019-02-18 19:09:12,"“There is only one form of political strategy in which I have any confidence, and that is to try to do the right th… https://t.co/UTW6jygl8j",5,47,0,1
1096503260201005056,2019-02-15 20:15:23,@UncannyKyleV Hmmmm....don't see it. https://t.co/pR1PFW6CuK,0,5,1,0
1096228435331072001,2019-02-15 02:03:20,My statement on the government funding bill: https://t.co/ZCpuOSwJ11,2,25,1,0
1096107704970563585,2019-02-14 18:03:36,Happy Valentines Day to my lovely wife Jacquelyn! https://t.co/1c8xZbbEEN,3,94,1,0
1096071653044469761,2019-02-14 15:40:20,"RT @usdafsa: REMINDER: the deadline to apply for the Market Facilitation Program is this Thursday, February 14th. https://t.co/jpPVJOlu13 h…",10,0,0,1
1095810998450249729,2019-02-13 22:24:35,"Congrats @USDPresident! Sheila Gestring is a remarkable leader.  Her insight, her savvy, her analytical skills, her… https://t.co/oKCPxNd2rz",3,92,0,1
1095773981775462401,2019-02-13 19:57:30,"ICYMI @EdLaborGOP hearing: ""Rather than coming together to try to figure out how we properly invest in our existing… https://t.co/V9nuIvNxT2",1,4,0,1
1095451109735493633,2019-02-12 22:34:31,I’m glad to see the Natural Resources Management Act pass the Senate today with South Dakota priorities included! https://t.co/Izfw9VHC9U,0,22,0,1
1095446446382428160,2019-02-12 22:15:59,Productive meetings today with President Bear Runner from the Oglala Sioux Tribe &amp; with Teach for America’s Native… https://t.co/JIgEuvnHbG,1,12,0,1
1095387817813921792,2019-02-12 18:23:01,It’s encouraging to see that Americans are feeling optimistic about the future again. Pro-growth policies work. https://t.co/e9Pif3uRv7,0,13,0,1
1095114277789282304,2019-02-12 00:16:04,"During the toughest of times, South Dakotans band together. Thank you @roncalli_cavsBB and @groton_jungle for honor… https://t.co/MFee9WLbdr",19,72,0,1
1094318262303772672,2019-02-09 19:32:59,. . . hit the SF gun show with Ben and Owen. (dj) 2/2 https://t.co/g7xFAAuVsb,0,20,1,0
1094317960250970112,2019-02-09 19:31:47,Good Saturday with the boys. Watched Max at show choir competition and then . . .(dj) 1/2 https://t.co/xIdmrmyveM,0,27,1,0
1094034812212559872,2019-02-09 00:46:40,@DerekBTodd24 @Aberdeen_CHS @AberdeenNews Effective news outlets and effective legislatures are both necessary for… https://t.co/ZOLf3dpjg9,0,1,0,1
1093983878610644993,2019-02-08 21:24:16,I was proud to speak on the House floor today about Coach Seiler from @Aberdeen_CHS. Coach Seiler broke the record… https://t.co/1XQk5oXkaw,12,45,0,1
1093966352820391937,2019-02-08 20:14:38,What has most surprised me in Congress? How many of the members are truly decent people. Yesterday one of those gre… https://t.co/11j9Z7qTGh,3,48,0,1
1093946135457222656,2019-02-08 18:54:17,Today I met with regional leadership from the Veterans Administration. I expressed my strong support for the Hot Sp… https://t.co/4MOpWUlHGf,2,23,0,1
1093587934542999554,2019-02-07 19:10:56,"RT @RepJimBaird: Today was our first Agriculture Committee meeting. Fellow Freshman Members, @repdustyjohnson and @RepHagedorn joined me fo…",9,0,0,0
1093548020094906368,2019-02-07 16:32:19,The House Ag committee has long been the home of legends (like Frank Lucas). One on the Democratic side is new Chai… https://t.co/47GE0HWjOP,3,16,0,1
1093288787432693760,2019-02-06 23:22:13,Today’s @EdLaborGOP hearing highlighted the critical importance of protecting individuals with preexisting conditio… https://t.co/M7tJ92J8dX,1,23,0,1
1093261317157388292,2019-02-06 21:33:04,RT @mgeheren: We’re talking with @RepDustyJohnson about his social media game. The story on @KELOLAND at 5 https://t.co/6ZMEjm3d7X,6,0,1,0
1093188752913154049,2019-02-06 16:44:43,RT @dairyidfa: Today we hosted @RepDustyJohnson for a conversation with representatives from the food &amp; Ag industry. We had a great discuss…,9,0,0,0
