id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099050909793959937,2019-02-22 20:58:50,RT @jjbodies: Glad to have you stop by @RepJohnJoyce   We appreciate you and your team taking the time out of your busy day to make the vis…,1,0,0,0
1099042941186830336,2019-02-22 20:27:11,Received an outstanding tour today of @jjbodies in Somerset. They do great manufacturing work and have been around… https://t.co/8J7GgF57bS,1,2,0,1
1099015025820422144,2019-02-22 18:36:15,"This morning I participated in “Eggs and Issues” hosted by the @somersetchamber with DCED Secretary Davin, Chamber… https://t.co/1IdnwpkwFg",1,4,0,1
1098231336760983552,2019-02-20 14:42:09,"Yesterday I had the pleasure of meeting Carl Hill, owner of Hilltop Arms in Waynesboro. Carl showed me his facility… https://t.co/VTg6AGlRtQ",0,14,0,1
1097930333738229761,2019-02-19 18:46:04,In Adams County today meeting with township officials in Cumberland. They showed me an amazing piece of history - t… https://t.co/i2xPcFw7Bi,0,14,0,1
1096796944486273025,2019-02-16 15:42:23,Yesterday I sat down with @WTAJnews to discuss the action I took this week in Congress to try to find a cure for Ch… https://t.co/JeRUimHMUA,2,6,0,1
1096228335359799296,2019-02-15 02:02:56,My statement on tonight's vote → https://t.co/NDzuLeRyBc https://t.co/A1GXsgxHnw,1,8,1,1
1096098688345227266,2019-02-14 17:27:46,We need to protect our hunters. That's why this week I cosponsored legislation that would commission a study of Chr… https://t.co/EVDuaGkLNg,2,9,0,1
1096043130678317056,2019-02-14 13:47:00,Thank you @SenatorAument for your encouragement and support on this issue. Looking forward to partnering with you i… https://t.co/XqVV3tqfOj,4,8,0,1
1095688406301114368,2019-02-13 14:17:27,Read more about the legislation I cosponsored that offers a solution to the ongoing issue between the 13th District… https://t.co/VA3mXrStSf,1,3,0,1
1095416194738388994,2019-02-12 20:15:47,The legislation I am cosponsoring today will allow us to devote all the possible resources necessary into studying… https://t.co/aJ7rz3IvOq,0,4,0,1
1095335883643875329,2019-02-12 14:56:39,"@tribunedemocrat ""So whether it be addressing challenges in our health care system, promoting policies that spur gr… https://t.co/efZv8N8M8q",0,1,0,1
1095335738743246854,2019-02-12 14:56:05,"@tribunedemocrat ""This is the type of attitude that I hope to bring to Congress every day – the mindset that there… https://t.co/TIoHWal5F9",0,2,0,1
1095334556159291392,2019-02-12 14:51:23,"@tribunedemocrat ""So as we waited for Democrats to come to the table with little votes to take, I vowed not to wast… https://t.co/edSYSp9G9q",0,1,0,1
1095331112627228672,2019-02-12 14:37:42,Think the border standoff is the only thing going on in DC? Read my op-ed in today's @tribunedemocrat to learn abou… https://t.co/tq5CYz3ZHL,1,8,0,1
1094967747002421249,2019-02-11 14:33:49,"The mislabeling of milk is not only harmful to dairy farmers, it is also a public health issue. Read more about eff… https://t.co/HpCK5XqDRF",20,36,0,1
1094275220494532608,2019-02-09 16:41:57,"This morning I attended the Bellwood Family Health and Safety Fair, which was held at the Bellwood Library. Enjoyed… https://t.co/Kq62mPiGoz",0,6,0,1
1093946091660345344,2019-02-08 18:54:07,For the 3rd straight day members of the @HouseGOP have tried to bring legislation to ban infanticide to the floor.… https://t.co/py830LsZqO,2,6,0,1
1093921179595956225,2019-02-08 17:15:07,Today we're launching the first edition of my weekly newsletter. Click here to subscribe → https://t.co/rjBjCQ4Q1s https://t.co/w8xVpAfX99,2,5,1,1
