id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099085006557855744,2019-02-22 23:14:20,How fantastic to be among the future of agriculture yesterday with hundreds of FFA students from across Tennessee a… https://t.co/Iwe5RTYQo4,0,1,0,1
1099011620305551362,2019-02-22 18:22:43,Thank you to Majority Leader @WilliamLamberth and Speaker @GlenCasada for your great hospitality in the House and C… https://t.co/JunozlV0XF,9,16,0,1
1098784751744364544,2019-02-22 03:21:13,Great afternoon in Springfield yesterday with the Rotary and Kiwanis members. I was happy to sit down and hear from… https://t.co/aelcC6eHBl,1,5,0,1
1098709542932758528,2019-02-21 22:22:22,Great start to another day in #TN6 yesterday talking with @GillReport followed by a good morning of meetings with… https://t.co/JD2N2oTIOO,1,11,0,1
1098396018381590529,2019-02-21 01:36:32,"Kicked off recess yesterday at WHUB! I thoroughly enjoyed visiting Home Away from Home, Cumberland County Mayor Fos… https://t.co/Zew6iYq9eu",3,7,0,1
1098057825731915776,2019-02-20 03:12:41,RT @awarr10: What a fun morning in my hometown with @RepJohnRose! Thank you for visiting a Head Start center and continued commitment to ou…,2,0,0,0
1097504620430217216,2019-02-18 14:34:26,"From George Washington to now, I am thankful for the many devoted Americans who chose country over self in serving… https://t.co/lc2KFjWyx4",4,19,0,1
1096841208939319303,2019-02-16 18:38:17,"ICYMI: Rose Votes “NO” on Bloated Spending Bill.
https://t.co/iTmzalDUAr",3,12,0,1
1095439035563159553,2019-02-12 21:46:33,"Anti-Semitic rhetoric is dangerous, offensive, and un-American. As the President stated today, this rhetoric is com… https://t.co/6nqSCrTzQW",6,24,0,1
1094967735526875138,2019-02-11 14:33:46,Congratulations to Smith Farmers Co-op for a successful year in 2018. Great to see so many of my fellow members at… https://t.co/crI1F6sljD,2,13,0,1
1093623981616304132,2019-02-07 21:34:10,Chelsea and I were blessed by today's National Prayer Breakfast and thankful to be there representing #TN6. It was… https://t.co/eEmZ3CxKL8,2,19,0,1
1093502748866371584,2019-02-07 13:32:26,This morning we unify in the name of our Father and Creator to pray for our nation. The National Prayer Breakfast i… https://t.co/ffgVwUP9yw,3,17,0,1
1092989454200070145,2019-02-06 03:32:47,"Thank you @POTUS for leading the fight to #BuildTheWall, #StandForLIfe, and empower #JobCreation. Our… https://t.co/ixCku7j52m",2,14,0,1
1092925066533396485,2019-02-05 23:16:56,"With 304,000 jobs created last month alone, we know @POTUS is placing hard working Americans first. I will stand wi… https://t.co/IfA4lZSQOn",1,4,0,1
1092924904591319042,2019-02-05 23:16:17,"President Trump is committed to solving the infrastructure crisis, which is crippling communities across the countr… https://t.co/7bMgAauOwE",0,5,0,1
1092924528974589954,2019-02-05 23:14:47,"Tonight, the Corcoran family, from East TN, is here at the #SOTU. Our hearts are with them as we remember their son… https://t.co/KvOiTiuPHc",1,4,0,1
1092923741070336002,2019-02-05 23:11:40,"As long as we do not have a wall on our southern border, every state is a border state. It is far past time to end… https://t.co/oeX0kFX4Gc",2,10,0,1
1092923523302068225,2019-02-05 23:10:48,"In recent days, we have tragically witnessed other states terminating protections for the unborn but in #TN06 we be… https://t.co/hEVCK1mlhr",1,5,0,1
1092923154736054272,2019-02-05 23:09:20,Issues I expect @POTUS to hit hard in the #SOTU tonight:,2,1,0,0
1092920969742766081,2019-02-05 23:00:39,Pleased to have Garry McNabb of Putnam County in Washington for the #SOTU this evening. Garry is one of #TN06’s mos… https://t.co/JtbVZPTBHl,0,6,0,1
1091709258071183362,2019-02-02 14:45:44,Thrilled to see @Electrolux commitment to invest $250 million into job creation and expansion in the Sixth District… https://t.co/2jgmcPjjC3,0,6,0,1
1091545219827486720,2019-02-02 03:53:54,RT @GovBillLee: We’re out of Nashville today and the first stop was Van Buren Co. We caught up with a great crowd about my first two weeks…,15,0,0,0
1090621287309950976,2019-01-30 14:42:32,Wonderful to meet with the United Postmasters and Managers of America yesterday. It's always great to have #TN06 le… https://t.co/o32O17SzY1,0,7,0,1
1089621680715108352,2019-01-27 20:30:27,"Today, #WeRemember the innocent men, women, and children whose lives were taken by evil. We must also remember the… https://t.co/GU6fMYfKQt",4,14,0,1
1088475809768189953,2019-01-24 16:37:10,RT @SteveScalise: 🚨 215 Democrats just voted to NOT PAY federal workers as we continue negotiating to secure our border &amp; open the governme…,13260,0,0,0
1088119612284252161,2019-01-23 17:01:46,"RT @BillLeeTN: I’ve said that rural TN is one of my top priorities. Today I’m pleased to announce Executive Order No. 1, which begins to ad…",79,0,0,0
1087399962416218112,2019-01-21 17:22:08,"Today, on #MLKDay, we reflect on the life and work of Dr. Martin Luther King, Jr.

He reminded us that, ""Life's mos… https://t.co/fzvm59z4Lw",2,9,0,1
1087215300251136000,2019-01-21 05:08:21,Two years ago @realdonaldtrump was inaugurated as @POTUS. What a great two years it has been! I'll continue to work… https://t.co/lVeWB3aEyy,1,9,0,1
1085676171751243777,2019-01-16 23:12:24,Thank you @POTUS and @VP for standing strong for religious freedom. The good people of #TN06 stand with you and the… https://t.co/XUoYQfM02R,6,17,0,1
1085652260506329088,2019-01-16 21:37:24,"Happy to join my friend @RepDavidKustoff in putting our shared Tennessee Values, from the Cumberland Plateau to the… https://t.co/a0ewACV5B1",1,3,0,1
1085644996819079169,2019-01-16 21:08:32,"“It is a great honor to give Tennesseans a voice on the Financial Services Committee.”

Congressman Rose is among t… https://t.co/aNSL6ma1AG",13,40,0,1
1083080722921984002,2019-01-09 19:19:01,RT @mchightower: .@RepJohnRose has decided to withhold his pay saying in-part. “I will not accept my congressional pay until those who are…,4,0,0,0
1083061059903197184,2019-01-09 18:00:53,"I support President Trump’s vision for securing our southern border and will vote to build the wall. Additionally,… https://t.co/DZhqDWanuu",9,25,0,1
1082775791044382720,2019-01-08 23:07:20,RT @GOPLeader: There is a humanitarian crisis happening along our Southern border. It’s long past time we do something about it.,4883,0,0,0
1082642539616849921,2019-01-08 14:17:50,It is an honor to serve the people of the 6th District. Please reach out to my office anytime for assistance by vis… https://t.co/598GXxQmkd,3,8,0,1
1081333860103798784,2019-01-04 23:37:37,Guy was very excited for the big day. Thanks @GOPLeader for capturing this great photo! https://t.co/zkwLXtp6am,7,27,1,0
