id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099083726326321152,2019-02-22 23:09:15,"The first major witness
Dems bring in before the House Oversight Cmte to testify is known for ... being an egotisti… https://t.co/pwp8855Ok4",9,12,0,1
1099023856470278144,2019-02-22 19:11:20,"RT @SenTedCruz: Under my #ELCHAPOAct once charged &amp; convicted by our government, El Chapo’s sons' assets would be forfeitable as well. That…",886,0,0,0
1098978371885821953,2019-02-22 16:10:36,"""Mr. Schiff is taking his cue for Phase 2 of his investigation from the same Democrat-hired opposition-research gro… https://t.co/n5kYaYviog",3,15,0,1
1098420703483912192,2019-02-21 03:14:38,We need to hear Mr. McCabe testify before Oversight and explain why he opened an investigation into the president w… https://t.co/UEBmsREgP7,144,718,0,1
1098372480719302656,2019-02-21 00:03:00,RT @josh_hammer: GOP Congressmen (@RepMarkGreen and @RepChipRoy) Call For Leading Mexican Cartels To Be Designated Foreign Terrorist Organi…,40,0,0,0
1098308801223163904,2019-02-20 19:49:58,RT @Anna_Giaritelli: Freshmen House Republicans @RepChipRoy and @RepMarkGreen begin push to get @SecPompeo to classify drug cartels as terr…,27,0,0,0
1098306288302329856,2019-02-20 19:39:59,"Obama admin border chief Mark Morgan: ""The cartels must be targeted with a whole of government approach with the sa… https://t.co/BIYW5q8opC",21,28,0,1
1098265953400442880,2019-02-20 16:59:42,These cartels have utilized barbaric tactics including those adopted by ISIS and al Qaeda – murdering and torturing… https://t.co/PEeNyI8ZeA,83,142,0,1
1098263991451815936,2019-02-20 16:51:54,"RT @RepChipRoy: My colleague @RepMarkGreen
and I are circulating a letter that we will send to @SecPompeo requesting drug cartels be labele…",623,0,0,0
1098245580084658176,2019-02-20 15:38:45,"RT @CEDRdigital: ⚠️#TN Flash Flood Warning⚠️
including #Murfreesboro, #FranklinTN, #SmyrnaTN, #Nashville, #Hendersonville, #BrentwoodTN #Te…",3,0,0,0
1098239070961053696,2019-02-20 15:12:53,Andrew McCabe should appear in front of the House Oversight Committee and explain what exactly happened in the meet… https://t.co/5u8i0Y0iyp,15,52,0,1
1098026184078692352,2019-02-20 01:06:57,RT @LouDobbs: #DrainTheSwamp - @RepMarkGreen: How do we believe anything Andy McCabe says? Even Obama-appointees said he lied under oath 3…,644,0,0,0
1097965497407193088,2019-02-19 21:05:48,Liberals' goal is to chip away at private insurance until all we have left is gov-run health care. Single-payer wou… https://t.co/vgiwNyVl6i,52,116,0,1
1097539537050497025,2019-02-18 16:53:11,A common refrain: Statistics show that most drugs seized are at ports of entry. Makes sense. Ports of entry are whe… https://t.co/RXv60dDMhS,31,135,0,1
1097457507197485056,2019-02-18 11:27:14,Happy #PresidentsDay! https://t.co/957Hj1RB9R,5,42,1,0
1096928007334305792,2019-02-17 00:23:11,"The wall built in El Paso in 1993 has caused a 95% drop in illegal traffic. If this isn't calling for open borders,… https://t.co/kFT7MEiRtW",62,133,0,1
