id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099004178117083137,2019-02-22 17:53:09,Enjoyed meeting with PA-9 constituents this week on a wide array of issues. Always good to hear your thoughts and p… https://t.co/iA96JZdDuO,0,3,0,1
1098951260844244994,2019-02-22 14:22:52,RT @GlenFinney: Advocating with @AlzGPA with a district visit with Representative Dan Meuser. #ENDALZ https://t.co/48jbZfUdkb,2,0,1,0
1097877131198119936,2019-02-19 15:14:40,Via @TLNews: Our View: Meuser showing leadership in stormwater-fee fight: https://t.co/ZKftruuX3l,1,3,0,1
1097566653041266688,2019-02-18 18:40:56,"As we honor our nation's leaders, I wish you and your family a happy and safe #PresidentsDay https://t.co/yEGkOEDIPt",0,8,1,0
1096399838978195457,2019-02-15 13:24:26,Why I opposed the spending bill on the House floor last night: https://t.co/SqPolCEZP2,5,18,1,0
1095781809705680898,2019-02-13 20:28:36,RT @HACCSki: Tnx @RepMeuser 4 taking time 2 meet 2 discuss @HACC_info Lebanon campus #PELL #HEA #CTE funding @CCTrustees  We eagerly await…,3,0,0,0
1095768464780857344,2019-02-13 19:35:35,Had a chance to talk about how the President’s trade and tariff policies are bringing back jobs from overseas on ⁦… https://t.co/StNUYmshiE,4,10,0,1
1095749489783201793,2019-02-13 18:20:11,Thanks for coming by! https://t.co/C8yfn9QcAa,0,6,0,1
1095714052775522306,2019-02-13 15:59:22,RT @ColumbiaCoEMA: Possibility of snow squalls in our area until 1145 AM per the National Weather Service in State College.,2,0,0,0
1095479958347104256,2019-02-13 00:29:09,"Talked with @FoxBusiness' Liz Claman today about the latest on the ongoing border security/budget debate: 

WATCH:… https://t.co/IDGfWomKKE",2,8,0,1
1095363122389544960,2019-02-12 16:44:53,"RT @PennDOTNews: To help make decisions regarding winter travel, motorists are encouraged to ""Know Before You Go"" by checking conditions on…",32,0,0,0
1095354713250385920,2019-02-12 16:11:29,"Happy 210th Birthday to a truly great American, President Abraham Lincoln. https://t.co/w5i6vuHi97",47,192,1,0
1095351850109489153,2019-02-12 16:00:06,RT @HouseVetAffairs: This week we salute our veteran patients who are receiving care from @DeptVetAffairs medical centers. We will continue…,7,0,0,0
1095102054018805760,2019-02-11 23:27:30,"Honored to meet with Maj. Gen. Anthony Carrelli, Pennsylvania's Adjutant General, for an update on the capabilities… https://t.co/yoGXMUUCAp",2,8,0,1
1095089554657341446,2019-02-11 22:37:50,ICYMI: Meuser seeks answers on EPA stormwater management regulations: https://t.co/TmWIuJV0WP,1,5,0,1
1095018281340207104,2019-02-11 17:54:37,"RT @69News: The upcoming winter storm looks to bring some of everything - snow, sleet, freezing rain, rain... here's a breakdown of what we…",2,0,0,0
1095007244624846848,2019-02-11 17:10:46,"RT @HouseVetAffairs: On this cold Monday, we want to take a moment to recognize the sacrifices of our servicemembers, past and present, who…",7,0,0,0
1095002468667277314,2019-02-11 16:51:47,Saw a few folks from the Temple Fire Company this weekend — including three generations of firefighters from one fa… https://t.co/zn3dn2WcvK,0,2,0,1
1094958068574625799,2019-02-11 13:55:21,"RT @dailyitem: Snow, then ice heading our way https://t.co/q2FscItLP4",1,0,0,1
1094708389870006272,2019-02-10 21:23:13,Great to be at the Have a Heart For a Hero Benefit Dinner for Keystone Military Families last night — thank you to… https://t.co/37jFCNxFUu,1,7,0,1
1094681042114494464,2019-02-10 19:34:33,Thank you — Proud to be a part of the Committee’s work to get things done for our Nation’s veterans. https://t.co/US5cofPvBY,1,11,0,1
