id,created_at,text,retweet_count,favorite_count,media_count,url_count
1098975703670902784,2019-02-22 16:00:00,My family &amp; I were honored to join Pres. Mark Keenum &amp; Coach Joe Moorhead at the Central MS Evening in Maroon event… https://t.co/m1tr9rh3In,0,18,0,1
1098971079467560961,2019-02-22 15:41:37,RT @nationalguardMS: Please join us in welcoming home the first 300 155th Armored Brigade Combat Team Soldiers who returned Monday night at…,41,0,0,0
1098953329365917700,2019-02-22 14:31:05,"Yesterday in Starkville, I caught up with a close friends of Haley’s &amp; mine, Dr. Jimmy Abraham, Bill Foster, and Ga… https://t.co/ToCDy0MV76",0,7,0,1
1098648786279247874,2019-02-21 18:20:57,"Yesterday, I met our newest Homeland Security Director Jenny Williams. Based on her background and professionalism,… https://t.co/VaWnSfNJYH",0,10,0,1
1098327175386796032,2019-02-20 21:02:59,I’m enjoying my time back in Mississippi catching up with our local leaders about their plans for our communities.… https://t.co/1LkQPXh51l,0,12,0,1
1098231301235245056,2019-02-20 14:42:01,It was a pleasure to spend time in Meridian with the 186th Air Refueling Wing at historic Key Field. The men and wo… https://t.co/fdRTbLl6Ue,1,17,0,1
1097935512038506496,2019-02-19 19:06:39,Thank you @MSTop50 for hosting a great event. My family and I were honored to join everyone involved in this unique… https://t.co/axSPlN8Fb3,1,19,0,1
1097885069954506752,2019-02-19 15:46:13,RT @HouseGOP: Smart read on @FoxNews from @RepMichaelGuest on why border security can protect our communities from the growing threat of il…,83,0,0,0
1097868102677774336,2019-02-19 14:38:47,"We must commit to secure our southwest border, and part of that effort should include a physical barrier. Read abou… https://t.co/RQe5nWWKZl",5,23,0,1
1097633372162220034,2019-02-18 23:06:03,"Thank you, @ParkwayMadison, for hosting the Christians United for Israel event tonight. Israel remains one of our c… https://t.co/1bSgbsRcp6",1,13,0,1
1097544428233912320,2019-02-18 17:12:37,"Happy President’s Day! Reply with your favorite presidential quote, or feel free to retweet my favorite quote from… https://t.co/Jzrlr1yp7c",4,21,0,1
1096511623420891136,2019-02-15 20:48:37,A lot happened in Washington this week – from border security funding to failed socialist states. Find out more abo… https://t.co/M02d9IjAx6,6,16,0,1
1096438081241133056,2019-02-15 15:56:24,"Thank you, @POTUS, for offering assistance to the people of Mississippi after the storms in December. This much nee… https://t.co/oAVDhk9Vq2",1,14,0,1
1096412304156037122,2019-02-15 14:13:58,"@CamgianCEO Thanks for stopping by, look forward to our next meeting!",0,2,0,0
1096402783195009024,2019-02-15 13:36:08,"I’ll be on @WMOX this morning, so if you’re in the Meridian area tune into 1010 AM to listen.",3,7,0,0
1096123178810834945,2019-02-14 19:05:05,I stand with Congressman Scalise in the belief that Congress should not be passing bills that make it harder for la… https://t.co/9DshFGEuF3,9,27,0,1
1096122248656752643,2019-02-14 19:01:23,I was disappointed that my Democratic colleagues refused to allow @SteveScalise to testify regarding gun violence.… https://t.co/n30NNqWzlX,21,117,0,1
1095824298894331905,2019-02-13 23:17:26,@VolunteerYall @RepTrentKelly @BennieGThompson Great to see y'all. Thanks so much for stopping by.,1,1,0,0
1095815644770127878,2019-02-13 22:43:03,"Although El Chapo will likely spend the rest of his days in prison, his Sinaloa Cartel will retain its network of d… https://t.co/FYJrtMC9ET",5,11,0,1
1095417837345230848,2019-02-12 20:22:18,Just had a great conversation with Brooks Chance - a @SpecialOlympics athlete -and other members of the MS Special… https://t.co/BcWgD4nn6x,12,38,0,1
1095341827517870086,2019-02-12 15:20:16,"ICYMI: In my interview with Paul Gallo this morning, we talked about the economically unstable Green New Deal, the… https://t.co/W7TumiQ3RD",3,4,0,1
1095301818631053312,2019-02-12 12:41:17,"Listen live this morning as I go on the @paulgalloshow to talk about the latest in Washington, D.C.

https://t.co/s9eFLW9GQQ",0,5,0,1
1095098157648756736,2019-02-11 23:12:01,"@bradcooney1 @rob_pillow @GOPLeader Thanks, @bradcooney1, I’m grateful for your support!",1,1,0,0
1095097776822726656,2019-02-11 23:10:30,Israel is one of our closest allies in the Middle East and it’s important that we maintain this strong alliance for… https://t.co/hYxJZT6lpc,6,32,0,1
1094997466196439051,2019-02-11 16:31:54,I am humbled that @GOPLeader Kevin McCarthy has placed his confidence and trust in me to serve on this necessary an… https://t.co/NR4UxXGS94,3,17,0,1
1094625402738364417,2019-02-10 15:53:27,"There’s nothing quite like the Mississippi Rodeo with good friends, @AndyGipsonForMS and @PhilipGunnMS. Thanks for… https://t.co/tXl5m8Q2qT",0,11,0,1
1094339767142174720,2019-02-09 20:58:26,We need additional border security – including a physical barrier – to protect our communities from these dangerous… https://t.co/lQvBd0cqkv,1,8,0,1
1094339766383005696,2019-02-09 20:58:26,"In 2017, 91 percent of heroin analyzed in the U.S. came from to Mexico, 93 percent of the cocaine could be traced b… https://t.co/lRC6QzXPP6",4,16,0,1
1093978400774111232,2019-02-08 21:02:30,"We had a great week in Washington. Haley and I heard our President’s encouraging words in his State of the Union, I… https://t.co/3blqQFuL0u",1,20,0,1
1093872074160889856,2019-02-08 14:00:00,"In case you missed it, @realDonaldTrump called for Congress and the American people to adopt a spirit of compromise… https://t.co/21Ai9kGcqI",1,12,0,1
1093633380909019138,2019-02-07 22:11:31,I also signed on to @GOPLeader's bill that would prohibit abortion providers from taking the life of children born… https://t.co/7O8bn9ZyZj,1,11,0,1
1093633379764002817,2019-02-07 22:11:31,"If we are to remain a nation that values innocent life, we must never advance policies that lead to abortion on dem… https://t.co/3QvjWf126W",0,21,0,1
1093573735485968386,2019-02-07 18:14:30,Congratulations to Beverly Cotton of the MS Band of Choctaw Indians on her new appointment as the director of the N… https://t.co/DjxiZSKKJe,0,5,0,1
1093553007755710464,2019-02-07 16:52:08,"RT @GOP: “America is a nation that believes in redemption. Every day, the people in this room demonstrate the power of faith to transform l…",486,0,0,0
1093545629924687873,2019-02-07 16:22:49,Haley and I joined the Tipton family and the Matis family this morning at the National Prayer Breakfast. Nothing is… https://t.co/UK05XDRM6l,2,22,0,1
1093301235795546112,2019-02-07 00:11:41,The video can be found here: https://t.co/gHdh0qnHyE,0,2,0,1
1093301231232184321,2019-02-07 00:11:40,As a member of the @HouseForeignGOP I had the opportunity to question policy experts on the status of US Foreign Po… https://t.co/NdT33T43YZ,1,15,0,1
1093173615275720704,2019-02-06 15:44:34,"Yesterday, Dr. Mark Keenum presented our office a unique MS State “Statesman” football helmet – designed to honor a… https://t.co/q7DK44C2fk",0,18,0,1
1093162246438617089,2019-02-06 14:59:24,"RT @WhiteHouse: Last night President Trump shared some great news: 
More people are working now than at any time in our history! https://t.…",5529,0,0,0
1092991965753475073,2019-02-06 03:42:46,You can find a video of my comments on @realDonaldTrump's historic #SOTU on our Facebook page here: https://t.co/0iezXkwJ1X,0,4,0,1
1092985566805671938,2019-02-06 03:17:20,"Tonight, @RealDonaldTrump has offered Congress – and all of America – a choice between divisiveness and unity. We m… https://t.co/LRslF7EMgS",1,15,0,1
1092985113363861504,2019-02-06 03:15:32,"Our international presence casts an American vision of prosperity, democracy, and hope across our globe, and as a m… https://t.co/25PYHReSHj",4,18,0,1
1092981251978547200,2019-02-06 03:00:11,Congress can work together with the @WhiteHouse to achieve bipartisan legislation that reinvigorates our expansive… https://t.co/tPtVaMeYZd,3,13,0,1
1092978381619113985,2019-02-06 02:48:47,Do you agree with @realDonaldTrump that more should be done to end the crisis on our Southwest Border? https://t.co/ZhWcBCm5as,2,21,1,0
1092977498277773313,2019-02-06 02:45:16,"Drugs are being manufactured, smuggled, and sold by transnational crime organizations in our communities. They are… https://t.co/kx4iaAkZz4",5,19,0,1
1092975625789415425,2019-02-06 02:37:50,I agree with @realDonaldTrump to allow individuals who want to help us build a strong future for America to enter our country legally. #SOTU,2,30,0,0
1092972327732723712,2019-02-06 02:24:44,America’s economy is stronger than ever thanks to @realDonaldTrump’s Tax Cuts &amp; Jobs Act. These tax cuts are creati… https://t.co/F4T5PBJmox,1,30,0,1
1092970424932028416,2019-02-06 02:17:10,"RT @HouseGOP: .@RepMichaelGuest is attending his first #SOTU tonight, but he has yet to find a solid spot for sweet tea in D.C. Any suggest…",14,0,0,0
1092954563743793152,2019-02-06 01:14:08,"Haley and I stopped by to see our good friend, @GOPLeader Kevin McCarthy, before heading to the #SOTU tonight. Be s… https://t.co/qvVZIHLeVf",0,13,0,1
1092898156981960705,2019-02-05 21:30:00,"Tonight, @RealDonaldTrump will address our nation in his #SOTU and convey his vision for a strong future for Americ… https://t.co/04vKQBMC5q",0,5,0,1
1092829066514886657,2019-02-05 16:55:27,"RT @HouseGOP: As part of tonight's #SOTU, we'll be checking in with our freshmen members to hear their thoughts on this memorable first exp…",18,0,0,0
1092823188264927232,2019-02-05 16:32:06,Help me welcome Mr. Roy James of Vicksburg to D.C. for the State of the Union. Thanks to provisions in the Tax Cuts… https://t.co/2Nw2SLt23a,0,6,0,1
1092574743688069121,2019-02-05 00:04:52,"There’s no one I’d rather have by my side during the State of the Union tomorrow night than my wonderful wife, Hale… https://t.co/DRr9d3FtHR",2,32,0,1
1091884280253431809,2019-02-03 02:21:13,"Congress must do more to keep these drugs from entering our country with common sense border security measures, inc… https://t.co/QEXJ4gxjzp",0,9,0,1
1091884277908848640,2019-02-03 02:21:12,Over $1 million of cocaine was taken off the streets of my hometown thanks to our men and women in law enforcement.… https://t.co/OgHPRy8Ee2,0,11,0,1
1091458664416854016,2019-02-01 22:09:58,"Fentanyl is now the most dangerous street-level drug we have ever seen in the United States, accounting for more de… https://t.co/4GwZbEPBkb",0,7,0,1
1091409944077836288,2019-02-01 18:56:22,"Earlier today, I signed a letter encouraging the Homeland Security Appropriations Conference Committee to take the… https://t.co/wA8kasG3xi",1,15,0,1
1091111087217565698,2019-01-31 23:08:49,"Thank you for your kind words, General Rice. I will continue to support our men and women in military and promote t… https://t.co/hmYMa21vG1",0,9,0,1
1091062840180510720,2019-01-31 19:57:06,Mississippians deserve to have access to healthcare services in their communities. It was a pleasure to visit the C… https://t.co/bsNT8WZzUl,0,16,0,1
1091021959729684480,2019-01-31 17:14:40,"Abortion at anytime is immoral, but a bill allowing abortions when a woman is showing physical signs of labor is un… https://t.co/nsJPo2snx7",0,13,0,1
1090726344768540672,2019-01-30 21:39:59,"I’m honored to join so many talented Freshmen Members on @HouseHomeland, including @RepMarkGreen, @RepDanCrenshaw,… https://t.co/REeHyuKzzy",3,7,0,1
1090654144577392643,2019-01-30 16:53:06,"As a former prosecutor of numerous drug interdiction cases, I know that securing our southwest border is necessary.… https://t.co/tCEJnXNl08",1,29,0,1
1090370493172060161,2019-01-29 22:05:58,RT @mdaworks: MDA’s @GlennMcCJr  &amp; @JamieMillerMS  met w/ #Mississippi ’s congressional delegation to discuss continuing growth opportuniti…,3,0,0,0
1090364655942467589,2019-01-29 21:42:46,The MS School for the Blind is shaping new ways of teaching and learning. It was a pleasure to discuss how our offi… https://t.co/jHWZFsn9j1,1,17,0,1
1090045968211501056,2019-01-29 00:36:25,I was honored to welcome the Georgian Parliamentary Delegation &amp; the First Vice Speaker of the Parliament into our… https://t.co/ZqYQ0el2Ft,0,16,0,1
1088899814786560002,2019-01-25 20:42:01,This is great news for the people of Mississippi. Our energy industry is growing under conservative leadership and… https://t.co/5FjPVnsl2Y,0,10,0,1
