id,created_at,text,retweet_count,favorite_count,media_count,url_count
1098715639437508608,2019-02-21 22:46:36,I joined @toddstarnes this week to discuss why the important phrase “so help me God” in our oaths should remain a p… https://t.co/K5ZZzsJpNq,0,6,0,1
1098254057851023360,2019-02-20 16:12:26,"I'm joining @toddstarnes today at 12:05 p.m. CT on @foxnewsradio to discuss the troubling push to remove ""So help y… https://t.co/bUKLKM2Yta",10,33,0,1
1097617755648385024,2019-02-18 22:04:00,"Today, we honor the countless men who have led our country with great strength and devotion. I am proud to serve un… https://t.co/9JRIXAAHuJ",0,10,0,1
1097518114038824960,2019-02-18 15:28:03,"Today, we honor all of those who have led our country with strength and determination. America's best days are ahea… https://t.co/jdbwYtyNeD",2,7,0,1
1096489880333574146,2019-02-15 19:22:13,"RT @RepublicanStudy: Liberty. Opportunity. Security.

These are the ideals that we stand for, now and always. https://t.co/IpdySdFius",3,0,1,0
1096183910105600000,2019-02-14 23:06:24,"We made a promise to Americans that we would secure our border, and this bill falls short of that goal.
https://t.co/nrqZJ0FfpX",2,18,0,1
1095756896613687296,2019-02-13 18:49:36,RT @JudiciaryGOP: Did you know that #HR8 makes it illegal for law-abiding citizens to take basic steps to protect themselves from criminals…,332,0,0,0
1095695343759503360,2019-02-13 14:45:01,"Yesterday, I had the honor of speaking with Mary Ann Mendoza, who lost her son in a car accident caused by a drunk,… https://t.co/OjIxCs0j0p",2,10,0,1
1095443751521185792,2019-02-12 22:05:17,RT @LSBDC: Thank you @RepMikeJohnson for understanding and supporting the value of the #LSBDC! We appreciate your support that allows us to…,2,0,0,0
1095435433989808128,2019-02-12 21:32:14,"RT @WhiteHouseHstry: Happy birthday to our 16th president, Abraham Lincoln (1861-1865), born on this day in 1809. https://t.co/zp4wuX16gW",102,0,1,0
1095412718314708992,2019-02-12 20:01:58,RT @smith_ashlyn: Thanks to Ruth Ward with ⁦@RepMikeJohnson⁩ office for spending time talking with Jill from ⁦@SOLouisiana⁩! https://t.co/U…,2,0,0,0
1095390436292812801,2019-02-12 18:33:26,"In contrast to what other states may do, we in LA will always value &amp; protect LIFE! 

This morning, an old friend s… https://t.co/E0ZNGqa7VH",4,16,0,1
1094634598720430081,2019-02-10 16:30:00,"ICYMI: Fellow @RepublicanStudy members @DanCrenshawTX, @RepDLesko, @RepPaulMitchell, @RepJimBanks and I gave our th… https://t.co/BtSSwCbfR5",9,22,0,1
1094272210989142016,2019-02-09 16:30:00,"#BlackHistoryMonth honors the contributions of Martin Luther King Jr., Rosa Parks and many other African Americans… https://t.co/99k0s28ENh",2,3,0,1
1093945788663775232,2019-02-08 18:52:55,"RT @RepublicanStudy: .@AOC website promotes off-shore drilling under Energy Issues - the very thing she wants to eliminate with her ""Green…",49,0,0,0
1093941388524355584,2019-02-08 18:35:26,"UPDATE: The fire was extinguished last night, and there were no injuries. Thank you to the approximately 50 firefig… https://t.co/cXRWrgcxgC",3,16,0,1
1093927327111831560,2019-02-08 17:39:33,"Ensuring women and their babies have readily available access to a hospital is far from unreasonable.

We will cont… https://t.co/q6NHauonzl",1,12,0,1
1093902946952192000,2019-02-08 16:02:40,"RT @RepJimBanks: It's believed that ""So Help Me God"" was added by George Washington to, in part, remind the Nation that no public servant i…",3,0,0,0
1093614231159820294,2019-02-07 20:55:25,"Yesterday, I joined @talk1073 to give my impressions of the #SOTU.

I echo @POTUS' message: “We must choose between… https://t.co/rd0A44xt64",5,14,0,1
1093544802975707138,2019-02-07 16:19:32,"RT @FRCdc: Judiciary Chairman @repjerryNadler Omits 'So Help Me God' From Oath as He Swears in Witnesses. @cnsnews @RepMikeJohnson 

@tperk…",8,0,0,0
