id,created_at,text,retweet_count,favorite_count,media_count,url_count
1098718960319639554,2019-02-21 22:59:48,I like his parents values and have to say this is a cause I can get behind! This young man understands the need to… https://t.co/UlpflCcalv,1,2,0,1
1097982947037274112,2019-02-19 22:15:08,"Last week I joined 14 other Texas Members in voting ""no"" on this latest spending bill. This spending bill does not… https://t.co/vhCHlxmeky",2,18,0,1
1097980213412143105,2019-02-19 22:04:17,@tarrantgop thank you for hosting a wonderful event Saturday evening. The Lincoln Day Dinner was a great success. W… https://t.co/trswtidiTp,0,0,0,1
1096415872908955648,2019-02-15 14:28:09,A fav little town in my district is up for an award and we need your help. It is the only #Texas town in the top fi… https://t.co/6in1fIc2RJ,3,5,0,1
1095453484282007552,2019-02-12 22:43:57,The conference committee should have properly funded the wall and our #bordersecurity cause if not the president wi… https://t.co/uK05y4OdSJ,1,9,0,1
1095369971780276224,2019-02-12 17:12:06,"UTA is providing exactly what we need from our institutions of public higher education, by enrolling and graduating… https://t.co/1FNYYlq7tf",1,6,0,1
1095093482090315781,2019-02-11 22:53:26,Joined my colleagues today in co-sponsoring this legislation. We must always honor the heroes who have sacrificed s… https://t.co/Hr5FrbVhBt,0,5,0,1
1095090248084848641,2019-02-11 22:40:35,Today my office sent a letter to @SecPompeo urging him to do everything in his power to bring Majd Kamalmaz home fr… https://t.co/icNE6ZMvEF,15,30,0,1
1095040226534273025,2019-02-11 19:21:49,Comments like those of my colleague Ilhan Omar are not just insensitive they are Anti-Semitic and bigoted! She shou… https://t.co/y0jf7IZ2QX,25,113,0,1
1095038753851277312,2019-02-11 19:15:58,Strong support last night for the work being done by @AIPAC We must always stand with Israel and do everything we c… https://t.co/rkS7MO31V2,21,79,0,1
1093969839033597955,2019-02-08 20:28:29,"RT @FindFarmCredit: Our board chairman, Jimmy Dodson, left, met with Rep. Michael Cloud and his wife, Rosel, at Texas Agriculture's Welcome…",7,0,0,0
1093887866780958725,2019-02-08 15:02:45,Come by our office any time. We look forward to seeing you! https://t.co/8RxL22VIz2,2,8,0,1
1093639985075499008,2019-02-07 22:37:45,@MQSullivan @VanTaylorTX @Lancegooden @WillHurd @TXRandy14 @DanCrenshawTX @RepArrington @RepBrianBabin… https://t.co/P72bGB0AKS,2,7,0,1
1093626774158757888,2019-02-07 21:45:16,My heart is heavy to learn of the passing of Arlington Police Chaplin Harold Elliot. He was a good man and a friend… https://t.co/OeZT4jyOCz,0,4,0,1
1093620620670189568,2019-02-07 21:20:49,@kketb Wearing my pin today in to highlight the #Enditmovement https://t.co/TJOWy8QZXR,3,10,1,0
1093616251375624192,2019-02-07 21:03:27,Attending a round table with the Estonian Ambassador discussing Russian aggression and ways to combat it.… https://t.co/9zkG8CMikd,0,6,0,1
1093593723211001856,2019-02-07 19:33:56,@momisaverb So important that we as members of Congress keep our priorities straight! I am saddened as well to see… https://t.co/jpJHwFAJ2W,0,0,0,1
1093589861519581190,2019-02-07 19:18:35,"Sitting with representatives from Pakistan, Uganda, Namibia, and Greece at the National #PrayerBreakfast this morni… https://t.co/f8PrtPRCgq",0,5,0,1
1093589276133076992,2019-02-07 19:16:15,"If My people who are called by My name will humble themselves, and pray and seek My face, and turn from their wicke… https://t.co/akyEgFG8VP",1,15,0,1
1093551076891086848,2019-02-07 16:44:28,"RT @EdLaborGOP: Republican Leader @virginiafoxx talks with tipped workers who would lose their jobs in a $15 fed min wage hike. Oddly, they…",272,0,0,0
