id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099029506495520768,2019-02-22 19:33:47,Thank you to @IdahoGrain for stopping by to update myself and @SenatorRisch about all things wheat! https://t.co/iVmW8KZIcS,1,11,1,0
1098690065205727232,2019-02-21 21:04:58,Partnering with @MikeCrapo @SenatorRisch @CongMikeSimpson for Service Academy Days throughout Idaho. Our staff &amp; ac… https://t.co/ybUB4KSJMr,2,9,0,1
1098672249144573952,2019-02-21 19:54:11,Good news for Idaho’s First District! @BLMNational &amp; @forestservice have lowered 2019 grazing fees from $1.41 to th… https://t.co/u2650DakVl,2,14,0,1
1098301847293571072,2019-02-20 19:22:20,Thank you to the Parker Technical Education Center @NorthIdaho College for having me out for a tour today! https://t.co/Von9Ry0yF3,4,24,1,0
1096197579350659072,2019-02-15 00:00:43,Going to be a late night on Capitol Hill. My team and I are going through H.J.Res.31 - the appropriations that incl… https://t.co/IWVxkQGfKX,5,38,0,1
1096156132350021639,2019-02-14 21:16:02,Happy Valentines Day! My Meridian office staff brought homemade cards (made by local elementary students) to vetera… https://t.co/vcoKxDtPNn,2,13,0,1
1096071237317603328,2019-02-14 15:38:41,New surveys @SBAList show that most (regardless of location or political party) do not support proposals to allow l… https://t.co/yHYQzSocAK,16,41,0,1
1095863329317441536,2019-02-14 01:52:32,Shoutout to two Idahoans who deserve this recognition from @Prudential! Sarah Picker @BSDEducation trains service d… https://t.co/5J37JZKX1j,0,13,0,1
1095811305745907714,2019-02-13 22:25:49,Very impressed by @DOIDepSec and his willingness to engage states in local land issues. @westerncaucus https://t.co/9nFYc4PDtT,4,16,1,0
1093549715336118272,2019-02-07 16:39:03,"RT @EdLaborGOP: Republican Leader @virginiafoxx talks with tipped workers who would lose their jobs in a $15 fed min wage hike. Oddly, they…",272,0,0,0
1093262046643322898,2019-02-06 21:35:58,Happy Birthday to President Ronald Reagan- a true patriot! https://t.co/eeZX28GCOL,4,20,1,0
1093243915258552320,2019-02-06 20:23:55,I am 100% behind you Whip @SteveScalise &amp; @RepAnnWagner. Babies who survive an abortion should receive medical care. https://t.co/ncf4nfk0Cg,136,647,0,1
1093146927250763776,2019-02-06 13:58:31,Congrats to @DOIDepSec David Bernhardt on his nomination! Looking forward to working to decrease burdensome regulat… https://t.co/J8i6BB2Ut0,6,19,0,1
1092974057258184704,2019-02-06 02:31:36,RT @HouseGOP: .@RepRussFulcher predicts the President will highlight the success of the GOP tax cuts at tonight’s #SOTU. https://t.co/4pM4X…,15,0,0,0
1092850958344904705,2019-02-05 18:22:27,My colleagues @RepChipRoy &amp; @RepDanCrenshaw took a trip to the southern border for a first-hand account of the situ… https://t.co/xnosCzqifH,39,81,0,1
1092821172910260224,2019-02-05 16:24:05,"January reports show amazing progress: 
 
✅ 304,000 new jobs in January
✅ Worker wage gains break 3% for 1st time i… https://t.co/5iDgJke8if",19,62,0,1
1091475936208400384,2019-02-01 23:18:36,This week I signed a letter with some of my freshman colleagues to @US_FDA Commissioner Gottlieb asking to ensure l… https://t.co/JLCy4xmpyi,7,32,0,1
1091465553875816450,2019-02-01 22:37:21,Will be live on @KBOI670 at 5pm MST this evening- tune in!,0,4,0,0
1091086022535008256,2019-01-31 21:29:13,This week my Dem colleagues in @NatResources attempted to remove “Under God” from the oath taken by witnesses befor… https://t.co/XWCeI2GS21,4,22,0,1
1090324634199822338,2019-01-29 19:03:44,Subcommittee Assignments just announced! @NatResources @EdLaborCmte https://t.co/OiTosiVcFg,5,24,1,0
