id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099080493327360000,2019-02-22 22:56:24,Join me next Friday for an IRS Free File Workshop where attendees will learn more about free online tax preparation… https://t.co/4vuWYb5KKS,1,0,0,1
1098753975229341701,2019-02-22 01:18:56,"Incredibly grateful for the opportunity to have met w/ so many constituents from Allen, Plano, &amp; Prosper today. My… https://t.co/ABzRiBXyZ0",1,9,0,1
1098578511823032320,2019-02-21 13:41:42,There’s no better way to start a Thursday than joining constituents in Allen for coffee and conversation. ☕️ https://t.co/UNwJF6CDZ8,1,15,1,0
1098031237963415553,2019-02-20 01:27:02,Thank you @CollinCoSO for all you do for our community. https://t.co/xMlxPvaR3M,1,8,0,1
1098027242066792449,2019-02-20 01:11:09,"After receiving letters from high school students at McKinney Boyd High School, I stopped by to answer their questi… https://t.co/K2dpwnvb8o",1,15,0,1
1097970557390331906,2019-02-19 21:25:54,Spent the morning hosting Community Coffee events in Frisco and McKinney. Meeting constituents and listening to the… https://t.co/pqD9UI1qcq,1,15,0,1
1097127557374324737,2019-02-17 13:36:07,"RT @VANorthTexas: U.S. Congressman Van Taylor met with Dr. Stephen Holt, Director VA North Texas Health Care System during his visit to #VA…",2,0,0,0
1097126036083490816,2019-02-17 13:30:05,@stevenquezadaTX Hope you can make it!,0,1,0,0
1096846617834147845,2019-02-16 18:59:46,I know that I work for you which is why I have always made sure I am accessible to my constituents. In addition to… https://t.co/VVxmX0AFhM,16,28,0,1
1096536216256897025,2019-02-15 22:26:21,"Thursday’s terrorist attack in Jammu &amp; Kashmir, India serves as a stark reminder that the threat of terror remains… https://t.co/SG99aKeeXx",30,50,0,1
1096505056352968705,2019-02-15 20:22:32,Had the pleasure of dropping off valentines to veterans at @VANorthTexas today. We also discussed how we can better… https://t.co/zV0FsqVZqR,0,7,0,1
1096235832783130624,2019-02-15 02:32:44,"Today’s massive spending bill lumped together many of Washington’s worst traits to spend $328B buried in 1,200 page… https://t.co/yoX6RqTwgK",8,42,0,1
1096192144140836864,2019-02-14 23:39:08,They do things differently in Washington than we do in Texas. Received bill text for the spending agreement less th… https://t.co/gC1xrjQU7m,4,24,0,1
1095689996990930944,2019-02-13 14:23:46,Blown away by Collin County students who have dropped off hundreds and hundreds of valentines to my office. I can't… https://t.co/iiLzhQzpe2,0,17,0,1
1095384204760805382,2019-02-12 18:08:40,Listen in now! https://t.co/qy9j9af33L,0,2,0,1
1095362404203065355,2019-02-12 16:42:02,"Beginning 46 years ago today, 591 American POWs were released between February and March from Hanoi, North Vietnam… https://t.co/qufRZJuZ6h",0,10,0,1
1093991397752033280,2019-02-08 21:54:09,RT @Trey_Graham: Join “Smart Talk with Trey Graham” Sunday at 4:00 pm CT on KWRD 100.7 FM in North Texas or online at https://t.co/E3ByybCk…,1,0,0,0
1093974651552833536,2019-02-08 20:47:36,The @EdLaborGOP kicked off the year with two committee hearings this week. Excited to bring some North Texas perspe… https://t.co/4TIcNOsRJx,1,10,0,1
1093206386408853504,2019-02-06 17:54:47,Just introduced legislation w/@RepJimmyPanetta to allow all Medal of Honor recipients &amp; POWs who are eligible for b… https://t.co/3lbS32obWM,4,16,0,1
1093157008423948288,2019-02-06 14:38:35,Listen in to @660KSKY as I join @MarkDavis to discuss @POTUS’s second #SOTU address. 📻,1,4,0,0
1092996433580568576,2019-02-06 04:00:31,"Tonight, @POTUS reminded us that extraordinary bipartisan accomplishments are possible and I couldn't agree more. M… https://t.co/iTy94JAu3c",5,11,0,1
1092905113793032194,2019-02-05 21:57:38,"At 9:00 PM ET, the President will address a joint session of Congress and outline his vision for 2019. What issues… https://t.co/KsmFGVVYCt",0,2,0,1
1092903732092825600,2019-02-05 21:52:09,"Met @SecWilkie at the White House to examine how we can improve veteran care. By modernizing the appeals process, u… https://t.co/dHlYelsH0I",0,5,0,1
1092831896323719168,2019-02-05 17:06:42,We must have great schools to have a successful community &amp; public schools are a beacon in bringing businesses to C… https://t.co/V0phIR8yex,1,6,0,1
1092576850717655042,2019-02-05 00:13:14,RT @NTxCommission: Great luncheon bringing our freshmen Congressmen together. Thank you @ColinAllredTX @RepVanTaylor and @RepRonWright for…,3,0,0,0
1092567421506981891,2019-02-04 23:35:46,Joined @JasonWhitely @BudKennedy at @WFAA for the first time since I took office. Check out our discussion on our t… https://t.co/yruqXGAJ48,1,4,0,1
