id,created_at,text,retweet_count,favorite_count,media_count,url_count
1099080389241516032,2019-02-22 22:55:59,"Pittsburg Chamber of Commerce were great hosts yesterday! Thanks my friends. 

@PittAreaChamber

https://t.co/C45IggBZji",1,2,0,1
1098764958429515777,2019-02-22 02:02:34,Have to stop by Chicken Mary’s on the way out of Pittsburg! https://t.co/C8J3aCEr8Q,3,19,1,0
1098642312337522691,2019-02-21 17:55:13,In Pittsburg touring Eagle Beverage today. These folks are doing a lot for the local economy and I look forward to… https://t.co/DXmdsKQGEc,1,9,0,1
1097288531117043713,2019-02-18 00:15:47,"Thank you and congrats Skyler on the homecoming, and to you Cydney, on the birth of your twins! 

https://t.co/Edqrp7E0Tj",1,7,0,1
1096237255335837697,2019-02-15 02:38:23,Kansans did not send me to Congress to continue to kick the can down the road. I am not interested in talking-point… https://t.co/0Jl5AxQZXK,13,49,0,1
1096123891024646145,2019-02-14 19:07:55,"RT @RepDavidTrone: It’s time to take action.

That’s why today I'm announcing the formation of the Freshmen Working Group on Addiction. 36…",38,0,0,0
1096063599221633025,2019-02-14 15:08:20,"The Maduro Regime has ties to the drug cartels, and now International terrorists organizations like Hezbollah &amp; FAR… https://t.co/XipOFKiofm",5,14,0,1
1095778684156432385,2019-02-13 20:16:11,"My 2-cents on the complex, important, and turbulent conflict in Yemen and related legislation. 

https://t.co/SIq9iiG0il",1,3,0,1
1095768342185562112,2019-02-13 19:35:05,We are debating U.S. military assistance in the Yemen conflict on the House Floor right now. Tune in to… https://t.co/cII6CM0DRy,4,5,0,1
1095754441444261888,2019-02-13 18:39:51,"President of Colombia, Iván Duque discussing the importance of our strategic partnership and the ongoing situation… https://t.co/xQmGrcicFX",2,6,0,1
1095749130197045248,2019-02-13 18:18:45,"“Dear God, help me be as good of a person as my dog thinks I am” - unknown 

Great to meet you Chief! Thanks for yo… https://t.co/lDdUOZIRYI",10,44,0,1
1095699156478423040,2019-02-13 15:00:10,UPDATE: My first piece of legislation is one step closer to becoming law.  It protects the National Historic Site a… https://t.co/KjfkwmApdj,1,11,0,1
1095420512573030400,2019-02-12 20:32:56,Today I met with the Kansas Medical Society to discuss rural healthcare issues facing Kansans. We talked about the… https://t.co/FGXRVdp69R,1,16,0,1
1095412803115143168,2019-02-12 20:02:18,"Though outside my district, these growing Kansas communities clearly provide critical economic opportunities throug… https://t.co/bHN03kBAAb",0,5,0,1
1095412802527875073,2019-02-12 20:02:18,"Many thanks to the dedicated Southwest Kansas community leaders from Dodge City, Garden City, and Liberal who stopp… https://t.co/btd3LLC4ZI",0,5,0,1
1095410927657238529,2019-02-12 19:54:51,Thanks to the Kansas RESULTS advocates who stopped by my office today. Always a pleasure seeing Kansans in DC! https://t.co/4Ic7AJpIbA,1,8,1,0
1095378927911165952,2019-02-12 17:47:42,You can sign up here 👇 https://t.co/zVkDISIrhp,1,2,0,1
1095371368294682626,2019-02-12 17:17:39,"Below is my first official newsletter! Make sure to sign up and pass along to your friends and family as well! 

https://t.co/DhqtX507gR",2,9,0,1
1094632592966647808,2019-02-10 16:22:02,"It was an honor speaking at the Leavenworth County Republican Party Lincoln Day Dinner last night! 

Always great s… https://t.co/SAfVLsdsnJ",2,6,0,1
1094607948544950273,2019-02-10 14:44:06,"The Fieldhouse was absolutely electric yesterday. Great view, great game, and great company with @KUnews Chancellor… https://t.co/PZTBzolsti",0,16,0,1
1094283995452456960,2019-02-09 17:16:49,"This week I introduced H.R. 1061, which will modify and enhance the boundary and mission of the Fort Scott National… https://t.co/obxakKV6rS",3,17,0,1
1093973539391225856,2019-02-08 20:43:11,Amen! https://t.co/EJ7y30LElD,3,8,0,1
1093964595042107393,2019-02-08 20:07:38,"Enjoyed getting to chat with Ranking Member Rep. @virginiafoxx today. Thanks for swinging by my office! 

For those… https://t.co/YZlIomP9k8",2,14,0,1
1093630056281325568,2019-02-07 21:58:18,"It was an honor to meet with M.K. Nava Boker, the Deputy Speaker of Knesset. Now more than ever it is essential for… https://t.co/5TwgE74kwx",4,10,0,1
1093621803182944257,2019-02-07 21:25:31,"Today, I introduced my first piece of legislation with the support of the entire Kansas House delegation. H.R. 1061… https://t.co/RXlMnMiPj3",2,13,0,1
1093602988147597312,2019-02-07 20:10:45,Enjoyed getting to chat with Sarah Irsik-Good with the Kansas Foundation for Medical Care today. Thanks for coming… https://t.co/knj8rLsZnu,1,2,0,1
1093550041967587329,2019-02-07 16:40:21,"RT @EdLaborGOP: Republican Leader @virginiafoxx talks with tipped workers who would lose their jobs in a $15 fed min wage hike. Oddly, they…",272,0,0,0
