id,created_at,text,retweet_count,favorite_count,media_count,url_count
1098957818487627776,2019-02-22 14:48:56,"RT @TCCSoutheast: U.S. Congressman, Kevin Hern stopped by the Math and Science building at Southeast Campus for a tour of the Nursing and B…",1,0,0,0
1098957696143904773,2019-02-22 14:48:27,RT @tulsatech: Students &amp; staff at our Broken Arrow Campus welcomed U.S. Congressman Kevin Hern Wednesday morning. Oklahoma's 1st Congressi…,2,0,0,0
1098652165315403777,2019-02-21 18:34:22,"RT @RepArmstrongND: I joined 62 of my House colleagues in sending a letter of support, led by @repkevinhern, to @USDA @SecretarySonny. To r…",1,0,0,0
1098641391079559169,2019-02-21 17:51:34,"RT @BAChamber: Such an honor to hear from Congressman Kevin Hern today at our Congressional Forum. Also, congratulations to Dr. Clarence Ol…",2,0,0,0
1097980684965158912,2019-02-19 22:06:09,"RT @RepWesterman: Today, I joined @repkevinhern in sending a letter to @SecretarySonny, supporting the proposed rule to enforce work requir…",1,0,0,0
1097956331355545601,2019-02-19 20:29:23,I sent a letter to @SecretarySonny today in support of @USDA proposed rule to enforce work requirements for able-bo… https://t.co/rYHXUbS0iM,4,10,0,1
1096817298055352320,2019-02-16 17:03:16,"RT @SenatorLankford: Great to be here with (L to R): Tulsa Mayor @gtbynum, former Mayor @DeweyBartlett, Commander of the #USSTulsa Commande…",14,0,0,0
1096205619743338496,2019-02-15 00:32:40,"RT @FreedomWorks: ICYMI we were LIVE w/ Oklahoma Congressman @repkevinhern! 

Tune in as we discuss jobs, the power of small business, and…",2,0,0,0
1096131431426940931,2019-02-14 19:37:53,"Roses are red,
The ""new deal"" is green,
Socialism doesn't work,
Capitalism drives the #AmericanDream",10,38,0,0
1095800308909989888,2019-02-13 21:42:07,"The @HSBCgop met w/ real-world business owners to set our legislative priorities for the 116th Congress today.

One… https://t.co/Qpe2DXCbIg",3,7,0,1
1095071442306252800,2019-02-11 21:25:51,"RT @FreedomWorks: We're LIVE w/ Oklahoma Congressman, @repkevinhern!

Tune in while we discuss jobs, the power of small business, and what…",8,0,0,0
1093608888266563585,2019-02-07 20:34:11,"Even more alarming is that they don't offer a solid plan on how to pay for these monstrous, socialist plans.… https://t.co/C7cFy1bS2R",1,6,0,1
1093608887675224064,2019-02-07 20:34:11,"A few of the absurd points are to eliminate air travel completely, upgrade or replace EVERY building in the United… https://t.co/MqyAfYqpbo",0,4,0,1
1093608886878253056,2019-02-07 20:34:11,"This isn't a parody, this is the real text of their proposal.
#GreenNewDeal",0,2,0,0
1093608886173687809,2019-02-07 20:34:11,"Don't take my word for it, here are some direct quotes:

""we aren't sure we'll be able to fully get rid of farting… https://t.co/uahWhoqg9d",0,4,0,1
1093608885334798337,2019-02-07 20:34:11,"This morning, the @HouseDemocrats released the framework for their #GreenNewDeal and it is a travesty.

It's so rad… https://t.co/wRcIti2pgn",2,8,0,1
1093576989926137856,2019-02-07 18:27:26,"RT @NTCAconnect: Ranking member @repkevinhern asks, ""How does putting broadband in rural areas help [entrepreneurs] move from getting contr…",3,0,0,0
1093574639459160065,2019-02-07 18:18:06,"Served as ranking member for my first hearing with the @HSBCgop Subcommittee on Economic Growth, Tax &amp; Capital Acce… https://t.co/8BTx4Codye",4,13,0,1
1093241693124657163,2019-02-06 20:15:05,RT @tulsaworld: .@repkevinhern on State of the Union: Trump evoked Reagan's 'shining city' speech https://t.co/UsZHIcqmju via @rkrehbiel #S…,1,0,0,1
1093174808496537604,2019-02-06 15:49:19,"RT @NatResources: We can all agree that these “one size fits all” programs like the Green New Deal, or even the Clean Power Plan, should be…",15,0,0,0
1093167660383252480,2019-02-06 15:20:54,Catch my full statement on last night's #SOTU here: https://t.co/sP1n91syDg https://t.co/UyRWuNiRwG,1,6,1,1
1092989421136285697,2019-02-06 03:32:39,#SOTU https://t.co/8Vbx3FPhQe,2,7,1,0
1092987876046983170,2019-02-06 03:26:31,RT @thejcoop: Something we don't get to see much today: an American veteran and one of those he helped liberate in WWII -- something else #…,340,0,0,0
1092987312869437441,2019-02-06 03:24:16,There are some great stories and brave heroes in the gallery tonight! #SOTU,2,17,0,0
1092982780764540928,2019-02-06 03:06:16,"""We will never apologize for advancing America's interests."" - @realDonaldTrump 

We are committed to keeping our p… https://t.co/GGotEsJaIw",4,17,0,1
1092977140251983874,2019-02-06 02:43:51,"""I pledge to you tonight that I will never abolish our heroes from ICE.""
- @realDonaldTrump 
#SOTU",2,16,0,0
1092976555549167616,2019-02-06 02:41:32,"I can't imagine the pain that Debra Bissell and her family are in, losing loved ones to senseless violence committe… https://t.co/lCs5P1aHfJ",4,31,0,1
1092975059352911872,2019-02-06 02:35:35,I stand with @realDonaldTrump on the urgent need to secure our border #SOTU,3,24,0,0
1092974184408469504,2019-02-06 02:32:06,"I was proud to vote for the bipartisan First Step Act, that allowed people like Matthew Charles to be released from prison #SOTU",2,11,0,0
1092970822698860545,2019-02-06 02:18:45,Nearly 5 million Americans lifted off food stamps - @realDonaldTrump's pro-growth agenda is WORKING!,3,9,0,0
1092970529495994368,2019-02-06 02:17:35,It's time to come together to build America's future. #SOTU https://t.co/salU25csMg,4,7,1,0
1092969801662824448,2019-02-06 02:14:41,RT @PhilipWegmann: Trump salutes Buzz Aldrin of Apollo 11 before announcing that US Astronauts will return to space this year on “American…,7,0,0,0
1092969219333877762,2019-02-06 02:12:22,Proud to see @realDonaldTrump supporting our veterans tonight! #SOTU,5,16,0,0
1092969178162704386,2019-02-06 02:12:13,"RT @HouseGOP: .@RepKevinHern had a head start on the GOP freshman class, but tonight marks his first #SOTU. https://t.co/MyvSyspM1u",14,0,1,0
1092952538817675264,2019-02-06 01:06:05,"Be sure to tun in to see @realDonaldTrump deliver the #SOTU at 9pm eastern/10pm central!

https://t.co/RT2fCtBVDP https://t.co/An7ZySfWDx",1,2,1,1
1092102987797929984,2019-02-03 16:50:17,"“If my people, which are called by my name, shall humble themselves, and pray, and seek my face, and turn from thei… https://t.co/gclYFh3I7Y",10,44,0,1
1091763187333111809,2019-02-02 18:20:02,"Gov. Northam in Virginia is endorsing infanticide &amp; proudly doing it! If that doesn’t scare you, it should. It’s ho… https://t.co/NToOkr1vYi",13,38,0,1
1090673488103391232,2019-01-30 18:09:57,"RT @NFIB: We had the pleasure of hosting NFIB Member, @RepKevinHern, at our DC office this morning. Thank you for taking the time to visit…",3,0,0,0
1090342396473282567,2019-01-29 20:14:19,"RT @NFIB: Congratulations to NFIB Members, @SenatorBraun, @RepPeteStauber, @RepKevinHern, and @RepJohnRose for being newly elected into the…",58,0,0,0
1090342375296303104,2019-01-29 20:14:14,Great to see y’all today! https://t.co/24LxZmfyPr,2,7,0,1
1089681651746131968,2019-01-28 00:28:45,Great to see you my friend! https://t.co/HDu3XiJox9,0,4,0,1
1088534547325767681,2019-01-24 20:30:34,The #shutdown is now on Day 34 - the longest in American history. Instead of staying here and working to reopen the… https://t.co/XfLudKQUgI,5,31,0,1
1088200915226689537,2019-01-23 22:24:50,Just gave a speech on the House floor calling out @HouseDemocrats for voting against a measure to fund the paycheck… https://t.co/W5VEDbRK5Q,1420,2475,0,1
1088172433620852738,2019-01-23 20:31:40,RT @GOPLeader: Retweet if you agree that the State of the Union should proceed as planned. I just signed and submitted a resolution that wo…,39262,0,0,0
1088136404763328513,2019-01-23 18:08:30,RT @gtbynum: Great to visit with Tulsa’s Congressman @repkevinhern about the work to be done in our city. Throughout this government shutdo…,4,0,0,0
1088112483586527234,2019-01-23 16:33:26,"Today, I was assigned to the House Committees on Natural Resources (@NatResources), Small Business (@HSBCgop), and… https://t.co/oc9i6stlnM",2,13,0,1
1087836905406910470,2019-01-22 22:18:23,"If @SpeakerPelosi refuses to let @realDonaldTrump deliver the #SOTU address in the Capitol, the President should co… https://t.co/ebPts0dkDG",8,43,0,1
1082652008170033152,2019-01-08 14:55:28,"RT @tulsaworld: Tulsa World editorial: Kevin Hern @krhern's refusal to keep his congressional pay during #shutdown is selfless, patriotic;…",15,0,0,0
1082645344557633539,2019-01-08 14:28:59,"RT @Franklin_Graham: “For I am the Lord your God
who takes hold of your right hand and says to you, Do not fear; I will help you.” (Isaiah…",4054,0,0,0
1081355756052582400,2019-01-05 01:04:37,"RT @Franklin_Graham: I just read about a Congressman I respect. I’ve never met him, but @RepKevinHern is not taking his salary during the g…",1718,0,0,0
1081355719121735681,2019-01-05 01:04:28,"RT @Franklin_Graham: In my opinion, it should be standing law that when the government shuts down, Congress should not receive their salari…",10431,0,0,0
1081355699077160961,2019-01-05 01:04:23,"RT @Franklin_Graham: For those who have put their faith and trust in Christ, you can take comfort in knowing that no matter what comes, He…",4565,0,0,0
1081355496026791936,2019-01-05 01:03:35,"RT @Jim_Jordan: .@POTUS: ""I'm very proud of doing what I'm doing. I don't call it a shutdown. I call it doing what you have to do for the b…",17810,0,0,0
1081223509702004736,2019-01-04 16:19:07,RT @Protectaxpayers: We stopped by @repkevinhern 's office yesterday.  He is definitely ready to fight for taxpayers in the new Congress.…,2,0,0,0
1081198237879623680,2019-01-04 14:38:42,RT @rkrehbiel: U.S. Rep. Kevin Hern donating congressional salary during shutdown https://t.co/5ALA4SHnQy via @tulsaworld,11,0,0,1
1081198053518987264,2019-01-04 14:37:58,"I spoke with the @TulsaWorld yesterday about the work we're doing now in Congress, check it out:
https://t.co/OFNengBr2i",2,9,0,1
1080989983853461504,2019-01-04 00:51:10,"RT @Jim_Jordan: We knew they couldn’t help themselves. Rep. Sherman files articles of impeachment on the President. 

Dems are more focused…",17485,0,0,0
