id,created_at,text,retweet_count,favorite_count,media_count,url_count
1103696773200207873,2019-03-07 16:39:51,Just chaired the latest meeting of @scotgov Resilience meeting on plans for ‘no deal’ Brexit. These meetings look a… https://t.co/W4JXMfR56I,67,244,0,1
1103612662666223616,2019-03-07 11:05:37,"RT @StMargaretsJoh1: A very proud Katie with her letter from @NicolaSturgeon answering some of her concerns about Brexit. Well done Katie,…",17,0,0,0
1103612646362963968,2019-03-07 11:05:33,RT @StirlingCouncil: This morning pupils from @Kininmps and @ThornhillPS1 are @waterstones on #WorldBookDay to spend the book vouchers they…,8,0,0,0
1103595671523917824,2019-03-07 09:58:06,RT @StConval: Some photos of our fantastic new library which opened this morning! What a fantastic space to enjoy a good book! @maureen0207…,19,0,0,0
1103578719317385217,2019-03-07 08:50:44,RT @BBCScotlandNews: European parliament to keep Scotland office after #Brexit https://t.co/ZNhe9r5xyo https://t.co/VSzSjYtt2e,267,0,1,1
1103575416340733952,2019-03-07 08:37:37,RT @middlefieldsch: Our Geoff Shaw Boccia sessions were made even better by a surprise visit from @NicolaSturgeon last Friday. Our young pe…,18,0,0,0
1103564620407672832,2019-03-07 07:54:43,"Happy #WorldBookDay everyone. Here’s pics of what I’m reading just now, some poetry I’ve been dipping into, and my… https://t.co/hfzZQMbA35",239,1320,0,1
1103396251180126208,2019-03-06 20:45:41,RT @policescotland: Police Scotland officers investigating a suspicious package sent to the University of Glasgow today have now linked the…,200,0,0,0
1103395578388598791,2019-03-06 20:43:00,"RT @SWCwomen: Women coming along to #SWCIWD19 will hear from @NicolaSturgeon, @ayeshahazarika, #HarrietteCampbell, #PaulaBrennan, @hannahbl…",10,0,0,0
1103394448673828870,2019-03-06 20:38:31,It would unconscionable for her to propose this or for the House of Commons to allow her to do it. https://t.co/lluTKMmMq8,686,1534,0,1
1103385061066506240,2019-03-06 20:01:13,RT @FalkirkEastSYP: Yesterday I had the absolute honour of meeting @NicolaSturgeon &amp; the @scotgov Cabinet to discuss important issues affec…,33,0,0,0
1103371527267987456,2019-03-06 19:07:26,"@lisacanale @BBCScotlandNews It was a pleasure - loved meeting you all, especially Grace!",4,73,0,0
1103351356264534016,2019-03-06 17:47:17,Thanks to @policescotland and @UofGlasgow for responding so well to this incident today. Important to have calm vig… https://t.co/JWIq1tFx0O,116,600,0,1
1103348190399643648,2019-03-06 17:34:42,Good to meet with @titchandco and all of the @ScottishTUC award winners earlier today. https://t.co/1zbNrG38ad,33,102,0,1
1103337494190407680,2019-03-06 16:52:12,Congratulations @Kerr5Shelley and #SWNT. Another good win on the road to the World Cup. @ScotlandNT https://t.co/sADXMIuXDY,69,354,0,1
1103333944790056965,2019-03-06 16:38:06,RT @JackDudgeonMSYP: So today has been pretty surreal... absolutely thrilled to have been able to represent young people's voices today at…,19,0,0,0
1103294137544118273,2019-03-06 13:59:55,RT @BBCScotlandNews: Baby Grace thanks @NicolaSturgeon for the £50m funding for perinatal mental health services by being sharing her break…,398,0,0,0
1103273771023126529,2019-03-06 12:38:59,RT @Ayrshiremidwife: The First Minister &amp; @PMHN_Scot have transformed the future of Perinatal mental health in Scotland today. Incredibly e…,104,0,0,0
1103272110208835585,2019-03-06 12:32:23,Lovely to meet baby Grace as part of the perinatal mental health funding announcement this morning. I suspect this… https://t.co/AmxGQomYO7,561,3301,0,1
1103270291365613569,2019-03-06 12:25:09,"RT @tomfrench85: SNP Westminster Leader @IanBlackfordMP raises the case of Tove Macdonald, the 87-year-old Danish grandmother, who is being…",193,0,0,0
1103268507914027009,2019-03-06 12:18:04,There is still a hard road ahead for BiFab but this is brilliant news for the Arnish yard and workforce. @scotgov i… https://t.co/olMmhAK6lO,221,616,0,1
1103245344811503616,2019-03-06 10:46:02,"RT @theSNP: 👩 @NicolaSturgeon has announced £50 million to provide access to treatment for 11,000 women who experience mental health proble…",206,0,0,0
1103043508049448960,2019-03-05 21:24:00,"RT @essenceofharris: Thrilled to have been awarded the Investors in Young People award, recognising our commitment to young people, their d…",38,0,0,0
1103043497815392257,2019-03-05 21:23:58,Congratulations to @essenceofharris on achieving the Investors in Young People award. Lovely to welcome you to Bute… https://t.co/Yfn1vfOJyy,59,285,0,1
1103039985832390656,2019-03-05 21:10:00,@DavidLinden @JenLaydenSNP Just caught her interview - she was excellent.,0,20,0,0
1103019833845837831,2019-03-05 19:49:56,RT @scotgov: Today the Scottish Cabinet met with representatives from @OfficialSYP and @Creative_Voices to speak about real-life issues whi…,129,0,0,0
1102984527553671169,2019-03-05 17:29:38,Huge thank you to the young people from Dundee who left me this lovely message which I’ve just found in the drawer… https://t.co/8He3BM1KIF,544,3429,0,1
1102952151205244929,2019-03-05 15:20:59,RT @theSNP: 📖 Read @NicolaSturgeon's opening speech in the Scottish Parliament's debate over the EU Withdrawal Negotiations and Theresa May…,203,0,0,0
1102942863254532097,2019-03-05 14:44:04,RT @AliceMSYP: Amazing to have represented Young Peoples voices at the annual Scottish Cabinet meeting with children and young people. Grea…,48,0,0,0
1102942455199137795,2019-03-05 14:42:27,RT @cathymac59: Yet another extraordinary meeting between @Creative_Voices @OfficialSYP @NicolaSturgeon @JohnSwinney @scotgovedu and Minist…,33,0,0,0
1102935531439222784,2019-03-05 14:14:56,"RT @BaileyLeeMSYP: Honour and privilege to meet with @ScotGovFM and the Scottish Cabinet (@scotgov) to discuss a variety of issues. 

Repre…",19,0,0,0
1102928507175346179,2019-03-05 13:47:02,RT @JoshKenMSYP: It was an honour &amp; a pleasure to meet with @NicolaSturgeon &amp; the Scottish Cabinet today to outline @OfficialSYP priorities…,59,0,0,0
1102926467732783104,2019-03-05 13:38:55,"RT @OfficialSYP: MSYPs pictured with @ScotGovFM @NicolaSturgeon after a successful @scotgov Cabinet meeting today, outlining our priorities…",68,0,0,0
1102874480005791744,2019-03-05 10:12:21,RT @scotgov: This afternoon @scotparl and @AssemblyWales will simultaneously debate a motion that states a No Deal outcome is unacceptable…,178,0,0,0
1102874429758017537,2019-03-05 10:12:09,RT @OfficialSYP: MSYPs preparing for a historic annual meeting with @scotgov Cabinet. Scot Gov has committed to hear directly from children…,29,0,0,0
1102858523749376002,2019-03-05 09:08:56,"Today, @scotgov Cabinet will have our annual meeting with representatives of the Scottish Youth Parliament… https://t.co/Tm04bsR0gH",122,407,0,1
1102856905758781440,2019-03-05 09:02:31,"Watching this makes me feel sad and angry in equal measure. Tove, Danish born, has lived in Scotland for 59 years a… https://t.co/nlngrNVDDb",4576,13453,0,1
1102668777219596291,2019-03-04 20:34:57,RT @qmscotland: And here it is - the new Scotch Beef 'Know Your Beef' TV advert! Tune into Coronation Street and Who Wants to Be a Milliona…,121,0,0,0
1102668763080638466,2019-03-04 20:34:54,Great new promotional ad for #scotchbeef. @qmscotland https://t.co/8OHoRTuTrg,118,290,0,1
1102614235564126208,2019-03-04 16:58:13,RT @ScotGovFM: FM @NicolaSturgeon today kicked off Scottish Apprenticeship Week by visiting @FVCollege to meet female engineering apprentic…,108,0,0,0
1102605841889406978,2019-03-04 16:24:52,👏👏👏👏 #OurGirlsOurGame https://t.co/ysE916FdYD,166,1048,0,1
1102588654504030210,2019-03-04 15:16:34,@PortyBooks Good luck! Look forward to visiting.,0,41,0,0
