id,created_at,text,retweet_count,favorite_count,media_count,url_count
516247086959185920,2014-09-28 15:24:31,RT @AlexSalmond: Delighted Jack Nicklaus has been awarded Honorary Life Membership of European Tour. A great honour for a great man on a gr…,78,0,0,0
516243685911318530,2014-09-28 15:11:00,"@theSNP membership is now 70,000 &amp; rising. If you want to be part of this grassroots movement for change, join here http://t.co/vGFgk8f6k8",0,2,0,1
514693860585644032,2014-09-24 08:32:33,"SNP MEMBERSHIP IS NOW OVER 50,000. WANT TO HELP PUSH FOR INDEPENDENCE. JOIN HERE https://t.co/dWX8TZENCX http://t.co/f14Wh6j3TR",4,3,1,1
514320734794285056,2014-09-23 07:49:53,SNP poised 2 become 1 of UK’s largest political parties. SNP announces that membership has jumped more than 18k in 4 days,1,1,0,0
498519366414376960,2014-08-10 17:20:53,RT @fiona1tweet: @williecoffeysnp @indycyclist Mark will cycle 500miles in Scotland for Yes and local foodbank. pls support @ http://t.co/J…,1,0,0,0
498519163904983040,2014-08-10 17:20:05,http://t.co/C9lla59mEQ,0,1,1,0
498519029339136001,2014-08-10 17:19:33,Ayrshire Killie. The oldest professional football club in Scotland. Est1869. There are 13 outfield players &amp; no subs http://t.co/SEXJuG5MQ6,1,6,1,0
498518473921007616,2014-08-10 17:17:20,On the road to freedom. Thanks to Bill Hume for allowing me to sit in his car. http://t.co/DrDzTpyTjz,0,0,1,0
498518362058915842,2014-08-10 17:16:54,Young Scots say YES for independence! Look at the result from James Hamilton Academy in Kilmarnock. http://t.co/VhNDcRflcB,0,0,1,0
498518129501548545,2014-08-10 17:15:58,"No wonder Cameron voted against Juncker. Cameron lost 26:2.
 Vote Yes 4 indy. Small nations make a BIG difference! http://t.co/vQOUvmpFVW",0,0,1,0
477788379179139073,2014-06-14 12:23:21,Fury over claims Westminster want to close down foodbanks http://t.co/y1EpglmRD7,2,0,0,1
477787523197190144,2014-06-14 12:19:57,RT @YesEastAyrshire: FB event up for the Kilmarnock/Ayrshire part of the @ricmasscanvass - click 'join' if you're coming along #activeYes h…,2,0,0,0
477787201150124032,2014-06-14 12:18:40,RT @NicolaSturgeon: From the #yes Convention in Stirling to #supersaturday campaigning in sunny Southside of Glasgow #activeyes http://t.co…,78,0,0,0
477781981951184896,2014-06-14 11:57:55,RT @theSNP: Fury over claims Westminster wants to shut down foodbank charity: http://t.co/FNjFGwgZQg,16,0,0,1
477769136551251969,2014-06-14 11:06:53,"If u want 2 help plz join our event on the 22nd &amp; tell every1 about it on social media using the thunderclap below.
https://t.co/ysrPz5byu7",0,0,0,1
477767379947356160,2014-06-14 10:59:54,NICE TO SEE THE SALTIRE IN BRAZIL http://t.co/eeJkfuF3aF,0,0,1,0
476663503525539840,2014-06-11 09:53:29,http://t.co/WtkSkPvWOA,0,0,1,0
476663378497507328,2014-06-11 09:53:00,A SMALL CORNER OF DEAN ROAD THAT IS FOREVER RUGBY PARK! http://t.co/zZcELAACRU,0,1,1,0
473188943065018369,2014-06-01 19:46:50,"CONGRATS 2 HURLFORD UTD ON WINNING THE SCOTTISH JNR CUP 2DAY @ RUGBY PARK.
 FINAL SCORE HURLFORD 3:0 GLENAFTON. http://t.co/m5mSR7fdMY",2,2,1,0
471697443705597952,2014-05-28 17:00:08,"RT @Clark_Drennan: @williecoffeysnp Many thanks for your hospitality yesterday at the Scottish Parliament, brilliant insider tour http://t.…",1,0,0,0
