id,created_at,text,retweet_count,favorite_count,media_count,url_count
1103695924713410561,2019-03-07 16:36:28,"RT @MakeVotesMatter: Between 1955 and 2010, Labour and the Conservatives' combined vote share fell from 96% to 65%, but they never won less…",172,0,0,0
1103695782673297408,2019-03-07 16:35:54,"RT @higgyboson: @SocialM85897394 Allowed.... Person of Colour.

Not allowed..... Coloured Person.

Makes perfect sense.",10,0,0,0
1103692904575328256,2019-03-07 16:24:28,RT @OrwellNGoode: Politicians: “we need to stop the rise of populism and the far-right” https://t.co/UZZ6MvIoAG,100,0,1,0
1103692130000748544,2019-03-07 16:21:24,RT @Jacob_Rees_Mogg: Free trade will improve living standards for all. https://t.co/uXouO4InWM,1533,0,0,1
1103691996856754184,2019-03-07 16:20:52,"Starting March 19, voters of #Peterborough can sign the recall petition to remove @FionaOnasanyaMP as MP 🖐🏿
https://t.co/tT0Qnciwf9",0,0,0,1
1103687459974590464,2019-03-07 16:02:50,"@BrunoAm05317727 @theresa_may @Number10press @10DowningStreet @Conservatives Might have chosen ""Chaotic"", but you didn't spell that 🙄",0,0,0,0
1103687063109599232,2019-03-07 16:01:16,"RT @TheaDickinson: 200 vegans stormed a farm, causing a stampede which crushed two piglets to death 😢

""They were picking piglets up, cuddl…",78,0,0,0
1103686804199391233,2019-03-07 16:00:14,RT @oflynnmep: My final point re Rudd (having called for no pile-on!). Don’t you think media hysteria would be ten times as big had a Brexi…,33,0,0,0
1103686237385355272,2019-03-07 15:57:59,RT @breakma_uk: Scaffolding collapses outside Royal Free Hospital in Hampstead. https://t.co/0ZpZqeZyq7 https://t.co/oNLconRIyz,2,0,1,1
1103686175385153536,2019-03-07 15:57:44,RT @barnabynerberka: BREAK: Scaffolding outside the Royal Free Hospital has collapsed into the road. Eyewitnesses say several people have b…,3,0,0,0
1103686126110470144,2019-03-07 15:57:32,RT @sotiridi: #Update: Just in - Scaffolding collapsed due to heavy winds blowing it onto the streets outside Royal Free Hospital in Hampst…,8,0,0,0
1103685983126597632,2019-03-07 15:56:58,RT @tweetonlondon: Hampstead scaffolding collapse: Miracle no one seriously hurt after huge section of scaffolding crashes to ground opposi…,1,0,0,0
1103685901966864384,2019-03-07 15:56:39,RT @AkstyleLondon: Pond st nw3 by royal free hospital praying no one injured https://t.co/mHtohE2niq,9,0,1,0
1103685651705270274,2019-03-07 15:55:39,RT @Nigel_Farage: Leave Means Leave’s @StevenEdginton says it’s time for his generation to rise up against the establishment in Brussels an…,384,0,0,0
1103685032483405825,2019-03-07 15:53:11,"RT @sotiridi: #Breaking: Just in - South End Green. Major collapse of scaffolding Hampstead Heath London, outside Royal Free Hospital. Vide…",18,0,0,0
1103684731890266112,2019-03-07 15:52:00,"RT @BradenDavy: In SNP run Dundee, the average household pays £145 more a year in council tax than Conservative/Independent/Liberal Democra…",5,0,0,0
1103684406521315328,2019-03-07 15:50:42,"RT @talkRADIO: Former Chief Inspector Mick Neville: ""Police are recruiting students who think stop and search is racist. We need new leader…",589,0,0,0
1103684182176342016,2019-03-07 15:49:49,RT @BrexitE: Look out for @BrexitE billboards across London and the UK! https://t.co/Fm8GV6oqCi,1,0,0,1
1103683199123755008,2019-03-07 15:45:54,RT @MikeSjw: Muslim convert jailed for plotting to kill hundreds on Oxford Street. Afghan man convicted of carrying out acid attack on his…,76,0,0,0
1103682666434568192,2019-03-07 15:43:47,RT @SocialM85897394: All elected on LEAVE manifestos https://t.co/24mYhj4GRm,61,0,1,0
1103682595571879938,2019-03-07 15:43:30,RT @RogerHelmerMEP: Gee thanks! Or else? Or else what? https://t.co/KfcHDhfL43,4,0,0,1
1103602041111355392,2019-03-07 10:23:25,"RT @SocialM85897394: PLEASE RETWEET THIS BREXIT THREAD ALL DAY TODAY

Many Remainers reject Brexit because of a ""feeling"", or because they…",1580,0,0,0
1103601996689494017,2019-03-07 10:23:14,RT @GuidoFawkes: Equalities Watchdog Begins Statutory Inquiry into Labour Anti-Semitism https://t.co/OoWUL6Aj9C https://t.co/7wMtBRY1Hc,24,0,1,1
1103601866905145344,2019-03-07 10:22:43,"RT @SocialM85897394: Still nothing on the BBC or Sky News about Mark Carney's Project Fear retraction.

https://t.co/EURNnWn0ea",28,0,0,1
1103601751972827136,2019-03-07 10:22:16,RT @johnredwood: The PD is the herald of an even worse Treaty to lock us into the EU for all time w/ no exit clause. It's no Brexit but a c…,310,0,0,0
1103601673782652928,2019-03-07 10:21:57,RT @sid_mitch: Esther McVey: A loss of trust over Brexit could break our politics. And I shudder to think of the consequences. | Conservati…,9,0,0,0
1103601488721571840,2019-03-07 10:21:13,RT @johnredwood: If you do not like the Withdrawal Agreement you won’t like the Political declaration either Two Treaties instead of one. T…,366,0,0,0
1103601160311750657,2019-03-07 10:19:55,"RT @EcoSenseNow: The climate ""crisis"" is manufactured by a powerful convergence of interests among key elites: the ""greens"", the (fake) med…",465,0,0,0
1103601031664058368,2019-03-07 10:19:24,RT @the_tpa: RT: Lord Framlingham calls on the government to scrap HS2! #ScrapHS2 https://t.co/lMq6IWKqru,14,0,1,0
1103600836456996864,2019-03-07 10:18:37,"RT @SocialM85897394: @oflynnmep Well said. Neither should they be published unless the provenance of such abuse can be proven, particularly…",15,0,0,0
1103600718173429760,2019-03-07 10:18:09,RT @eastantrimmp: 📄 STATEMENT: I’m calling on the Head of the Civil Service in Northern Ireland to reflect on his recent Brexit letter whic…,61,0,0,0
1103600458315239425,2019-03-07 10:17:07,"RT @SocialM85897394: As usual, just the one Leaver on the Question Time panel tonight. #BBCbias #BBCagainstBrexit

The Ofcom review into BB…",25,0,0,0
