id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification
1107631007916847110,2019-03-18 13:13:05,"b'RT @paulcoxon: On this sunny and windy Sunday, solar and wind is providing nearly 50% of GB\xe2\x80\x99s electricity \xf0\x9f\x92\xa8 \xe2\x98\x80\xef\xb8\x8f and 71% is coming from low c\xe2\x80\xa6'",18,0,0,0,LibDem
1106878259235450880,2019-03-16 11:21:56,b'RT @PopMathobela: You did not choose your:\n1 birthplace\n2 skin color\n3 family you were born into\n4 birth gender\n5 birth language\n6 ethnicit\xe2\x80\xa6',88,0,0,0,Non-Aligned
1106757202046410752,2019-03-16 03:20:54,"b""RT @christineliuart: I don't know what to say about the terrorist attack against Muslims except that anti-muslim rhetoric and actions are a\xe2\x80\xa6""",50,0,0,0,Green
1103183692330139648,2019-03-06 06:41:03,b'RT @starstrickenSF: I grew up thinking I was REALLY bad at math. I was told by multiple teachers that only those \xe2\x80\x9cgifted\xe2\x80\x9d at math could bec\xe2\x80\xa6',730,0,0,0,Non-Aligned
1099823290959441921,2019-02-25 00:08:00,b'RT @emdoyl: 2011: The world\xe2\x80\x99s gonna end next year...like probably....bc of something w the Mayans\n\nPeople: *freaking out*\n\n2019: There is S\xe2\x80\xa6',201294,0,0,0,Non-Aligned
1099699924822904832,2019-02-24 15:57:48,"b""Wonder what it will take for my parents to realise that my PhD is a 'real job' with 'real stresses' and not just 'm\xe2\x80\xa6 https://t.co/clo7dprgu6""",0,3,0,1,Non-Aligned
1099695507390283776,2019-02-24 15:40:14,"b'RT @ProfBrianCox: I\xe2\x80\x99ve been through about ten revisions of this tweet, trying to remain civil, but I am finding it hard to contain my anger\xe2\x80\xa6'",10174,0,0,0,LibDem
1097174527350575104,2019-02-17 16:42:46,b'RT @matthaig1: Amazing the amount of people who think 52 per cent is a conclusive Brexit result but won\xe2\x80\x99t accept the 98 per cent of scienti\xe2\x80\xa6',6784,0,0,0,Green
1091050756575318018,2019-01-31 19:09:05,"b'RT @CuriousQuail: \xe2\x80\x9cMy girlfriend goes to a different school, you don\xe2\x80\x99t know her.\xe2\x80\x9d https://t.co/n2doFarhuS'",5,0,1,0,Non-Aligned
1089241470312349701,2019-01-26 19:19:38,b'RT @el_branbran: You be holding it together til you hear \xe2\x80\x9cyou good?\xe2\x80\x9d https://t.co/JgvFbuyN48',119898,0,0,1,Labour
